created_at,lang,edit_history_tweet_ids,conversation_id,text,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
2026-04-12T00:26:02.000Z,en,['2043123439762911738'],2043123439762911738,"Keaton Wagler had a meteoric rise this season 

Started with the 40 piece at Mackey

Ended in a final 4.

Excited to see him in the league. https://t.co/1p6Mz7TZvR",2043123439762911738,0,0,2,0,0,61,,3ballpodcast
2026-04-11T19:52:42.000Z,en,['2043054654125211920'],2043054654125211920,Kelvin Sampson and Houston are on FIRE today in the portal https://t.co/jNqTU82klb,2043054654125211920,0,0,1,0,0,47,,3ballpodcast
2026-04-09T06:43:11.000Z,en,['2042131189536813512'],2042131189536813512,"Seeing a Transfer Portal announcement 

“Is Represented By….”

Still some days I cannot wrap my head around it😭🤯",2042131189536813512,0,0,0,0,0,29,,3ballpodcast
2026-04-09T06:30:17.000Z,en,['2042127943749513359'],2042127943749513359,"Indianapolis is the best spot for the Final 4

The National Championship should be held there every year https://t.co/v8kLjdG2Uq",2042127943749513359,0,0,1,0,0,31,,3ballpodcast
2026-04-07T23:55:28.000Z,en,['2041666199201706108'],2041666007190683926,"Spotify: https://t.co/3nZawH61EV

Youtube: https://t.co/tksdXAZHLd",2041666199201706108,0,0,0,0,0,14,1996184645734649856,3ballpodcast
2026-04-07T23:54:43.000Z,en,['2041666007190683926'],2041666007190683926,"Crazy to think we started The 3 Ball Podcast back in early February… Mid Major Michael, ACC Adam, and Deep Dive David was born. 

Fast forward and we just covered every week of March Madness, the best time of the year.

What a ride.

From previews, reactions, and game https://t.co/tFo8DZ3PW7",2041666007190683926,0,1,2,0,0,71,,3ballpodcast
2026-04-07T03:51:39.000Z,en,['2041363246771282342'],2041363246771282342,"For everyone complaining about the foul disparity.

Uconn just fouls. 

Congrats Michigan. https://t.co/ktS6OTePNU",2041363246771282342,0,0,0,0,0,27,,3ballpodcast
2026-04-07T03:45:08.000Z,en,['2041361606752268632'],2041361606752268632,"Congrats Michigan. The best team won.

These clips are from the first podcast

Elliot Cadeau. Coaching matters. https://t.co/p68NtP2us4",2041361606752268632,0,0,0,0,0,26,,3ballpodcast
2026-04-07T03:18:37.000Z,en,['2041354933631422551'],2041354933631422551,"Why do you get an appeal?

Use your challenge or not.",2041354933631422551,0,0,0,0,0,21,,3ballpodcast
2026-04-07T00:52:29.000Z,en,['2041318159223857250'],2041318159223857250,"High Knees in the Natty in 2026

@highkneesref",2041318159223857250,0,0,0,0,0,15,,3ballpodcast
2026-04-07T00:10:08.000Z,en,['2041307499299561773'],2041307499299561773,"Michigan UCONN🚀

Who Cuts Down the Nets?!✂️

#natty #michigan #goblue #uconn #ncaa https://t.co/riWcHhBJDc",2041307499299561773,0,0,0,0,0,32,,3ballpodcast
2026-04-06T22:02:50.000Z,en,['2041275462630900071'],2041275462630900071,"NATIONAL CHAMPIONSHIP TONIGHT🚨

Michigan Vs. Connecticut.

Who wins?! The Natty. 

Michigan or Uconn?!〽️🐺

The 3 Ball Previews it here!!! 

Tap In⬇️

Youtube: https://t.co/tksdXAZHLd

Spotify: https://t.co/3nZawH61EV",2041275462630900071,0,0,0,0,0,22,,3ballpodcast
2026-04-06T21:02:53.000Z,en,['2041260378580013351'],2041259914329260386,Are you in or out on Malone at UNC??,2041260378580013351,0,0,0,0,0,11,1996184645734649856,3ballpodcast
2026-04-06T21:01:03.000Z,en,['2041259914329260386'],2041259914329260386,"BREAKING NEWS 

Michael Malone to become the next head men’s basketball coach at 

The University of North Carolina.

WHOA https://t.co/REnAiaSohu",2041259914329260386,0,1,1,0,0,25,,3ballpodcast
2026-04-05T20:25:33.000Z,en,['2040888594420670827'],2040888594420670827,"If you are wanting a summary of the story of Easter

Just rewatch Arizona Michigan.

Michigan- Jesus
Arizona - The Grave.

A complete whooping. 
The grave stood no chance.",2040888594420670827,0,0,0,0,0,15,,3ballpodcast
2026-04-05T17:39:28.000Z,en,['2040846800072880623'],2040846800072880623,"Happy Easter everyone! 

Christ has risen. Death has been defeated. https://t.co/Vio1CV4tEz",2040846800072880623,1,0,2,0,0,40,,3ballpodcast
2026-04-05T04:23:18.000Z,en,['2040646435549434351'],2040646435549434351,"Dusty May Dan Hurley Ben McCollum 

Are the best 3 coaches currently in CBB.",2040646435549434351,0,0,0,0,0,33,,3ballpodcast
2026-04-05T03:51:49.000Z,en,['2040638515126366681'],2040638316991709646,"Spotify: https://t.co/3nZawH61EV

Youtube: https://t.co/tksdXAZHLd",2040638515126366681,0,0,0,0,0,12,1996184645734649856,3ballpodcast
2026-04-05T03:51:02.000Z,en,['2040638316991709646'],2040638316991709646,"Elliot Cadeau has been a problem since DAY 1.

David said this on our first podcast back in Early February〽️

Not a shock to see him DOMINATING Arizona👀

#michigan #elliotcadeau #cadeau #goblue #finalfour https://t.co/vdzuNhaCFE",2040638316991709646,0,1,0,0,0,65,,3ballpodcast
2026-04-05T01:33:39.000Z,en,['2040603742886654075'],2040603742886654075,This is Feast Week Michigan right now,2040603742886654075,0,0,0,0,0,18,,3ballpodcast
2026-04-05T01:29:47.000Z,en,['2040602770391146990'],2040602770391146990,"SPORTS ARE NOT CONCERTS 

WE DO NOT NEED MUSIC WE NEED BALL

LET THE FELLAS PLAY",2040602770391146990,0,0,0,0,0,25,,3ballpodcast
2026-04-04T22:46:45.000Z,en,['2040561741289902425'],2040561741289902425,"WESTERN ILLINOIS MENTIONED

GO LEATHERNECKS",2040561741289902425,0,0,0,0,0,20,,3ballpodcast
2026-04-04T22:35:06.000Z,en,['2040558809668579347'],2040558809668579347,"Dan Hurley 

“Every time the ball goes up it’s World War III to get it”

When did Indianapolis become ground zero……",2040558809668579347,0,0,1,0,0,45,,3ballpodcast
2026-04-04T22:30:26.000Z,en,['2040557634365861977'],2040557634365861977,Did anyone else hear the clank when the referee just bounced the ball on that Illinois free throw????!!!?!,2040557634365861977,0,0,0,0,0,31,,3ballpodcast
2026-04-03T19:39:30.000Z,en,['2040152228770586756'],2040152228770586756,"The Final Four is set.🔥

4 teams. 1 champion.

Who is CUTTING DOWN THE NETS?!

We’re breaking down matchups, X-factors, and who’s taking it all.

Tap in ↓‼️

Youtube: https://t.co/6gfuWPfE9l

Spotify: https://t.co/3nZawH61EV",2040152228770586756,0,0,0,0,0,18,,3ballpodcast
2026-03-31T12:00:01.000Z,en,['2038949432234832331'],2038949432234832331,"Mid Major Michael and Deep Dive David’s Brackets

Both in the 99.9 Percentile…‼️‼️

INTO THE FINAL 4

WHOA🤯🤯🤯

#MarchMadness #espn #bracket #basketball #fyp https://t.co/9yehspQ12n",2038949432234832331,0,0,0,0,0,59,,3ballpodcast
2026-03-29T21:41:56.000Z,en,['2038371102276108670'],2038371102276108670,Dame Sarr will have a VERY long NBA career,2038371102276108670,0,0,1,0,0,93,,3ballpodcast
2026-03-28T17:13:48.000Z,en,['2037941235302748296'],2037941235302748296,The 3 ball has TWO top 300 brackets in the WORLD going into the last round of the Sweet 16🤯🤯 https://t.co/6aFhgo2paL,2037941235302748296,0,0,3,0,0,52,,3ballpodcast
2026-03-27T04:17:04.000Z,en,['2037383377037221988'],2037383377037221988,"Arkansas VS. Arizona Summary 

FOUL Galore https://t.co/f6oungjJOj",2037383377037221988,0,1,0,0,0,289,,3ballpodcast
2026-03-25T05:19:30.000Z,en,['2036674314695565460'],2036674314695565460,"It’s Iowa it’s Nebraska. 

In March. 

For a spot in the Elite 8.

🌽🌽🌽 https://t.co/A3rWqeKzWH",2036674314695565460,0,0,0,0,0,75,,3ballpodcast
2026-03-25T05:18:29.000Z,en,['2036674058293588282'],2036674058293588282,"It’s Iowa it’s Nebraska. 

In March. 

For a spot in the Elite 8.

@PatMcAfeeShow @John_Fanta @JonRothstein @ryanhammer09 @CaitlinClark22 @_willcompton @JoshPateCFB https://t.co/OhG9LgCY0y",2036674058293588282,0,0,0,0,0,49,,3ballpodcast
2026-03-25T01:12:18.000Z,en,['2036612103469928660'],2036612103469928660,"UNC has not hired a coach outside of their family tree since Dean Smith (1961)

Roy Williams CANNOT be happy about this. https://t.co/CPkFWpKWdK",2036612103469928660,0,0,0,0,0,260,,3ballpodcast
2026-03-25T01:06:37.000Z,qst,['2036610674957172989'],2036610674957172989,Wow. https://t.co/irPpUY2i2a,2036610674957172989,0,0,1,0,0,91,,3ballpodcast
2026-03-24T03:48:20.000Z,en,['2036288982858997976'],2036288982858997976,"The 3 Ball is BACK. 🎙️🚀

🏀 Round of 64 RECAP
🏀 Round of 32 RECAP
👀 Sweet 16 PREVIEW

😳 Final Four PREDICTIONS?!

We’re breaking it ALL down‼️‼️

Tap in ⬇️⬇️⬇️

Youtube: https://t.co/ZtUej7jkB1

Spotify: https://t.co/AyIg0Tuj2V",2036288982858997976,0,0,0,0,0,82,,3ballpodcast
2026-03-23T01:35:03.000Z,en,['2035893053811032414'],2035893053811032414,Child Please @John_Fanta Iowa over Florida,2035893053811032414,0,0,0,0,0,83,,3ballpodcast
2026-03-23T00:51:07.000Z,en,['2035881995935359454'],2035881995935359454,The ACC is going to be a 1 bid league next year lol,2035881995935359454,0,0,0,0,0,39,,3ballpodcast
2026-03-22T04:11:06.000Z,en,['2035569934604861814'],2035569934604861814,Vandy is the most unlucky college in America this year https://t.co/G87m7MRCHh,2035569934604861814,0,0,3,0,0,288,,3ballpodcast
2026-03-22T03:21:45.000Z,en,"['2035557381745123721', '2035557515723706517']",2035557515723706517,"AGONY HAS HAPPENED TWICE FOR TYLER TANNER AND VANDY

VANDERBILT WAS SO CLOSE https://t.co/rOrR6PYXsh",2035557515723706517,0,1,2,0,1,501,,3ballpodcast
2026-03-22T03:15:09.000Z,en,['2035555854762508707'],2035555854762508707,The adjustment to a zone defense by Fred Hoiberg just won Nebraska that game,2035555854762508707,0,0,0,0,0,227,,3ballpodcast
2026-03-22T02:11:22.000Z,en,['2035539804717220319'],2035539804717220319,"Are High Point University and Grand Canyon University the same school?!

-Both Purple and White.
-Non football schools.
-Mid Major Basketball.
-Elite donor presence in basketball.
-Recent tournament success.
-Large online Academic presence.
-Both fly students to March Madness.",2035539804717220319,0,0,0,0,0,142,,3ballpodcast
2026-03-22T01:53:11.000Z,en,['2035535227565511029'],2035535227565511029,The best human on Earth https://t.co/gIIhgXTuVC,2035535227565511029,0,0,0,0,0,28,,3ballpodcast
2026-03-22T01:18:30.000Z,en,['2035526500728869243'],2035526500728869243,Cam Heide just hit the same shot he did for Purdue last year,2035526500728869243,0,0,0,0,0,131,,3ballpodcast
2026-03-22T00:14:13.000Z,en,['2035510323495510427'],2035510323495510427,"You can hear “Go Big Red” chants on the broadcast DURING Houston vs. Texas A&amp;M. 

Nebraska has the best fan base in the country and it ain’t close

Need Nebraska Houston Elite 8 in Houston next weekend….",2035510323495510427,0,0,2,0,0,202,,3ballpodcast
2026-03-21T20:32:58.000Z,en,['2035454641702424681'],2035454641702424681,I LOVE COEN CARR,2035454641702424681,0,0,0,0,0,69,,3ballpodcast
2026-03-21T20:25:42.000Z,en,['2035452813602324831'],2035452813602324831,"Brian Anderson. Idk what meds you got but I need em. 

What a healing. Night and day from the First Four",2035452813602324831,0,0,1,0,0,69,,3ballpodcast
2026-03-21T04:44:07.000Z,en,"['2035214787806691330', '2035215224261763300', '2035215858830549463']",2035215858830549463,Tarris Reed Jr. tonight against Furman https://t.co/OmjSM7Z3Oq,2035215858830549463,0,0,2,0,0,126,,3ballpodcast
2026-03-21T02:41:13.000Z,en,['2035184928921379159'],2035184928921379159,"Florida just finished the half on a 45-6 run 

My GOODNESS.",2035184928921379159,0,0,0,0,0,67,,3ballpodcast
2026-03-21T01:45:21.000Z,en,['2035170868737843513'],2035170868737843513,"Skyy Clark 

🤝🤝🤝 

Adam Sandler

Skyy rocking the Adam Sandler fit tonight🔥‼️ https://t.co/037Jtxg5Xz",2035170868737843513,0,0,1,0,0,122,,3ballpodcast
2026-03-20T22:32:49.000Z,en,['2035122415785623881'],2035122415785623881,"First 8 Games what stood out!!

-CHALK CHALK CHALK will that continue

-SANTA CLARA so close. Oweh a legend!

- Wright State what an effort. UVA prevails. 

- Alabama pulled away late Hofstra battled!

- Joshua Jefferson please be healthy. 

- Texas Tech looked amazing.

- USU W.",2035122415785623881,0,0,3,0,0,393,,3ballpodcast
2026-03-20T18:57:50.000Z,en,['2035068313676468542'],2035068313676468542,"The Best two days on the sports calendar are here!!!

Follow The 3 Ball’s Picks!!

MARCH MARCH MARCH

LinkTree: https://t.co/xjcmvlvMxT

Youtube: https://t.co/lpPHM4ggjY",2035068313676468542,0,0,0,0,0,26,,3ballpodcast
2026-03-20T18:19:12.000Z,en,['2035058589875019879'],2035058589875019879,MARCH. MADNESS. MAYHEM.,2035058589875019879,0,0,0,0,0,44,,3ballpodcast
2026-03-20T18:18:13.000Z,en,['2035058342918492564'],2035058342918492564,OTEGA OWEH JUST SAVED MARK POPES JOB https://t.co/bg6jXAaROn,2035058342918492564,0,0,1,0,0,95,,3ballpodcast
2026-03-20T17:25:11.000Z,en,['2035044996961759471'],2035044996961759471,Wouldn’t It just be amazing if Northern Iowa and Cal Baptist both won today…..,2035044996961759471,0,0,0,0,0,48,,3ballpodcast
2026-03-20T15:40:00.000Z,en,['2035018526805643445'],2035018526805643445,"Friday Preview🔥‼️🚀

Where are the upsets?‼️🚀🚨

Who is today’s High Point🚨🚨

THIS IS MARCH MADNESS👀👀 https://t.co/FzP7qRpOhp",2035018526805643445,0,0,1,0,0,74,,3ballpodcast
2026-03-20T04:20:34.000Z,en,['2034847543775953217'],2034847543775953217,Belmont should have gotten an At Large,2034847543775953217,0,1,0,0,0,61,,3ballpodcast
2026-03-20T02:49:10.000Z,en,['2034824543005770039'],2034824251597861019,"-TCU OHIO ST Delivered Thank you Bruce Thornton for everything.

-Arkansas still rollin, Pigs were flying in Portland today!!",2034824543005770039,0,0,0,0,0,64,1996184645734649856,3ballpodcast
2026-03-20T02:48:01.000Z,en,['2034824251597861019'],2034824251597861019,"This has been one of the best opening round days in a long long time…

First wins in School History!!
-High Point
-Nebraska 

-Shoutout to the Sienna 5. They will always be remembered. 

-VCU what a comeback!!!

-Texas First four to round of 32!!! Matas is a BEAST

-Texas A&amp;M W",2034824251597861019,0,2,1,0,0,193,,3ballpodcast
2026-03-19T21:16:06.000Z,en,['2034740724327907373'],2034740724327907373,These Pigs are FLYING in Portland,2034740724327907373,0,0,0,0,0,28,,3ballpodcast
2026-03-19T21:07:05.000Z,en,['2034738454077055255'],2034738454077055255,"High School basketball coaches 

On the 3rd game in 3 days…. https://t.co/5hueitOEuN",2034738454077055255,0,0,0,0,0,50,,3ballpodcast
2026-03-19T21:05:19.000Z,en,['2034738007732101385'],2034738007732101385,"Hell of an effort from David today. 

This Siena team will be remembered forever https://t.co/WdKf6axut3",2034738007732101385,0,1,2,0,0,97,,3ballpodcast
2026-03-19T21:04:05.000Z,en,['2034737696376332799'],2034737696376332799,HOW MANY SUBSTITUTIONS??? https://t.co/GdqDd9TNXx,2034737696376332799,0,0,1,0,0,28,,3ballpodcast
2026-03-19T19:34:13.000Z,en,['2034715081829908511'],2034715081829908511,Don’t count out the Bulls just yet https://t.co/7zDrrpxHwI,2034715081829908511,0,0,0,0,0,30,,3ballpodcast
2026-03-19T19:23:41.000Z,es,['2034712431952633978'],2034712431952633978,GO SIENA GO,2034712431952633978,0,0,0,0,0,108,,3ballpodcast
2026-03-19T19:17:18.000Z,en,['2034710826008158365'],2034710826008158365,Whatever you did with Wisconsin in your bracket it will be wrong.,2034710826008158365,0,0,0,0,0,27,,3ballpodcast
2026-03-18T23:28:52.000Z,en,"['2034411536408567990', '2034411746786472218']",2034411746786472218,"EVENING 8 On Thursday 

-Deep Dive David preview the evening slate
- Who moves on, who goes home. 

-THIS IS MARCH.‼️‼️‼️‼️ https://t.co/vq4KDThWS2",2034411746786472218,0,0,1,0,0,39,,3ballpodcast
2026-03-18T23:26:27.000Z,en,['2034411139354726582'],2034411139354726582,"FIRST 8 On Thursday‼️‼️

-Deep Dive David dives into the first 8
- Maybe an upset👀👀

#marchmadness #college #collegebasketball #basketball #march https://t.co/tncAlgvJOE",2034411139354726582,0,0,0,0,0,97,,3ballpodcast
2026-03-18T16:57:57.000Z,en,"['2034312610628202643', '2034313368178131183']",2034313368178131183,"MARCH IS HERE🔥🔥

The 3 Ball has you covered!!🚀

Episode 13 of the 3 Ball Podcast answers all the March questions! Happy MARCH‼️‼️

Tap in Below⬇️⬇️⬇️
 
YouTube: https://t.co/vcVT1kdtrr

https://t.co/vcVT1kdtrr",2034313368178131183,0,0,2,0,0,59,,3ballpodcast
2026-03-18T04:14:17.000Z,en,['2034121187102462366'],2034121187102462366,"WHAT A NIGHT IN DAYTON

HOWARD UNIVERSITY
- First tournament win in program history!!
- Kenny Blakeney has taken the Bison 3 out of the last 4 years. 
- Bryce Harris 5th year senior ALL AT HOWARD!!!! Balled out!! 19 points 14 rebounds at 6’4!?!??!

TEXAS
- If they guard like that",2034121187102462366,1,0,3,0,0,239,,3ballpodcast
2026-03-17T04:01:09.000Z,en,['2033755494729576646'],2033755494729576646,This guy seems pretty good https://t.co/4YmwxTySre https://t.co/N7hjiXJTwi,2033755494729576646,0,0,0,0,0,83,,3ballpodcast
2026-03-16T18:16:55.000Z,en,['2033608465277419705'],2033608465277419705,"I cannot wait until Arizona is in a nail bitter against LIU and the whole arena is doing 

“Fins Up” 

The chant will become a March Legend.",2033608465277419705,0,0,1,0,0,75,,3ballpodcast
2026-03-16T17:31:36.000Z,en,['2033597059916541961'],2033597059916541961,"MARCH IS HERE!

BRACKETS ARE OUT https://t.co/BHsW3Pe6pI",2033597059916541961,0,0,4,0,0,66,,3ballpodcast
2026-03-15T18:01:59.000Z,en,['2033242319172857956'],2033242319172857956,"TJ POWER AT THE BUZZER

WERE GOING TO OT IN THE IVY LEAGUE FINAL",2033242319172857956,0,0,2,0,0,146,,3ballpodcast
2026-03-15T06:19:55.000Z,en,['2033065639095484516'],2033065639095484516,"CAL BAPTIST IS GOING DANCING

DOMINIQUE Daniels Jr. SO CLUTCH

DOM and the Lancers are going dancing!!!!",2033065639095484516,0,0,2,0,0,253,,3ballpodcast
