id,lang,created_at,text,conversation_id,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username,in_reply_to_user_id
2042794196831178957,en,2026-04-11T02:37:44.000Z,The league is in good hands https://t.co/BsqhA0UrJv,2042794196831178957,['2042794196831178957'],1,0,6,0,0,1782,ActionNetworkHQ,
2042782296655433774,en,2026-04-11T01:50:27.000Z,"Dyson Daniels vs Cavs:

13 PTS (12.5) ✅
10 REB (6.5) ✅
12 AST (4.5) ✅
+36

Second triple-double of his career https://t.co/EzDbFmFDeP",2042782296655433774,['2042782296655433774'],0,1,7,0,0,4536,ActionNetworkHQ,
2042764696944807947,en,2026-04-11T00:40:31.000Z,"Massive line movement in OKC–DEN tonight 📉

OKC was +12.5 this morning and is now down to +2.5 after the Nuggets announced they’re benching all starters https://t.co/tgKGwRhpme",2042764696944807947,['2042764696944807947'],1,1,2,0,1,6100,ActionNetworkHQ,
2042752335940850089,en,2026-04-10T23:51:24.000Z,"Bryson DeChambeau was the most bet golfer to win the Masters entering the tournament.

He needed just a bogey on 18 to make the cut. He made a triple and missed it by two. https://t.co/Wmue8AFUyQ",2042752335940850089,['2042752335940850089'],3,1,39,1,2,10486,ActionNetworkHQ,
2042752188976631921,en,2026-04-10T23:50:49.000Z,"Rory McIlroy is -12 and has set the largest 36-hole lead in Masters history heading into the weekend 👏

He shot a 67 on Thursday and a 65 today https://t.co/IXpy0KQvmL",2042752188976631921,['2042752188976631921'],2,1,15,0,1,5650,ActionNetworkHQ,
2042730664126984290,en,2026-04-10T22:25:17.000Z,"🥊 TAN UFC 327 Top Props #UFC327

🇳🇿 Carlos Ulberg by KO/TKO/DQ @SeanZerillo
🇧🇷 Johnny Walker by KO/TKO/DQ @Psychoward586

🔗 https://t.co/P8nJRoP25d

Download the DraftKings Sportsbook app and use code ACTIONNETWORK. The crown is yours. @DKSportsbook https://t.co/qTTqwEUdvv",2042730664126984290,['2042730664126984290'],1,0,6,0,3,5654,ActionNetworkHQ,
2042621696452993454,en,2026-04-10T15:12:17.000Z,Sometimes you have to cut your losses 😂 https://t.co/ORoataSK5c,2042621696452993454,['2042621696452993454'],0,10,286,0,2,26999,ActionNetworkHQ,
2042620039870759162,en,2026-04-10T15:05:42.000Z,"“You know parlays are a losing proposition long term, right??” https://t.co/XSnJF7f5sS",2042620039870759162,['2042620039870759162'],3,0,24,0,0,8200,ActionNetworkHQ,
2042616541376631021,en,2026-04-10T14:51:48.000Z,If you had Padres -1.5 buy a lotto ticket today! Quite the way to win at 1:30 am 😂 https://t.co/KW7cFT8cK4,2042616541376631021,['2042616541376631021'],2,5,101,3,5,17517,ActionNetworkHQ,
2042615744253325626,en,2026-04-10T14:48:38.000Z,"Trying to explain how my bets could actually be a long term investment strategy.

“What the f*ck are you talking about” 😂 https://t.co/MvEfuEhTTR",2042615744253325626,['2042615744253325626'],2,0,31,0,2,11379,ActionNetworkHQ,
2042614152624034027,en,2026-04-10T14:42:18.000Z,"🏀 MAGIC vs BULLS NBA BEST BET

📈 OVER 242.5
👇 Add directly to your betslip
https://t.co/bS7kkes0eO

🗣️ ""My projections for this game are significantly higher than the market consensus. I have the Magic projected to score 94 points in the half-court alone in this game — one of https://t.co/MF4XJhDioN",2042614152624034027,['2042614152624034027'],3,2,26,0,7,6991,ActionNetworkHQ,
2042611602747273345,en,2026-04-10T14:32:10.000Z,"🔱 Astros vs Mariners MLB SGP via @VegasMinion

⚾️ MARINERS MONEYLINE
⚾️ JOSH NAYLOR OVER 1.5 HITS + RUNS + RBIS

👇 Add directly to your betslip
https://t.co/AB1kJ3QxJI https://t.co/fqWBxyZtJy",2042611602747273345,['2042611602747273345'],4,0,27,0,5,6968,ActionNetworkHQ,
2042607903937282263,en,2026-04-10T14:17:28.000Z,"🏝️ Yankees vs Rays MLB SGP via @SeanZerillo

⚾️ RAYS MONEYLINE
⚾️ OVER 8.5

👇 Add directly to your betslip
https://t.co/r1LmWxVIWe https://t.co/satBry1cVU",2042607903937282263,['2042607903937282263'],5,1,34,0,6,6946,ActionNetworkHQ,
2042604504818856354,en,2026-04-10T14:03:58.000Z,"🐻 Pirates vs Cubs MLB SGP via @JonPgh

⚾️ UNDER 1.5 HOME RUNS
⚾️ SHOTA IMANAGA H2H STRIKEOUTS ML

🗣️ ""Under 1.5 home runs feels very likely to hit. But we can drain the juice by also working the angle that Imanaga is the much better pitcher, in terms of skill and volume. I'm https://t.co/cEq0liB78k",2042604504818856354,['2042604504818856354'],3,1,27,0,9,8365,ActionNetworkHQ,
2042467540232728682,en,2026-04-10T04:59:43.000Z,"DENVER (+105) DOUBLE OT WINNER 😱

Pios will play Wisconsin on Saturday in the #MFrozenFour Championship Game, seeking their 3rd title in the last 5 seasons https://t.co/CJmDeUTSRQ https://t.co/ainD6TrjBq",2042467540232728682,['2042467540232728682'],0,1,10,0,0,12754,ActionNetworkHQ,
2042443409265226175,en,2026-04-10T03:23:50.000Z,"Denver (+105) ties it late vs Michigan! 🏒

🚨 Headed to OT in the Frozen Four 🚨 #MFrozenFour https://t.co/fH6FhYDmkr",2042443409265226175,['2042443409265226175'],1,1,16,1,0,21738,ActionNetworkHQ,
2042439000065991024,en,2026-04-10T03:06:18.000Z,Bryson was the most bet players to win the Masters on @BetMGM. He’s now +6600 on MGM 🫣 https://t.co/9Rjr2mAmBB,2042439000065991024,['2042439000065991024'],1,3,16,0,1,9973,ActionNetworkHQ,
2042401137861562660,en,2026-04-10T00:35:51.000Z,18 of the last 20 Masters winners have been in the Top-10 after the first round of play 👀 https://t.co/1YKr83AG7e,2042401137861562660,['2042401137861562660'],4,2,30,0,4,15606,ActionNetworkHQ,
2042352385507332321,en,2026-04-09T21:22:08.000Z,Bryson DeChambeau finished +4 on the day and he's +16000 to win the Masters which are still shorter odds than the Jets to win the Super Bowl (+20000) https://t.co/TLr40NX4N2,2042352385507332321,['2042352385507332321'],1,3,100,0,3,21812,ActionNetworkHQ,
2042346345395032204,en,2026-04-09T20:58:08.000Z,Make that EIGHT straight road losses.. Tigers (-140) were receiving 61% of bets and 59% of money 🫣 https://t.co/iUtngn4Llg,2042346345395032204,['2042346345395032204'],2,1,18,0,1,14748,ActionNetworkHQ,
2042333462145728984,en,2026-04-09T20:06:56.000Z,"The Yankees dropped two of three to the A’s scoring 7 total runs in the series.

They were significant favorites and were receiving at least 85% of bets on the ML in all three games 😬 https://t.co/UI08dlQ8dC",2042333462145728984,['2042333462145728984'],1,3,26,1,2,8843,ActionNetworkHQ,
2042325585318285576,en,2026-04-09T19:35:38.000Z,"Steph Curry has officially been ruled out for tonight's game...

No LeBron vs Curry this season😰😰😰 https://t.co/rEp0zIB3EA",2042325585318285576,"['2042325286528704624', '2042325585318285576']",1,1,11,0,0,7205,ActionNetworkHQ,
2042325491940540807,en,2026-04-09T19:35:16.000Z,Bryson DeChambeau when you bet your hard earned money on him 🫠 https://t.co/mdGLmDCDVU,2042325491940540807,['2042325491940540807'],17,4,737,2,7,33853,ActionNetworkHQ,
2042320852838969595,en,2026-04-09T19:16:50.000Z,"Defending champ tied for the LEAD🔥

https://t.co/tYzBfePqaH",2042320852838969595,['2042320852838969595'],1,0,12,1,0,7475,ActionNetworkHQ,
2042316162151633267,en,2026-04-09T18:58:12.000Z,THIS IS WHAT'S GOING ON AT AUGUSTA 🗣️ https://t.co/rvTv7vGsGN,2042316162151633267,['2042316162151633267'],1,1,44,0,8,11256,ActionNetworkHQ,
2042311923182489858,en,2026-04-09T18:41:21.000Z,When you thought you bet on Nicolai Højgaard but you actually bet on his twin brother Rasmus Højgaard 😠 https://t.co/Lmmub35DV4,2042311923182489858,['2042311923182489858'],1,1,14,0,0,7505,ActionNetworkHQ,
2042302894678970536,en,2026-04-09T18:05:28.000Z,"The Tigers are having some SERIOUS struggles on the road so far this season.

7 straight road losses, and they were favored in 5 of those...👀 https://t.co/2SlsPTBX7O",2042302894678970536,['2042302894678970536'],5,3,60,1,2,25750,ActionNetworkHQ,
2042286456962494775,zxx,2026-04-09T17:00:09.000Z,https://t.co/hQojnjruVV,2042286456962494775,['2042286456962494775'],1,1,3,1,1,10658,ActionNetworkHQ,
2042285873492840635,en,2026-04-09T16:57:50.000Z,Yankees ML (-198) is the most bet MLB team today receiving 86% of bets and 76% of the money 🤔 https://t.co/R5rU4OVEkH,2042285873492840635,['2042285873492840635'],6,12,74,6,5,31832,ActionNetworkHQ,
2042281709400412426,en,2026-04-09T16:41:17.000Z,"NOT THE BEER!!!! 😩

Thankfully beers are only $6 at the Masters! https://t.co/hDvw47yvDZ",2042281709400412426,['2042281709400412426'],2,1,46,0,7,21859,ActionNetworkHQ,
2042273272239149541,en,2026-04-09T16:07:46.000Z,Walking out of work at noon to grab lunch beers and sweat Masters bets the rest of the day 🥹 https://t.co/FfygsiQvR8,2042273272239149541,['2042273272239149541'],3,2,83,2,1,16497,ActionNetworkHQ,
2042272160471773500,en,2026-04-09T16:03:21.000Z,"If you bet on Shane Lowry look away! 

He just three putted from three feet away 🫣 https://t.co/T4ZxLXpsVu",2042272160471773500,['2042272160471773500'],4,3,58,2,5,35001,ActionNetworkHQ,
2042270241976123455,en,2026-04-09T15:55:43.000Z,It pays to tune in live! This line is already on the move! https://t.co/Vipv8E6sb2,2042270241976123455,['2042270241976123455'],0,0,4,0,0,9377,ActionNetworkHQ,
2042253492576747763,en,2026-04-09T14:49:10.000Z,"⚾️ DIAMONDBACKS vs METS MLB BEST BET

📈 NOLAN MCLEAN OVER 5.5 STRIKEOUTS
👇 Add directly to your betslip
https://t.co/ZcncoyrZGz

🗣️ ""What I am most interested in here is McLean’s strikeout props, due to the extreme plate discipline numbers discussed. Therefore, I’m not https://t.co/FQkqx5WLdU",2042253492576747763,['2042253492576747763'],4,3,27,0,6,8560,ActionNetworkHQ,
