id,edit_history_tweet_ids,text,conversation_id,created_at,lang,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
2038184202223435872,['2038184202223435872'],"""Sparks of Tomorrow"" new Visual and Trailer. Airs July 5, 2026.

Trailer: https://t.co/t2tjA7n5mr 

https://t.co/5sKgYHNCVi - #二十世紀電氣目録 #sparks_of_tomorrow https://t.co/isycbDjRAZ",2038184202223435872,2026-03-29T09:19:16.000Z,en,1,0,15,0,0,2460,AniListco
2038182632194805988,['2038182632194805988'],"""Expelled From Paradise: Resonance"" new Visual and Teaser. Opens November 13, 2026.

PV: https://t.co/0SYhxuW1cU 

https://t.co/AN9h0aMj6x - #楽園追放 https://t.co/zftfRHdOBM",2038182632194805988,2026-03-29T09:13:01.000Z,en,1,0,11,0,0,1748,AniListco
2038180798008824123,['2038180798008824123'],"""MADE IN ABYSS"" 1st sequel Movie new Visual. Opens October 23, 2026.

https://t.co/DvOmOGbaWO - #miabyss #メイドインアビス https://t.co/blwS5T2P3L",2038180798008824123,2026-03-29T09:05:44.000Z,en,3,0,25,0,0,1594,AniListco
2037844044286419085,['2037844044286419085'],"""ONE PIECE HEROINES"" new teaser. Airs July 5, 2026.

PV: https://t.co/U6dX9cANFx 

https://t.co/G4SzjAPT60 - #ONEPIECE #ONEPIECEHEROINES https://t.co/Vf4k7xuMqs",2037844044286419085,2026-03-28T10:47:36.000Z,en,0,0,21,1,0,1510,AniListco
2037826660020477994,['2037826660020477994'],"""Magic Knight Rayearth"" new Visual and PV. Airs in October, 2026.

PV: https://t.co/fRFlb665xw 

https://t.co/LtvGGWYv6v - #魔法騎士レイアース https://t.co/gsVAKsZ4r3",2037826660020477994,2026-03-28T09:38:31.000Z,en,0,0,10,0,0,1231,AniListco
2037825214172508450,['2037825214172508450'],"""Saga of Tanya the Evil"" Season 2 new Visual and PV. Airs in July, 2026.

PV: https://t.co/YaWrGp3xih 

https://t.co/tLHcw5zQio - #youjosenki https://t.co/kFkEulhGsl",2037825214172508450,2026-03-28T09:32:46.000Z,en,2,0,21,1,0,1013,AniListco
2037824536524075179,['2037824536524075179'],"Original Anime ""Goodbye, Lara"" new Visual and PV. Airs in July, 2026.

PV: https://t.co/qY4lPMeMoZ 

https://t.co/TshlGsSuPv - #さよならララ #GoodbyeLara #さよララ https://t.co/EX9ZC5o3Ef",2037824536524075179,2026-03-28T09:30:05.000Z,en,0,0,13,1,0,1116,AniListco
2037823434973970446,['2037823434973970446'],"""Smoking Behind the Supermarket with You"" new Visual and PV. Airs in July, 2026.

PV: https://t.co/GHEhQmHOsd 

https://t.co/LAM8FqJV37 - #ヤニすう https://t.co/UbQlFXKZCp",2037823434973970446,2026-03-28T09:25:42.000Z,en,1,0,19,0,0,1018,AniListco
2037822529172038084,['2037822529172038084'],"""The Elusive Samurai"" Season 2 new Visual and PV. Airs in July, 2026.

PV: https://t.co/gsyNCUAm4U 

https://t.co/UDbfxdKiab - #逃げ若 #逃げ上手の若君 https://t.co/a1afXHd341",2037822529172038084,2026-03-28T09:22:06.000Z,en,0,0,14,0,0,1001,AniListco
2037821832594694601,['2037821832594694601'],"""Sentenced to Be a Hero"" Season 2 announced.

PV: https://t.co/rIePWnibqE 

https://t.co/GA8IKJL7f3 - #勇者刑 #勇者刑に処す #yushakei https://t.co/xkjrRcisSz",2037821832594694601,2026-03-28T09:19:20.000Z,en,1,0,17,0,0,959,AniListco
2037794018340246002,['2037794018340246002'],"""YAIBA: Samurai Legend"" Season 2 new Visual.

https://t.co/nuOk9qf5oZ - #YAIBA https://t.co/B0M0F8GwES",2037794018340246002,2026-03-28T07:28:49.000Z,in,0,0,9,0,0,787,AniListco
2037791565385441337,['2037791565385441337'],"""THE GHOST IN THE SHELL"" new Visual and PV. Airs in July, 2026.

PV: https://t.co/5Tvyv6Vj6s 

https://t.co/gfioL9dPnZ - #攻殻機動隊 #theghostintheshell https://t.co/cMDAD0eExJ",2037791565385441337,2026-03-28T07:19:04.000Z,en,0,0,14,0,0,810,AniListco
2037557058036175258,['2037557058036175258'],"""Frieren: Beyond Journey’s End"" Season 3 announced. Airs in October, 2027.

https://t.co/JHpD1J2Zr8 - #フリーレン #frieren https://t.co/ykpzoc1qfJ",2037557058036175258,2026-03-27T15:47:13.000Z,en,4,0,30,1,1,1450,AniListco
2036912334904361430,['2036912334904361430'],"""Jaadugar: A Witch in Mongolia"" new PV. Airs in July, 2026.

PV: https://t.co/90ixYhRpfY 

https://t.co/QNT6WsTFBP - #Jaadugar #AWitchInMongolia https://t.co/5NB9vIuvwG",2036912334904361430,2026-03-25T21:05:19.000Z,en,0,0,24,0,1,1675,AniListco
2036909576235188596,['2036909576235188596'],"""MARRIAGETOXIN"" new PV. Airs April 7, 2026.

PV: https://t.co/EFOkuCadc6 

https://t.co/9BFuAYSxEn - #マリッジトキシン https://t.co/QM8VXcUgD5",2036909576235188596,2026-03-25T20:54:21.000Z,en,0,0,18,0,1,1192,AniListco
2035679857456140326,['2035679857456140326'],"Original Anime ""GROW UP SHOW -Sunflower Circus-"" new Visual and PV. Airs in July, 2026.

PV: https://t.co/6jJwv3RBiL 

https://t.co/WiyXLpVOCk - #グロウアップショウ https://t.co/lEyanR9grk",2035679857456140326,2026-03-22T11:27:53.000Z,en,1,0,13,0,2,1337,AniListco
2033967780626678241,['2033967780626678241'],"""Sekiro: No Defeat"" new Trailer. Airs in 2026.

Trailer: https://t.co/kZfi66kenp 

https://t.co/lsdFLgoPGO - #sekiro #sekirond https://t.co/6UieEinwYP",2033967780626678241,2026-03-17T18:04:42.000Z,en,1,0,14,0,0,1471,AniListco
2033966505243640146,['2033966505243640146'],"""Hirayasumi"" new Visual and Staff. Airs in Janaury, 2027.

Director/Script: Kei Suezawa
Character Design: Naoyuki Asano
Studio: Production +h

https://t.co/cjHpPsWd7e - #アニメひらやすみ https://t.co/dWchYNSNTD",2033966505243640146,2026-03-17T17:59:38.000Z,ro,4,0,27,0,1,1568,AniListco
2033965481120477193,['2033965481120477193'],"""The World is Dancing"" new PV. Airs in July, 2026.

PV: https://t.co/HaZzBF1rY1 

https://t.co/KM1pSk0kgP - #ワールドイズダンシング https://t.co/1xp5U5elho",2033965481120477193,2026-03-17T17:55:34.000Z,en,0,0,22,0,1,1287,AniListco
2030990510374940692,['2030990510374940692'],"""Kamiina Botan"" new Visual and PV. Airs April 11, 2026.

PV: https://t.co/b7WlJxuIzk 

https://t.co/3V1jcf7BsA - #上伊那ぼたん https://t.co/zaJJmjqnDF",2030990510374940692,2026-03-09T12:54:06.000Z,en,0,0,15,1,3,1792,AniListco
2030567391030038684,['2030567391030038684'],"""Dorohedoro"" Season 2 new PV. Airs April 1, 2026.

PV: https://t.co/LTnJJ080r0 

https://t.co/bmXF4dFGBt - #それがドロヘドロ https://t.co/RrScooUJhK",2030567391030038684,2026-03-08T08:52:46.000Z,ht,0,0,19,0,1,1359,AniListco
