created_at,text,conversation_id,lang,edit_history_tweet_ids,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
2026-02-16T21:29:07.000Z,"Thank you for the warm welcome, @ncbn. It’s exciting to witness Andhra Pradesh’s growth being accelerated through AI, technology, and innovations across health, agriculture &amp; education. https://t.co/m0qGFsVmMx",2023509972714496206,en,['2023509972714496206'],2023509972714496206,2143,0,12326,437,218,1036527,,BillGates
2026-01-27T22:44:53.000Z,I’m deeply sad to learn of the passing of Dr. Bill Foege. Bill was a towering figure in global health—a man who saved the lives of literally hundreds of millions of people. He was also a friend and mentor who gave me a deep grounding in the history of global health and inspired,2016281284478435702,en,['2016281284478435702'],2016281284478435702,747,0,3516,448,230,1067460,,BillGates
2025-09-06T20:16:20.000Z,".@fervoenergy is creating energy that’s clean, affordable, reliable, and American-made. https://t.co/9eEKdZszvP",1964422434767224969,en,['1964422434767224969'],1964422434767224969,1840,0,5930,441,436,1758181,,BillGates
2025-07-23T23:43:19.000Z,Learning how many kids were dying from diarrhea back in 1997—when I never worried about it with my own kids—led me to get involved in global health. https://t.co/NYitqiRY38,1948167071684231344,en,['1948167071684231344'],1948167071684231344,2468,0,5763,569,321,2724696,,BillGates
2025-07-11T22:06:29.000Z,"Thanks to vaccines, fewer children are dying from preventable diseases around the world. Cutting funding for them would reverse that progress and put millions of children in danger. https://t.co/UF7IaASepq",1943794047988249030,en,['1943794047988249030'],1943794047988249030,1633,0,5190,540,284,1275496,,BillGates
2025-07-11T19:12:25.000Z,The devastating effects of these cuts are entirely preventable—and it’s not too late to reverse them. https://t.co/wWBjW842gR,1943750242148790622,en,['1943750242148790622'],1943750242148790622,1539,999,5205,527,356,2056520,,BillGates
2025-07-03T23:35:38.000Z,"To me, this is the most remarkable thing about global health: With a relatively small amount of money, you can do a great deal of good for a great many people. This is money well spent, and we should go back to spending it—now.",1940915900460552200,en,['1940917377845383221'],1940917377845383221,1015,0,4991,237,140,798745,50393960,BillGates
2025-07-03T23:34:56.000Z,"Health aid is a small piece of America’s foreign aid, which is itself a small piece of the federal budget. In 2023, the US spent less than one percent of the federal budget on lifesaving global health programs: https://t.co/QaTuRs6PQe https://t.co/La7oeJWJfh",1940915900460552200,en,['1940917201877471296'],1940917201877471296,878,0,3099,122,107,526553,50393960,BillGates
2025-07-03T23:33:12.000Z,"According to a @UNAIDS analysis, ending PEPFAR-supported programs for people living with HIV could result in an additional 4.2 million deaths by 2029: https://t.co/YjBtRcxNzH https://t.co/31LylESN5C",1940915900460552200,en,['1940916766609396007'],1940916766609396007,787,0,2518,88,97,443585,50393960,BillGates
2025-07-03T23:31:49.000Z,"Since 2000, @gavi has helped get vaccines to 1.1 billion children. The U.S. announced that, after this year, it’s pulling out all its money. If that happens, Gavi estimates that 75 million children will miss vaccinations over the next five years—and of those, 1.2 million children https://t.co/S1hkx8QH73",1940915900460552200,en,['1940916418989760974'],1940916418989760974,788,0,2748,127,107,435253,50393960,BillGates
