lang,created_at,text,conversation_id,edit_history_tweet_ids,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
en,2026-04-11T02:33:08.000Z,"Wemby vs. Coop in final matchup of the season 🍿

👽 Wemby: 40 PTS | 13 REB | 5 AST

🏁 Coop:  33 PTS | 6 REB | 5 AST

Battle of the #1 picks didn't disappoint 🔥 https://t.co/LvKXC7nk4w",2042793038087364819,['2042793038087364819'],2042793038087364819,88,27,1401,7,17,77274,,BleacherReport
en,2026-04-11T01:45:09.000Z,Grizzlies' injury report features 14 players 😳 https://t.co/VYgP42SGsj,2042780965123002686,['2042780965123002686'],2042780965123002686,41,36,474,12,20,89001,,BleacherReport
en,2026-04-11T01:41:58.000Z,Starting lineups for Grizzles - Jazz  😬 https://t.co/de73t3wuhE,2042780160898871340,['2042780160898871340'],2042780160898871340,106,162,2168,185,148,296449,,BleacherReport
en,2026-04-11T00:57:46.000Z,"LAMELO WAS LETTING BEEF STEW HEAR IT AFTER HITTING THE 3 🤣🗣️

What do you think he said? 👀 https://t.co/gT6HooVZeF",2042769041568190712,['2042769041568190712'],2042769041568190712,265,145,5096,74,323,450087,,BleacherReport
en,2026-04-10T23:18:55.000Z,"RORY MCILROY WHAT A SHOT 🔥

CHIP-IN BIRDIE TO EXTEND HIS LEAD #TheMasters

(via @TheMasters)
https://t.co/ZFNgL7f9iu",2042744161926025701,['2042744161926025701'],2042744161926025701,100,28,2573,7,61,186935,,BleacherReport
en,2026-04-10T22:27:42.000Z,"Sculptor Lou Cella reacts after bat breaks during unveiling of his Ichiro statue 😅

(📷: Lindsey Wasson/AP) https://t.co/r0KARPqC6Y",2042731275585237477,['2042731275585237477'],2042731275585237477,90,43,4624,12,228,363240,,BleacherReport
en,2026-04-10T16:42:03.000Z,"New NBA Mock Draft…If The Mavs Get A Top 2 Pick 🤔

2️⃣5️⃣ Knicks: Dailyn Swain, SF, Texas
1️⃣8️⃣ Hornets (via ORL): Koa Peat, PF, Arizona
1️⃣1️⃣ Warriors: Yaxel Lendeborg, PF, Michigan
2️⃣ Mavericks: Darryn Peterson, SG, Kansas

Full list 🔗: https://t.co/ASgMSnZwNs https://t.co/scZYbzIMdr",2042644289960792287,['2042644289960792287'],2042644289960792287,17,25,194,9,14,138825,,BleacherReport
en,2026-04-10T15:37:45.000Z,"New Indiana Fever Practice Facility Revealed 🤯
 
Dual practice courts 🏀
Recovery suites ❤️‍🩹
Beauty salon 💄
Golf simulator ⛳️
 
Full reveal 🔗: https://t.co/X3Lh6eZ7k8 https://t.co/9GYUMXpfNt",2042628106041626894,['2042628106041626894'],2042628106041626894,80,55,1128,10,26,137292,,BleacherReport
en,2026-04-10T04:56:48.000Z,"“You need to relax. Watch the game.”

LeBron to a fan at the game vs Warriors  👀 https://t.co/3nWGxkEcJe",2042466807936586020,['2042466807936586020'],2042466807936586020,375,192,7901,48,482,654018,,BleacherReport
en,2026-04-10T04:28:42.000Z,"BRON BAG WORK IN GOLDEN STATE 👑

26 PTS 
11 AST
8 REB
65% FG

‘First Option Bron’ still got it 🔥 https://t.co/LfJEyowYuH",2042459736390431062,['2042459736390431062'],2042459736390431062,620,110,11521,19,111,198921,,BleacherReport
