lang,edit_history_tweet_ids,created_at,id,text,conversation_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
en,['2042327502006469045'],2026-04-09T19:43:15.000Z,2042327502006469045,"Almost every time I read something from Brecka:
""At no point in your rambling, incoherent response, were you even close to anything that could be considered a rational thought. Everyone in this room is now dumber for having listened to it.""

Please listen to @mackinprof instead. https://t.co/GYmkbegxNA",2042327502006469045,0,2,6,0,0,2088,,BornFitness
en,['1912845582495863107'],2025-04-17T12:28:20.000Z,1912845582495863107,"I asked @grok to share US Dietary Guidelines for children:
Emphasize vegetables (dark green, red/orange, legumes), whole fruits, whole grains, low-fat dairy, lean proteins, and healthy oils.

Limit added sugars and saturated fats to &lt;10% of calories.

Where's the poison? https://t.co/g7pszUmuhw",1912845582495863107,34,19,97,18,0,18712,,BornFitness
en,['1908173639108673667'],2025-04-04T15:03:42.000Z,1908173639108673667,"I'm begging for an end to the false dichotomies.

We need better health insurance that allows for more affordable care and cost-effective pharmaceuticals for those in need.
AND
We must make healthier foods accessible and more affordable to as many people as possible. https://t.co/SqVspi9RYP",1908173639108673667,28,12,101,18,0,16099,,BornFitness
en,['1901626056840204571'],2025-03-17T13:25:57.000Z,1901626056840204571,"Seeing changes like this never gets old. 
It’s not just about weight loss or muscle. 
It’s about giving people control over their body and life.

Amazing work 👏👏👏 https://t.co/Jo5L8gV1z8",1901626056840204571,29,25,120,14,0,16308,,BornFitness
en,['1899884788489556206'],2025-03-12T18:06:46.000Z,1899884788489556206,"I haven't been in this game as long as @Schwarzenegger. But I've been in fitness for 20+ years, and never seen anything like this. The positive corner of the internet is real. Hearing Arnold say this about ""the village"" is as genuine as it gets. https://t.co/hGCY1RVOQu",1899884788489556206,22,18,110,14,4,12767,,BornFitness
en,['1895154794567999828'],2025-02-27T16:51:27.000Z,1895154794567999828,"1) A child died. No one should ever die from measles. 

2) Infectious disease &amp; general wellness are NOT adversaries.
We should prioritize BOTH. 
We need to eat healthier AND utilize modern medicine to defeat disease. 

We need to bring people together, not pull them apart. https://t.co/Dh40saleCH",1895154794567999828,24,21,141,25,3,13381,,BornFitness
en,['1892636103418707997'],2025-02-20T18:03:05.000Z,1892636103418707997,I’ve never been involved with anything that has changed so many lives. Truly an honor to help build “the positive corner of the internet.” https://t.co/3BWyMQNmsZ,1892636103418707997,21,21,123,22,1,10218,,BornFitness
en,['1884649885930020996'],2025-01-29T17:08:42.000Z,1884649885930020996,"This is the type of ""complaint"" we love to see from members of The Pump app. Lives changed (new wardrobe sold separately) https://t.co/Td0pLPMpzk",1884649885930020996,27,18,113,12,0,8870,,BornFitness
en,['1877906633537245621'],2025-01-11T02:33:25.000Z,1877906633537245621,"You meet with an oncologist AFTER  cancer diagnosis. 

This chart shows people with cancer are living LONGER. (And risk of dying from cancer is decreasing)

So oncologists are doing their job! 

Many things we need to do to improve the health of the country. This ain’t it. https://t.co/Hb04PZE02Q",1877906633537245621,28,14,102,16,1,9593,,BornFitness
en,['1869026057489420435'],2024-12-17T14:25:11.000Z,1869026057489420435,"Even at 77, @Schwarzenegger is still putting in the reps. Heart surgery and all, he still completed 216 workouts!

The Pump app is something special. It truly is ""the positive corner of the internet."" https://t.co/KFpLrQNp4C",1869026057489420435,34,10,126,12,0,7201,,BornFitness
en,['1842275598657544537'],2024-10-04T18:48:25.000Z,1842275598657544537,"So proud of what we built…
And still so much to come! https://t.co/4PepiXr10V",1842275598657544537,32,17,129,27,2,14513,,BornFitness
en,['1829589416094146617'],2024-08-30T18:38:03.000Z,1829589416094146617,"Nick Saban (on Hard Knocks): ""I always stood behind the quarterback. I was never negative with him.""

[Everyone]: What a brilliant coach! This is why he's the GOAT.

@DeionSanders supporting the decision-making of @ShedeurSanders. 

[Everyone]: ""Daddy ball! He's the worst!""",1829589416094146617,27,17,79,27,0,8873,,BornFitness
en,['1818335616582529497'],2024-07-30T17:19:28.000Z,1818335616582529497,The positive corner of the internet is unlike anything I've seen in 20+ years. You have to experience it to believe it. https://t.co/Kq6JL3ADmx,1818335616582529497,28,14,124,25,2,11940,,BornFitness
en,['1792961665757032902'],2024-05-21T16:52:27.000Z,1792961665757032902,"I’ve never been more proud of a book
It’s different and the book people have loved most. 

It turns 1 this week and it’s 65% OFF. 

If you want a different approach to nutrition — without all the stress and anxiety, but with the results — this is it.

https://t.co/8K03ztJEvT",1792961658442445116,3,4,34,0,6,5599,151543746,BornFitness
en,['1792961663500681517'],2024-05-21T16:52:26.000Z,1792961663500681517,"But I didn’t care. 

I wrote my book.

You could call it, “The Psychology of Eating.”
We ended up calling it, “You Can’t Screw This Up.”",1792961658442445116,0,1,10,0,0,5296,151543746,BornFitness
en,['1792961660451168608'],2024-05-21T16:52:26.000Z,1792961660451168608,"Along the way, I realized I wanted to write another book. 

But it would be an uphill battle.

I wanted to discuss how most diets break people mentally and that leads them to fail physically. 

The problem: most publishers don’t want that book. 

They want the quick fix.",1792961658442445116,1,1,8,0,0,1899,151543746,BornFitness
en,['1792961658442445116'],2024-05-21T16:52:25.000Z,1792961658442445116,"11 years ago I wrote a New York Times bestseller.
And then I walked away. 

Behind that decision was a discomfort about the direction of wellness. 

A trend to push an extreme version of dieting, trading quick results for long-term failure and frustration. 

So I took a break.",1792961658442445116,26,23,150,25,9,49776,,BornFitness
en,['1776268018064011635'],2024-04-05T15:17:51.000Z,1776268018064011635,"Speaking with certainty about uncertain outcomes --- based on unproven principles -- is peak wellness BS. 

People struggle to eat well, sleep enough, move daily, and connect socially. This is where we must focus to truly help.

Instead, we give attention to biohacking bullshit. https://t.co/fl5fcd4Qgx",1776268018064011635,35,17,121,21,8,15606,,BornFitness
en,['1775925835783897545'],2024-04-04T16:38:09.000Z,1775925835783897545,Join the positive corner… https://t.co/CPvSRRveyE,1775925835783897545,20,14,104,11,0,6501,,BornFitness
