text,id,edit_history_tweet_ids,lang,created_at,conversation_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username,in_reply_to_user_id
My happy place 😁 https://t.co/YVwNqK8Cxq,2044135331503505814,['2044135331503505814'],en,2026-04-14T19:26:55.000Z,2044135331503505814,22461,8136,333959,1076,2661,11058561,Cristiano,
"Another step forward. Together as one, focused on what we want. Thank you to the fans for always being with us. 🟡🔵 https://t.co/4gvLmRoRq3",2043065840870793676,['2043065840870793676'],en,2026-04-11T20:37:09.000Z,2043065840870793676,28919,7875,330196,771,3076,25875859,Cristiano,
😉👍🏽 https://t.co/z9zXJKboTB,2042283847300071534,['2042283847300071534'],qme,2026-04-09T16:49:47.000Z,2042283847300071534,43663,20906,891766,6240,9683,55184517,Cristiano,
Putting in the work 🟡🔵 https://t.co/x7e36sU3a3,2041609412112990691,['2041609412112990691'],en,2026-04-07T20:09:49.000Z,2041609412112990691,20353,6618,288258,681,3203,42966973,Cristiano,
It’s good to be back 😁 We move forward together! https://t.co/N30Jy3ywE5,2040164040723353763,['2040164040723353763'],en,2026-04-03T20:26:26.000Z,2040164040723353763,33673,10463,438641,1296,3618,33704444,Cristiano,
Getting ready 💪🏽 https://t.co/QPy2o0yllp,2039797508851823002,['2039797508851823002'],en,2026-04-02T20:09:58.000Z,2039797508851823002,18936,7414,299721,694,2589,28486933,Cristiano,
⏳ https://t.co/2DFgsPIcYd,2039410194942198062,['2039410194942198062'],qme,2026-04-01T18:30:55.000Z,2039410194942198062,20911,7364,334214,746,2990,40278214,Cristiano,
"Mais de um século a elevar o futebol português e a inspirar milhões por todo o mundo. Orgulho em fazer parte deste caminho e em representar Portugal 🇵🇹⚽ Parabéns, FPF! https://t.co/mQv8iGzhFd",2038917148010037689,['2038917148010037689'],pt,2026-03-31T09:51:43.000Z,2038917148010037689,28521,8271,462119,1110,6158,37400245,Cristiano,
On the ball ⚽️ https://t.co/Q3wXDWvjA4,2037608661736923229,['2037608661736923229'],en,2026-03-27T19:12:16.000Z,2037608661736923229,22438,8739,368974,930,3514,37962462,Cristiano,
Amazing! Well done! 👏🏼 https://t.co/INvsNfocEp,2037251370407874889,['2037251370407874889'],en,2026-03-26T19:32:31.000Z,2037251370407874889,12657,4448,173225,304,1752,25064963,Cristiano,
Good to be back! 😎 Looking good 👍🏽 https://t.co/m5tYkyaldu,2037194244528468099,['2037194244528468099'],en,2026-03-26T15:45:31.000Z,2037194244528468099,39805,18077,752779,2467,6730,48086096,Cristiano,
Getting better every day 💪🏽 https://t.co/6z0WCE8yMg,2036039668571992427,['2036039668571992427'],en,2026-03-23T11:17:39.000Z,2036039668571992427,31368,14262,714240,2258,11191,78972979,Cristiano,
Eid Mubarak to all! 🌙 I hope you have a very special day with your family and loved ones. Wishing you all peace and happiness. https://t.co/pwmmOTBYlp,2034950130982351135,['2034950130982351135'],en,2026-03-20T11:08:13.000Z,2034950130982351135,113348,31446,1305708,5813,18528,80058462,Cristiano,
De onde venho e para quem vivo. Feliz Dia do Pai ❤️ https://t.co/hWMEdsfXUw,2034640138035183922,['2034640138035183922'],pt,2026-03-19T14:36:25.000Z,2034640138035183922,42904,9467,966846,1317,20027,80190910,Cristiano,
Lovely moments ♥️ https://t.co/BmosnRzxbM,2033911542773620899,['2033911542773620899'],en,2026-03-17T14:21:14.000Z,2033911542773620899,35905,14837,991434,1529,12565,54666355,Cristiano,
Proud of you! We keep moving forward! https://t.co/IaEa4nef84,2032932580681515077,['2032932580681515077'],en,2026-03-14T21:31:11.000Z,2032932580681515077,27022,8074,416941,669,4388,28202711,Cristiano,
"Recovering and ready to watch the game today. Let's go, Al Nassr! 🟡🔵 https://t.co/o7b9dD8MTN",2030286678066106643,['2030286678066106643'],en,2026-03-07T14:17:19.000Z,2030286678066106643,28893,14279,504760,1482,5802,40179745,Cristiano,
We keep growing together! Important win! https://t.co/hsRc9nQk5R,2027869458597867782,['2027869458597867782'],en,2026-02-28T22:12:09.000Z,2027869458597867782,22107,7935,350019,660,2238,19315302,Cristiano,
Keep it going! 🟡🔵 https://t.co/77YHvYk9KW,2026779058520961137,['2026779058520961137'],en,2026-02-25T21:59:17.000Z,2026779058520961137,23092,7674,334911,669,2383,30852487,Cristiano,
Back where we belong. Now back to work! 💪🏽 https://t.co/25cSiRvx3a,2025319584689975678,['2025319584689975678'],en,2026-02-21T21:19:52.000Z,2025319584689975678,32874,10339,396445,1148,4121,34001781,Cristiano,
We rise through hard work. 💪 https://t.co/7oozwGPyE0,2024953383778459909,['2024953383778459909'],en,2026-02-20T21:04:43.000Z,2024953383778459909,18748,7483,315750,784,2736,29899078,Cristiano,
"A new chapter for me and @Herbalife. 
The next era of wellness is Pro2col.

Find out more: https://t.co/3dzaR6DXXw

#Ad https://t.co/eLQv4eKyPQ",2024619335499628763,"['2024619166469103751', '2024619254448783778', '2024619335499628763']",en,2026-02-19T22:57:19.000Z,2024619335499628763,13331,6693,156036,665,2897,20433394,Cristiano,
Another step forward. Let’s keep going. 💪 https://t.co/KtMRegVANs,2022761219438850144,['2022761219438850144'],en,2026-02-14T19:53:50.000Z,2022761219438850144,25000,8112,349669,715,2741,28559836,Cristiano,
Locked in https://t.co/eEppx4EJFz,2022331339538850038,['2022331339538850038'],en,2026-02-13T15:25:39.000Z,2022331339538850038,23216,9283,419766,1288,4302,37090604,Cristiano,
✌🏽 https://t.co/2MKcbrESqd,2021140536980086972,['2021140536980086972'],qme,2026-02-10T08:33:49.000Z,2021140536980086972,43649,23685,746594,3921,8259,36054148,Cristiano,
💛💙 https://t.co/Pn4WaVrqcN,2019109299990171944,['2019109299990171944'],qme,2026-02-04T18:02:25.000Z,2019109299990171944,35441,23283,554654,3501,4503,25163227,Cristiano,
👍🏽 https://t.co/ETg6HCYNKG,2017979876829970864,['2017979876829970864'],qme,2026-02-01T15:14:29.000Z,2017979876829970864,34869,20022,804919,2573,6659,32802919,Cristiano,
RISING! https://t.co/8nPkFTUJsa,2017333494859301023,['2017333494859301023'],en,2026-01-30T20:26:00.000Z,2017333494859301023,19644,6479,332218,648,2488,24240619,Cristiano,
Almost time ⏳ https://t.co/PvftMiDScy,2016922412441337923,['2016922412441337923'],en,2026-01-29T17:12:30.000Z,2016922412441337923,22247,10175,519849,898,4243,23482745,Cristiano,
Feliz cumpleaños a la mujer de mi vida! ❤️ https://t.co/3FPisNMXM4,2016094420886528360,['2016094420886528360'],es,2026-01-27T10:22:21.000Z,2016094420886528360,34737,13743,936387,2551,11883,56139522,Cristiano,
Step by step. Full focus on our objective! 💪 https://t.co/IlnLNmwHdS,2015888529348239432,['2015888529348239432'],en,2026-01-26T20:44:13.000Z,2015888529348239432,17990,6270,331534,568,2808,28394510,Cristiano,
"Keep pushing, keep believing, keep fighting. 🟡🔵 https://t.co/pQlREgnlpO",2014067731599925586,['2014067731599925586'],en,2026-01-21T20:09:01.000Z,2014067731599925586,21305,8168,354398,956,3633,25735881,Cristiano,
Proud of this team. We did what we needed to do 💪⚽ Thank you to the fans for supporting us all the way! https://t.co/Il88Azf6Z2,2012624244748784120,['2012624244748784120'],en,2026-01-17T20:33:07.000Z,2012624244748784120,18224,7656,305757,677,3022,23300841,Cristiano,
💪🏽 https://t.co/cCbPZcy3bO,2012232035490726293,['2012232035490726293'],qme,2026-01-16T18:34:37.000Z,2012232035490726293,14910,5985,314065,521,3381,31753499,Cristiano,
Let’s go 🟡🔵 https://t.co/iEdhi3sbN8,2010429627307880784,['2010429627307880784'],en,2026-01-11T19:12:29.000Z,2010429627307880784,13834,6458,264848,595,3021,27096287,Cristiano,
This fight isn’t over. We keep working and we will rise together! https://t.co/5wzixHicoH,2009352117753086426,['2009352117753086426'],en,2026-01-08T19:50:51.000Z,2009352117753086426,16385,14483,305251,2585,3725,24093681,Cristiano,
Focused and ready. https://t.co/c9AbTKNRGI,2008538101027926265,['2008538101027926265'],en,2026-01-06T13:56:14.000Z,2008538101027926265,19021,8773,367503,850,4057,29152980,Cristiano,
