created_at,lang,text,edit_history_tweet_ids,conversation_id,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
2026-04-11T04:00:00.000Z,en,Subaru returns to Roswaal's mansion ✨ https://t.co/dySF01opZF,['2042814901756756335'],2042814901756756335,2042814901756756335,4,2,50,0,5,3704,,Crunchyroll
2026-04-11T04:00:00.000Z,en,"This week on THE ANIME EFFECT:

We’re reacting to the list of performers &amp; presenters at #AnimeAwards (it’s STACKED) 👀🏆🎤

WATCH: https://t.co/nSZE1eoEuw https://t.co/rdXO7ZlcQb",['2042814901702336516'],2042814901702336516,2042814901702336516,3,2,20,0,1,3239,,Crunchyroll
2026-04-11T02:00:00.000Z,en,"Yuru, these are your Daemons: Left and Right ↔️ https://t.co/3J70bd4Atm",['2042784702105293196'],2042784702105293196,2042784702105293196,48,5,512,1,33,20278,,Crunchyroll
2026-04-10T22:00:00.000Z,en,"The English dub of Agents of the Four Seasons Dance of Spring begins tomorrow! 💐t

Hinagiku - @CelezPerez_ 
Sakura - @marisaduran_ 

❄️ CAST &amp; CREW: https://t.co/RbeQJ4WefY https://t.co/P8bypQnQ9R",['2042724303225885081'],2042724303225885081,2042724303225885081,135,43,753,29,74,54010,,Crunchyroll
2026-04-10T19:00:02.000Z,en,Heard it was National Siblings Day... 🫶 (via Attack on Titan Final Season) https://t.co/WOzVVdc6sz,['2042679011134836797'],2042679011134836797,2042679011134836797,164,12,1514,27,55,53978,,Crunchyroll
2026-04-10T16:00:01.000Z,en,Cosplay is definitely magic! ✨ Share your Witch Hat Atelier cosplay with us in the replies 💕 We want to see it ALL! https://t.co/C5m2gRY48a,['2042633709833077062'],2042633709833077062,2042633709833077062,65,26,987,1,47,49260,,Crunchyroll
2026-04-10T14:30:27.000Z,en,Who's excited about the continuation of Wistoria: Wand and Sword? Season 2 starts April 12! ✨ https://t.co/AYHXH2u0xP,['2042611172138950770'],2042611172138950770,2042611172138950770,101,25,1189,10,43,36795,,Crunchyroll
2026-04-10T04:00:00.000Z,en,"""Domain Expansion!"" (via @Jujutsu_Kaisen_) https://t.co/JgTHtiDIU9",['2042452513152966750'],2042452513152966750,2042452513152966750,446,16,6866,11,230,137302,,Crunchyroll
2026-04-10T02:00:00.000Z,en,"They just wanna protect his smile.

The smile in question… https://t.co/VIG8Zz1bvL",['2042422312880799882'],2042422312880799882,2042422312880799882,35,6,464,0,15,33074,,Crunchyroll
2026-04-10T00:00:02.000Z,en,Is this person really Asa? 🏹⛓️‍💥 https://t.co/CSBIg4Dvxo,['2042392123345920387'],2042392123345920387,2042392123345920387,57,13,629,4,33,37079,,Crunchyroll
2026-04-09T22:00:01.000Z,en,Gabimaru didn't survive the island to be forgotten. Hell's Paradise SEASON 2 x @deafheavenband. Dub finale April 12 on Crunchyroll. https://t.co/pmek6B1Wu0,['2042361917952385071'],2042361917952385071,2042361917952385071,75,11,635,4,49,51142,,Crunchyroll
