conversation_id,created_at,lang,text,in_reply_to_user_id,id,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
2028491531292750059,2026-03-02T15:24:04.000Z,fr,"➡️ Jusqu’à 12h de protection
➡️ Capacité d’absorption équivalente à 2 tampons
➡️ 1 poche zippée dans le dos
➡️ Matière ultra légère (111g)

💶 49,99€ https://t.co/ksOw13b7d7",126267113,2028491535289823633,['2028491535289823633'],0,1,5,0,0,6025,Decathlon
2028491531292750059,2026-03-02T15:24:03.000Z,fr,"Kiprun s’associe à SMOON et @MarineLorphelin 
pour proposer une solution pensée pour la pratique sportive🏃‍♀️ 

Découvrez notre premier short menstruel, intégrant l’expertise textile SMOON, au service du running.

👉 https://t.co/QbZJWGIRgE https://t.co/KqGu1M22fz",,2028491531292750059,['2028491531292750059'],6,11,46,1,4,16049,Decathlon
2005635299695644790,2025-12-29T13:41:33.000Z,fr,C’est quoi la performance sportive de 2025 dont vous êtes le plus fier.e ? 🙌,,2005635299695644790,['2005635299695644790'],0,21,3,4,0,18195,Decathlon
2000861335903461554,2025-12-16T09:31:31.000Z,fr,"Aujourd’hui, on vous aide à trouver vos cadeaux de Noël 🎁

Donnez-nous des infos sur la personne concernée (budget, sport, niveau, âge, etc.) et on vous propose quelques idées de produits qui pourraient lui plaire.",,2000861335903461554,['2000861335903461554'],1,15,5,2,0,15814,Decathlon
1993696190001508691,2025-11-26T14:59:47.000Z,fr,"En 2026, l’astronaute française Sophie Adenot (ESA) testera à bord de l’ISS Eurosuit, le premier prototype de combinaison spatiale intra-véhiculaire, développé par nos équipes, en collaboration avec le CNES, Spartan Space et MEDES. 🚀

Sophie Adenot validera l’ergonomie de ce https://t.co/wB65f8z2aA",,1993696190001508691,['1993696190001508691'],126,43,1302,14,65,79620,Decathlon
1985655155904201056,2025-11-04T10:27:35.000Z,fr,La carrière du coach @AntoGriezmann sur Football Manager se porte toujours bien 😌 https://t.co/SY9feQJX57,,1985655155904201056,"['1985654978980049202', '1985655088342319118', '1985655155904201056']",37,44,445,10,64,81836,Decathlon
1982056858048495743,2025-10-25T12:09:14.000Z,fr,"L’art du tacle, par @AntoGriezmann 🥰 https://t.co/D9mJ4e46uu",,1982056858048495743,['1982056858048495743'],6,4,30,0,4,11526,Decathlon
1981360575973380430,2025-10-23T14:02:27.000Z,fr,"Le jeu s’appelle Sports Camp, et c’est dispo dès maintenant sur Nintendo Switch ! https://t.co/p8bBn1X6VF https://t.co/2gil0xaCAr",,1981360575973380430,['1981360575973380430'],34,32,401,29,44,94593,Decathlon
1981297288958947379,2025-10-23T09:50:59.000Z,fr,À 16h on sort un jeu sur Switch.,,1981297288958947379,['1981297288958947379'],4,9,263,5,13,165551,Decathlon
1980929181644210293,2025-10-22T09:28:15.000Z,fr,"Pour vous, c'est quoi le sport le plus DIFFICILE ? 😮‍💨",,1980929181644210293,['1980929181644210293'],1,58,9,5,2,28441,Decathlon
1975493667386499135,2025-10-07T09:29:27.000Z,fr,"Mettez-vous en mouvement ⚡️

La collection Lifetech est disponible sur https://t.co/Mmh3KTBAPY. https://t.co/PZGXnRPLTV",,1975493667386499135,['1975493667386499135'],2,12,20,1,2,15545,Decathlon
1973685733362934105,2025-10-02T09:45:22.000Z,fr,"L’équipe, vous écoutez quoi comme musique quand vous faites du sport ?",,1973685733362934105,['1973685733362934105'],0,10,5,0,1,12597,Decathlon
1967527481348608188,2025-09-15T09:54:41.000Z,en,PLUS FORT JIMMY 🗣️ https://t.co/3R2CEs7UFf,,1967527481348608188,"['1967527088162066488', '1967527481348608188']",7,12,91,2,3,10149,Decathlon
1965418486236405983,2025-09-09T14:14:17.000Z,fr,Ça dit quoi l’équipe ? Vous avez fait du sport pendant les vacances ?,,1965418486236405983,['1965418486236405983'],0,21,9,1,0,9885,Decathlon
1952726508428042710,2025-08-05T13:40:54.000Z,fr,"On est partis faire les courses avec Teddy Riner 😌
@unseensamy @teddyriner https://t.co/6eUWSr5rMw",,1952726508428042710,['1952726508428042710'],6,21,20,1,2,9468,Decathlon
1932800774301421708,2025-06-11T14:03:08.000Z,fr,"Le ballon officiel de la saison 2025/2026 de l’@europaleague est bien arrivé à Istanbul ⚽🔥
 
Chaque courbe de ce ballon raconte une histoire : des buteurs à la dernière seconde aux gardiens qui deviennent des héros. 

Ce n’est pas qu’un ballon, c’est tout ce qu’on ressent https://t.co/4qZHdWFtjh",,1932800774301421708,['1932800774301421708'],2,16,25,0,3,9812,Decathlon
1929802425814180284,2025-06-03T07:28:58.000Z,fr,"Et si vous souhaitez en découvrir plus, on vous laisse aller checker ça ⬇️
🔗 https://t.co/N5IhRFpzdk",126267113,1929802475462123720,['1929802475462123720'],0,2,1,0,0,5674,Decathlon
1929802425814180284,2025-06-03T07:28:57.000Z,fr,Il y a aussi quelques accessoires… https://t.co/bxM8Ud0AHK,126267113,1929802471603364123,['1929802471603364123'],0,1,8,1,2,6794,Decathlon
1929802425814180284,2025-06-03T07:28:55.000Z,fr,"Deux ensembles avec un polo et un short, disponibles en bleu et blanc 

Le polo 
💶 24,99€ 
https://t.co/k7hVqh6ycU

Le short 
💶 19,99€
https://t.co/crfT7IwPeS https://t.co/DfmZGh2mXY",126267113,1929802462535245966,['1929802462535245966'],3,1,1,0,1,1219,Decathlon
1929802425814180284,2025-06-03T07:28:53.000Z,fr,"Deux paires de chaussures, disponibles en bleu ou marron du 36 au 47

💶 64,99€
https://t.co/uYpVq7rOCC https://t.co/PfxaSmpXBc",126267113,1929802452942893391,['1929802452942893391'],0,2,2,0,1,650,Decathlon
1929802425814180284,2025-06-03T07:28:51.000Z,es,"La combinaison verte 🟢

💶 44,99€  
https://t.co/vHCujCoTtC https://t.co/RAEY9PFWNm",126267113,1929802444176756784,['1929802444176756784'],0,1,0,0,0,573,Decathlon
1929802425814180284,2025-06-03T07:28:49.000Z,fr,"L’ensemble marron 🟤

La veste 
💶 34,99€ 
https://t.co/qW8g7KzYLI

Le pantalon 
💶 24,99€  
https://t.co/n7g9QeEiK2 https://t.co/KQCKWGQq4O",126267113,1929802434676654101,['1929802434676654101'],0,1,1,0,4,792,Decathlon
1929802425814180284,2025-06-03T07:28:46.000Z,fr,"🚨Notre nouvelle collection Late Bloomers est disponible 🎾 

🔗 https://t.co/N5IhRFpzdk

On vous laisse découvrir quelques articles de la collection ⬇️ https://t.co/YtXoCaEELP",,1929802425814180284,['1929802425814180284'],6,8,18,1,4,9721,Decathlon
1923317504551616651,2025-05-16T10:26:08.000Z,fr,Le ballon en détails ​✨ https://t.co/kaYt7l5YCp,126267113,1923324078443700326,['1923324078443700326'],1,1,8,0,2,6266,Decathlon
1923317504551616651,2025-05-16T10:00:01.000Z,fr,"La route vers l'élite passe par lui ⚡

Le ballon de la @Ligue2BKT pour la saison 2025-2026 est là ⚽ https://t.co/S70lx6iWxV",,1923317504551616651,['1923317504551616651'],3,7,16,0,3,8394,Decathlon
1923302404554215531,2025-05-16T09:32:30.000Z,en,Focus sur le ballon 🎯 https://t.co/BukDPP2xJH,126267113,1923310579126620614,['1923310579126620614'],3,0,12,1,1,5656,Decathlon
1923302404554215531,2025-05-16T09:00:01.000Z,fr,"Nouveau design, même passion 🔥​​

Découvrez le ballon de la @Ligue1 McDonald's pour la saison 2025-2026 ​​⚽ https://t.co/hU1uWvnnJK",,1923302404554215531,['1923302404554215531'],17,10,142,4,3,16175,Decathlon
1897565489032802389,2025-03-06T08:30:42.000Z,zxx,https://t.co/jbeKgxd12w https://t.co/PQ7y2uQzJh,,1897565489032802389,['1897565489032802389'],132,21,3964,0,11,138916,Decathlon
1897270878162792794,2025-03-05T13:00:01.000Z,fr,"🚨 TRADE ALERT 🚨

Alexandre Sarr rejoint officiellement Decathlon et portera désormais nos chaussures sur les parquets de NBA 🔥

Bienvenue Alex 🤝 https://t.co/sM4DXfX1Lk",,1897270878162792794,['1897270878162792794'],394,37,6205,56,39,545953,Decathlon
1882775132504232056,2025-01-24T12:59:06.000Z,fr,"🚨 ALERTE SIGNATURE 🚨

C'est officiel, @AntoGriezmann rejoint Decathlon !

Bienvenue à la maison Antoine 🤝💙 https://t.co/ck0zgeEnu0",,1882775132504232056,['1882775132504232056'],842,154,12664,194,84,4402780,Decathlon
1881381586463342648,2025-01-20T16:41:39.000Z,fr,"Nouveau coloris pour notre RR2K : le bleu monochrome 🔵

C’est dispo dès maintenant, du 37 au 46, en exclusivité sur l’application Decathlon. 

https://t.co/VjAMX887Av https://t.co/pg3Vp48TUi",,1881381586463342648,['1881381586463342648'],7,13,69,3,7,30662,Decathlon
1878006474909069386,2025-01-11T09:10:09.000Z,fr,"Notre marque Kiprun accompagnera Jimmy Gressier en tant qu’équipementier jusqu’en 2028 ✍️

Bienvenue dans l’équipe Jimmy ! https://t.co/4MoHPSgjvO",,1878006474909069386,['1878006474909069386'],24,12,161,5,0,52145,Decathlon
1859164656553582881,2024-11-20T09:19:30.000Z,fr,"À l’occasion de la journée internationale des droits de l’enfant, Decathlon se met aux couleurs des Défenseurs de l’Enfance pour marquer son soutien à @la_CNAPE

#DéfenseursEnfance #JouonsLaCollectif https://t.co/d5PgQO6Vgx",,1859164656553582881,['1859164656553582881'],3,12,22,1,1,16396,Decathlon
1835592168704020513,2024-09-16T08:10:51.000Z,fr,"Le maillot gris est en dispo ✌️

&gt; https://t.co/n9cHdY9JCw https://t.co/qS8m19lAIP",,1835592168704020513,['1835592168704020513'],3,11,11,1,1,21495,Decathlon
1834134323626197313,2024-09-12T08:13:17.000Z,fr,"Pour celles et ceux qui cherchent le maillot et le cycliste : petit retard de livraison, ça arrive en ligne d'ici 2 jours ⏳",126267113,1834143231044358262,['1834143231044358262'],0,16,10,1,2,11764,Decathlon
1834134323626197313,2024-09-12T07:37:53.000Z,fr,"AFLF : une collection inspirée de nos archives des années 90 📁  

Dispo dès maintenant sur https://t.co/Mmh3KTB30q ! https://t.co/w1Hgq0Ke1m",,1834134323626197313,['1834134323626197313'],9,24,70,14,11,52187,Decathlon
1833884638185500749,2024-09-11T15:05:54.000Z,fr,"Et enfin, quelques accessoires : un sac de sport, 2 paires de chaussettes (vendues ensemble), un bonnet et une gourde. https://t.co/TAxujzr0hx",126267113,1833884681923654076,['1833884681923654076'],0,0,7,0,1,15389,Decathlon
1833884638185500749,2024-09-11T15:05:52.000Z,fr,"Deux sweats crewneck en rouge corail ou en bleu, un jersey gris et un short/cycliste.
Dispos aussi du XS au 2XL.

Sweat : 25€
Jersey : 30€
Cycliste : 15€ https://t.co/u6pFbYWDfR",126267113,1833884672201289963,['1833884672201289963'],1,5,14,1,2,19066,Decathlon
1833884638185500749,2024-09-11T15:05:50.000Z,fr,"Une paire de baskets, dispo du 37 au 46 : la RR2K.

👟 : 75€ https://t.co/4UoZZRMj0E",126267113,1833884663670092175,['1833884663670092175'],0,2,10,0,6,9091,Decathlon
1833884638185500749,2024-09-11T15:05:48.000Z,fr,"Deux tee-shirts dispos en blanc ou vert, également du XS au 2XL.

👕 : 15€ https://t.co/4FaQhcrkws",126267113,1833884654278951000,['1833884654278951000'],2,1,6,0,2,6126,Decathlon
1833884638185500749,2024-09-11T15:05:46.000Z,fr,"Deux ensembles disponibles en vert et bleu/gris, du XS au 2XL.

Veste : 35€
Bas : 30€ https://t.co/xhP6SRWUkZ",126267113,1833884646532120709,['1833884646532120709'],0,1,7,0,3,4464,Decathlon
1833884638185500749,2024-09-11T15:05:44.000Z,fr,"AFLF : ça sort demain 📂

🔗 : https://t.co/oH7ocWkAoX

On vous laisse découvrir tous les produits de la collection 👇 https://t.co/6foqnXVuuo",,1833884638185500749,['1833884638185500749'],9,7,107,7,40,65057,Decathlon
1832725965316796421,2024-09-08T10:21:35.000Z,fr,"UNE NOUVELLE MÉDAILLE PARALYMPIQUE 🥈

Après Tokyo, Nélia Barbosa décroche de nouveau l'argent en para canoë KL3 🔥

Bravo Nélia 👏 https://t.co/zHsjO2JM4B",,1832725965316796421,['1832725965316796421'],2,1,10,0,0,9259,Decathlon
1830244183732527272,2024-09-01T13:59:52.000Z,fr,"CHAMPIONNE PARALYMPIQUE 🥇 

Après une course exceptionnelle, Marie Patouillet remporte l’or en poursuite individuelle sur 3000m, catégorie C5 🔥 

C’est sa deuxième médaille aux Jeux de Paris 2024, après l’argent décroché lors du contre-la-montre 🚴

BRAVO ET MERCI MARIE 👏 https://t.co/rKg0GiF8j8",,1830244183732527272,['1830244183732527272'],4,3,33,0,0,8631,Decathlon
1829160080123801936,2024-08-29T14:12:01.000Z,fr,"LA PREMIÈRE MÉDAILLE FRANÇAISE EST POUR MARIE PATOUILLET 🥈

Notre para cycliste décroche une superbe médaille d'argent en finale du contre-la-montre 500m C4-5🔥

Bravo Marie 🙌 https://t.co/zCvwCtfIii",,1829160080123801936,['1829160080123801936'],3,3,52,0,0,8601,Decathlon
1828717312393805930,2024-08-28T08:52:42.000Z,fr,"Parée de bronze à Tokyo et double championne du monde en titre de para cyclisme sur piste, Marie Patouillet veut terminer sa carrière en apothéose à Paris 🚴 https://t.co/vDPXGMBubU",126267113,1828717333625340012,['1828717333625340012'],1,1,9,0,0,6080,Decathlon
1828717312393805930,2024-08-28T08:52:42.000Z,fr,Roza Kozakowska a marqué l'histoire du sport polonais en devenant championne paralympique de lancer de massue dans la catégorie F32 (paralysie cérébrale) à Tokyo. Elle n'a qu'un objectif : réaliser le doublé à Paris 🔥 https://t.co/80LV4tIe91,126267113,1828717331104534653,['1828717331104534653'],0,2,7,0,0,6103,Decathlon
1828717312393805930,2024-08-28T08:52:41.000Z,fr,"À Paris, Dimitri Jozwicki va connaître sa deuxième paralympiade. Il rêve de médaille à domicile sur 100 mètres, dans la catégorie T38 ⚡️ https://t.co/9MBrBNZLHP",126267113,1828717328030159282,['1828717328030159282'],0,1,4,0,0,463,Decathlon
1828717312393805930,2024-08-28T08:52:40.000Z,fr,"Privé d'un de ses tendons d'Achille après un accident de football en 2018, Matthieu Jagu s'est lancé le défi fou de participer aux Jeux Paralympiques de Paris 2024 avec l'équipe de France de volley assis. Mission accomplie, et rendez-vous demain pour son premier match 🏐 https://t.co/59qtLfM7q6",126267113,1828717325257740524,['1828717325257740524'],0,1,3,0,0,498,Decathlon
1828717312393805930,2024-08-28T08:52:40.000Z,fr,"Capitaine de l'équipe de France de rugby-fauteuil, Jonathan Hivernat voudra mener ses coéquipiers à la victoire durant ces Jeux 🇫🇷 https://t.co/KrnTAnEQpE",126267113,1828717322887946676,['1828717322887946676'],0,1,3,0,0,302,Decathlon
1828717312393805930,2024-08-28T08:52:39.000Z,fr,"Trois ans après avoir décroché le bronze à Tokyo, Lucas Créange rêve d'or en para tennis de table devant son public 🏓 https://t.co/0s0Q1kRkuX",126267113,1828717320304292030,['1828717320304292030'],0,1,3,0,0,396,Decathlon
1828717312393805930,2024-08-28T08:52:39.000Z,fr,"Après l'argent en 2021, Nélia Barbosa vise la plus haute marche du podium à Paris. Rendez-vous le 8 septembre pour sa compétition de para canoë 🫡 https://t.co/KyighCJHsr",126267113,1828717317938717064,['1828717317938717064'],0,1,4,0,0,297,Decathlon
1828717312393805930,2024-08-28T08:52:38.000Z,fr,"Ce soir, Nantenin Keïta sera notre porte-drapeau lors de la cérémonie d'ouverture 🇫🇷
Elle participera ensuite aux 100 et 400 mètres dans la catégorie T13, réservée aux personnes atteintes de déficience visuelle 🏃‍♀️ https://t.co/IFR9CTWUxv",126267113,1828717315241710061,['1828717315241710061'],0,1,3,0,0,280,Decathlon
