text,created_at,edit_history_tweet_ids,id,lang,conversation_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
"LARGEST 36-HOLE LEAD IN MASTERS HISTORY‼️

Reigning Masters champ Rory McIlroy takes a 6-shot lead into the weekend after firing a 65 on Friday. https://t.co/Squ4qm6I8c",2026-04-10T23:02:21.000Z,['2042739992984739968'],2042739992984739968,en,2042739992984739968,644,109,8303,86,119,410248,,espn
"RORY IS ROARING 🔥

He chips in on 17 for his THIRD straight birdie to improve to -11 👏 https://t.co/bctY5GHPIn",2026-04-10T22:44:40.000Z,['2042735545734799537'],2042735545734799537,en,2042735545734799537,230,48,4490,33,86,340819,,espn
AKSHAY BHATIA HOLES OUT FROM THE BUNKER TO GET UNDER THE PROJECTED CUT LINE 😱 https://t.co/xMpNIK2nGE,2026-04-10T22:05:05.000Z,['2042725583436603435'],2042725583436603435,en,2042725583436603435,76,51,3851,7,70,427370,,espn
@AdamSchefter Get breaking news alerts from Adam Schefter through the ESPN App: https://t.co/Hjq6YDZRaO,2026-04-10T20:42:28.000Z,['2042704793072734514'],2042704793072734514,en,2042704688034848856,4,0,20,0,0,93047,2557521,espn
"Breaking: The Green Bay Packers are trading wide receiver Dontayvion Wicks to the Philadelphia Eagles in exchange for a 2026 fifth-round pick and a 2027 sixth-round pick, sources tell @adamschefter

Wicks will sign a one-year, $12.5 million extension, per his agent. https://t.co/ctDyU67iUm",2026-04-10T20:42:03.000Z,['2042704688034848856'],2042704688034848856,en,2042704688034848856,154,74,1222,44,24,255045,,espn
"Three-time WNBA All-Star Kelsey Mitchell is finalizing a one-year, $1.4M supermax deal to return to the Indiana Fever, a source tells @chiney.  https://t.co/KRYsCeo3IB",2026-04-10T19:49:41.000Z,['2042691509363810797'],2042691509363810797,en,2042691509363810797,131,55,1212,18,17,244365,,espn
Watch the conclusion of the second round of the Masters on ESPN and the ESPN App ⛳️ https://t.co/LtdemCSgJK,2026-04-10T19:02:39.000Z,['2042679671767097373'],2042679671767097373,en,2042678665939410996,4,4,22,0,1,175070,2557521,espn
"Three birdies in the first four holes for Rory McIlroy‼️

He extends his lead at the Masters 👀 https://t.co/pfQqv4ujSQ",2026-04-10T18:58:39.000Z,['2042678665939410996'],2042678665939410996,en,2042678665939410996,78,43,1344,13,23,171943,,espn
"Four-time WNBA All-Star Arike Ogunbowale is signing a seven-figure, multi-year deal to return to the Dallas Wings, sources told @alexaphilippou.

Ogunbowale was cored by the Wings earlier this week, making her eligible for the $1.4 million supermax in 2026, but she is taking less https://t.co/gscZ9AC9aA",2026-04-10T18:43:18.000Z,['2042674803853692940'],2042674803853692940,en,2042674803853692940,325,107,2625,62,49,247630,,espn
"Jordan Spieth's tee shot ended up in the fairway after it bounced off a patron 😳

Spieth went to check on him and gave him a signed glove 🤝 https://t.co/i42qPCJymA",2026-04-10T16:43:52.000Z,['2042644746833702982'],2042644746833702982,en,2042644746833702982,156,67,3633,22,106,480287,,espn
