text,lang,id,conversation_id,created_at,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
Plateworthy host Nyesha Arrington takes viewers on a tour of casual and upscale San Francisco eateries https://t.co/IATe8LG49h,en,2043772471032328287,2043772471032328287,2026-04-13T19:25:03.000Z,['2043772471032328287'],0,0,0,0,0,1207,Eater
The guide announced that it’s expanding to cover six cities in the Great Lakes region https://t.co/V3nlkZB7kB,en,2041937037352431939,2041937037352431939,2026-04-08T17:51:41.000Z,['2041937037352431939'],1,0,2,0,0,2385,Eater
"With Korean cuisine on the rise in the United States, gimbap is ready for the spotlight (and no, it’s not sushi) https://t.co/KPavTTI9t7",en,2041502817891021040,2041502817891021040,2026-04-07T13:06:15.000Z,['2041502817891021040'],0,0,21,1,1,3117,Eater
"In an era of $20+ Martinis, here’s how The Radicle keeps Its cocktail prices at just $10. https://t.co/0Yd58Lvxsn",en,2041200271741899037,2041200271741899037,2026-04-06T17:04:03.000Z,['2041200271741899037'],0,1,3,0,3,2905,Eater
"The newly opened The Radicle serves pizza, thoughtful seafood dishes, and better bar food https://t.co/MkOxq1RDBN",en,2041185161698853226,2041185161698853226,2026-04-06T16:04:00.000Z,['2041185161698853226'],0,1,15,0,0,2718,Eater
Because the second best part of getting married is getting to ask for stuff https://t.co/AgQ9kKgxIG,en,2039081034776801685,2039081034776801685,2026-03-31T20:42:57.000Z,['2039081034776801685'],0,0,5,0,0,2164,Eater
See the full list of this year’s nominees https://t.co/aOWudp3dwA,en,2038999795076083996,2038999795076083996,2026-03-31T15:20:08.000Z,['2038999795076083996'],0,0,1,0,0,1899,Eater
"A last-minute bottle of wine feels boring compared to a pickle crock, pasta-water-scented candle, or whole ham leg https://t.co/Se0Vw64hKj",en,2037169170287403115,2037169170287403115,2026-03-26T14:05:53.000Z,['2037169170287403115'],0,0,2,0,1,2328,Eater
"Where to eat in Rome, including the best pizza, pasta, wine bars, and more https://t.co/5x7JZM2RHv",en,2037153810301554793,2037153810301554793,2026-03-26T13:04:51.000Z,['2037153810301554793'],1,0,18,1,15,3199,Eater
"Eric Ripert, Mei Lin, Mashama Bailey, Dan Pelosi, and more share restaurant lists on the Eater app https://t.co/UNEaT6Y6HL",en,2036910611955933533,2036910611955933533,2026-03-25T20:58:28.000Z,['2036910611955933533'],0,1,1,0,0,2103,Eater
It’s easier than ever to find trusted restaurant recommendations from our team https://t.co/GsFD3vgkbP,en,2036488524346867716,2036488524346867716,2026-03-24T17:01:14.000Z,['2036488524346867716'],0,0,2,0,0,1800,Eater
"New app, same trusted restaurant recommendations. Find your next great meal → https://t.co/FJDLcAFk2d 

Available on iOS. Supported by @Grubhub https://t.co/nrrp7aqVQB",en,2036473170765783236,2036473170765783236,2026-03-24T16:00:14.000Z,['2036473170765783236'],1,0,0,0,0,1477,Eater
"Eric Ripert, Mei Lin, Mashama Bailey, Dan Pelosi, and more share restaurant lists on the Eater app https://t.co/UNEaT6Y6HL",en,2036443950328979843,2036443950328979843,2026-03-24T14:04:07.000Z,['2036443950328979843'],0,0,2,0,1,1940,Eater
Towering extra-thick pancakes — single or in pairs — are replacing the classic diner-style stack https://t.co/lq4FOsdyF9,en,2036428589126803552,2036428589126803552,2026-03-24T13:03:05.000Z,['2036428589126803552'],2,0,3,0,4,2316,Eater
The season’s new releases include a bounty of exciting culinary memoirs and a fast-paced history of French cuisine https://t.co/9kXdsSm2Rj,en,2034616385226383782,2034616385226383782,2026-03-19T13:02:02.000Z,['2034616385226383782'],0,0,2,0,3,2187,Eater
"Timothée Chalamet probably doesn’t know The Grand Tier has espresso martinis on tap — but now, I do https://t.co/wquv6nS0XR",en,2034341459835674899,2034341459835674899,2026-03-18T18:49:34.000Z,['2034341459835674899'],1,1,1,0,0,2257,Eater
"If you think Chicago and Detroit have the only great pizza in the Midwest, Columbus residents would like a word https://t.co/nFBNND8Ir7",en,2033929657155023207,2033929657155023207,2026-03-17T15:33:13.000Z,['2033929657155023207'],0,0,2,0,2,2221,Eater
"This season’s releases feature a guide to barbecue, a loving ode to Laos, a tour of the United States through its regional dishes, and more https://t.co/7ZXLFmESca",en,2033891653673697473,2033891653673697473,2026-03-17T13:02:12.000Z,['2033891653673697473'],0,0,2,0,4,1943,Eater
"One White Street is known for a classic double-patty burger, but the sustainably-focused kitchen is also serving flavorful lamb necks and comforting duck dishes https://t.co/65qYmHPueF",en,2033608606730621081,2033608606730621081,2026-03-16T18:17:29.000Z,['2033608606730621081'],0,0,2,1,2,2704,Eater
"Eaterland is chock-full of recipes, observations from chefs, and essays about local ingredients and traditions. https://t.co/Ldo4KHRR79",en,2033545650110070789,2033545650110070789,2026-03-16T14:07:19.000Z,['2033545650110070789'],0,0,2,0,3,1990,Eater
The hit show offers a glimpse into the late couple’s favorite restaurants and a pre-Y2K era of dining in New York City https://t.co/ReKS0e3weC,en,2032555753396113883,2032555753396113883,2026-03-13T20:33:49.000Z,['2032555753396113883'],1,1,13,0,3,3517,Eater
"The best food in OKC, from a classic James Beard-winning soul food spot to an upscale Korean steakhouse https://t.co/UoAEHgVwwp",en,2031834892078899711,2031834892078899711,2026-03-11T20:49:22.000Z,['2031834892078899711'],0,0,12,0,2,2606,Eater
"The restaurants and bars that make Ohio’s Gem City special, according to a longtime local food and beer expert https://t.co/N2XlVo7WF5",en,2031819783768072519,2031819783768072519,2026-03-11T19:49:20.000Z,['2031819783768072519'],1,0,9,0,0,2512,Eater
"From soul food to tacos, a local food and travel expert shares his list of Indy’s best restaurants, bars, and bakeries https://t.co/uqnwbhFO99",en,2031804674056368590,2031804674056368590,2026-03-11T18:49:18.000Z,['2031804674056368590'],0,0,3,0,1,2258,Eater
"Comforting khao soi, punchy ceviches, the best crab cake of all time, and more of STL’s best meals https://t.co/caWWCJoMuu",en,2031789497093144918,2031789497093144918,2026-03-11T17:48:59.000Z,['2031789497093144918'],0,2,14,0,0,2469,Eater
"The best bites in Buffalo, which go well beyond wings, include seasonal small bites, fried seafood, and classic meaty sandwiches https://t.co/XipcJ5b21G",en,2031774387247157602,2031774387247157602,2026-03-11T16:48:57.000Z,['2031774387247157602'],0,0,3,0,1,1882,Eater
"St. Louis has long had an inordinate preoccupation with food and drink. Through sheer audacity and Midwestern grit, the STL culinary community has kept pace with Goliath competitors thanks to some especially strong openings in recent years. The city has never doubted it could,",en,2031759254261207222,2031759254261207222,2026-03-11T15:48:49.000Z,['2031759254261207222'],0,1,2,0,0,2566,Eater
Vital updates from the food world delivered straight to your inbox https://t.co/EpMm69YnBy,en,2031744145371615730,2031744145371615730,2026-03-11T14:48:46.000Z,['2031744145371615730'],1,1,2,0,0,2971,Eater
Vital updates from the food world delivered straight to your inbox https://t.co/4UHxwPBU1V,en,2031728735792386406,2031728735792386406,2026-03-11T13:47:32.000Z,['2031728735792386406'],0,0,10,0,1,2554,Eater
"A crispy fish and chips special, charred cabbage dish, and broiled oysters showcase local ingredients at Rory’s Place https://t.co/OhluMVtJHF",en,2031039485216190566,2031039485216190566,2026-03-09T16:08:42.000Z,['2031039485216190566'],0,1,1,0,0,2201,Eater
"La Sirena, an offshoot of Southern California’s Michelin-starred Taco María, is worth a trip up the Door Peninsula https://t.co/YfIQ54qoAw",en,2030011662133252394,2030011662133252394,2026-03-06T20:04:30.000Z,['2030011662133252394'],1,0,3,0,0,2461,Eater
"In a former service station at the edge of Marfa, chef Michael Serva surprises with Italian sandwiches and fresh pasta https://t.co/Bgo5NO0Cb4",en,2029996550181834767,2029996550181834767,2026-03-06T19:04:27.000Z,['2029996550181834767'],1,0,1,0,0,2001,Eater
Hama Hama offers the ultimate farm-to-table experience just outside Seattle https://t.co/v1TcU0IoFB,en,2029981642224452073,2029981642224452073,2026-03-06T18:05:13.000Z,['2029981642224452073'],10,3,20,0,1,1921,Eater
"Whether you take the scenic route along the PCH or cut inland, the routes between SF and LA are full of great pit stops https://t.co/MeF7KWEiR5",en,2029966280858685675,2029966280858685675,2026-03-06T17:04:10.000Z,['2029966280858685675'],3,0,2,0,1,1866,Eater
The Hudson Valley’s Stissing House brings travelers back to the sleepy hamlet of Pine Plains https://t.co/xAPoR5r3uj,en,2029951170610090089,2029951170610090089,2026-03-06T16:04:08.000Z,['2029951170610090089'],1,1,3,0,0,1840,Eater
Michelin-starred Bell’s in Los Alamos is worth the journey from LA or SF https://t.co/LdSBYYjcab,en,2029936061011620124,2029936061011620124,2026-03-06T15:04:05.000Z,['2029936061011620124'],2,1,2,0,0,1868,Eater
Sqirl revolutionized daytime dining in LA before it fell from grace. Now it’s back in the conversation with a new dinner menu. https://t.co/3hcKuzPd2C,en,2029599498230796422,2029599498230796422,2026-03-05T16:46:43.000Z,['2029599498230796422'],0,2,7,0,1,1890,Eater
"How to make the most of a weekend in a city with countless cultural layers and seemingly infinite, impressive dining options https://t.co/uwws7ktGpD",en,2029573341636677862,2029573341636677862,2026-03-05T15:02:46.000Z,['2029573341636677862'],1,0,2,0,0,1672,Eater
"As Alamo Drafthouse ends its traditional table service, a new wave of dine-in cinemas offers a more luxe experience https://t.co/evfyQ2B4bT",en,2029286240676422070,2029286240676422070,2026-03-04T20:01:56.000Z,['2029286240676422070'],0,1,3,0,2,2176,Eater
"Pull up a chair — you’re invited to Dinner Party, presented by Capital One in partnership with Eater. https://t.co/PVgaLTT37t",en,2029270881051246806,2029270881051246806,2026-03-04T19:00:54.000Z,['2029270881051246806'],0,0,0,0,0,1969,Eater
"The Bavarian capital is a cultural powerhouse offering modern small plates spots, historic taverns, and plenty of things to do in between https://t.co/VWqO1VzMas",en,2028864414536122713,2028864414536122713,2026-03-03T16:05:45.000Z,['2028864414536122713'],3,4,8,0,0,1806,Eater
"No longer just a stopover between the airport and the islands, Athens sucks visitors in with its many layers https://t.co/LKjpTViWsu",en,2028849303889076272,2028849303889076272,2026-03-03T15:05:42.000Z,['2028849303889076272'],0,0,1,0,0,2332,Eater
A new wave of wafu Italian restaurants nationwide is blending familiarity and novelty https://t.co/dFpCcWJehT,en,2028833840354193643,2028833840354193643,2026-03-03T14:04:16.000Z,['2028833840354193643'],1,3,7,1,3,4344,Eater
This California abalone supplies most of the farmed sea snails eaten in the U.S. https://t.co/mbBRhYOI53,en,2028550210272813216,2028550210272813216,2026-03-02T19:17:13.000Z,['2028550210272813216'],0,0,2,0,0,3014,Eater
"The National Magazine Awards has named Eater as a finalist in the category of General Excellence, Service and Lifestyle.  The finalists for the 2026 National Magazine Awards, an annual recognition from the American Society of Magazine Editors (ASME), were announced on Thursday.",en,2027143127811953068,2027143127811953068,2026-02-26T22:05:58.000Z,['2027143127811953068'],0,0,3,0,1,2507,Eater
"I tried the buzzy meetup platform 222, which proposes that AI can arrange a life-affirming meal with potential friends https://t.co/8jJvPwdPHw",en,2026771220461662579,2026771220461662579,2026-02-25T21:28:09.000Z,['2026771220461662579'],0,0,1,0,0,2580,Eater
"This year’s honorees feature a Los Angeles diner, a Philadelphia seafood restaurant, an Omaha steakhouse, and more https://t.co/HhFiawvxAq",en,2026682053266477549,2026682053266477549,2026-02-25T15:33:50.000Z,['2026682053266477549'],0,0,5,0,0,2577,Eater
The American classic is back and better than ever https://t.co/o8SdXHV5sk,en,2026311655949529161,2026311655949529161,2026-02-24T15:02:00.000Z,['2026311655949529161'],1,2,16,0,2,2654,Eater
"After 17 years away from Sin City, the Michelin guide returns to bestow stars and shake up the dining scene https://t.co/VQEABNh7Zj",en,2024500101671235675,2024500101671235675,2026-02-19T15:03:32.000Z,['2024500101671235675'],0,1,2,0,0,2420,Eater
"We’ve curated a collection of our favorite tiny martini glasses, stoneware plates, and more dinner-party-making pieces https://t.co/2tmhtFT02T",en,2024122543431717033,2024122543431717033,2026-02-18T14:03:15.000Z,['2024122543431717033'],0,0,3,0,1,2088,Eater
The buttery bread known as shio pan in Japan and salt bread in Korea is now coming for the croissant's throne https://t.co/7qgRHkkDcq,en,2023775297838215290,2023775297838215290,2026-02-17T15:03:25.000Z,['2023775297838215290'],1,1,3,0,4,2213,Eater
Leland Eating and Drinking House serves up a pork-heavy new year’s menu https://t.co/EoSJbBoIxm,en,2023759936052985967,2023759936052985967,2026-02-17T14:02:23.000Z,['2023759936052985967'],0,0,3,0,1,2487,Eater
Couples in the hospitality industry weigh in https://t.co/THmRpNjdEp,en,2022327476186394837,2022327476186394837,2026-02-13T15:10:18.000Z,['2022327476186394837'],3,1,5,0,0,1909,Eater
"This woody, cozy-smelling candle has a standing reservation at many of New York City’s hottest restaurants https://t.co/TuZPHx8MPu",en,2022310197906292837,2022310197906292837,2026-02-13T14:01:38.000Z,['2022310197906292837'],0,1,7,0,4,2200,Eater
"This excerpt was originally published in Pre Shift, our newsletter for the hospitality industry. Subscribe for more first-person accounts, advice, and interviews. Running independent bars and restaurants takes a special kind of passion. This is the first in a three-part series,",en,2021601579548487839,2021601579548487839,2026-02-11T15:05:50.000Z,['2021601579548487839'],1,0,3,0,0,2108,Eater
"This excerpt was originally published in Pre Shift, our newsletter for the hospitality industry. Subscribe for more first-person accounts, advice, and interviews.  In March, Molly Irani, co-founder of the James Beard Award-winning restaurant Chai Pani, is releasing Service Ready:",en,2020876935094731242,2020876935094731242,2026-02-09T15:06:22.000Z,['2020876935094731242'],0,0,3,0,0,2476,Eater
"Homey new spots from coast to coast show that while we want to go out, we also want to feel like we're staying in https://t.co/pQlrJqZgnM",en,2019874295602884686,2019874295602884686,2026-02-06T20:42:14.000Z,['2019874295602884686'],0,1,2,0,0,1897,Eater
"Unfortunately for Elon Musk haters, Tesla Diner’s food is pretty good for what it is. https://t.co/t6mLm7A5bx",en,2019788676906279106,2019788676906279106,2026-02-06T15:02:01.000Z,['2019788676906279106'],3,4,3,1,0,1900,Eater
A new wave of English pub-inspired restaurants is opening across the United States https://t.co/ndyNVflpSt,en,2018686300216553535,2018686300216553535,2026-02-03T14:01:34.000Z,['2018686300216553535'],3,0,7,0,2,1913,Eater
"Of all the travel recommendations out there, the most convincing ones read more like personal stories than notches on a checklist. When a friend nostalgically raves about the guava dishes in their Mexican hometown, waxes poetic about late-night trays of masala aloo buns at an",en,2016600361163964476,2016600361163964476,2026-01-28T19:52:47.000Z,['2016600361163964476'],4,0,9,0,2,2291,Eater
"Here are five restaurants, from my classic go-tos to new faves, that will make you fall in love with Taipei’s incredible food scene. https://t.co/NhHqrL9U40",en,2016585253239083300,2016585253239083300,2026-01-28T18:52:45.000Z,['2016585253239083300'],0,1,8,0,0,2230,Eater
