created_at,conversation_id,text,edit_history_tweet_ids,lang,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
2026-04-13T20:00:17.000Z,2043781338751217765,Learn why your old rubber spatula could harbor harmful bacteria and pose food safety risks at home. https://t.co/6Ikg4eJ371,['2043781338751217765'],en,2043781338751217765,0,0,0,0,0,185,EatingWell
2026-04-13T18:00:18.000Z,2043751146158698718,Quaker’s Chocolate Caramel Protein Rice Crisps are a lower-sugar snack with a light texture. Discover why one food editor loves this snack. https://t.co/LfjMxAwr9q,['2043751146158698718'],en,2043751146158698718,0,0,0,0,1,267,EatingWell
2026-04-13T16:00:38.000Z,2043721030561067058,"My favorite spring workout essentials come from Lululemon, Brooks, Athleta, Vuori and more top brands. Shop leggings, sneakers, tank tops and more, from $35. https://t.co/RHI2ciuYrx",['2043721030561067058'],en,2043721030561067058,0,0,2,0,0,385,EatingWell
2026-04-13T14:00:23.000Z,2043690765142933987,Experts share what to do if your medication is recalled and how to safely dispose of affected medicine. https://t.co/dnlVZQ1RRu,['2043690765142933987'],en,2043690765142933987,0,0,1,0,0,244,EatingWell
2026-04-13T12:00:13.000Z,2043660527319007683,"These plant-based proteins fit the Mediterranean diet and deliver protein, fiber and essential nutrients. https://t.co/7B1hKEQpix",['2043660527319007683'],en,2043660527319007683,1,0,2,0,0,319,EatingWell
2026-04-13T10:00:22.000Z,2043630365496000733,Beverages can provide a rich source of antioxidants. Sip these drinks for an antioxidant boost throughout your day. https://t.co/WggEgKdFFa,['2043630365496000733'],en,2043630365496000733,2,0,2,0,0,374,EatingWell
2026-04-13T08:00:15.000Z,2043600138325680368,"Upgrade your basic yogurt by including it in these tasty breakfast recipes, from frosty smoothies to layered parfaits. https://t.co/TGQs1cfHPz",['2043600138325680368'],en,2043600138325680368,2,0,3,0,0,404,EatingWell
2026-04-13T06:00:22.000Z,2043569967342243957,"Cow's milk isn't your only option for calcium. Dietitians share the best high-calcium drinks to support bone health, plus simple tips to strengthen bones long-term. https://t.co/HwqCxOUMgM",['2043569967342243957'],en,2043569967342243957,0,0,1,0,1,409,EatingWell
2026-04-13T04:00:21.000Z,2043539764846948503,"Make a delicious meal with these high-fiber dinner recipes aimed at supporting healthy cholesterol levels, thanks to lower amounts of saturated fat. https://t.co/XaH1kba2fP",['2043539764846948503'],en,2043539764846948503,2,0,3,0,2,469,EatingWell
2026-04-13T02:00:17.000Z,2043509547772342606,Have you ever bought a bag of baked chips with the thought that you’re making the healthier choice? A gut health expert wants you to think again. https://t.co/ORQo4r9DJd,['2043509547772342606'],en,2043509547772342606,1,0,1,0,1,625,EatingWell
