id,lang,created_at,text,conversation_id,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
2043387352286953640,en,2026-04-12T17:54:43.000Z,Chapman &amp; Kirby got a good as brunch.. especially that oxtail  dish,2043387352286953640,['2043387352286953640'],0,3,27,2,5,7105,,EricEatsHTX
2042976388332789797,en,2026-04-11T14:41:42.000Z,My girlfriend a Pilates instructor. That stuff is not for losing weight if that’s what you tryna do. https://t.co/XgTjcDX0AQ,2042976388332789797,['2042976388332789797'],1869,147,104449,115,4907,8755208,,EricEatsHTX
2042413549260079167,en,2026-04-10T01:25:11.000Z,staple in my house lol https://t.co/mmneHKqNXj,2042413549260079167,['2042413549260079167'],0,1,16,1,4,5723,,EricEatsHTX
2041868604866474012,en,2026-04-08T13:19:46.000Z,"I still eat a lot of food spicy, I just don’t eat food extremely spicy anymore. Shit be fucking me up nowadays https://t.co/LmSwPl26G1",2041868604866474012,['2041868604866474012'],0,1,10,0,0,5115,,EricEatsHTX
2041588452131574248,en,2026-04-07T18:46:32.000Z,Still tryna decide should I go to the FoodieLand thing this weekend in Houston.,2041588452131574248,['2041588452131574248'],1,7,18,2,1,9904,,EricEatsHTX
2041498568356172127,en,2026-04-07T12:49:22.000Z,Me lol sometimes I just want something crunchy with my tacos https://t.co/9r5FuyXScK,2041498568356172127,['2041498568356172127'],1,0,7,0,0,2994,,EricEatsHTX
2041203107770548559,en,2026-04-06T17:15:19.000Z,You must be new cause I posted 100s of times that I don’t like posting prices cause all yall do is complain about them https://t.co/kfUAewDfWA,2041203107770548559,['2041203107770548559'],0,0,9,0,0,3711,,EricEatsHTX
2041179358564417547,en,2026-04-06T15:40:57.000Z,I hate when people be commenting tell me I be forcing an New Orleans accent like I want born &amp; raised there lol. Mu accent not even super strong.,2041179358564417547,['2041179358564417547'],0,0,2,0,0,1570,,EricEatsHTX
2041164083316003010,ht,2026-04-06T14:40:15.000Z,"Strawberry Mimosa
Espresso Martini https://t.co/mXLgltbTIV",2041164075267129403,['2041164083316003010'],0,0,3,0,0,1049,1174449022595149826,EricEatsHTX
2041164075267129403,en,2026-04-06T14:40:13.000Z,"Kiss (Houston) 
📍 2313 Edwards St,  Houston, TX
IG: KissHtx

Kiss Signature Board w/ Fried Chicken, Girts, French Toast, Waffles, Eggs &amp; Fruits 

Short Rib Hash
Oxtail Empanadas 
Catfish &amp; Grits w/ Crawfish Etouffee https://t.co/o69QSSUNoj",2041164075267129403,['2041164075267129403'],16,4,126,2,45,13954,,EricEatsHTX
2040489547050483866,en,2026-04-04T17:59:53.000Z,I love this spot. Great bbq &amp; some of the best Pho I’ve ever had https://t.co/WWvghjYs2u,2040489547050483866,['2040489547050483866'],5,2,68,0,14,9671,,EricEatsHTX
