edit_history_tweet_ids,created_at,lang,conversation_id,id,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
['2043427701969604925'],2026-04-12T20:35:03.000Z,en,2043427701969604925,2043427701969604925,"Early incoming transfer class rankings at https://t.co/cegyfz8ykZ:

1. Louisville
2. Texas
3. Xavier
4. Texas A&amp;M
5. Providence
6. Iowa State
7. Houston
8. Syracuse
9. Tennessee
10. Ole Miss

Last season, Michigan had the #1 incoming class and was #1 in overall transfer activity. https://t.co/bAtxMPh4ej",67,17,629,26,48,185079,,EvanMiya
['2043391772240334859'],2026-04-12T18:12:17.000Z,en,2043391772240334859,2043391772240334859,"Two massive signings for Louisville. 

Bidunga is one of the best transfer portal prospects we've ever seen. He should be awesome for Pat Kelsey. https://t.co/oUYCPpfsE4",33,11,317,0,2,32181,,EvanMiya
['2043058399403823358'],2026-04-11T20:07:35.000Z,en,2043058399403823358,2043058399403823358,"Garwey Dual has a better projected rating than any player Syracuse had last season, so this is a great pickup for Cuse. 

Dual is in the top 5 projected defenders in the portal among guards. Really good steal rate, and had a big impact on McNeese defensively while on the floor. https://t.co/feO9aaLroL",33,14,326,7,14,121861,,EvanMiya
['2043034728748470672'],2026-04-11T18:33:31.000Z,en,2043034728748470672,2043034728748470672,"Love this pickup for Texas. 

Isaiah Johnson is the 2nd highest rated offensive player in the portal at https://t.co/cegyfz8ykZ. Great scorer, great playmaker, good shooting efficiency in all three areas. https://t.co/WVxOirlGtK https://t.co/EbzshOTXuc",6,1,141,2,10,33364,,EvanMiya
['2042780768422777313'],2026-04-11T01:44:22.000Z,en,2042780768422777313,2042780768422777313,"The EvanMiya Merch store:

https://t.co/GIFwwKar5I https://t.co/s0MnFIRfYd",0,0,11,0,0,22724,,EvanMiya
['2042705974121627927'],2026-04-10T20:47:10.000Z,en,2042705974121627927,2042705974121627927,Love seeing @DavidWCobb rock the EvanMiya hat live on the @EyeOnCBBPodcast! https://t.co/DrnSawqW5X,2,2,22,0,0,9938,,EvanMiya
['2042702671564485081'],2026-04-10T20:34:03.000Z,en,2042701958910230933,2042702671564485081,Here is Yaxel Lendeborg's profile from last offseason: https://t.co/8LjRlnkPVL,0,1,17,0,1,5891,2291343615,EvanMiya
['2042701958910230933'],2026-04-10T20:31:13.000Z,en,2042701958910230933,2042701958910230933,"As a follow-up on Allen Graves, it's pretty rare to find a guy who is so good in so many different skill areas, without having many weaknesses. 

Similar in that way to Yaxel Lendeborg. https://t.co/xt6qRyuwyD https://t.co/Tg5zDwEDPy",8,3,234,4,19,56558,,EvanMiya
['2042692523026444371'],2026-04-10T19:53:43.000Z,en,2042692523026444371,2042692523026444371,"Allen Graves will become the #1 transfer at https://t.co/cegyfz8ykZ, moving ahead of Flory Bidunga.

Quite simply a tremendous player with a ton of potential to pop even more in his sophomore year. Does pretty much everything at a really high level. https://t.co/jTJYMsWDKx https://t.co/c5ayitrIE3",31,16,568,11,37,247148,,EvanMiya
['2042634816315601231'],2026-04-10T16:04:25.000Z,en,2042634816315601231,2042634816315601231,"One thing I will point out as people look for metrics that predict transfer success: 

On/off splits are less predictive of future success when players transfer. My research has shown that there is much less correlation between On/off splits and performance when a player changes https://t.co/VJV4kcXy8f",5,3,191,0,25,76478,,EvanMiya
['2042351847768572086'],2026-04-09T21:20:00.000Z,en,2042351847768572086,2042351847768572086,"Teams with 10+ players entered into the transfer portal, according to https://t.co/cegyfz96ax:

UT Martin
N. Illinois
Canisius
Boston College
W. Michigan
Weber St.
Washington St.
Wagner
UTEP
UNCG
Saint Francis
Le Moyne
Jacksonville
Fresno State https://t.co/Yey2gcLUbv",3,0,44,0,10,17544,,EvanMiya
