lang,created_at,text,id,edit_history_tweet_ids,conversation_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
en,2026-04-13T19:18:05.000Z,"To celebrate the successful Artemis II mission…

Take a look at how far each driver has raced compared to the distance of the moon  🌙

Wait for Fernando! 🤯

#F1 https://t.co/3U9fY5YNd6",2043770717318029527,['2043770717318029527'],2043770717318029527,331,47,3614,34,257,170069,,F1
en,2026-04-13T16:11:00.000Z,"""Stay out of my way"" 👀

Everyone keep a wide berth of Ollie Bearman when a golf buggy is involved! 😆

#F1 https://t.co/LHWbZmwPig",2043723636700528850,['2043723636700528850'],2043723636700528850,122,13,1626,7,72,128626,,F1
en,2026-04-13T14:05:00.000Z,"Mattia Binotto has revealed the challenges of Audi's journey in F1 so far, as he catches up with Lawrence Barretto 😮‍💨🗣️

Read the full story here 👉 https://t.co/JnD8YfniKj

#F1 https://t.co/S8IDpXlb2n",2043691928341078381,['2043691928341078381'],2043691928341078381,49,16,789,1,13,115058,,F1
en,2026-04-13T13:03:00.000Z,"2025 🆚 2026 

Let's compare the Constructors' Standings after the first three rounds in 2025 and 2026 👇

#F1 https://t.co/5hZaYpVEhs",2043676325500912042,['2043676325500912042'],2043676325500912042,366,66,3810,116,73,171184,,F1
en,2026-04-13T11:32:00.000Z,"A dream of many, racing for Ferrari is something few F1 drivers get to experience 🤩🐎

Michael Schumacher has competed in the most Grands Prix for the team, with Charles Leclerc now second on the all-time list! 👀

#F1 https://t.co/ddj4VY8Bu7",2043653424248475964,['2043653424248475964'],2043653424248475964,354,57,3301,41,79,165708,,F1
en,2026-04-13T09:56:00.000Z,"For the camera 📸🤙

#F1 https://t.co/K8MvOxjChs",2043629264948404268,['2043629264948404268'],2043629264948404268,184,27,2984,59,48,136349,,F1
en,2026-04-12T16:55:00.000Z,"""I think it's about trying to find happiness"" 

Watch 'So You Think You Know F1 Drivers?' now on our YouTube channel 👇

#F1",2043372322413838638,['2043372322413838638'],2043372322413838638,183,29,2070,6,62,179270,,F1
en,2026-04-12T15:09:00.000Z,"Lando 🆚 Oscar ⚔️

Reigning World Champion, Norris is currently four points ahead of @McLarenF1 team mate Piastri! 👀

#F1 https://t.co/XCdlRgk6T8",2043345646195716168,['2043345646195716168'],2043345646195716168,265,86,5044,176,79,305454,,F1
en,2026-04-12T13:38:00.000Z,"Three races complete ✅

Cadillac's debut season has got underway, and Valtteri Bottas can not wait to get back racing in Miami! 💪

#F1 https://t.co/kwUrI87zlf",2043322745451167766,['2043322745451167766'],2043322745451167766,308,32,3980,6,94,238832,,F1
en,2026-04-12T12:03:00.000Z,"The 🩷💙 shades of Alpine! 😎

#F1 @AlpineF1Team https://t.co/nBIUOixcuN",2043298838480376256,['2043298838480376256'],2043298838480376256,334,41,4830,19,52,175740,,F1
en,2026-04-12T10:05:00.000Z,"Suiting up with Alex through the years! 😮‍💨👀

#F1 https://t.co/EZhDJ8y24L",2043269142372110653,['2043269142372110653'],2043269142372110653,750,29,5803,98,161,332885,,F1
en,2026-04-11T16:44:00.000Z,"How different are the grid on track vs off track?

Watch 'So You Think You Know F1 Drivers?' now on our YouTube channel 👇

#F1",2043007165758345545,['2043007165758345545'],2043007165758345545,104,13,989,9,28,153635,,F1
en,2026-04-11T15:11:00.000Z,"Locked in 🔐

Arvid Lindblad only made his debut three races ago, and has already hugely impressed! 👏

#F1 https://t.co/uaNSiWwjxx",2042983761625989154,['2042983761625989154'],2042983761625989154,148,46,2219,23,52,282016,,F1
en,2026-04-11T13:22:00.000Z,"Racking up the Grands Prix for the Silver Arrows! 💨

Lewis Hamilton has completed the most races for Mercedes during the manufacturer's tenures in F1, with 246 to his name 💪

#F1 https://t.co/q51HCQY3K3",2042956331024363910,['2042956331024363910'],2042956331024363910,483,44,5074,11,77,223867,,F1
