text,id,edit_history_tweet_ids,created_at,conversation_id,lang,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
"Eggs are the star of the show in this special competition — but cracking this basket won't be easy 🥚🔪

Watch Ted Allen on an all-new episode of #Chopped, Tuesday at 9|8c. https://t.co/5ONEXm8bIv",2043751287682978043,['2043751287682978043'],2026-04-13T18:00:52.000Z,2043751287682978043,en,0,8,18,0,0,5485,FoodNetwork
"Award-winning musician @jonbatiste joins Ina Garten for a fun-filled day at the barn complete with memorable conversation and some of Jon’s favorite dishes.

Tune in for a brand-new episode of #BeMyGuest Saturday, April 18 at 12|11c! https://t.co/Ol9w5csLu3",2043690890347090432,['2043690890347090432'],2026-04-13T14:00:52.000Z,2043690890347090432,en,3,12,65,1,4,7374,FoodNetwork
"It's down to the final six bakers! Tonight, the theme is CHOCOLATE and the king of chocolate, Amaury Guichon, is BACK as a guest judge 🍫

Don't miss a new episode of #UltimateBakingChampionship tonight at 9|8c. https://t.co/FCajbNrfFM",2043660636014436628,['2043660636014436628'],2026-04-13T12:00:39.000Z,2043660636014436628,en,5,10,40,1,2,6739,FoodNetwork
".@GuyFieri is seriously impressed by the perfect balance of sweet and heat in the sauce on these juicy hot wings 😅🔥Try them for yourself at @citizencider!

Watch #DDD with @GuyFieri Fridays at 9|8c. https://t.co/6TUl9oRKYb",2043509598988996887,['2043509598988996887'],2026-04-13T02:00:29.000Z,2043509598988996887,en,23,71,86,3,21,19638,FoodNetwork
"Ok here's the deal according to @chefantonia: It's okay to *rinse* a chicken, but you shouldn't be washing it with soap or anything because that... serves zero purpose! 😵‍💫

Hear more from Antonia as she judges a new episode of #FlavortownFoodFight, Wednesday @ 9|8c! https://t.co/hPme5NmmHn",2043479420422250758,['2043479420422250758'],2026-04-13T00:00:34.000Z,2043479420422250758,en,13,11,131,0,13,23703,FoodNetwork
"Imagine what you could do with an extra $5,000! 🤩 Enter for your chance to win today: https://t.co/ju5zoZD3XK https://t.co/oclEajrAiE",2043418936910225698,['2043418936910225698'],2026-04-12T20:00:14.000Z,2043418936910225698,en,1,3,23,0,2,7911,FoodNetwork
"Welcome to the quarterfinals of TOC 🔥 Anything can happen in @guyfieri's arena... he'll make sure of it!

#TournamentOfChampions &gt; TONIGHT @ 8|7c https://t.co/ClnZs24hvM",2043388744481341720,['2043388744481341720'],2026-04-12T18:00:15.000Z,2043388744481341720,en,7,28,44,2,0,8786,FoodNetwork
"The pressure of making chocolate for Amaury Guichon, this week's guest judge on #UltimateBakingChampionship 😬

See if Florencia and Clement can pull it together Monday at 9|8c! https://t.co/3Q27gsIKGb",2043328516377240005,['2043328516377240005'],2026-04-12T14:00:56.000Z,2043328516377240005,en,2,2,26,1,2,13408,FoodNetwork
"We've got the first look at tonight's epic quarterfinal TOC showdowns 🔪 Who are YOU rooting for??

#TournamentOfChampions &gt; Tonight @ 8|7c. https://t.co/8f0YSR0jiA",2043298278771404955,['2043298278771404955'],2026-04-12T12:00:46.000Z,2043298278771404955,en,4,14,53,1,1,13312,FoodNetwork
"Love Italian subs? Kardea just turned them into the ultimate sliders 😋🥪

Get the recipe for these Chopped Italian Sliders: https://t.co/8tTh2lXCYe https://t.co/SbBU8JhHCx",2043147228282225107,['2043147228282225107'],2026-04-12T02:00:33.000Z,2043147228282225107,en,13,5,94,0,19,15662,FoodNetwork
Catch up on what you may have missed on #TournamentOfChampions VII so far before the quarterfinals begin tomorrow @ 8|7c! https://t.co/TVeF3a6FFD,2043117041297608981,['2043117041297608981'],2026-04-12T00:00:36.000Z,2043117041297608981,en,1,1,33,0,1,13523,FoodNetwork
"This week, the theme is chocolate 🍫 Who better to return as a guest judge than Amaury Guichon!

Don't miss #UltimateBakingChampionship Monday at 9|8c. https://t.co/53tZZIFe0m",2043086891017281638,['2043086891017281638'],2026-04-11T22:00:48.000Z,2043086891017281638,en,3,3,44,0,2,12105,FoodNetwork
"Imagine what you could do with an extra $5,000! 🤩 Enter for your chance to win today:  https://t.co/5mW8c2XmTK. https://t.co/6o0xB5znF2",2043056555914903566,['2043056555914903566'],2026-04-11T20:00:15.000Z,2043056555914903566,en,1,3,11,0,3,8010,FoodNetwork
"From Egyptian pharaohs to Bob Marley, the TOC chefs reveal which person in history they'd most want to cook for 😜

#TournamentOfChampions &gt; Tomorrow @ 8|7c https://t.co/vupj6BoGjL",2043026549658599668,['2043026549658599668'],2026-04-11T18:01:01.000Z,2043026549658599668,en,1,2,37,0,3,9702,FoodNetwork
"Allison Janney opens up to Ina about the importance of finding silver linings in difficult moments ✨

Hear more on the season premiere of #BeMyGuest with Ina Garten today @ 12|11c! https://t.co/TqZDfdqk5B",2042966177954074733,['2042966177954074733'],2026-04-11T14:01:07.000Z,2042966177954074733,en,5,4,105,2,11,15851,FoodNetwork
"Warm, savory and deliciously ooey-gooey, Ina Garten’s Baked Fontina is the perfect snack to welcome Allison Janney, a true fondue aficionado!

Tune in to #BeMyGuest today @ 12|11c!

Get the recipe: 
https://t.co/Ztbz8zZxJG https://t.co/RGzi3GBtHc",2042936014134517879,['2042936014134517879'],2026-04-11T12:01:16.000Z,2042936014134517879,en,11,7,152,0,73,18576,FoodNetwork
"Do you have any kitchen superstitions?? 😵‍💫 When you've been competing as long as the TOC chefs have, you're bound to pick up some weird habits!

#TournamentOfChampions &gt; Sunday @ 8|7c. https://t.co/PlZvq2dhJt",2042754691713405001,['2042754691713405001'],2026-04-11T00:00:45.000Z,2042754691713405001,en,5,5,51,0,1,10588,FoodNetwork
