created_at,text,id,edit_history_tweet_ids,lang,conversation_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
2026-04-11T04:00:11.000Z,"Can legal marijuana use still cost you a job? As more states legalize marijuana for medical or adult use, many workers assume that lawful use carries over into the hiring process. The legal reality is far more fragmented.

Learn how state and local laws influence marijuana and https://t.co/PMfuga9yx8",2042814948003520601,['2042814948003520601'],en,2042814948003520601,4,1,12,1,2,3464,,Forbes
2026-04-11T03:00:12.000Z,"The planet’s billionaire population just keeps growing. Forbes counted a record 3,428 ten-figure fortunes around the globe on this year’s #ForbesBillionaires ranking, spread across 80 countries and territories. But more than half of all billionaires—51% in total—are concentrated https://t.co/JZkv0xMVvM",2042799851885461925,['2042799851885461925'],en,2042799851885461925,10,8,34,1,8,9345,,Forbes
2026-04-11T02:03:00.000Z,"How 3 Billionaire Investors Used AI To Double Their Fortunes In A Year

After a rough stretch, investment firm AQR is on a 5-year hot streak thanks to a new AI infused investing strategy and strong tax-friendly returns, beloved by financial advisors.
https://t.co/jzRDF8IsAy https://t.co/GFNniNuaWF",2042785454999933246,['2042785454999933246'],en,2042785454999933246,4,2,11,0,7,12509,,Forbes
2026-04-11T02:00:09.000Z,"From sophisticated skimming operations to “accidental” overcharges, your plastic can be compromised in ways you might not expect. 

Here’s how to protect yourself: https://t.co/DFWdWUgPYL (Illustration: Getty Images) https://t.co/7QRJUWwi0O",2042784740437299216,['2042784740437299216'],en,2042784740437299216,3,1,7,0,1,9006,,Forbes
2026-04-11T01:00:11.000Z,"B.C. Forbes didn’t just want to write about entrepreneurs. He wanted to be one. So, the Scottish immigrant started Forbes in the middle of World War I, intent on showcasing the people behind the numbers. Read more: https://t.co/4A0G99dKA7 #Forbes250 https://t.co/qmeBD2gDk3",2042769649629303198,['2042769649629303198'],en,2042769649629303198,3,0,11,0,2,8845,,Forbes
2026-04-11T01:00:10.000Z,"Walt Disney worked as a paperboy and child factory worker before creating Mickey Mouse and a global media empire. His journey from a Missouri farm to an entertainment empire defines the self-made spirit.
His story added him to the #Forbes250 list of the greatest historic https://t.co/5yAWckWmpo",2042769644331897104,['2042769644331897104'],en,2042769644331897104,17,6,47,2,4,9577,,Forbes
2026-04-11T00:46:07.000Z,"NASA’s Artemis II mission ended on Friday with the Orion spacecraft’s atmospheric re-entry and parachute-assisted splashdown in the Pacific Ocean, completing humanity’s first crewed voyage around the moon in more than half a century. 
Read more: https://t.co/5W31KtY7Lk
Photo: https://t.co/13bVMDr7fv",2042766108042891647,['2042766108042891647'],en,2042766108042891647,18,10,71,0,2,10966,,Forbes
2026-04-11T00:15:07.000Z,"Splashdown! NASA’s Artemis II Returns To Earth After Moon Mission
https://t.co/yhKZJ9xrh2 https://t.co/AeTcBxNkvQ",2042758306972770364,['2042758306972770364'],en,2042758306972770364,28,14,109,0,2,10847,,Forbes
2026-04-11T00:00:02.000Z,Who are the highest-paid #MLB players? Shohei Ohtani’s historic payday—despite a playing salary of only $2 million—leads a top ten set to collect an estimated $537 million this year.  https://t.co/cI1cZRUpPj,2042754509475320294,['2042754509475320294'],en,2042754509475320294,7,3,19,0,1,8535,,Forbes
2026-04-10T23:00:48.000Z,"Frederick Douglass rose from slavery to become a leading abolitionist, bestselling author and founder of The North Star—later serving as a presidential adviser and U.S. Marshal. He lands on the #Forbes250 Greatest Historic Self-Made Americans list. https://t.co/CgOQQq6b2y (Photo: https://t.co/W0OpuEnlab",2042739604806340821,['2042739604806340821'],en,2042739604806340821,8,10,25,0,2,8882,,Forbes
