created_at,text,lang,edit_history_tweet_ids,id,conversation_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
2026-04-12T18:20:55.000Z,"Nah, I just want to reply to my friend https://t.co/CcvM7wZcr2",en,['2043393945812779442'],2043393945812779442,2043393945812779442,0,0,10,0,0,866,,FrostyMog
2026-03-17T18:37:42.000Z,How the hell do people eat their body weight in protein everyday....,en,['2033976084308607092'],2033976084308607092,2033976084308607092,1,11,23,0,0,5691,,FrostyMog
2026-03-10T22:20:17.000Z,"Pro Dungeon Tip:

When someone AFKs in a dungeon, you can keep going. Doesn't matter the role.",en,['2031495382354768033'],2031495382354768033,2031495382354768033,18,26,498,4,10,38960,,FrostyMog
2026-03-03T16:31:29.000Z,SCRATCH THAT. It after review it was a mistake on the time. Deleting post.,en,['2028870891971760256'],2028870891971760256,2028867346350424154,0,0,2,0,0,871,3145096243,FrostyMog
2026-03-03T16:04:07.000Z,"Hey everyone, we are going to let our tracking team rest from watching 20+ streams. If you want to report a clear, visit the leaderboard on the MogTalk website and make an account!

We will keep the rankings open until a little later today.",en,['2028864004781916664'],2028864004781916664,2028864004781916664,4,0,29,0,0,4390,,FrostyMog
2026-03-03T14:12:53.000Z,"Congrats Team バンドル偵察隊 on the first known clear of The Merchant's Tale - Criterion!

@kort2n &amp; friends! https://t.co/6X0F2U3cYL",ja,['2028836009664983334'],2028836009664983334,2028836009664983334,53,5,465,4,22,59396,,FrostyMog
2026-02-26T18:09:51.000Z,"Unfortunately we aren't able to get the resources turned around in a short amount of time to do a streamed event. With the possibility of a quick race as well, it makes sense to reduce the stress on myself and the team for Criterion.

I'll still be tracking though! https://t.co/nJLmwE79FE",en,['2027083705328763226'],2027083705328763226,2027083705328763226,4,1,39,0,0,4826,,FrostyMog
2026-02-22T03:27:43.000Z,"It was a lot of fun commentating the CCRC games today with @brianricardos &amp; @Merlin_XIV !

Looking forward to doing it again tomorrow!",en,['2025412156284682398'],2025412156284682398,2025412156284682398,1,0,17,0,1,1341,,FrostyMog
2026-02-18T17:44:09.000Z,See you there! https://t.co/kfJ3WSowSQ https://t.co/iuFMtbpeaU,en,['2024178134934000008'],2024178134934000008,2024178134934000008,2,1,32,0,0,2557,,FrostyMog
2026-02-12T04:25:05.000Z,Autumn loves to lay this way for some reason https://t.co/GlJTxuvOTs,en,['2021802717904241068'],2021802717904241068,2021802717904241068,0,0,16,0,0,1990,,FrostyMog
2026-02-02T16:43:50.000Z,"🎈 Happy Birthday to me 🎉 

39 years in this existence.",en,['2018364752129634308'],2018364752129634308,2018364752129634308,1,26,147,0,0,5164,,FrostyMog
2026-02-02T04:30:31.000Z,Doing some pretty important stuff today https://t.co/6UeTgj7s14,en,['2018180206612341068'],2018180206612341068,2018180206612341068,0,4,74,0,0,2334,,FrostyMog
2026-01-30T21:52:17.000Z,https://t.co/QHW7zizKZK,zxx,['2017355209060848050'],2017355209060848050,2017347739458347366,0,0,7,0,0,900,3145096243,FrostyMog
2026-01-30T21:22:36.000Z,"I'm happy to announce @brianricardos and myself are going to commentate the NA CCRC 2026, as well as being joined by @Merlin_XIV to give the best PoV if the action as possible! https://t.co/oKroCP2t9q https://t.co/k2fdcWuNc7",en,['2017347739458347366'],2017347739458347366,2017347739458347366,16,15,131,4,1,51567,,FrostyMog
2026-01-28T17:01:46.000Z,"So you know, what we normally do.",en,['2016557325285544363'],2016557325285544363,2016557324014670204,0,0,21,0,0,1433,3145096243,FrostyMog
2026-01-28T17:01:46.000Z,"The MogTalk podcast is going through a redesign. It's something I've wanted to do since I've educated myself on some production and obs stuff for the World Race.

The plan is to come back and talk about indepth FFXIV topics where experts explain things to an idiot (me).",en,['2016557324014670204'],2016557324014670204,2016557324014670204,0,4,44,0,0,2381,,FrostyMog
2026-01-18T18:14:45.000Z,"It was great talking to all the teams and world race community members from the CN side.

With all that is going on, it's so refreshing to be able to talk to other passionate gamers around the world, connecting on something with both love.",en,['2012951811037036999'],2012951811037036999,2012951811037036999,1,1,44,0,2,3380,,FrostyMog
2026-01-18T13:43:50.000Z,I hope you all are ready for a morning episode of MogTalk! https://t.co/ciPTPwdeYX,en,['2012883633854411173'],2012883633854411173,2012883633854411173,2,0,21,0,0,2267,,FrostyMog
2026-01-16T04:51:23.000Z,We found someone! Thank you!!,en,['2012024861515005968'],2012024861515005968,2011965402197143923,0,1,6,0,0,1375,3145096243,FrostyMog
2026-01-16T00:55:07.000Z,"Looking for someone could help with live Japanese translation for an interview that's familiar with the recent FFXIV raiding tier.

Please reach out if you or someone you know would be interested!",en,['2011965402197143923'],2011965402197143923,2011965402197143923,13,3,58,0,4,8292,,FrostyMog
2026-01-12T19:39:25.000Z,"If some of my responses are slow, sorry!

Unfortunately I have a day job that without I wouldn't be able to live or do the world races, and usually I fall a little behind when the races are happening and shortly before, so a lot of time is spent catching up with work.",en,['2010798791742668899'],2010798791742668899,2010798791742668899,0,1,49,0,0,4295,,FrostyMog
2026-01-11T23:58:24.000Z,"Lodestone allows unique character identification with lodestone IDs for NA, JP, and EU -

Does anyone know if there is something similar for CN/KR players?",en,['2010501578311213458'],2010501578311213458,2010501578311213458,0,3,20,0,0,5360,,FrostyMog
2026-01-11T01:59:42.000Z,"Happy Birthday @SOKENsquareenix , your music brings the game to life. I can't imagine where it'd be without it.",en,['2010169717219307843'],2010169717219307843,2010169717219307843,0,0,36,0,0,2474,,FrostyMog
2026-01-11T01:19:01.000Z,(I also realize how bias I am with this opinion),en,['2010159480118620523'],2010159480118620523,2010159478994600248,0,0,24,0,0,2447,3145096243,FrostyMog
2026-01-11T01:19:01.000Z,"It's incredible how much time I have dedicated to competitive high end MMO raiding, while myself barely even having the time to raid anymore.

But I do believe it's an important part of FFXIV. Without it, I really don't know where this game would be.",en,['2010159478994600248'],2010159478994600248,2010159478994600248,8,6,361,0,4,16836,,FrostyMog
2026-01-07T19:54:21.000Z,"Four teams in the top 10 have cleared M12S within 3 minutes of each other...

10:29am PST - DN
10:31am PST - One Ace
10:31am PST - Party Finder
10:32am PST - HOME",en,['2008990609919603007'],2008990609919603007,2008990609919603007,50,0,498,1,9,39428,,FrostyMog
2026-01-07T19:11:03.000Z,"We were able to raise over $16,000 for @GamesForLoveorg during the Arcadion: Heavyweight (Savage) World Race charity stream.

Thank you so much to the FFXIV community for helping us do something so meaningful and positive through our passion for the FFXIV World Race!",en,['2008979713243705770'],2008979713243705770,2008979713243705770,35,6,310,0,1,11788,,FrostyMog
2026-01-07T14:05:19.000Z,Of course it happens while I sleep! Congrats on another World First Savage! https://t.co/NrKpGySpjb,en,['2008902773681819862'],2008902773681819862,2008902773681819862,2,2,326,0,5,52992,,FrostyMog
2026-01-07T01:45:52.000Z,"Time for me to commentate.... 

I HAVEN'T SLEPT

https://t.co/RcM7FQtVUI",en,['2008716686678188274'],2008716686678188274,2008716686678188274,3,2,25,0,0,7579,,FrostyMog
2026-01-06T19:33:19.000Z,Jesus christ these back to back clear pulls between like 4-5 teams for this third fight,en,['2008622928553013711'],2008622928553013711,2008622928553013711,2,2,133,0,2,15413,,FrostyMog
2026-01-06T19:23:25.000Z,"Ain't gonna lie, they had me going after the first fight",en,['2008620436469543335'],2008620436469543335,2008620436469543335,0,0,29,0,0,5002,,FrostyMog
2026-01-06T17:29:48.000Z,I really liked Black Cat's voice work! Always excited we get to know the amazing people behind the voices. https://t.co/hKbMvKDSTE,en,['2008591846105379001'],2008591846105379001,2008591846105379001,4,0,138,0,5,13024,,FrostyMog
2026-01-05T21:53:29.000Z,"The website took most of my time between races.

Sorry for any hiccups during the event - we'll be doing our best! 

So many ideas, so little time.",en,['2008295817309024542'],2008295817309024542,2008295817309024542,0,4,99,0,0,6121,,FrostyMog
2026-01-02T21:59:07.000Z,"It's in it's infancy and will likely have a ton of bugs, break as I try to fix them, and so on... but I spent months working on it. Please feel free to reach out to me with any questions or suggestions.",en,['2007210072032879084'],2007210072032879084,2007210069340106757,0,0,21,0,0,5152,3145096243,FrostyMog
2026-01-02T21:59:07.000Z,"You'll be able to report clears directly through it. Team Sign ups are still on a google form for now though:

https://t.co/79VquuK5DU",en,['2007210070732624350'],2007210070732624350,2007210069340106757,0,1,19,0,0,5616,3145096243,FrostyMog
2026-01-02T21:59:07.000Z,"It is with absolute and great hesitation I am publicly announcing the new MogTalk website which will be used for the upcoming Savage World Race with Arcadion: Heavyweight.

https://t.co/0HrEWrxj4K",en,['2007210069340106757'],2007210069340106757,2007210069340106757,57,17,413,1,52,43021,,FrostyMog
2025-12-22T17:46:19.000Z,"I feel a little removed from the CN and Taiwan FFXIV raiding communities at the moment in regards to the race. Is anyone familiar able to connect with me?

If I understand it right, these will be the two regions that are on the same patch with everyone else when the race starts.",en,['2003160183883850182'],2003160183883850182,2003160183883850182,3,3,114,0,3,18167,,FrostyMog
2025-12-21T05:33:12.000Z,Why?? https://t.co/E3iOZBUuOx,und,['2002613301642166433'],2002613301642166433,2002613301642166433,0,2,23,0,0,3384,,FrostyMog
2025-12-18T17:17:46.000Z,Sometimes I just want to stop working on projects and just play video games.,en,['2001703447922720908'],2001703447922720908,2001703447922720908,1,5,33,0,0,3846,,FrostyMog
2025-12-16T03:14:29.000Z,"Warming up for Patch, talking about world race website stuff, and STREAMING OMFASFSDS REALLY?

https://t.co/9epxOmf3GS",en,['2000766450974216402'],2000766450974216402,2000766450974216402,3,0,9,0,0,3235,,FrostyMog
2025-12-06T20:43:50.000Z,Super excited to start shows and streams again after months of programming. See you all soon. https://t.co/Edv0GEjqwY,en,['1997406653566824686'],1997406653566824686,1997406653566824686,3,2,62,0,0,3837,,FrostyMog
