conversation_id,lang,id,text,created_at,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
1972374245973086239,en,1972374245973086239,"Please be advised that @GEICO_Service is our official account on X providing GEICO customers support and assistance. GEICO is not affiliated with any other support accounts on X and will never request your information via WhatsApp.

https://t.co/0oWeihfIdA",2025-09-28T18:53:59.000Z,['1972374245973086239'],4,92,15,6,4,14993,,GEICO
1665888522119553027,en,1665888522119553027,"Some see the player, some see baby Elvis... we see that they cropped out our G https://t.co/WXn3e7mOiO",2023-06-06T01:09:09.000Z,['1665888522119553027'],27,1383,104,13,14,200283,,GEICO
1665886250153172992,en,1665886250153172992,"If you blinked you could have missed that goal from @GoldenKnights. Not us though, we’re always that quick. #StanleyCup",2023-06-06T01:00:07.000Z,['1665886250153172992'],15,289,33,5,5,68659,,GEICO
1665871793603715074,qst,1665871793603715074,MVG 🦎 https://t.co/4eFlgQxeDS,2023-06-06T00:02:40.000Z,['1665871793603715074'],19,273,40,2,4,86887,,GEICO
1665868872623292416,en,1665868872623292416,Hockey moves just as fast as us. How many games do you think the #StanleyCup Final will have?,2023-06-05T23:51:04.000Z,['1665868872623292416'],14,111,22,1,2,28526,,GEICO
1665194647772069888,en,1665194647772069888,"Great job on the win @GoldenKnights. It takes hard work to make it look so easy. We should know, it's kind of our thing 😎 #StanleyCup",2023-06-04T03:11:56.000Z,['1665194647772069888'],12,66,24,0,2,22179,,GEICO
1665174070223155202,en,1665174070223155202,We know it was really hard to make that save look so easy. #StanleyCup https://t.co/u7VcayjD9r,2023-06-04T01:50:10.000Z,['1665174070223155202'],7,55,28,0,1,25108,,GEICO
1665163312487714816,en,1665163312487714816,The @GoldenKnights know sometimes the easy shot is the best one. #StanleyCup https://t.co/wseVsBnuV1,2023-06-04T01:07:25.000Z,['1665163312487714816'],9,29,19,0,1,20326,,GEICO
1665157879760912385,en,1665157879760912385,We make insurance as easy as the @FlaPanthers made scoring that goal look. #StanleyCup,2023-06-04T00:45:50.000Z,['1665157879760912385'],9,59,17,3,1,11101,,GEICO
1665142145672421379,en,1665142145672421379,We always say the easy way is the best way. During tonight’s #StanleyCup Final game we’ll be cheering for all the easy shots from both of these talented teams.,2023-06-03T23:43:19.000Z,['1665142145672421379'],8,18,15,0,1,9639,,GEICO
1652085285654519809,en,1652085285654519809,"Tell us how you feel about the #NFLDraft so far with just emojis... and no, you can't use the football emoji.",2023-04-28T23:00:01.000Z,['1652085285654519809'],5,61,14,2,1,14477,,GEICO
1651768617472499712,en,1651768617472499712,Definition of a legend? This guy &gt;&gt; @_bryce_young 😎 https://t.co/1SZuLRfsrh,2023-04-28T02:01:41.000Z,['1651768617472499712'],4,22,5,0,2,18227,,GEICO
1651737056307978240,en,1651737056307978240,"Not to spread rumors, but the #NFLDraft  and GEICO both started in 1936...🧐",2023-04-27T23:56:16.000Z,"['1651736771082743808', '1651737056307978240']",3,25,8,1,1,7238,,GEICO
1651665979712196610,en,1651665979712196610,"When you bundle, you don't have to pick 😉 #NFLDraft https://t.co/LL0aBcY0Dm",2023-04-27T19:13:50.000Z,['1651665979712196610'],2,45,8,2,1,7387,,GEICO
1650278547703857156,en,1650278547703857156,"You asked, we listened!😎 Let's hear our NASCAR driver’s answers to your burning questions. #GEICO500 #Talladega #NASCAR https://t.co/tmbB6qmBua",2023-04-23T23:20:41.000Z,['1650278547703857156'],4,28,6,0,0,7183,,GEICO
1650273252046979073,en,1650273252046979073,"Thanks for joining #nascar75 and GEICO for the #geico500 @tallegeda! What a race 🙌🏼 Happy 75, @nascar and congrats @KyleBusch",2023-04-23T22:59:38.000Z,['1650273252046979073'],1,7,7,0,0,4914,,GEICO
