edit_history_tweet_ids,lang,created_at,conversation_id,text,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,article.title,in_reply_to_user_id,username
['2042955111740379150'],en,2026-04-11T13:17:09.000Z,2042955111740379150,"Many love entrepreneurship when it’s easy … but what about when it’s hard … have noticed a lot of complaining and crying about what th competition is doing or how hard it is to raise money, social media changing, ai 🤖 being invented … a lot of “entrepreneurs” getting exposed https://t.co/B9tvThUfIc",2042955111740379150,1,11,20,2,0,1487,,,garyvee
['2042727819344535900'],en,2026-04-10T22:13:58.000Z,2042727819344535900,Hey gang you know I don't do this often but @winetexts is having an insane sale on Monday. @winetexts is something I invented several years ago for my dad's business and you must sign up for it right now because this offer that we have on Monday is insanity. You're getting $100+ https://t.co/XnQ3RxVolr,2042727819344535900,7,14,53,2,4,11896,,,garyvee
['2042715713236881596'],en,2026-04-10T21:25:52.000Z,2042715713236881596,HYPED ! https://t.co/Oz3Ba572eg,2042715713236881596,4,14,61,0,0,10069,,,garyvee
['2042715631447867703'],en,2026-04-10T21:25:33.000Z,2042715631447867703,MEGAHEADS ARE HERE https://t.co/ATB83zZWmb https://t.co/HKCnWXhksS,2042715631447867703,7,19,61,4,1,7966,,,garyvee
['2042677361565479260'],en,2026-04-10T18:53:28.000Z,2042677361565479260,who loved this comic ? https://t.co/Xvi14apCw2,2042677361565479260,4,18,40,1,0,7006,,,garyvee
['2042590408912335291'],en,2026-04-10T13:07:57.000Z,2042590408912335291,Love ❤️ yourself more … you’re human .. you make mistakes .. it’s ok!!! ✅ https://t.co/pZ5qW5XPHh,2042590408912335291,30,56,196,2,9,9832,,,garyvee
['2042372106344641016'],en,2026-04-09T22:40:30.000Z,2042372106344641016,So much confusion on this issue .. so much opportunity but not the requirement that some believe it is .There  are countless businesses built every day that become monster businesses that do not have the founder or CEO out in front? Of course it's a huge opportunity for many https://t.co/tUqlbPEGU2,2042372106344641016,17,20,103,2,13,11562,,,garyvee
['2042363927695184302'],zxx,2026-04-09T22:08:00.000Z,2042363927695184302,https://t.co/hGXcInVAUs,2042363927695184302,11,19,84,2,24,10808,The Obligation Mindset ,,garyvee
['2042231976715862508'],en,2026-04-09T13:23:40.000Z,2042231976715862508,Please let this be the post that forces you to start really digging in deep on what’s going on in live social shopping 🛒 https://t.co/pMu340vBxg,2042231976715862508,21,43,151,4,47,23020,,,garyvee
['2042016082966266234'],zxx,2026-04-08T23:05:47.000Z,2042015974019178775,https://t.co/HsOvz3JXoe,2042016082966266234,8,4,46,0,5,8450,,5768872,garyvee
