created_at,lang,text,edit_history_tweet_ids,id,conversation_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
2026-04-10T16:35:08.000Z,en,"Spring Spotlight szn is upon us, and the group chat is about to go off 👀 4/14 https://t.co/W4S7PQZ6UR",['2042642547940471031'],2042642547940471031,2042642547940471031,1,3,6,0,0,697,,HubSpot
2026-04-08T20:37:32.000Z,en,"Unboxed. Unveiled. UNBOUND.

Word's out — HubSpot's flagship event is getting a new name and a bigger vision to match.

For 15 years, INBOUND brought together the world's best marketers and sales leaders in Boston.

Now it's UNBOUND.

Same community, bigger vision, new name.

See https://t.co/gZNCzGfLul",['2041978771956232563'],2041978771956232563,2041978771956232563,1,6,13,0,0,1615,,HubSpot
2026-04-07T16:07:27.000Z,en,"🚨 BIG NEWS! 🚨

HubSpot's INBOUND is becoming UNBOUND.

After 15 years, our flagship event is evolving — and so is the vision.

The way you worked in 2010 looks nothing like today.
Different tools. Different teams. Different rules.

You didn't abandon what you knew — you built https://t.co/JdzWD4O81q",['2041548415943782485'],2041548415943782485,2041548415943782485,4,2,14,2,3,2462,,HubSpot
2026-04-03T17:46:27.000Z,en,"they're gonna know 
nobody's gonna know 
they're gonna know 

Now you’re gonna know the full TikTok picture. 

TikTok now syncs natively inside HubSpot — get organic publishing, ad targeting, follow-up, and revenue attribution all in one place. 

Live april 3 🧡

Learn more: https://t.co/uCbhO3eXIM",['2040123780819763531'],2040123780819763531,2040123780819763531,0,7,7,0,0,1373,,HubSpot
2026-04-02T15:26:08.000Z,en,"We believe AI should earn its keep. Pay for outcomes, not attempts.

That’s why we just changed how two of our flagship AI agents are priced.
Customer Agent and Prospecting Agent:

Resolved a conversation? $0.50.
Surfaced a warm lead? $1.
Didn't deliver? You don't pay.

28 days https://t.co/MIMOxPN38h",['2039726078902632646'],2039726078902632646,2039726078902632646,1,5,4,2,0,1035,,HubSpot
2026-03-20T19:24:01.000Z,en,mercury retrograde just ended. u good?,['2035074903829795179'],2035074903829795179,2035074903829795179,0,8,7,0,1,2335,,HubSpot
2026-03-11T00:09:01.000Z,en,"What makes AI actually useful?

Context. 

Breeze Assistant has always used *your* business context, now it knows more than ever. 

You get: 

- Answers tailored to your role 
- Deeper understanding of data to help you strategize 
- HubSpot Academy built in

See what’s new👇",['2031522748309045582'],2031522748309045582,2031522748309045582,1,13,13,1,5,2953,,HubSpot
2026-03-08T15:20:06.000Z,en,to all the women holding it down today and every day 🧡👸 https://t.co/Uzv3gFJ7Ex,['2030664865073733843'],2030664865073733843,2030664865073733843,3,6,21,1,1,2516,,HubSpot
2026-03-06T23:49:01.000Z,en,"Every customer interaction gives you context. 

Every phone call. 
Email. 
Support ticket. 

What if that context automatically made it to your CRM? 

Data Enrichment does exactly that. Now, it's even better because it:

✅ Auto-fills missing fields
✅ Doesn't overwrite what's",['2030068162658553886'],2030068162658553886,2030068162658553886,1,7,8,1,3,2311,,HubSpot
2026-02-25T00:01:01.000Z,en,"It's midnight. 
47 tickets just came in. 
Your support team is asleep. 

Enter: Customer Agent.

And now it's even better, based on *your* feedback: 

✅ Train it to sound like you
✅ Test before you launch
✅ AI or human? You decide.

See what’s dropped 
👉",['2026447303121183020'],2026447303121183020,2026447303121183020,0,8,12,1,2,3465,,HubSpot
2026-02-21T00:56:05.000Z,en,"that's what we're *#%=!$ talking about @G2dotcom ! 💅
🏅Best Mid-Market Products 2026
🏅Best Highest Satisfaction Products 2026
🏅Best Collaboration &amp; Productivity Software Products 2026
🏅Best Agentic AI Software Products 2026
🏅Best Small Business Products 2026
🏅Best Software https://t.co/rp90kkBkr6",['2025011611946090974'],2025011611946090974,2025011611946090974,1,4,18,0,3,6477,,HubSpot
