edit_history_tweet_ids,text,created_at,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
['1777048841683865606'],"Dev Patel discusses his starring role and directorial feature debut in #MonkeyMan, including the challenges he faced while filming with a broken hand. 😬 https://t.co/u3VtVoboMn https://t.co/2KHpRtUsEE",2024-04-07T19:00:34.000Z,1777048841683865606,19,12,93,2,5,47917
['1776762134728265975'],"#DaisyRidley and the creators of #Magpie discuss her initial idea for the film, the visual inspirations for the movie, complex characters, and more. https://t.co/jurs7PRv1C",2024-04-07T00:01:18.000Z,1776762134728265975,18,27,84,1,9,58049
['1776346576690028667'],"Big news, Disney fans! 💫 The studio announced that 'The Mandalorian &amp; Grogu,' a feature-length spinoff of the Disney+ series 'The Mandalorian,' is officially coming May 2026. 'Toy Story 5' will follow shortly after in June 2026. https://t.co/rFIPeDxoxW https://t.co/vxa0DDEep5",2024-04-05T20:30:01.000Z,1776346576690028667,38,25,194,6,6,45577
['1776324118821920777'],"#TheFirstOmen star Nell Tiger Free drops by to talk about her lead role in the new horror film, her #Servant crush, and of course, her life as a ""Gleek."" https://t.co/mrjG5tMiV8 https://t.co/5XxvXMm3rb",2024-04-05T19:00:47.000Z,1776324118821920777,22,4,83,5,14,35960
['1776248432786542853'],"While filming 'A Quiet Place', Emily Blunt did the bathtub scene in one take. According to John Krasinski, as soon as he said ""Cut"", Blunt left the character and asked the crew, ""What's everyone having for lunch?"" 🥪 https://t.co/bWaemjN2UY",2024-04-05T14:00:02.000Z,1776248432786542853,39,11,341,10,14,50489
['1775991740245160126'],"Do you prefer the smoky-eyed soldier or the clean-cut compatriot? #SebastianStan as Bucky Barnes, aka the #MCU's Winter Soldier, then and now. #TBT https://t.co/90bPoTaMx2 https://t.co/dSUN99KMZc",2024-04-04T21:00:01.000Z,1775991740245160126,72,24,425,49,27,56977
['1775961680695931075'],#Ripley stars Andrew Scott and Dakota Fanning share how the directorial style allowed them to experiment and expand upon the already detailed script. https://t.co/cGJkJ8JZpF https://t.co/PhvLGF1y7Y,2024-04-04T19:00:35.000Z,1775961680695931075,22,9,70,2,6,31526
['1775931433116147911'],You know she's that b—tch when she cause all this conversation. 👑 @Beyonce #CowboyCarter https://t.co/i7uq88fs5O,2024-04-04T17:00:23.000Z,1775931433116147911,9,5,54,1,2,30788
['1775754506707345432'],How it started vs. how it's going. #DaredevilBornAgain https://t.co/l6QbpMbL45,2024-04-04T05:17:20.000Z,1775754506707345432,145,16,1140,10,42,94096
['1775675448569020877'],"Marvel Studios has cast Emmy-winning actress Julia Garner as Shalla-Bal, a version of Silver Surfer, in #TheFantasticFour. 

She'll join Pedro Pascal as Mr. Fantastic, Vanessa Kirby as the Invisible Woman, Joseph Quinn as the Human Torch, and Ebon Moss-Bachrach as the Thing. https://t.co/QA5RGa53Xs",2024-04-04T00:03:12.000Z,1775675448569020877,32,25,231,12,12,61710
['1775644724159721639'],"12/10 interview, no notes. #SXSW @nickkroll https://t.co/tJ1N6MbK4u",2024-04-03T22:01:06.000Z,1775644724159721639,5,3,38,0,3,47192
['1774889482514301022'],Can you name this movie starring John Krasinski and George Clooney? 👉 https://t.co/aSSteFDql9 https://t.co/iZakLFp2MY,2024-04-01T20:00:03.000Z,1774889482514301022,13,31,86,4,3,54856
['1774451727585910806'],"It's been 25 whole years since #10ThingsIHateAboutYou was released, so we're sharing all the trivia you probably didn't know about the film— including who else was considered for Heath Ledger's iconic role. 👀 https://t.co/tcdhBqdcMB https://t.co/8Vehd6CIqX",2024-03-31T15:00:34.000Z,1774451727585910806,51,18,224,8,13,43721
['1774225098695758241'],"25 years later, we're still Trinity-pilled. 😎 https://t.co/mjzj8rYfAM https://t.co/T15DrPuq68",2024-03-31T00:00:01.000Z,1774225098695758241,85,26,517,15,16,54142
['1774195919153500299'],"Chance Perdomo, known for his roles in 'Chilling Adventures of Sabrina' and 'Gen V,' has died at age 27 💙 https://t.co/0IxYpUXpZK https://t.co/qOTNynXYl9",2024-03-30T22:04:04.000Z,1774195919153500299,87,31,568,53,18,87895
['1774089199836107119'],You're at the multiplex in 1999 and you see these two titles. 🎟️ for:,2024-03-30T15:00:00.000Z,1774089199836107119,23,10,83,7,3,36769
