lang,text,edit_history_tweet_ids,conversation_id,created_at,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
en,Source: Utah State's Ben Jacobson will hire veteran Barret Peery as an assistant coach.,['2043802713377374287'],2043802713377374287,2026-04-13T21:25:13.000Z,2043802713377374287,5,3,35,5,1,10402,JonRothstein
en,"Prayers for Dick Vitale (@DickieV).

🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏 https://t.co/rtbDK6AUgl",['2043799592441991561'],2043799592441991561,2026-04-13T21:12:49.000Z,2043799592441991561,35,6,700,1,2,39336,JonRothstein
en,"Notre Dame transfer Markus Burton has committed to Indiana, per his IG page.",['2043796658803167377'],2043796658803167377,2026-04-13T21:01:10.000Z,2043796658803167377,20,5,473,8,0,37157,JonRothstein
en,"Dusty May on INSIDE COLLEGE BASKETBALL NOW.  

*Michigan’s national title run *UConn 
*Why he never entertained any other jobs 
*And much more

https://t.co/c9JLel3odd (Apple)       

https://t.co/EsZxIkcHSA (Spotify)

https://t.co/NhaUpppQuU (YouTube)",['2043796369010503980'],2043796369010503980,2026-04-13T21:00:00.000Z,2043796369010503980,1,0,4,0,2,22255,JonRothstein
en,"Dusty May targeted transfers last spring who had yet to peak in college basketball.

https://t.co/c9JLel2QnF (Apple)       
https://t.co/EsZxIkca32 (Spotify)
https://t.co/NhaUpppiFm (YouTube) https://t.co/9xAXB4YpuP",['2043781268051997083'],2043781268051997083,2026-04-13T20:00:00.000Z,2043781268051997083,5,5,86,3,12,35168,JonRothstein
en,Source: Tarleton State transfer Andy Sigiscar has committed to Loyola Marymount.,['2043779981562536430'],2043779981562536430,2026-04-13T19:54:53.000Z,2043779981562536430,5,1,72,1,1,27719,JonRothstein
en,Source: South Carolina State transfer James Morrow has committed to Jacksonville.,['2043777997782515813'],2043777997782515813,2026-04-13T19:47:00.000Z,2043777997782515813,1,1,43,1,2,28342,JonRothstein
en,"Dusty May with the latest on both Aday Mara and Morez Johnson.

https://t.co/c9JLel2QnF (Apple)       
https://t.co/EsZxIkca32 (Spotify)
https://t.co/NhaUpppiFm (YouTube) https://t.co/B3Dy0T831C",['2043775005624787247'],2043775005624787247,2026-04-13T19:35:07.000Z,2043775005624787247,7,2,339,0,79,55033,JonRothstein
en,"Dusty May is LIVE on INSIDE COLLEGE BASKETBALL NOW.

*Michigan’s national title run
*UConn
*Why he never entertained any other jobs
*And much more

CLICK THE LINK BELOW TO WATCH LIVE.

https://t.co/NhaUpppQuU",['2043767425406218311'],2043767425406218311,2026-04-13T19:05:00.000Z,2043767425406218311,11,2,104,0,31,42180,JonRothstein
en,"Santa Clara transfer Christian Hammond tells me that he has committed to NC State.

Averaged 15.6 PPG last season and was an integral part of the Broncos' run to the NCAA Tournament.",['2043766151486791814'],2043766151486791814,2026-04-13T18:59:56.000Z,2043766151486791814,7,1,190,1,3,30386,JonRothstein
