edit_history_tweet_ids,text,conversation_id,lang,id,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
['2044238439965687890'],Tell me the game didn’t just cut off?!!? Am I trippin?? WTH 🤦🏾‍♂️,2044238439965687890,en,2044238439965687890,2026-04-15T02:16:38.000Z,2221,1035,41111,319,862,1498209,,KingJames
['2042732437931983263'],Wow! What a chip Rory on 17!! 😱🔥🔥,2042732437931983263,en,2042732437931983263,2026-04-10T22:32:19.000Z,552,528,15608,55,125,998856,,KingJames
['2039812783806501245'],You don’t wanna miss this!!!! LETS GO BOYS!!! 🙏🏾🫡👑🏌🏾😁 https://t.co/b70LdvfNtD,2039812783806501245,en,2039812783806501245,2026-04-02T21:10:40.000Z,774,686,22983,88,400,1484316,,KingJames
['2038089877758349704'],🐻 DOWN!!!! FINAL 4️⃣ BOUND @ArizonaMBB 🫡,2038089877758349704,en,2038089877758349704,2026-03-29T03:04:27.000Z,1710,367,14850,82,149,952834,,KingJames
['2038073419661729871'],Bronny going NUTS right now!!! WOW,2038073419661729871,en,2038073419661729871,2026-03-29T01:59:03.000Z,2489,1254,70163,167,1112,4161366,,KingJames
['2031554625732751420'],BAM BAM BAM 💥🔥🔥🔥🔥🔥🔥🔥,2031554625732751420,en,2031554625732751420,2026-03-11T02:15:41.000Z,20574,3388,240557,1000,3232,5927786,,KingJames
['2030107238371840036'],WELCOME BACK BIG DEUCE!!! @jaytatum0 🙏🏾💪🏾🫡🔥,2030107238371840036,en,2030107238371840036,2026-03-07T02:24:17.000Z,4814,598,69948,118,603,1491415,,KingJames
['2020677751150416147'],Halftime... how we feeling?! 🏈 Stay locked in with live betting on @DKSportsbook 🔥 #DKPartner https://t.co/tU4dXKgZsL,2020677751150416147,en,2020677751150416147,2026-02-09T01:54:52.000Z,130,578,2457,82,98,557342,,KingJames
['2017760480232685709'],"Love this so much!! Young black brothers traveling the world, appreciating culture and showing great humility! That’s so 🔥🔥🔥🔥🔥. S/O L.J (great initials 😉) &amp; Dalvin! Photographer too 🫡 https://t.co/ad82BIQDOX",2017760480232685709,en,2017760480232685709,2026-02-01T00:42:41.000Z,3245,655,62753,154,3334,5997388,,KingJames
['2016301261113655646'],"Man there's no way I read that right! Right? Ain't no WAY Bill Belichick ain't 1st Ballot HOF!! That's IMPOSSIBLE, EGREGIOUS, and quite frankly DISRESPECTFUL!",2016301261113655646,en,2016301261113655646,2026-01-28T00:04:16.000Z,5917,1879,88825,519,1445,3685685,,KingJames
['2016243486966661128'],Appreciate you taking the time out to join the Pod my good brother!! Always thankful and appreciative! 🫡🫡🙏🏾 https://t.co/hosjf8AXkG,2016243486966661128,en,2016243486966661128,2026-01-27T20:14:41.000Z,455,218,13015,7,165,904544,,KingJames
['2016210337062662591'],🤣🤣🤣🤣🤣🤣🤣🤣🤣 https://t.co/0Byx7ODiCm,2016210337062662591,art,2016210337062662591,2026-01-27T18:02:58.000Z,224,141,5793,4,167,541915,,KingJames
['2015883309104898330'],WHAT THE HALIBURTON!! 😱🤣🤣🤣🤣 https://t.co/wB1RMZUjBL,2015883309104898330,en,2015883309104898330,2026-01-26T20:23:28.000Z,816,337,20512,48,701,1493550,,KingJames
['2012577533175251258'],MY GOODNESS THIS IS INSANE!! 🤯🔥🔥🔥🔥 https://t.co/DpJljyrLUy,2012577533175251258,en,2012577533175251258,2026-01-17T17:27:30.000Z,1799,613,29764,106,4183,2132337,,KingJames
['2010764521611182142'],🙏🏾🙏🏾🙏🏾🙌🏾👑 Need some of these for my own collection @Topps!!! So dope 🔥🔥🔥 https://t.co/DHzn08WZnm,2010764521611182142,en,2010764521611182142,2026-01-12T17:23:14.000Z,1309,718,15972,75,376,1130770,,KingJames
['2010412171646370113'],NFL Playoffs hit different!! 🏈🔥 Lock in with @DKSportsbook #DKPartner https://t.co/DAxPJbiGi5 https://t.co/v0AAv7MUFr,2010412171646370113,en,2010412171646370113,2026-01-11T18:03:08.000Z,129,304,1886,31,62,383588,,KingJames
['2008673079128715600'],Watching @GrantHorvatGolf vs @PeterFinchGolf in a Match Play 1 v 1. Great match so far! The one 🚩 though I got is 🤣🤣🤣🤣🤣🤣 Cmon Grant eating Tuna straight out the container with a fork is diabolical! 😷 LOL,2008673079128715600,en,2008673079128715600,2026-01-06T22:52:36.000Z,153,351,9604,76,139,2238122,,KingJames
['2008225465748816099'],You better answer! Hahaha! https://t.co/qkvzM4bbZw,2008225465748816099,en,2008225465748816099,2026-01-05T17:13:56.000Z,277,217,4286,10,148,557471,,KingJames
['2007929217112277441'],CONGRATULATIONS MY GOOD BROTHER!!!!!!! @Flash_Garrett 🙌🏾🙌🏾🙌🏾🙏🏾🙏🏾🙏🏾💪🏾,2007929217112277441,en,2007929217112277441,2026-01-04T21:36:45.000Z,865,233,18684,14,138,1382322,,KingJames
['2007688286706512049'],The AIR different 🆙 there! https://t.co/slkNDBgiaR,2007688286706512049,en,2007688286706512049,2026-01-04T05:39:23.000Z,759,370,16728,18,235,942620,,KingJames
['2007260254086758601'],MAJOR S/O @FullSwingGolf for the setup! Absolutely LOVE IT! Thank you 🙏🏾🫡🏌🏾,2007260254086758601,en,2007260254086758601,2026-01-03T01:18:32.000Z,97,216,2728,45,53,516789,,KingJames
['2003920757781369253'],The holiday season means big time football!! 🏈❄️ Lock in with @DKSportsbook for the NFL slate. #DKPartner https://t.co/DAxPJbi8sx https://t.co/Sb0OsDulZO,2003920757781369253,en,2003920757781369253,2025-12-24T20:08:34.000Z,234,614,2442,35,62,339843,,KingJames
['2002090183601336349'],SO PROUD OF YOU MYA!!!! CONGRATULATIONS 🎈🎊🎉🍾🙌🏾🙌🏾 https://t.co/XJAplVT9ZZ,2002090183601336349,en,2002090183601336349,2025-12-19T18:54:31.000Z,634,189,9544,9,134,631393,,KingJames
