created_at,text,id,edit_history_tweet_ids,lang,in_reply_to_user_id,conversation_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
2026-04-02T20:27:58.000Z,"Quarter mile in under 90 seconds 

None of these are particularly impressive in isolation, but to be able to do them all in one day as an old guy is pretty good",2039802039161770116,['2039802039161770116'],en,17599264,2039796073376649540,1,4,75,1,6,5499,Mark_Sisson
2026-04-02T20:12:44.000Z,And 20 dips,2039798207245664408,['2039798207245664408'],en,17599264,2039796073376649540,0,1,39,0,0,6494,Mark_Sisson
2026-04-02T20:04:16.000Z,"One of my old man Olympics goals is to trap bar DL one and a half times my body weight for ten reps, a three-minute plank, a 90-second dead hang, and one minute standing on one foot with arms crossed and eyes closed.",2039796073376649540,['2039796073376649540'],en,,2039796073376649540,0,18,224,0,53,22598,Mark_Sisson
2026-04-02T00:43:04.000Z,"Which was I?

Let’s just say I often grimaced",2039503849476747546,['2039503849476747546'],en,17599264,2039437267786412140,0,1,24,0,0,8018,Mark_Sisson
2026-04-01T20:18:30.000Z,"Back when I used to train at the UCLA track, I’d always see the sprinters laughing, stretching, joking around. Every five or 10 minutes they’d run a sprint and then go back to laughing. 

The 10,000 meter guys always looked miserable. Plodding around the track, grimacing. Pain.",2039437267786412140,['2039437267786412140'],en,,2039437267786412140,6,16,347,3,30,60576,Mark_Sisson
2026-03-26T19:16:39.000Z,Optimizing https://t.co/o5zpp3vYZl,2037247377569178080,['2037247377569178080'],en,,2037247377569178080,6,4,101,0,3,18178,Mark_Sisson
2026-03-24T16:13:02.000Z,Make your short workouts shorter and more intense and your long workouts longer and easier. https://t.co/53Pv6PP4SJ,2036476391504621981,['2036476391504621981'],en,,2036476391504621981,2,1,131,1,27,14622,Mark_Sisson
2026-03-21T15:28:57.000Z,Where's the sleep? https://t.co/VChnD9YGtx,2035378134917472532,['2035378134917472532'],en,,2035378134917472532,0,9,30,0,1,21443,Mark_Sisson
2026-03-20T20:49:57.000Z,"In fact, let’s do this with all vaccines https://t.co/L98aUZ2pRy",2035096527597969851,['2035096527597969851'],en,,2035096527597969851,0,1,21,0,2,8101,Mark_Sisson
2026-03-20T18:12:33.000Z,"I have no interest in ever taking any, but I can see it being ""better"" than the covid vax",2035056919136936020,['2035056919136936020'],en,17599264,2035024576166703384,0,1,13,0,0,3734,Mark_Sisson
2026-03-20T18:11:11.000Z,Read the whole thing and sign up https://t.co/mCyTm5WPcD,2035056573559841030,['2035056573559841030'],en,17599264,2035056494266524101,0,0,5,0,2,2309,Mark_Sisson
