id,lang,created_at,conversation_id,edit_history_tweet_ids,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
2042724334121197625,es,2026-04-10T22:00:07.000Z,2042724334121197625,['2042724334121197625'],"¡Viva España! ✊️ 

Source: https://t.co/Eref1VHwru https://t.co/ofVDTZdIP7",32,4,296,3,17,7812,,myanimelist
2042649024910495903,en,2026-04-10T17:00:52.000Z,2042649024910495903,['2042649024910495903'],We LOVE these pink haired anime characters 🫶 https://t.co/Aq7P92mOYW,57,73,1102,87,137,45303,,myanimelist
2042588429448282481,en,2026-04-10T13:00:05.000Z,2042588429448282481,['2042588429448282481'],"Quite the unexpected proposal 😮

Source: https://t.co/SSYfO68ojK https://t.co/dxovGngfVx",9,1,202,0,14,7217,,myanimelist
2042584642792902914,it,2026-04-10T12:45:02.000Z,2042584642792902914,['2042584642792902914'],News: [Oshi no Ko] Season 3 finale promo #推しの子 #OSHINOKO https://t.co/AhlRPczGsc,9,0,112,0,8,5492,,myanimelist
2042580936693301561,en,2026-04-10T12:30:19.000Z,2042580936693301561,['2042580936693301561'],News: [Oshi no Ko] Season 3 finale visual; fourth season in production #推しの子 #OSHINOKO https://t.co/qziGh5mUDn https://t.co/4GGFVFAm7n,14,2,196,2,8,4711,,myanimelist
2042543153433993664,en,2026-04-10T10:00:11.000Z,2042543153433993664,['2042543153433993664'],News: Dark Machine: The Animation announces additional cast; TV anime by Production +h. premieres in 2026 #DARKMACHINE_anime https://t.co/nCL1SHHWNh https://t.co/KeHX0cCcdq,3,0,72,0,7,4213,,myanimelist
2042437617749299614,en,2026-04-10T03:00:49.000Z,2042437617749299614,['2042437617749299614'],News: New Date A Live anime project Date A Live F: Last Date announced @date_a_info #date_a_live #デアラ https://t.co/JKydxndP6J https://t.co/whPdK8GPZg,30,0,287,1,25,5284,,myanimelist
2042407333465137195,en,2026-04-10T01:00:29.000Z,2042407333465137195,['2042407333465137195'],"Happy 30th birthday to Tomoyo Kurosawa! 🎂 

Full profile: https://t.co/TSatws5WBe https://t.co/o17fLJbqT8",79,6,783,10,24,13160,,myanimelist
2042346936884158624,en,2026-04-09T21:00:29.000Z,2042346936884158624,['2042346936884158624'],"Don't even try messing with our girl 😤 

Source: https://t.co/KbTqwujs3h https://t.co/fxSLR8oqTL",6,1,156,0,13,6698,,myanimelist
2042286461966278762,en,2026-04-09T17:00:11.000Z,2042286461966278762,['2042286461966278762'],"The adventure continues for these 4 popular shows with 4 seasons! 💪 

Full season: https://t.co/WnAQ7M6x6v https://t.co/Wwq3yk5Dwp",30,5,449,3,30,13028,,myanimelist
2042226044443173141,en,2026-04-09T13:00:06.000Z,2042226044443173141,['2042226044443173141'],"Rem 😭 

Source: https://t.co/NTvqY4nHy8 #rezero https://t.co/2HkJhMCz8e",19,4,282,5,18,14646,,myanimelist
2042226043419844958,en,2026-04-09T13:00:06.000Z,2042226043419844958,['2042226043419844958'],News: Lv999 no Murabito (The Villager of Level 999) casts Yuuichirou Umehara as Menou Abrashar; Yoshinobu Kasai (180-Byou de Kimi no Mimi o Shiawase ni Dekiru ka?) directs fantasy TV anime at Brain's Base in July 2026 #LV999の村人 https://t.co/ENg4mXTVth https://t.co/4mml0hQLtA,58,5,1006,3,233,20319,,myanimelist
2042218526224613787,en,2026-04-09T12:30:13.000Z,2042218526224613787,['2042218526224613787'],"News: Mononoke Movie 3: Hebigami (Mononoke the Movie: Chapter III - Snake God) second trailer, featuring the theme song ""No Epilogue"" by AiNA THE END #劇場版モノノ怪 #mononoke https://t.co/M1hatjkxSz",11,0,125,0,6,6267,,myanimelist
2042214712692052019,en,2026-04-09T12:15:04.000Z,2042214712692052019,['2042214712692052019'],"News: Mononoke Movie 3: Hebigami (Mononoke the Movie: Chapter III - Snake God) reveals additional cast, key visual for a May 29 premiere; Tomoaki Koshida (Ikebukuro West Gate Park) to helm at studio Kafka &amp; EOTA #劇場版モノノ怪 #mononoke https://t.co/NIuYhSUjj4 https://t.co/VvbnQGWVuj",6,0,128,0,5,4810,,myanimelist
