created_at,conversation_id,text,lang,id,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
2026-04-13T21:25:01.000Z,2043802664069194055,"Now that the Artemis II crew is home, what's next for our Artemis program?

We're preparing to launch Artemis missions every year. Artemis III is next up in 2027, with Artemis IV landing on the Moon in 2028.

Learn more about the Artemis mission cadence: https://t.co/WtEfrKVtnJ https://t.co/R6vdtXHSVm",en,2043802664069194055,['2043802664069194055'],1869,547,15812,71,467,448122,,NASA
2026-04-13T21:08:28.000Z,2043798499771269626,"New photos from the Moon!

We're continuing to unveil new images from the Artemis II mission—including these two photos from April 6, showing a crescent Earthrise and a closeup of the lunar farside. Keep up with the latest: https://t.co/rzM1P0QbOl https://t.co/YuQ6cXWv61",en,2043798499771269626,['2043798499771269626'],3799,501,33365,107,1591,779939,,NASA
2026-04-13T20:36:10.000Z,2043790369037439327,"Want to hear more from the Artemis II astronauts?

Fresh off their return to Earth, the crew will hold a news conference at 2:30pm ET (1830 UTC) on Thursday, April 16, to discuss their mission: https://t.co/QeJ2egaUuS https://t.co/4R1gRzcKYv",en,2043790369037439327,['2043790369037439327'],923,266,6929,84,517,277665,,NASA
2026-04-13T16:01:03.000Z,2043721131903902075,"LIVE: Looking for more space action following Artemis II? We have you covered!

Tune in to watch a cargo spacecraft arrive at the @Space_Station, delivering over 11,000 pounds of science, supplies, and equipment for the crew in orbit. https://t.co/zWjOKdQYmC",en,2043721131903902075,['2043721131903902075'],839,225,4591,36,178,307208,,NASA
2026-04-12T20:37:51.000Z,2043428406407123203,"Artemis II Moon mission complete!
✅✅✅✅✅✅

- Space Launch System rocket launched crew into space
- Orion spacecraft kept astronauts safe
- Flew around the Moon, observed its far side
- New human spaceflight distance record
- Crew safely returned to Earth
- Inspired the WORLD https://t.co/yc9TMRj97a",en,2043428406407123203,['2043428406407123203'],15565,1797,89683,511,5823,2467255,,NASA
2026-04-11T20:34:43.000Z,2043065226879238401,"LIVE: Safely back on Earth after a trip around the Moon, our @NASAArtemis II astronauts are returning to @NASA_Johnson in Houston. Watch us welcome them back home. https://t.co/vAtr8RIxg4",en,2043065226879238401,['2043065226879238401'],1904,453,9208,144,609,591651,,NASA
2026-04-11T12:34:25.000Z,2042928210334138445,Cygnus XL is on its way to space! Today's cargo mission to the @Space_Station lifted off at 7:41am ET (1141 UTC). https://t.co/xhsj6PhQke,en,2042944358345740339,['2042944358345740339'],273,52,2595,23,85,417825,11348282,NASA
2026-04-11T11:30:15.000Z,2042928210334138445,LIVE: NASA's @NorthropGrumman CRS-24 mission launches to the @Space_Station to deliver science and supplies to the crew aboard the orbiting laboratory. https://t.co/ofAxKg5sOm,en,2042928210334138445,['2042928210334138445'],762,255,5110,34,214,658006,,NASA
2026-04-11T05:39:51.000Z,2042840027109957758,"Let's run that back. One more time... Or two?
Our crew is now safely back on Earth. Relive the historic mission, and keep an eye on our website as more images and videos keep rolling in. https://t.co/FoYXKVvve5 https://t.co/svDaL8ZXpc",en,2042840027109957758,['2042840027109957758'],9136,775,46895,404,3622,1560275,,NASA
2026-04-11T04:27:26.000Z,2042821805807693910,"Artemis II may have splashed down, but our photos and videos from the mission are still rolling in! Keep an eye on the latest: https://t.co/rzM1P0QbOl https://t.co/HahXb0gCYC",en,2042821805807693910,['2042821805807693910'],45811,3120,323835,2041,10325,10816584,,NASA
2026-04-11T03:49:01.000Z,2042812134812213410,"NASA's @NorthropGrumman CRS-24 cargo mission is set to launch Saturday, April 11, to deliver science and supplies to the @Space_Station. Learn how to watch live: https://t.co/NxUCIP5SE3 https://t.co/Iogow9Qy9n",en,2042812134812213410,['2042812134812213410'],1395,217,14072,36,382,831066,,NASA
2026-04-11T03:34:04.000Z,2042808375348490745,"HOME.
 
The Artemis II crew has arrived back on Earth, ending a nearly 10-day journey around the Moon. The trip took them farther into space than humans have ever gone before, and now they're safely home with us.

https://t.co/XmDQwNlCPR https://t.co/Cwu312cZqJ",en,2042808375348490745,['2042808375348490745'],33766,2423,201677,1475,3658,5094332,,NASA
2026-04-11T02:34:42.000Z,2042793434986270784,"LIVE: After their journey around the Moon, our @NASAArtemis II astronauts are back on Earth. Agency leaders are discussing today's splashdown and answering media questions in a live news conference. https://t.co/eZ8oPw2xLI",en,2042793434986270784,['2042793434986270784'],1216,295,7415,44,355,784123,,NASA
2026-04-11T02:25:11.000Z,2042791040516845925,"Big smiles from Christina and Victor on the deck of the USS John P. Murtha, as they waited to be escorted for their routine post-mission medical checks. https://t.co/3KwZFXTLhI",en,2042791040516845925,['2042791040516845925'],25244,1526,212358,680,5512,6115737,,NASA
2026-04-11T02:05:08.000Z,2042785992047055119,"All four of the Artemis II astronauts have been successfully extracted from the Orion spacecraft following splashdown and are now on the USS John P. Murtha. Next up, they will be escorted to the medical bay where they will undergo post-mission medical evaluations. https://t.co/v96RFKEUNN",en,2042785992047055119,['2042785992047055119'],16488,1451,148900,445,3374,4930796,,NASA
2026-04-11T00:09:40.000Z,2042731951308579134,"Welcome home Reid, Victor, Christina, and Jeremy! 🫶

The Artemis II astronauts have splashed down at 8:07pm ET (0007 UTC April 11), bringing their historic 10-day mission around the Moon to an end. https://t.co/1yjAgHEOYl",en,2042756933686337713,['2042756933686337713'],107697,6782,388941,10678,14238,82922660,11348282,NASA
2026-04-11T00:06:35.000Z,2042731951308579134,"Orion's main parachute has deployed. The spacecraft has a system of 11 chutes that will slow it down from around 300 mph to 20 mph for splashdown.

Get more updates on the Artemis II blog: https://t.co/7gicm7DWBt https://t.co/ReXHTfkFld",en,2042756157337424238,['2042756157337424238'],10428,653,50623,999,2485,3699378,11348282,NASA
2026-04-10T23:35:58.000Z,2042731951308579134,"The crew module on Orion has separated from its service module. After traveling around the Moon, seeing its far side, and experiencing a solar eclipse, the Artemis II astronauts are on the last leg of their trip home. https://t.co/j9u5j1Noi9",en,2042748454535917793,['2042748454535917793'],3585,250,23409,270,1396,1088358,11348282,NASA
2026-04-10T22:30:23.000Z,2042731951308579134,"LIVE: They are coming home.
 
Watch as the Artemis II crew returns to Earth, splashing down at around 8:07pm ET (0007 UTC April 11). https://t.co/n3vZE2rcFv",en,2042731951308579134,['2042731951308579134'],34356,4716,138980,4147,9347,9015613,,NASA
2026-04-10T21:27:13.000Z,2042716052245606478,"After a journey of more than 690,000 miles, the crew is nearly home.

The Artemis II crew will splash down off the coast of San Diego later today and, though it won’t be visible from land, you can still wave in their general direction to welcome them back to Earth! 👋 https://t.co/ZZX23QCTpb",en,2042716052245606478,['2042716052245606478'],9045,1366,78363,470,1941,3455688,,NASA
2026-04-10T21:22:56.000Z,2042714976767349088,"Your close personal friends, the @NASAArtemis astronauts (and Rise), can't wait to get home!

In the meantime, enjoy a few new pictures from their camera roll. And watch their return with us live at https://t.co/z1RgZwQkWS. https://t.co/gJBvWTdlWM",en,2042714976767349088,"['2042714850258764107', '2042714976767349088']",6460,470,56351,298,2140,1666070,,NASA
2026-04-10T19:24:31.000Z,2042685174534504571,"Fist bump! 👊 
 
The Artemis II crew is now under 35,000 miles from Earth. The astronauts are preparing the spacecraft for reentry and the weather is looking good for splashdown. https://t.co/jYNlo0xoNu",en,2042685174534504571,['2042685174534504571'],7979,1414,66301,479,1397,2729100,,NASA
2026-04-10T17:27:56.000Z,2042630452071022823,"The ultimate (space) road trip playlist 🎧

The Artemis II astronauts talk about the process of picking their wake-up songs and share their favorite songs from the mission.

Listen to the songs in our Spotify playlist: https://t.co/2fcXhC5iEN https://t.co/SxOil86rdQ",en,2042655835675902192,['2042655835675902192'],640,109,4917,29,488,519913,11348282,NASA
2026-04-10T16:29:10.000Z,2042641044752187843,"Artemis II astronauts have traveled 252,756 miles from Earth, flown around the Moon, and observed the lunar surface like never before. Now, they’re coming home. 🌎 

Watch the crew splash down on Friday, April 10, around 8:07pm ET (0007 UTC April 11). https://t.co/Ccsk5Z3HFS https://t.co/QoJW2oYVFG",en,2042641044752187843,['2042641044752187843'],15451,1284,80846,739,4423,4702843,,NASA
