created_at,text,lang,conversation_id,id,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
2026-04-13T17:39:09.000Z,"Experimentation along with cultural transformation will be necessary for rethinking business processes and achieving AI goals at scale.

Leaders from @Deloitte and NeuroMetric join TradeTalks to discuss the strategic frameworks, operational transformations, and risk management https://t.co/fD2KcgVU7n",en,2043745822890746113,2043745822890746113,['2043745822890746113'],0,0,3,0,0,1063,,Nasdaq
2026-04-13T13:18:33.000Z,"“We power the world’s economy. We help power Texas’s economy.” 

@APA_Corp is built in Texas and operates globally. Through Nasdaq Texas, companies like APA gain local alignment with Texas while accessing the full Nasdaq platform, including global capital, liquidity, and https://t.co/YQp1uImfVI",en,2043680239407010075,2043680239407010075,['2043680239407010075'],0,0,7,0,0,1262,,Nasdaq
2026-04-12T13:00:00.000Z,"The Telecommunications Act of 1996 impacts today's AI policy landscape.

Leaders from @OneMetTel, @VinsonandElkins and @TexasTech, join TradeTalks to discuss whether traditional telecom models can survive intensified always-on infrastructure demands and explore how the https://t.co/y8hmdrWJIZ",en,2043313184539300202,2043313184539300202,['2043313184539300202'],1,1,3,0,1,1709,,Nasdaq
2026-04-10T14:56:01.000Z,"The derivatives market serves as a barometer for underlying sentiment driving the financial ecosystem.

Leaders from Nasdaq and @IUBloomington join TradeTalks to discuss why the derivatives market can be a critical barometer for future price action across asset classes: https://t.co/HU54dEAGno",en,2042617602631962837,2042617602631962837,['2042617602631962837'],5,2,6,0,0,1942,,Nasdaq
2026-04-07T14:30:12.000Z,".@CrowdStrike CEO and co-founder George Kurtz discusses how the partnership between CrowdStrike and @MercedesAMGF1 unites two high-performing teams to drive speed, innovation, and success in Formula One: https://t.co/gcJ3uqFTYR https://t.co/0B9DZRPMlO",en,2041523943903785051,2041523943903785051,['2041523943903785051'],7,1,11,0,1,6698,,Nasdaq
2026-04-06T15:29:41.000Z,"Younger demographics are prioritizing liquidity and flexibility over traditional buy-and-hold strategies.

Leaders from @Gallup, Kasheesh, and Nasdaq join TradeTalks to discuss the fundamental shift in how financial planning intersects with day-to-day cash flow management: https://t.co/oI0TldhHdE",en,2041176525769241009,2041176525769241009,['2041176525769241009'],2,4,6,0,0,2246,,Nasdaq
2026-04-04T13:00:00.000Z,"Precision forecasting and real-time operator assistance lend to AI’s evolving role in power grid management.

Leaders from @PA_Consulting, @EdelSmithfield, and @ABBNorthAmerica, and @OATIinc, join TradeTalks to discuss why resource diversification, supportive state and federal https://t.co/hYNR82cKG3",en,2040414079114715431,2040414079114715431,['2040414079114715431'],3,5,7,1,0,2518,,Nasdaq
2026-04-03T13:00:00.000Z,"AI’s role in delivering targeted market data to every financial professional.

Leaders from QOUDD, Fi-Tek, and @SPGMarketIntel join TradeTalks to discuss why data is now about usability, control, and consistent outcomes: https://t.co/hK7auD1yK0 https://t.co/epTy7xEeSM",en,2040051693824413712,2040051693824413712,['2040051693824413712'],1,1,4,0,0,1856,,Nasdaq
2026-04-02T22:46:17.000Z,"Nasdaq celebrates the successful launch of @NASA’s Artemis II mission, marking humanity’s return to the Moon after more than 50 years. 

During their journey, four astronauts will lay the groundwork for long-term missions to the Moon and crewed exploration on Mars. https://t.co/oANpkWmy6M",en,2039836846121779254,2039836846121779254,['2039836846121779254'],192,50,1388,16,95,510070,,Nasdaq
2026-04-01T15:30:06.000Z,"The Nasdaq-100 ecosystem has demonstrated a significant degree of evolution into a highly mature, dynamic state.

Leaders from Nasdaq and @InvescoUS join TradeTalks to discuss what is driving product growth and innovation in the Nasdaq-100: https://t.co/2W48YQw9ke https://t.co/4JlmKXEliZ",en,2039364689839137132,2039364689839137132,['2039364689839137132'],1,0,5,1,1,1857,,Nasdaq
