created_at,text,conversation_id,lang,edit_history_tweet_ids,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
2026-04-11T05:07:39.000Z,"🏀 FRIDAY'S FINAL SCORES 🏀

Jalen Duren leads the @DetroitPistons to victory!

Duncan Robinson: 19 PTS, 3 3PM https://t.co/G3bnuo2QUg",2042831923601342717,en,['2042831923601342717'],2042831923601342717,1,8,9,0,0,1067,,NBA
2026-04-11T05:03:23.000Z,"Bronny swishes the 3.
LeBron celebrates.

Lakers win big at home! https://t.co/r7r5c9MA3F",2042830850002243917,en,['2042830850002243917'],2042830850002243917,20,12,112,0,5,7135,,NBA
2026-04-11T04:51:59.000Z,"Despite the loss, Amen Thompson exploded for a career-high 41 PTS!

41 PTS (17-22 FGM)
9 REB
7 AST
2 STL

He's the first Rockets player in franchise history to record 40+ PTS, 5+ REB, and 5+ AST in a game on at least 75% shooting 👏 https://t.co/2nXDsGhY5I",2042827983405072650,en,['2042827983405072650'],2042827983405072650,28,10,139,2,9,15924,,NBA
2026-04-11T04:44:02.000Z,"""I got a couple of them... I want another one though.""

Ant wanted another KD jersey 😂 https://t.co/1c3aSbzqg3",2042825982323663141,en,['2042825982323663141'],2042825982323663141,33,23,238,2,13,20440,,NBA
2026-04-11T04:36:03.000Z,"Deni was excellent in Portland's win!

35 PTS
5 AST

Trail Blazers rise to #8 in the West 🔥 https://t.co/VCWFLfRDwk",2042823971863695824,en,['2042823971863695824'],2042823971863695824,22,19,175,5,8,21958,,NBA
2026-04-11T04:08:32.000Z,"Create separation.
Pause.
Knock it down.

Ant (22 PTS) and the Timberwolves win on the road! https://t.co/6ywBBHyIdE https://t.co/NMPho6QLdH",2042817046950375544,en,['2042817046950375544'],2042817046950375544,12,10,89,1,2,43802,,NBA
2026-04-11T04:05:07.000Z,Tap to watch on Prime: https://t.co/qSXAjM9e1y,2042816001495175369,en,['2042816189798195327'],2042816189798195327,1,1,12,0,0,22887,19923144,NBA
2026-04-11T04:04:23.000Z,"Ant sinks the clutch 3 🎯

Timberwolves up 5 with 23.5 to play! https://t.co/Zo9zSfowqn",2042816001495175369,en,['2042816001495175369'],2042816001495175369,17,15,164,2,4,70637,,NBA
2026-04-11T03:58:10.000Z,TERRENCE SHANNON JR. THROWS DOWN AN EMPHATIC ONE-HAND JAM! https://t.co/d7WJ5RXK9y,2042814440559521862,en,['2042814440559521862'],2042814440559521862,18,22,160,6,4,29002,,NBA
2026-04-11T03:55:16.000Z,"Career-high in PTS ✅
Bucks franchise record for 3PM in a game ✅
Water shower ✅

What a performance from AJ Green! https://t.co/hqO8fRtJQa https://t.co/5dnBX1Ccmi",2042813709752398164,en,['2042813709752398164'],2042813709752398164,21,14,200,2,8,52520,,NBA
2026-04-11T03:51:35.000Z,Tap to watch on Prime: https://t.co/qSXAjM9e1y,2042812569488855144,en,['2042812782337221064'],2042812782337221064,1,0,7,0,0,23952,19923144,NBA
2026-04-11T03:50:44.000Z,Amen Thompson's got a career-high 34 PTS ‼️ https://t.co/HGnBQKM0CM,2042812569488855144,en,['2042812569488855144'],2042812569488855144,13,22,129,1,2,32252,,NBA
