created_at,text,lang,edit_history_tweet_ids,id,conversation_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
2026-04-10T21:00:01.000Z,Did you guess correctly? 👀 https://t.co/3dy4VTKeOv,en,['2042709209364505087'],2042709209364505087,2042709209364505087,14,21,266,4,16,147034,,NFL
2026-04-10T20:43:34.000Z,"Packers trading WR Dontayvion Wicks to Eagles; Wicks is signing a one-year, $12.5M extension with Philadelphia. (via @RapSheet) https://t.co/rFARxA9idz",en,['2042705069699657995'],2042705069699657995,2042705069699657995,562,81,5272,112,105,338404,,NFL
2026-04-10T19:00:00.000Z,"Film watchers probably don't like this clip...

It's THAT @CameronNewton highlight 😎 https://t.co/dycyDp9db0",en,['2042679006513037669'],2042679006513037669,2042679006513037669,59,18,610,2,35,110267,,NFL
2026-04-10T18:57:47.000Z,The respect from Stafford and Davante to Travis Hunter 🤝 (via @NFLFilms) https://t.co/kAvNmgVpKe,en,['2042678446648889476'],2042678446648889476,2042678446648889476,56,4,1334,0,65,165855,,NFL
2026-04-10T18:00:00.000Z,"The moment @TravisHunterJr had dreamed of 🥹 @Jaguars

2026 NFL Draft – April 23-25 on NFLN/ESPN/ABC
Stream on @NFLPlus https://t.co/Ul5YaYg27f",en,['2042663905290522626'],2042663905290522626,2042663905290522626,58,14,595,1,20,121586,,NFL
2026-04-10T17:00:00.000Z,".@TexasTechFB's David Bailey is ready to bring his explosiveness off the edge to an NFL team 😤

2026 NFL Draft – April 23-25 on NFLN/ESPN/ABC
Stream on @NFLPlus https://t.co/qcAzE4AxVZ",en,['2042648806286836191'],2042648806286836191,2042648806286836191,24,5,144,0,5,76523,,NFL
2026-04-10T14:30:00.000Z,".@uscfb producing another playmaking WR 🙌 @Lexus

2026 NFL Draft – April 23-25 on NFLN/ESPN/ABC
Stream on @NFLPlus https://t.co/ZyqvSZsQfg",en,['2042611058783981689'],2042611058783981689,2042611058783981689,73,23,490,5,6,96223,,NFL
2026-04-09T22:11:26.000Z,"The 16 prospects who will be at the NFL Draft in Pittsburgh!

2026 NFL Draft – April 23-25 on NFLN/ESPN/ABC
Stream on @NFLPlus https://t.co/rmVcAli4sI",en,['2042364791621370106'],2042364791621370106,2042364791621370106,203,80,924,78,48,343679,,NFL
2026-04-09T19:00:00.000Z,".@ashtonjeanty2 was on another level for @BroncoSportsFB 😮‍💨

2026 NFL Draft – April 23-25 on NFLN/ESPN/ABC
Stream on @NFLPlus https://t.co/C0d89ixiWL",en,['2042316616592212011'],2042316616592212011,2042316616592212011,103,29,1020,5,39,190722,,NFL
2026-04-09T18:00:00.000Z,"Who should take @calebdowns off the board? 😎

2026 NFL Draft – April 23-25 on NFLN/ESPN/ABC
Stream on @NFLPlus https://t.co/Dn8tE393PB",en,['2042301516347032031'],2042301516347032031,2042301516347032031,64,35,490,11,30,137102,,NFL
