text,id,edit_history_tweet_ids,created_at,conversation_id,lang,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
Breaking News: Four NASA astronauts safely returned to Earth after completing the Artemis II mission. Watch live as they are welcomed back. https://t.co/3RJzH6whV1,2042758286408126573,['2042758286408126573'],2026-04-11T00:15:02.000Z,2042758286408126573,en,120,57,666,10,10,61298,nytimes
"From @TheAthletic: Can a heavyweight fighter eat whatever they want? 

We spoke to Tyson Fury’s former cook and Anthony Joshua’s nutritionist to get an insight into the art of feeding elite heavyweight boxers. https://t.co/wO5y0ohjVg https://t.co/Y6IC6Ihnvb",2042736153984479642,['2042736153984479642'],2026-04-10T22:47:05.000Z,2042736153984479642,en,9,17,51,0,18,77044,nytimes
"Breaking News: Eliot Engel, a 16-term Democratic congressman from the Bronx who championed liberal causes, has died at 79. https://t.co/FBDE38Vy8i",2042732271556284904,['2042732271556284904'],2026-04-10T22:31:40.000Z,2042732271556284904,en,56,32,187,7,9,112876,nytimes
"From @TheAthleticFC: The World Cup is weeks away and there are all kinds of strange things going on with the defending champions, Argentina. https://t.co/ezYCtHIKS1 https://t.co/u3HEkEjjoX",2042702182558871739,['2042702182558871739'],2026-04-10T20:32:06.000Z,2042702182558871739,en,55,44,359,16,103,173240,nytimes
"From @TheAthleticFC: With just over 60 days before the World Cup begins, FIFA has a new crisis on its hands: strike threats from thousands of workers at SoFi Stadium, the tournament’s host venue in Los Angeles and the site of the opening USMNT game. https://t.co/hKr8gSIN5g",2042692623836606489,['2042692623836606489'],2026-04-10T19:54:07.000Z,2042692623836606489,en,32,15,110,5,18,98479,nytimes
"Breaking News: A man accused of hurling a Molotov cocktail at the San Francisco home of Sam Altman, the OpenAI chief executive, was arrested. https://t.co/DRkyUXsfrp",2042675120158687317,['2042675120158687317'],2026-04-10T18:44:34.000Z,2042675120158687317,en,47,39,164,28,18,118389,nytimes
Breaking News: Officials released new drawings and plans for the 250-foot triumphal arch that President Trump wants to build in Washington. https://t.co/hpd9B5Lzhx,2042669348536418791,['2042669348536418791'],2026-04-10T18:21:38.000Z,2042669348536418791,en,177,642,525,205,88,337600,nytimes
"From @TheAthletic: The Sidney Crosby-Alex Ovechkin rivalry has captivated hockey fans for 20 years. With Ovechkin’s hockey future uncertain, Crosby shared his thoughts on their bond. ""I’ve been thinking about him a lot.""
https://t.co/ROuiZoUfhF https://t.co/m9vnTJPUik",2042646313930465302,['2042646313930465302'],2026-04-10T16:50:06.000Z,2042646313930465302,en,140,17,1252,64,219,136672,nytimes
"From @TheAthletic: The results are in, and the players have spoken. Shai Gilgeous-Alexander is the clear frontrunner for MVP, but Nikola Jokić and Luka Dončić are close behind. Here's why NBA players think SGA is the most deserving of the award: https://t.co/LA1SRTYJJe",2042639022699258004,['2042639022699258004'],2026-04-10T16:21:08.000Z,2042639022699258004,en,22,17,71,5,9,76426,nytimes
"From @TheAthletic: A new era of sports science, in which women are not viewed through the prism of “little men,” is gradually emerging. https://t.co/gDjKsRHZvI https://t.co/QGSIxvITTz",2042635984701911378,['2042635984701911378'],2026-04-10T16:09:03.000Z,2042635984701911378,en,99,87,516,26,93,126259,nytimes
