created_at,text,conversation_id,lang,in_reply_to_user_id,edit_history_tweet_ids,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
2026-04-11T01:41:33.000Z,The security and privacy of your information are a top priority. We’re committed to being transparent and taking quick action when issues arise. We're sharing more technical details and FAQs here: https://t.co/RKxpzMLjL4,2042780052669239782,en,4398626122,['2042780059363336237'],2042780059363336237,22,17,172,7,34,92916,OpenAI
2026-04-11T01:41:33.000Z,🔗 Atlas: https://t.co/TUXW74RWpY,2042780052669239782,lv,4398626122,['2042780058075672703'],2042780058075672703,3,7,66,0,16,87498,OpenAI
2026-04-11T01:41:33.000Z,🔗 Codex CLI: https://t.co/D28mu0GF8t,2042780052669239782,en,4398626122,['2042780056804811115'],2042780056804811115,6,3,56,1,11,77398,OpenAI
2026-04-11T01:41:32.000Z,🔗 Codex App: https://t.co/EeHzGYzV7d,2042780052669239782,en,4398626122,['2042780055559114993'],2042780055559114993,6,8,106,1,10,105664,OpenAI
2026-04-11T01:41:32.000Z,🔗 ChatGPT Desktop: https://t.co/oUI4xDBePL,2042780052669239782,en,4398626122,['2042780054015611373'],2042780054015611373,5,7,117,0,17,110387,OpenAI
2026-04-11T01:41:32.000Z,"We recently identified a security issue involving the third-party developer library Axios that was part of a broader industry incident. We found no evidence that OpenAI user data was accessed, that our systems were compromised, or that our software was altered.

Out of an",2042780052669239782,en,,['2042780052669239782'],2042780052669239782,260,206,2716,128,779,1032493,OpenAI
2026-04-09T17:38:16.000Z,"Our existing $200 Pro tier still remains our highest usage option. And as a thank you to our existing Pro users on the $200 tier, we’re extending our 2x Codex usage promo (until May 31st) and we’ve reset your Codex rate limits (yes, again). https://t.co/93MKXSOzYH",2042296046009626989,en,,['2042296046009626989'],2042296046009626989,285,357,5101,176,434,709732,OpenAI
2026-04-09T17:36:51.000Z,https://t.co/AjmAVwyn1a,2042295688323875316,zxx,4398626122,['2042295692324991329'],2042295692324991329,22,36,598,3,62,242742,OpenAI
2026-04-09T17:36:51.000Z,"The Codex promotion for existing Plus subscribers ends today and as a part of this, we’re rebalancing Codex usage in Plus to support more sessions throughout the week, rather than longer sessions in a single day.

The Plus plan will continue to be the best offer at $20 for",2042295688323875316,en,4398626122,['2042295690382995789'],2042295690382995789,50,88,1380,68,117,329987,OpenAI
2026-04-09T17:36:50.000Z,"We’re updating our ChatGPT Pro and Plus subscriptions to better support the growing use of Codex.

We’re introducing a new $100/month Pro tier. This new tier offers 5x more Codex usage than Plus and is best for longer, high-effort Codex sessions. 

In ChatGPT, this new Pro tier",2042295688323875316,en,,['2042295688323875316'],2042295688323875316,1381,1169,15665,1214,2657,4426929,OpenAI
2026-04-06T17:12:57.000Z,"Introducing the OpenAI Safety Fellowship, a new program supporting independent research on AI safety and alignment—and the next generation of talent.

https://t.co/vAQKvf8KyO",2041202511647019251,en,,['2041202511647019251'],2041202511647019251,289,386,2632,91,1255,899498,OpenAI
2026-04-02T16:56:01.000Z,"ChatGPT is now available in CarPlay.

The voice mode you know, now available on-the-go.

Rolling out to iPhone users running iOS 26.4+ where CarPlay is supported. https://t.co/yk3qdLa99r https://t.co/aXQqH9MNuG",2039748699350532097,en,,['2039748699350532097'],2039748699350532097,841,762,10929,671,1233,6789872,OpenAI
