lang,edit_history_tweet_ids,text,id,conversation_id,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
en,['2042777095097717183'],"It REALLY feels like WrestleMania season..

@RandyOrton is SAVING THE BUSINESS

YOU'RE WELCOME #SmackDown https://t.co/zIhFNGWUU0 https://t.co/7ibAvgGiZd",2042777095097717183,2042777095097717183,2026-04-11T01:29:47.000Z,64,148,583,16,19,141728,,PatMcAfeeShow
en,['2042776238838943922'],"ONE MORE FOR THE ROAD

THAT IS EMBARRASSING #SmackDown https://t.co/VF1gUR4PKy https://t.co/AVweqmVkG1",2042776238838943922,2042776238838943922,2026-04-11T01:26:22.000Z,49,53,445,9,18,267114,,PatMcAfeeShow
en,['2042775966607643032'],"CAN'T TOUCH ME

GET EM @RANDYORTON #SmackDown https://t.co/FTscIK3p7v https://t.co/psVDtmT0NS",2042775966607643032,2042775966607643032,2026-04-11T01:25:18.000Z,41,32,674,4,42,293278,,PatMcAfeeShow
en,['2042775437152260463'],"WHERE ARE YOU GOING @CODYRHODES

""LOOK WHAT WE GOT HERE"" ~ @RANDYORTON

#SmackDown https://t.co/Cm6kklPMZs https://t.co/jFWtyvo2eG",2042775437152260463,2042775437152260463,2026-04-11T01:23:11.000Z,64,41,812,1,78,296183,,PatMcAfeeShow
en,['2042774760090931495'],"I HAVE A MESSAGE FOR EVERYBODY

IF @RANDYORTON DOESN'T WALK OUT OF WRESTLEMANIA AS A 15 TIME WORLD CHAMPION..

YOU WILL NEVER SEE OR HEAR FROM ME IN THIS BUSINESS EVER AGAIN #SmackDown https://t.co/WLdPo3cJaB https://t.co/owvtdTjsWR",2042774760090931495,2042774760090931495,2026-04-11T01:20:30.000Z,66,202,644,29,27,280791,,PatMcAfeeShow
en,['2042774227078779108'],"I AM HOME

I WAS BORN TO BE IN THIS BUSINESS

YOU’RE A COSPLAY CHAMPION @CodyRhodes 

#SmackDown https://t.co/1vb8vOnrHU",2042774227078779108,2042774227078779108,2026-04-11T01:18:23.000Z,65,36,685,7,31,207860,,PatMcAfeeShow
en,['2042772772938748405'],"I DECIDED TO HELP OUT WRESTLING FANS

25% 0FF ALL TICKETS TO WRESTLEMANIA SATURDAY NIGHT...

FROM NOW UNTIL MONDAY NIGHT RAW

YOU CAN THANK ME SAN JOSE #SmackDown https://t.co/1Ps8X7Je0j https://t.co/O2lfF8yug3",2042772772938748405,2042772772938748405,2026-04-11T01:12:36.000Z,57,184,623,20,20,207791,,PatMcAfeeShow
en,['2042772221039644963'],"CM PUNK IS ALL TALK NO ACTION

I AM A MAN OF ACTION #SmackDown https://t.co/o2hqqjn1ue https://t.co/lHhcn76bgR",2042772221039644963,2042772221039644963,2026-04-11T01:10:25.000Z,55,53,474,8,24,297922,,PatMcAfeeShow
en,['2042771635082793382'],"I HAVE A SIMPLE QUESTION FOR CM PUNK

WHEN THAT TKO MERCH CHECK COMES THRU WHICH ACCOUNT DOES IT GO TO...

HE'S A FRAUD #SmackDown https://t.co/dZKGHAlDcS",2042771635082793382,2042771635082793382,2026-04-11T01:08:05.000Z,118,136,1203,24,84,218623,,PatMcAfeeShow
en,['2042770800995111162'],"🖕🖕

CUT THE MUSIC #SmackDown https://t.co/Agl4TIRdLG",2042770800995111162,2042770800995111162,2026-04-11T01:04:46.000Z,99,71,1093,8,66,93660,,PatMcAfeeShow
