id,lang,edit_history_tweet_ids,text,created_at,conversation_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
2018350892395774116,en,"['2018347588890591454', '2018349642417639476', '2018350892395774116']","The following email is what I sent my team last night. I sent a similar version to my patients, also. 

***

You’ve put your trust, your credibility, and your hard work into what we have built together, and I take that responsibility seriously. You deserve a complete and honest",2026-02-02T15:48:46.000Z,2018350892395774116,300,6914,4662,775,3387,6860677,PeterAttiaMD
2017961251284959317,en,['2017961251284959317'],"A closer look at the MET-PREVENT trial and what its null results reveal about aging interventions and trial design. Full article linked below.

https://t.co/2oD1n8DsbH",2026-02-01T14:00:28.000Z,2017961251284959317,13,1164,207,77,140,932552,PeterAttiaMD
2016874088736670167,en,['2016874088736670167'],"A study linking statins, the microbiome, and blood sugar control doesn’t change clinical practice. Full article linked below.

https://t.co/iOdk2LskoJ",2026-01-29T14:00:29.000Z,2016874088736670167,17,152,150,5,129,227356,PeterAttiaMD
2015424493687128268,en,['2015424493687128268'],"Atherosclerosis is not the only possible cause of a heart attack (myocardial infarction), and women are more prone to alternative causes than men. A closer look at the data tells a different story. Full article linked below.

https://t.co/Lddm0RpqSX",2026-01-25T14:00:18.000Z,2015424493687128268,31,58,224,1,109,88751,PeterAttiaMD
2014337529462305263,en,['2014337529462305263'],"Why ingredient changes don’t always mean healthier food | Layne Norton, Ph.D. (@BioLayne) 

This clip is from episode # 380 of The Drive which was released on 1/19/26.

In the full episode, we cover:

-The core arguments against seed oils: the four main claims underlying the idea https://t.co/GD8QTbi59w",2026-01-22T14:01:06.000Z,2014337529462305263,14,66,168,2,65,77627,PeterAttiaMD
2013612775159878007,en,['2013612775159878007'],"The evolutionary argument against eating seed oils | Layne Norton, Ph.D. (@biolayne)

This clip is from episode # 380 of The Drive which was released on 1/19/26.

In the full episode, we cover:

-The core arguments against seed oils: the four main claims underlying the idea that https://t.co/Xl2wSsDoEE",2026-01-20T14:01:11.000Z,2013612775159878007,26,77,385,3,178,93424,PeterAttiaMD
2013250366045868509,en,['2013250366045868509'],"In #380 of The Drive, I sit down with Layne Norton, PhD, (@biolayne) to debate seed oils. Layne lays out the case that seed oils are not uniquely harmful under isocaloric conditions, while I steelman the strongest versions of the opposing argument. 

https://t.co/wjwFbOutkv",2026-01-19T14:01:06.000Z,2013250366045868509,21,109,341,22,150,216788,PeterAttiaMD
2012887760634249523,en,['2012887760634249523'],"A viral wearable-data study suggests that one minute of vigorous exercise can replace 156 minutes of low-intensity movement. A closer look at the data tells a different story. Full article linked below.

https://t.co/JTrgOvngCd",2026-01-18T14:00:14.000Z,2012887760634249523,35,42,464,6,224,94540,PeterAttiaMD
2011800877678436586,en,['2011800877678436586'],"The VO₂ accuracy of wearables | Peter Attia

This clip is from episode # 379 of The Drive which was released on 1/12/26.

In the full episode, we cover:

-Use the base-and-peak model to structure your week, knowing what belongs in “base,” what belongs in “peak,” and how to https://t.co/I7l8AfOfLa",2026-01-15T14:01:21.000Z,2011800877678436586,28,38,442,3,309,93210,PeterAttiaMD
2011076032216850656,en,['2011076032216850656'],"Why higher VO₂ max is important | Peter Attia

This clip is from episode # 379 of The Drive which was released on 1/12/26.

In the full episode, we cover:

-Use the base-and-peak model to structure your week, knowing what belongs in “base,” what belongs in “peak,” and how to https://t.co/zRV8XWQwmt",2026-01-13T14:01:04.000Z,2011076032216850656,57,22,585,4,371,89068,PeterAttiaMD
