conversation_id,edit_history_tweet_ids,text,id,created_at,lang,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
2042286920257229085,['2042286920257229085'],Would you attend @rhettlashlee's Masters Dinner? 🤔 https://t.co/aY4z6IjOJr,2042286920257229085,2026-04-09T17:02:00.000Z,en,5,10,132,3,8,21676,SMUMustangs
2042233990539595867,['2042233990539595867'],Y'all know who we're rocking with. https://t.co/4HdNkXRYIU https://t.co/CSTXaSkAza,2042233990539595867,2026-04-09T13:31:40.000Z,en,11,1,136,0,1,6510,SMUMustangs
2041313915880038416,"['2041304954225262953', '2041313915880038416']",This week on the Hilltop ⬇️ https://t.co/gET875nRGh,2041313915880038416,2026-04-07T00:35:37.000Z,en,1,0,8,0,0,650,SMUMustangs
2041175408196935999,['2041175408196935999'],"Today, we celebrate our incredible student-athletes 🥳

Happy National Student-Athlete Day! https://t.co/7sM6xEkvqs",2041175408196935999,2026-04-06T15:25:15.000Z,en,15,0,33,0,1,1874,SMUMustangs
2040791718929297458,['2040791718929297458'],"Happy Easter, Mustang Family! https://t.co/mPMuNI99VB",2040791718929297458,2026-04-05T14:00:36.000Z,en,14,0,100,0,0,1911,SMUMustangs
2039818143908962471,['2039818143908962471'],"Mustang Champions of March 🏆

Congratulations to Addison Nichols, Landon Hickam, Makenna Bomke, and Sophia Dooley for being named the Mustang Champions for the month of March! https://t.co/bUOQkL82Bd",2039818143908962471,2026-04-02T21:31:58.000Z,en,3,1,20,0,0,1451,SMUMustangs
2039488439758770213,['2039488439758770213'],https://t.co/gutplhyaJm https://t.co/UTqRjliJPH,2039488439758770213,2026-04-01T23:41:50.000Z,zxx,15,4,452,3,11,26271,SMUMustangs
2039357079350104561,['2039357079350104561'],SMU Athletics has been made aware of reports that Peruna is currently missing. We are actively monitoring the situation and will provide updates as more information becomes available. https://t.co/5Woq0Ivt0F,2039357079350104561,2026-04-01T14:59:51.000Z,en,12,17,287,21,13,143982,SMUMustangs
2039125640142537072,['2039125640142537072'],"Congratulations to our DoubleTree student-athletes of the week!

🎾 Sophie Llewellyn
🎾 Jerry Barton
🏊 Luke Sitz
🏊 Jack Berube

#GoMustangs | @DoubleTreeDCC https://t.co/uESYzQhSkA",2039125640142537072,2026-03-31T23:40:12.000Z,en,3,0,4,0,1,677,SMUMustangs
2037297310971887896,['2037297310971887896'],"Congratulations to our DoubleTree student-athletes of the week!

⛳ Emily Odwin
🎾 Addison Comiskey
🎾 Caroline McGinley
⛳ William Sides
🏃‍♀️ Nea Sanders

#GoMustangs | @DoubleTreeDCC https://t.co/TWJXQUAuwc",2037297310971887896,2026-03-26T22:35:04.000Z,en,0,0,7,0,0,645,SMUMustangs
2037167694521241924,['2037167694521241924'],"Good luck this season, @Rangers! https://t.co/tl6ctRZJWm",2037167694521241924,2026-03-26T14:00:01.000Z,en,5,1,119,0,0,2691,SMUMustangs
2036236786528104790,['2036236786528104790'],Matchups you don’t want to miss 👀 https://t.co/rHwbbJIAeJ,2036236786528104790,2026-03-24T00:20:56.000Z,en,2,0,8,0,0,698,SMUMustangs
2035133117455863937,['2035133117455863937'],Spring break on the hilltop &gt;&gt; https://t.co/TH3hAfMnBk,2035133117455863937,2026-03-20T23:15:20.000Z,en,2,0,40,0,0,1716,SMUMustangs
2034442362642927820,['2034442362642927820'],We see you @rhettlashlee 😎 https://t.co/vXZWRs8ciZ,2034442362642927820,2026-03-19T01:30:32.000Z,en,13,15,242,0,3,11146,SMUMustangs
2034284188405518447,['2034284188405518447'],"Boopie Miller &amp; Jaron Pierre Jr. Voted NABC All-District
https://t.co/VNFwsmlIoc",2034284188405518447,2026-03-18T15:02:00.000Z,en,0,0,14,0,0,575,SMUMustangs
2034267314258911550,['2034267314258911550'],"Mustangs Celebrate Return To March Madness

""We're looking forward to representing our school and the ACC in Dayton on Wednesday night.""
https://t.co/zIh0YmGDr8",2034267314258911550,2026-03-18T13:54:57.000Z,en,3,0,33,0,0,1285,SMUMustangs
2034027009345515599,['2034027009345515599'],"Congratulations to our DoubleTree student-athletes of the week!

⛳ Celine Chen
🎾 Trevor Svajda
🎾 Caroline McGinley

#GoMustangs | @DoubleTreeDCC https://t.co/EZaYZzmYfa",2034027009345515599,2026-03-17T22:00:04.000Z,en,3,0,9,0,0,622,SMUMustangs
2033545692531335361,['2033545692531335361'],Join us at 1:30 today at the Crum Basketball Center to help send off @SMUBasketball in style! https://t.co/cEcKy6L3sS,2033545692531335361,2026-03-16T14:07:29.000Z,en,5,3,49,0,0,4207,SMUMustangs
2033310666522574877,['2033310666522574877'],https://t.co/L0j1g55ZJk https://t.co/cEcKy6KvDk,2033310666522574877,2026-03-15T22:33:34.000Z,zxx,18,1,143,1,1,8286,SMUMustangs
2031787189844005362,['2031787189844005362'],"The ACC knew who to call.

Pyro Joe reporting for duty 🫡 https://t.co/mhVeEmsbhE",2031787189844005362,2026-03-11T17:39:49.000Z,en,6,0,50,0,0,1720,SMUMustangs
2031493525263564984,['2031493525263564984'],Shoutout to the spirit squad 🤩 https://t.co/9fZHP2yBPy,2031493525263564984,2026-03-10T22:12:54.000Z,en,1,0,16,0,0,1219,SMUMustangs
2031490209217409481,['2031490209217409481'],The best band in the land. https://t.co/Cg6HMAikVx,2031490209217409481,2026-03-10T21:59:43.000Z,en,1,0,23,0,0,894,SMUMustangs
2031472583179202931,['2031472583179202931'],"Congratulations to our DoubleTree student-athletes of the week!

🎾 Caroline McGinley
🎾 Georgi Georgiev
🐎 Caroline Signorino

#GoMustangs | @DoubleTreeDCC https://t.co/hZXWv7Qsao",2031472583179202931,2026-03-10T20:49:41.000Z,en,1,0,7,0,0,458,SMUMustangs
2031450893208404080,['2031450893208404080'],Mustangs on the move https://t.co/pSwYxWBG4r,2031450893208404080,2026-03-10T19:23:30.000Z,en,1,0,14,1,0,904,SMUMustangs
2031400942940176663,['2031400942940176663'],Help us send the team off in style at the Grand Bohemian in Charlotte at 2:45 ET! https://t.co/uEDGmViR0k,2031400942940176663,2026-03-10T16:05:01.000Z,en,2,1,9,0,0,1377,SMUMustangs
2029993218729738525,['2029993218729738525'],"One last ride tomorrow for our seniors &lt;3 🐎

📰: https://t.co/6frHGN8low

#GoMustangs | #EarnIt",2029993218729738525,2026-03-06T18:51:13.000Z,en,1,0,7,0,0,341,SMUMustangs
2029590221214396554,['2029590221214396554'],"Mustang Partners and Learfield have named Kyle Beatrice Robbins General Manager of Mustang Sports Properties.

Welcome to the Mustang Family, Kyle!

➡️ https://t.co/9nJ3bbUUdQ https://t.co/mb2lf3HLVQ",2029590221214396554,2026-03-05T16:09:51.000Z,en,7,2,67,0,8,10230,SMUMustangs
2029367065484660835,['2029367065484660835'],Find someone that looks at you the way that Jaron looks at the rim 😮‍💨 https://t.co/wEbvRjfgBk https://t.co/yaEjlW2FLW,2029367065484660835,2026-03-05T01:23:06.000Z,en,1,5,20,0,0,3166,SMUMustangs
2029356015804617123,['2029356015804617123'],Buckets on and off the court https://t.co/WGaFRnCm49,2029356015804617123,2026-03-05T00:39:12.000Z,en,1,0,20,0,0,907,SMUMustangs
2029351544890478973,['2029351544890478973'],The champs are here 🏆 https://t.co/4Dxnlk4hhQ,2029351544890478973,2026-03-05T00:21:26.000Z,en,11,1,48,0,0,4714,SMUMustangs
2028958944735920210,['2028958944735920210'],"Congratulations to our DoubleTree student-athletes of the week!

🏊 Francis Brennan
🎾 Amelie Van Impe
🏃‍♀️ Renee Finke
🏃‍♀️ Cleo Martin-Evans

#GoMustangs | @DoubleTreeDCC https://t.co/Iqy1BgZH7K",2028958944735920210,2026-03-03T22:21:23.000Z,en,1,0,11,0,0,495,SMUMustangs
2028509826125320564,['2028509826125320564'],"Mentalist @magiciangrant had @rhettlashlee and @coachGriz91 shook 🤣

Catch him again at Moody on Wednesday night! https://t.co/iGgIxCLHGH",2028509826125320564,2026-03-02T16:36:45.000Z,en,5,0,52,0,3,4581,SMUMustangs
2027420912337768489,['2027420912337768489'],"Mustang Champions of February 🏆

Congratulations to Nathan Kinser, Jaden Toombs, Shaelyn Boutelle, and Favor Anyanwu for being named the Mustang Champions for the month of February! https://t.co/7wT5xMNBnw",2027420912337768489,2026-02-27T16:29:47.000Z,en,6,3,21,0,0,1013,SMUMustangs
2027067004809539701,['2027067004809539701'],"Yesterday, @jamesproche3 and his family took part in the grand opening of the Tasha Mosby Relaxation Room at the Dr. Bob Smith Health Center on campus.

The room, dedicated in honor of James' late mother, will provide a safe space with mental health resources for students 💙 https://t.co/QXZK1EzTX8",2027067004809539701,2026-02-26T17:03:29.000Z,en,10,1,64,2,0,4156,SMUMustangs
2026335266718269920,['2026335266718269920'],"Congratulations to our DoubleTree student-athletes of the week!

🏊 Maddy Parker
🎾 Amelie Van Impe
🎾 Georgi Georgiev
🏀 Boopie Miller

#GoMustangs | @DoubleTreeDCC https://t.co/R7HETgip7v",2026335266718269920,2026-02-24T16:35:49.000Z,en,0,0,16,1,0,699,SMUMustangs
