conversation_id,text,id,edit_history_tweet_ids,lang,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
2042830963130986933,MAX MUNCY'S THIRD HOMER OF THE NIGHT IS A WALK-OFF WINNER 😱 https://t.co/SgLRhFV4GL,2042830963130986933,['2042830963130986933'],en,2026-04-11T05:03:50.000Z,154,26,1292,12,45,58117,,SportsCenter
2042818070930960857,"In honor of Artemis II, @Phil_Sports and @treavorscales count down to biggest 'splashdowns' in sports history 💧 https://t.co/R7KyJvIner",2042818070930960857,['2042818070930960857'],en,2026-04-11T04:12:36.000Z,21,14,160,5,13,63779,,SportsCenter
2042812082345672716,.@swipathefox joins SportsCenter to discuss Wemby and the surging Spurs 🦊 https://t.co/zpLHt857rC,2042812082345672716,['2042812082345672716'],en,2026-04-11T03:48:48.000Z,53,19,584,1,74,73729,,SportsCenter
2042810638624251995,"WILD ENDING IN UFL OVERTIME 😱 

The Orlando Storm won the game after being awarded two points for a penalty during sudden death in overtime 😳 https://t.co/C7tZS5zYFw",2042810638624251995,['2042810638624251995'],en,2026-04-11T03:43:04.000Z,92,111,1031,50,109,191480,,SportsCenter
2042804451094802837,.@michaeleaves and Andy North put into perspective @McIlroyRory's historic start to the Masters ⛳🔥 https://t.co/BNYd2zIsEV,2042804451094802837,['2042804451094802837'],en,2026-04-11T03:18:29.000Z,12,13,125,0,13,79952,,SportsCenter
2042792368521261227,Lil Yachty noooo 😭 (via @WWE) https://t.co/v9xlWYMTA9,2042792368521261227,['2042792368521261227'],cs,2026-04-11T02:30:28.000Z,311,112,5254,59,455,398508,,SportsCenter
2042789465387610438,"Cam Boozer joined an elite list of Wooden Award winners 🏆

... but we still had to get one jab in at Dad before the ceremony ended 😅 https://t.co/Ml9FAyHX3Z",2042789465387610438,['2042789465387610438'],en,2026-04-11T02:18:56.000Z,84,31,1221,1,111,206508,,SportsCenter
2042784011760665070,"Elite freshmen only 🔥 

Cam Boozer joins elite company as the fifth freshman to win the men's Wooden Award 🏆 https://t.co/vBntmH45Oa",2042784011760665070,['2042784011760665070'],en,2026-04-11T01:57:16.000Z,444,64,3507,31,70,184173,,SportsCenter
2042781783012335864,"SARAH. STRONG. 💪 

The UConn sophomore wins the women's Wooden Award 🔥 https://t.co/OxaN30BYOh",2042781783012335864,['2042781783012335864'],en,2026-04-11T01:48:24.000Z,624,57,4299,33,50,226774,,SportsCenter
2042776842881380791,"With a loss to the Pistons, the Hornets are officially locked into the Play-In 🔒 https://t.co/2zCM5jvQ7F",2042776842881380791,['2042776842881380791'],en,2026-04-11T01:28:46.000Z,289,94,6268,54,88,315703,,SportsCenter
2042753631569445373,"LaMelo passed up a wide open two on the break ...

to shoot a three 😭 https://t.co/kN5tpSAZKi",2042753631569445373,['2042753631569445373'],en,2026-04-10T23:56:32.000Z,4529,1169,68947,1408,3477,5072005,,SportsCenter
2042721136719405535,"While headlining WrestleMania is the ultimate honor, opening the show has become just as meaningful.

Let’s take a look at some notable WrestleMania opening matches from previous years 🏆⬇️ https://t.co/czljcJJdqh",2042721136719405535,['2042721136719405535'],en,2026-04-10T21:47:25.000Z,12,12,61,0,5,162723,,SportsCenter
2042706158297747901,"BOUNCED IT OFF THE FLAG STICK 😱

Kristoffer Reitan was THAT close to an ace 😮‍💨 https://t.co/pMYCOv3lIe",2042706158297747901,['2042706158297747901'],en,2026-04-10T20:47:54.000Z,21,9,515,0,13,167269,,SportsCenter
2042659282705908215,Watch more Masters Tournament coverage on the ESPN App ⛳️ https://t.co/Lpr4JpMjjr,2042659481729802714,['2042659481729802714'],en,2026-04-10T17:42:25.000Z,2,2,18,0,2,144856,26257166,SportsCenter
2042659282705908215,Justin Rose's shot appeared to bounce off the top of a rake to avoid further trouble 😱 https://t.co/Ikizlujsf6,2042659282705908215,['2042659282705908215'],en,2026-04-10T17:41:38.000Z,39,27,1517,6,59,580110,,SportsCenter
2042644945597497800,Rafael Nadal joined Welcome to the Masters to talk about this year's tournament and more⛳ https://t.co/yshxus1fLM,2042644945597497800,['2042644945597497800'],en,2026-04-10T16:44:40.000Z,188,80,2187,32,279,434930,,SportsCenter
