created_at,lang,text,edit_history_tweet_ids,conversation_id,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
2026-04-11T01:00:15.000Z,en,"The long-awaited anime adaptation of Rumiko Takahashi’s supernatural adventure has arrived! Leap through time with Nanoka as she travels back to Taisho-era Japan to meet the mysterious curse hunter, Mao!

Mao, Chs. 1–8 are now free for a limited time in VIZ Manga! Get ahead of https://t.co/Ws8XLuaWrp",['2042769663201821012'],2042769663201821012,2042769663201821012,46,1,173,2,14,7102,VIZMedia
2026-04-10T23:50:07.000Z,en,"Cover reveal! ⚔️
Dragon Quest: The Adventure of Dai, Vol. 7 releases August 4, 2026.
Pre-order now: https://t.co/hv7MB7adpL https://t.co/qa62QqNRMA",['2042752013163704332'],2042752013163704332,2042752013163704332,22,5,102,4,8,6857,VIZMedia
2026-04-10T23:45:09.000Z,en,"Cover reveal! 🚢
Sakamoto Days, Vol. 23 releases September 15, 2026.
Pre-order now: https://t.co/fqLCMmA020 https://t.co/Q75VZe9mBA",['2042750763793867024'],2042750763793867024,2042750763793867024,19,3,126,0,7,5917,VIZMedia
2026-04-10T23:40:08.000Z,en,"Cover reveal! 💥
Phantom Busters, Vol. 5 releases October 6, 2026.
Pre-order now: https://t.co/jsYfZHRAxo https://t.co/5E9ba9jQM6",['2042749504160448589'],2042749504160448589,2042749504160448589,12,1,57,1,5,4589,VIZMedia
2026-04-10T23:35:07.000Z,en,"Cover reveal! 🧟
Dandadan, Vol. 21 releases October 6, 2026.
Pre-order now: https://t.co/06xsJpc486 https://t.co/LUBX21yT2m",['2042748241775579519'],2042748241775579519,2042748241775579519,31,3,285,0,17,8685,VIZMedia
2026-04-10T23:30:13.000Z,en,"Cover reveal! 🧸
The Mortifying Ordeal of Being Seen, Vol. 2 releases July 21, 2026.
Pre-order now: https://t.co/KtMZLDTV26 https://t.co/3IQB8IUzhc",['2042747008541167890'],2042747008541167890,2042747008541167890,4,2,51,0,15,4125,VIZMedia
2026-04-10T23:25:06.000Z,en,"Cover reveal! 🛍️
Sakamoto Holidays, Vol. 2 releases August 18, 2026.
Pre-order now: https://t.co/IPzv11SP6M https://t.co/jo9iwosvIy",['2042745718876610730'],2042745718876610730,2042745718876610730,11,1,80,0,7,5139,VIZMedia
2026-04-10T23:20:09.000Z,en,"Cover reveal! 💋
Akira Failing in Love, Vol. 3 releases July 14, 2026.
Pre-order now: https://t.co/jvcDhmG8Bp https://t.co/d2EZbt2gEu",['2042744473357091182'],2042744473357091182,2042744473357091182,5,2,54,0,6,4206,VIZMedia
2026-04-10T23:15:08.000Z,en,"Cover reveal! ⌨️
Bug Ego, Vol. 2 releases July 21, 2026.
Pre-order now: https://t.co/1Jk9H11WF7 https://t.co/Ad4KM8Y2Md",['2042743211974701137'],2042743211974701137,2042743211974701137,13,1,86,0,11,5589,VIZMedia
2026-04-10T23:10:09.000Z,en,"Cover reveal! 🏙️
Alice in Borderland Retry releases July 21, 2026.
Pre-order now: https://t.co/JK9Ga3cANZ https://t.co/UTGeelzObS",['2042741955994570901'],2042741955994570901,2042741955994570901,10,0,80,3,17,5527,VIZMedia
2026-04-10T23:05:06.000Z,en,"Cover reveal! 🤠
The Marshal King, Vol. 1 releases August 4, 2026.
Pre-order now: https://t.co/Eb63dYjjCv https://t.co/AKbdbVKpoo",['2042740685854404923'],2042740685854404923,2042740685854404923,30,4,182,0,27,8858,VIZMedia
2026-04-10T23:00:18.000Z,en,"Cover reveal! 🐶
Taika's Reason, Vol. 1 releases July 21, 2026.
Pre-order now: https://t.co/zy07TRCOFV https://t.co/VmBowjY81z",['2042739478595326206'],2042739478595326206,2042739478595326206,15,0,80,2,17,5591,VIZMedia
2026-04-10T22:00:20.000Z,en,"From Kuroko no Basket creator Tadatoshi Fujimaki comes an elite hitman turned… middle schooler!? See the chaos for yourself in Kill Blue 💙

Read a free preview Kill Blue, Vol. 1: https://t.co/tJQ9mzAAhA https://t.co/wryqhuWeJ2",['2042724388475212010'],2042724388475212010,2042724388475212010,4,0,47,0,10,4779,VIZMedia
2026-04-10T21:00:20.000Z,en,"New from Shonen Jump! Gokurakugai, Vol. 5 is now available in print and digital!

Read a free preview of Gokurakugai, Vol. 5: https://t.co/0PfrVDvmOi https://t.co/4bdEMVKZh9",['2042709287747649872'],2042709287747649872,2042709287747649872,12,3,78,1,8,5463,VIZMedia
2026-04-10T18:30:08.000Z,en,They don’t know what’s about to happen on the field 😬 (via Captain Tsubasa: The Complete Season) https://t.co/Rqn8cZ8pS7,['2042671486566023286'],2042671486566023286,2042671486566023286,6,3,56,0,5,5535,VIZMedia
2026-04-10T17:00:30.000Z,en,"Can Ichi really beat Hisame or will he end up sleeping with the fishes? (via Ichi the Witch, Vol. 2) https://t.co/5Y5uIeoron",['2042648931989958809'],2042648931989958809,2042648931989958809,12,2,138,0,6,6702,VIZMedia
2026-04-10T16:00:46.000Z,en,"New from Shonen Jump! Marriage Toxin, Vol. 12 is now available in print and digital!

Read a free preview: https://t.co/fBoEcg4Ccj https://t.co/B9B8WPngvD",['2042633899952463904'],2042633899952463904,2042633899952463904,6,2,74,1,5,6035,VIZMedia
2026-04-10T02:29:35.000Z,en,"Can't wait for @glitch_prod to do it with manga, too https://t.co/M4hBxOr0D2",['2042429760106872994'],2042429760106872994,2042429760106872994,3,2,45,0,2,10015,VIZMedia
2026-04-09T23:00:18.000Z,en,Teamwork makes the dream work 🤝(via Captain Tsubasa: Junior Youth Arc) https://t.co/IyzuwY273L,['2042377089781809329'],2042377089781809329,2042377089781809329,12,5,83,2,5,8509,VIZMedia
2026-04-09T22:00:20.000Z,en,"New from Shonen Jump! Ichi the Witch, Vol. 2 is now available in print and digital!

Read a free preview: https://t.co/w4FSDCMN3v https://t.co/VPSetChrzZ",['2042361997463793893'],2042361997463793893,2042361997463793893,31,3,260,4,18,10172,VIZMedia
2026-04-09T21:00:34.000Z,en,"If you’re tired of the same old tropes, you need to read Dandadan right now. It's multiple genres in one immaculate package https://t.co/nS4sd0HqDN",['2042346958027624733'],2042346958027624733,2042346958027624733,3,3,37,0,4,6696,VIZMedia
2026-04-09T17:30:11.000Z,en,The dream team is coming together 💪 (via Captain Tsubasa: The Complete Season) https://t.co/hDo0fIDHxk,['2042294014469083177'],2042294014469083177,2042294014469083177,16,5,122,1,4,7984,VIZMedia
2026-04-09T16:30:12.000Z,en,"New from Shonen Jump! Astro Royale, Vol. 5 is now available in print and digital!

Read a free preview: https://t.co/GQ8sLcfJe4 https://t.co/TOV4Spwtr3",['2042278920033112246'],2042278920033112246,2042278920033112246,9,4,55,1,7,6425,VIZMedia
2026-04-09T14:30:12.000Z,en,"Gentle by nature, fierce when it counts. 🐺🖤 Happy Birthday to Legoshi! https://t.co/n1zKjrYRVB",['2042248719848919146'],2042248719848919146,2042248719848919146,580,5,2973,19,221,36199,VIZMedia
2026-04-08T21:30:11.000Z,en,"Power wrapped in perfection. 💫(via Blue Exorcist, Vol. 32) https://t.co/wtRZPjSVn2",['2041992023654203493'],2041992023654203493,2041992023654203493,9,3,135,0,33,10556,VIZMedia
2026-04-08T20:00:23.000Z,en,"New from Shonen Jump! Blue Exorcist, Vol. 32 is now available in print and digital!

Read a free preview: https://t.co/V4ihWunMtX https://t.co/B9xpssZMYP",['2041969423397920849'],2041969423397920849,2041969423397920849,19,2,135,2,7,7913,VIZMedia
2026-04-08T18:00:25.000Z,en,"Captain Tsubasa: The Complete Season is now available on DVD!

Learn more: https://t.co/OSFaZTOXJb https://t.co/PuK81zuz11",['2041939233229717988'],2041939233229717988,2041939233229717988,14,9,83,0,4,8354,VIZMedia
2026-04-08T17:00:24.000Z,en,Something's not right with Zuma?! (via #Dandadan Vol. 18) https://t.co/GX2QTHcA65,['2041924128920281353'],2041924128920281353,2041924128920281353,4,1,77,0,1,6833,VIZMedia
