created_at,edit_history_tweet_ids,text,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
2024-04-09T17:46:52.000Z,['1777755071352058320'],"Heavy metals are everywhere in the environment and they can be nearly impossible to avoid - but you can lower your baby's exposure. 
https://t.co/ayHORpnMf4",1777755071352058320,0,0,0,0,0,841
2024-04-04T17:26:27.000Z,['1775937991724429807'],"Costco is having a huge sale on Similac formula — now is the perfect time to stock up! 

https://t.co/KB5mgvgelt",1775937991724429807,0,1,0,0,1,1133
2024-04-03T16:07:23.000Z,['1775555708286828795'],"From the rise of Emma to the fall of Karen, here are the 20 moments that defined baby names in the last 20 years! 🙌

https://t.co/7IYE1lwlxX",1775555708286828795,0,1,2,0,0,1249
2024-04-01T21:50:04.000Z,['1774917171430510991'],Your mini can grill on this cute pretend set up. https://t.co/meLu3YCdiy,1774917171430510991,0,0,4,0,0,659
2024-03-29T16:34:33.000Z,['1773750604114039114'],"Parents can't stop talking about this affordable Nugget dupe being sold at Costco!  🙌

https://t.co/UhlHVLk7gK",1773750604114039114,0,1,0,0,0,550
2024-03-28T17:16:25.000Z,['1773398752952533191'],"These top-rated prenatal vitamins are on sale right now at Costco! 💊🏷️

https://t.co/JtOpY1Ctlc",1773398752952533191,1,0,1,0,0,495
2024-03-28T16:56:07.000Z,['1773393643594006765'],"Find out why bonoch’s baby monitor has other non-Wi-Fi devices beat! 

https://t.co/AMVASapAqy",1773393643594006765,0,0,2,0,0,385
2024-03-27T17:00:12.000Z,['1773032285564002522'],"Cameron Diaz just had her second baby! Find out what sweet bird name she chose, as well as other avian-inspired names for your little one. 🐣

https://t.co/FaYWqw4Ty5",1773032285564002522,0,0,5,0,0,474
2024-03-27T02:36:17.000Z,['1772814873371574526'],Graco's Top-Rated Stroller Wagon Is a Steal Right Now at $199 https://t.co/l6brT2kTu1,1772814873371574526,0,0,4,0,0,691
2024-03-22T16:49:56.000Z,['1771217758887239703'],This is the perfect toy if your little one loves pretend play. https://t.co/N5ZxLlmIHi,1771217758887239703,0,1,6,0,0,705
2024-03-21T20:52:08.000Z,['1770916325407461563'],RT @ziffdavis: A new list from @ziffdavis' @BabyCenter reveals the top 10 spring-themed baby names that are growing in popularity and celeb…,1770916325407461563,1,0,0,0,0,0
2024-03-21T16:12:08.000Z,['1770845861934731500'],"These ""toys"" can be deadly, and if you have younger kids, they don't belong in your home. https://t.co/Kxjwnqv9d2",1770845861934731500,1,0,3,0,0,587
2024-03-20T15:51:28.000Z,['1770478269659566381'],Costco has everything you need to fill your Easter basket this year. https://t.co/BxAETw6EK7,1770478269659566381,0,0,1,0,0,618
2024-03-20T15:45:02.000Z,['1770476650875990249'],Spring is here and these baby names are all in bloom!💐🌸https://t.co/GeiGIxbMJ9,1770476650875990249,1,0,3,0,0,471
2024-03-19T11:46:19.000Z,['1770054191521697887'],25 shockingly cute spring maternity dresses you can buy on Amazon https://t.co/2QD1tdjflq,1770054191521697887,1,0,7,0,0,1308
2024-03-13T19:38:55.000Z,['1767998795579797872'],Add these to your cart along with diapers and the famed rotisserie chicken. https://t.co/RYUEWWOhAC,1767998795579797872,0,1,1,0,0,562
2024-03-13T16:48:33.000Z,['1767955920624271580'],Who else is ready for a vacation? 🙋‍♀️ https://t.co/yzqfAyrejr,1767955920624271580,0,0,4,0,0,494
2024-03-11T20:48:26.000Z,['1767291514625966266'],"These Bentgo kids' lunch boxes are a parent (and kid) favorite — and right now you can get 3 at Costco for only $40! They're usually sold for $28 each. 🙌
https://t.co/6TThC1sWXx",1767291514625966266,0,0,3,0,0,624
2024-03-08T18:05:27.000Z,['1766163335035105602'],"Let your kids help out in the yard this spring with this adorable Costco gardening kit designed for small hands. 👩‍🌾
https://t.co/E0oLOFh7Qu",1766163335035105602,2,0,4,0,0,612
2024-03-07T19:51:57.000Z,['1765827750995378180'],"This baby monitor works with or without Wi-Fi, giving you the best of both worlds! 

https://t.co/F3TP1qFoy8",1765827750995378180,0,0,5,0,0,591
2024-03-07T18:27:05.000Z,['1765806391426711983'],"Looking for a hands-free way to pump discreetly on the go? Then this is the perfect wearable pump for you — and right now it's 15% off!

https://t.co/NOtFhJEcRx",1765806391426711983,1,0,0,0,0,418
2024-03-07T15:46:12.000Z,['1765765905311518811'],Early learning toolkit for moms-to-be https://t.co/ToddVwAS9T,1765765905311518811,0,0,1,0,0,416
