text,lang,conversation_id,edit_history_tweet_ids,created_at,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
"Anthropic's Mythos AI model sparked cybersecurity concerns, but some think it's been overhyped. Here's what smart people re saying. https://t.co/xD7e27JaLE",en,2042758883693797826,['2042758883693797826'],2026-04-11T00:17:25.000Z,2042758883693797826,1,1,9,1,3,4820,BusinessInsider
"""I will enter a temporary restraining order,"" the judge said, granting the CFTC's request to halt the state's prosecution. https://t.co/QQGdTom6Ff",en,2042756282252169493,['2042756282252169493'],2026-04-11T00:07:04.000Z,2042756282252169493,0,0,2,0,0,4194,BusinessInsider
"GDP is old news. Gross Domestic Intelligence is  becoming the real flex, and the US (and Google) are lapping the world while China trails hard. https://t.co/ZJsPAtrtEI",en,2042733598386626999,['2042733598386626999'],2026-04-10T22:36:56.000Z,2042733598386626999,0,0,4,0,1,4383,BusinessInsider
"A Microsoft exec said your AI agents should pay for SaaS seats. Genius pricing hack, or double billing in disguise? The fight over AI economics is on. https://t.co/BjNyolF0dx",en,2042726129211949261,['2042726129211949261'],2026-04-10T22:07:15.000Z,2042726129211949261,2,0,2,1,2,4543,BusinessInsider
"Thousands converged in downtown San Francisco this week for HumanX, one of the year's biggest AI conferences, proving people prefer interacting with humans rather than AI agents.  Talking to VCs inside the cavernous underground conference center, the co... https://t.co/NMMJqy5Lkr",en,2042724852042219809,['2042724852042219809'],2026-04-10T22:02:11.000Z,2042724852042219809,0,0,1,0,0,3773,BusinessInsider
"Marines expected gamers to excel at flying drones. Instead, dirt bikers and boaters are emerging as top performers in new training. https://t.co/F4IXZkN2Tx",en,2042722281890214020,['2042722281890214020'],2026-04-10T21:51:58.000Z,2042722281890214020,0,0,12,0,1,4538,BusinessInsider
"Each year, Augusta's small regional airport sees a surge in private jets for the golf tournament. https://t.co/GBOIK3Le96",en,2042684516578279691,['2042684516578279691'],2026-04-10T19:21:54.000Z,2042684516578279691,0,0,1,0,0,4753,BusinessInsider
"Market analyst Gordon Johnson predicts a steep fall for Tesla stock, citing unsustainable valuations and shifting options trading trends. https://t.co/tEdz5kKfXa",en,2042680762772689094,['2042680762772689094'],2026-04-10T19:06:59.000Z,2042680762772689094,2,1,7,0,1,4787,BusinessInsider
"This campaign specifically targets young people without college degrees whose ""useful skills"" include multitasking, spatial awareness, and strategy. https://t.co/tl37JHYteJ",en,2042679529039188038,['2042679529039188038'],2026-04-10T19:02:05.000Z,2042679529039188038,0,0,5,0,0,4315,BusinessInsider
The San Francisco Police Department said a 20-year-old suspect is in custody and charges are pending. OpenAI praised the police's quick response. https://t.co/aXHcswCJXt,en,2042673189508038834,['2042673189508038834'],2026-04-10T18:36:54.000Z,2042673189508038834,0,0,2,0,0,4652,BusinessInsider
