text,edit_history_tweet_ids,created_at,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
"Start your week on a positive note by spreading kindness and positivity around the office. A simple smile can go a long way in brightening someone's day and creating a more uplifting work environment. 😃 
#MondayMotivation #SpreadPositivity #SmileMore https://t.co/xv86iR9VBm",['1777341172060483942'],2024-04-08T14:22:11.000Z,1777341172060483942,0,0,0,0,0,1157
"Don't be afraid to dream big, set ambitious goals, and ask for what you truly deserve. Whether it's at work, in your job search or in your personal life, have the courage to speak up, take risks, and go after what you want. 🌈🚀 
#MondayMotivation #Courage #DreamBig https://t.co/1NQBroi3jP",['1774804457902965032'],2024-04-01T14:22:11.000Z,1774804457902965032,0,0,4,0,0,1119
"Whether you're switching industries or advancing in your current field, showcasing skills like communication, problem-solving, and leadership can set you apart from the competition. #CareerDevelopment #CareerAdvice 🚀
https://t.co/Uuj5I5QEmU",['1773707935128101159'],2024-03-29T13:45:00.000Z,1773707935128101159,2,1,1,0,0,1113
"""Know your personal brand. Own your personal brand. And you're going to find that's going to attract people to you.""
#SelfLove #Empowerment #YoungerSelfAdvice #femaleleaders #DEI #careerpath 🌺 https://t.co/Z6qHL29jUv",['1772752987368067437'],2024-03-26T22:30:23.000Z,1772752987368067437,0,0,3,0,0,1134
"Let's talk about how we can support women in advancing their careers! 💼🚀 Let's work together to break down barriers &amp; build a more inclusive and supportive environment for all professionals to thrive! #WomenEmpowerment #CareerAdvancement #DEI #WHM 🌸👩🏽‍💼💪🏼
https://t.co/Bk40LIdMjI",['1772268454315274624'],2024-03-25T14:25:01.000Z,1772268454315274624,1,0,2,0,1,982
"LAST CHANCE, ending TONIGHT Sunday, March 24! Have you entered our “Success on Your Terms” sweepstakes for a chance to win one of two $2,000 gift cards to help you level up your job search or career path?! 🚀 #Successonyourtermssweeps #Entertowin
https://t.co/iae3vPcZv5",['1771970486639186327'],2024-03-24T18:41:00.000Z,1771970486639186327,0,1,3,0,0,1259
"LAST CHANCE, ending TONIGHT Sunday, March 24! Have you entered our “Success on Your Terms” sweepstakes for a chance to win one of two $2,000 gift cards to help you level up your job search or career path?! 🚀 #Successonyourtermssweeps #Entertowin
https://t.co/iae3vPcrFx",['1771836353308713333'],2024-03-24T09:48:00.000Z,1771836353308713333,0,0,2,0,0,1039
"LAST CHANCE, ending TOMORROW, Sunday, March 24! Have you entered our “Success on Your Terms” sweepstakes for a chance to win one of two $2,000 gift cards to help you level up your job search or career path?! 🚀 #Successonyourtermssweeps #Entertowin
https://t.co/iae3vPcrFx",['1771608350142202026'],2024-03-23T18:42:00.000Z,1771608350142202026,0,0,3,0,0,1044
"In celebration of #WHM, we are showcasing some of the achievements and contributions of female employees. Today, we have Kristin Howard, Senior Manager, Financial Operations in IL stepping into the spotlight for our Feature Friday series! 
Give her a ♥️  to show congrats! https://t.co/7LIVCZlfvB",['1771292062882701392'],2024-03-22T21:45:11.000Z,1771292062882701392,0,0,2,0,0,996
"LAST CHANCE, ending this weekend, Sunday, March 24! Have you entered our “Success on Your Terms” sweepstakes for a chance to win one of two $2,000 gift cards to help you level up your job search or career path?! 🚀 #Successonyourtermssweeps #Entertowin
https://t.co/iae3vPcrFx",['1771245962297557187'],2024-03-22T18:42:00.000Z,1771245962297557187,1,0,0,0,0,850
"Some of our @CareerBuilder #femaleleaders shared their insights on their journey to leadership during our recent #WHM &amp; #IWD lunch &amp; learn for our Builders. Our CMO/CRO, Kristin Kelley, shared her thoughts on how #sponsorship &amp; #allyship from male counterparts can benefit women. https://t.co/XOZGxAF2QA",['1770937034972000263'],2024-03-21T22:14:26.000Z,1770937034972000263,0,0,2,0,1,857
"We are highlighting one of our key #WHM supporters today, @MarriottVAC. They currently have more than a variety of open positions available, including Sales Executive, Administrative Assistant, Guest Services Agent + more! Apply today ⤵️ 
https://t.co/BkCspdAQZQ https://t.co/HbPIptp9af",['1770908265079046623'],2024-03-21T20:20:06.000Z,1770908265079046623,1,0,4,0,0,831
"LAST CHANCE, ending this weekend, Sunday, March 24! Have you entered our “Success on Your Terms” sweepstakes for a chance to win one of two $2,000 gift cards to help you level up your job search or career path?! 🚀 #Successonyourtermssweeps #Entertowin
https://t.co/iae3vPcrFx",['1770883574692032925'],2024-03-21T18:42:00.000Z,1770883574692032925,0,0,1,0,0,747
"🎉 Happy Holi everyone! 🌈 Let's spread love, joy, and colors all around as we celebrate this vibrant festival of unity and togetherness. May this day bring you happiness, prosperity, and lots of fun with your loved ones.
🎨💫 #HappyHoli #FestivalOfColors #CelebrateLove 🌺🌟 https://t.co/oLrOaGYfeI",['1770616433833087475'],2024-03-21T01:00:28.000Z,1770616433833087475,1,1,6,0,0,1265
@SunbeltRentals is hiring #technians who want a career to count on.  With perks like a tool allowance program to get you started and training programs to make sure you keep growing your craft- there’s no better place for Technicians to thrive ⤵️ https://t.co/H7gYVAhju9 https://t.co/nqkdjv2uVF,['1770542393844027596'],2024-03-20T20:06:16.000Z,1770542393844027596,0,0,0,0,0,139
"🎨✨ Happy Holi! CareerBuilders in India come together for the Holi Celebration this year! 🌈🔥 May your life be filled with vibrant hues of happiness and prosperity. Spread love, kindness, and positivity today and always. 🌺💜 #HappyHoli #FestivalOfColors #SpreadLoveAndJoy https://t.co/myibIA0tnW",['1770527683249598493'],2024-03-20T19:07:49.000Z,1770527683249598493,1,2,5,0,0,912
"@AltecInc currently has a variety of open positions available, including Outside Sales, Mechanic, Manufacturing Engineer + more! Apply today ⤵
https://t.co/ltCrv4m0m7
#WHM #DEI #HiringNow https://t.co/IbjdBkoStd",['1770527092213469481'],2024-03-20T19:05:28.000Z,1770527092213469481,1,1,2,0,0,201
"@AltecInc currently has a variety of open positions available, including Outside Sales, Mechanic, Manufacturing Engineer + more! Apply today ⤵
https://t.co/ltCrv4m0m7
#WHM #DEI #HiringNow https://t.co/MEH19kybVc",['1770214942513221707'],2024-03-19T22:25:05.000Z,1770214942513221707,0,1,1,0,0,560
"Believe in the impact of your work, because every small step contributes to something greater. Embrace this mindset today &amp; watch how your passion and dedication create ripples of positive change. Let's make this week amazing together! #MondayMotivation #MakeADifference 🌟🚀 https://t.co/lJJ19gvx4D",['1769730774972965259'],2024-03-18T14:21:11.000Z,1769730774972965259,1,0,3,0,0,1493
"🌟 Are you looking for a new job? 🌟 During February, check out the top industries currently hiring! 📈 You can find open toles for all on https://t.co/4iSgmml92E!
🔍 Don't miss out on these great opportunities - polish up your resume and start applying today! 💼 #JobSearch https://t.co/hvzcmvJtu4",['1767679524563476560'],2024-03-12T22:30:15.000Z,1767679524563476560,1,0,4,0,2,1111
