id,lang,created_at,conversation_id,edit_history_tweet_ids,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
2043777708430414218,en,2026-04-13T19:45:51.000Z,2043777708430414218,['2043777708430414218'],"Starlink provides global high-speed, low-latency Internet https://t.co/MCQ2DjiTvf",1846,2065,12869,98,318,1812241,elonmusk
2043775334471111061,en,2026-04-13T19:36:25.000Z,2043775334471111061,['2043775334471111061'],California legislators are trying to make investigating fraud illegal https://t.co/tmWik0Z1iv,9652,2734,44095,461,1587,3154389,elonmusk
2043773334983455121,en,2026-04-13T19:28:29.000Z,2043773334983455121,['2043773334983455121'],Grok https://t.co/lco2cZlakf,964,1365,6541,46,307,1845276,elonmusk
2043752073079161078,en,2026-04-13T18:03:59.000Z,2043752073079161078,['2043752073079161078'],True currency is steadfast friendship,9166,8163,87821,1373,3487,13058265,elonmusk
2043751159773704483,en,2026-04-13T18:00:22.000Z,2043751159773704483,['2043751159773704483'],What happened to all the Tesla killers that legacy press and hedge fund short sellers predicted were coming? 🤔 https://t.co/rIi0jLJGey,4115,3439,32622,213,707,3732509,elonmusk
2043569790481207799,en,2026-04-13T05:59:40.000Z,2043569790481207799,['2043569790481207799'],It is https://t.co/eOElXy83vQ,5622,2578,55253,151,1789,13480402,elonmusk
2043567730503430184,en,2026-04-13T05:51:29.000Z,2043567730503430184,['2043567730503430184'],Exactly https://t.co/1v2SYXshII,5275,2037,54559,158,913,42131907,elonmusk
2043564314251112529,en,2026-04-13T05:37:54.000Z,2043564314251112529,['2043564314251112529'],Well said https://t.co/B2KtC4NGrx,2278,1212,23402,87,1947,14632963,elonmusk
2043507544472326630,en,2026-04-13T01:52:19.000Z,2043507544472326630,['2043507544472326630'],Pretty obvious https://t.co/z8sYcFr1xa,8956,2160,56649,164,1308,6546318,elonmusk
2043506462203453743,en,2026-04-13T01:48:01.000Z,2043506462203453743,['2043506462203453743'],Each cross is a murdered family https://t.co/ikdl6nDgvX,45955,13184,233299,1813,8145,17866387,elonmusk
2043504840064868424,en,2026-04-13T01:41:35.000Z,2043504840064868424,['2043504840064868424'],An insane double-standard. Who is pushing this? We should identify the people and organizations by name. https://t.co/khMLyQejqF,13888,1979,101204,162,2536,33353745,elonmusk
2043504464003543526,eu,2026-04-13T01:40:05.000Z,2043504464003543526,['2043504464003543526'],Zero https://t.co/7I2dCWp0vD,10741,3376,108477,331,749,24867654,elonmusk
2043491772744294808,en,2026-04-13T00:49:39.000Z,2043491772744294808,['2043491772744294808'],Accurate https://t.co/xoIasm8jOF,22507,4133,138809,364,2478,13938893,elonmusk
2043487337624322500,en,2026-04-13T00:32:02.000Z,2043487337624322500,['2043487337624322500'],Yeah https://t.co/SC1ovhbmmd,5669,1534,49474,120,1671,20588999,elonmusk
2043487224931737821,en,2026-04-13T00:31:35.000Z,2043487224931737821,['2043487224931737821'],Starlink is a gamechanger https://t.co/juwVx0Q9fK,4940,1751,50547,121,736,8131062,elonmusk
2043460075235484080,en,2026-04-12T22:43:42.000Z,2043460075235484080,['2043460075235484080'],Try it! https://t.co/aoIsUD14Hd,1996,1888,19244,100,478,10613802,elonmusk
