id,created_at,text,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
1774866057695780980,2024-04-01T18:26:58.000Z,Ever bought a souvenir that made you go 'What was I thinking?' back home?,['1774866057695780980'],1,12,7,0,1,5253
1773754711323418675,2024-03-29T16:50:52.000Z,@jazzfest 💛🎷,['1773754711323418675'],0,1,0,0,0,95
1772307456594526320,2024-03-25T17:00:00.000Z,Beach Bum or Mountain Hermit: What's your vacation alter ego?,['1772307456594526320'],0,18,10,1,1,6097
1770427922576277779,2024-03-20T12:31:24.000Z,@John_Lloyd @ExpediaUK Hi John! We're sorry this has happened to you. The quickest way is to send a private message to our customer service team via @ExpediaHelp with your itinerary number and e-mail. They'll be happy to assist you.,['1770427922576277779'],0,1,0,0,0,175
1769831144327971149,2024-03-18T21:00:01.000Z,"📍 Senj, Croatia https://t.co/Er0TzrjHk1",['1769831144327971149'],3,12,36,0,2,10891
1768608798644531225,2024-03-15T12:02:51.000Z,"@amazinglyalia If you require any assistance, the quickest way is by sending a DM to our customer support team via @ExpediaHelp. They’ll be more than happy to assist you with any issues or questions you may have.",['1768608798644531225'],0,2,1,0,0,168
1768608282032152866,2024-03-15T12:00:48.000Z,@SusiAWild @ExpediaUK The quickest way is to send a private message to our customer service team via @ExpediaHelp and they'll be happy to assist you.,['1768608282032152866'],0,0,0,0,0,97
1767262928007553280,2024-03-11T18:54:50.000Z,@12sec317 Happy to be back! 🥳,['1767262928007553280'],0,1,5,0,0,170
1767260950762336596,2024-03-11T18:46:59.000Z,"Nothing beats being there. 💛✈️
https://t.co/AtRg8ez7KK https://t.co/bHD7hgHxgL",['1767260950762336596'],2,14,18,0,0,7658
1754879639967686874,2024-02-06T14:48:04.000Z,"@Menopausalinso1 We love to hear it! If you need anything else, please let us know. Have a great day!
- Emily",['1754879639967686874'],0,0,0,0,0,333
1748430559477424400,2024-01-19T19:41:44.000Z,"@latacs We're sorry to hear this, @latacs, and we'd like to look into this further for you. Would you please send us a DM with your booking ID and the email address used to book the property? 

- Jenny https://t.co/Fvt10DDKrF",['1748430559477424400'],0,1,0,0,0,401
1740100488111026258,2023-12-27T20:01:00.000Z,"Wow, what a year. 🥹💛 Thank you so much for joining the last #ExpediaChat of 2023! We're so grateful for this community and wish you a wonderful new year. As always, winners will be contacted via DM and posted here. https://t.co/bbaaDOG0Uq",['1740100488111026258'],18,124,125,2,1,14087
1740098725161193970,2023-12-27T19:54:00.000Z,"FA: Taking notes. ✍️ Plus, more travel inspo for you here! #ExpediahChat  https://t.co/eRGZl55rjn",['1740098725161193970'],8,19,43,1,1,6172
1740098193340387801,2023-12-27T19:51:53.000Z,"RT @byron_fester: @Expedia FQ: Take a dive at a cenote just outside of Tulum, Mexico. It is a thrilling and wonderful experience. #ExpediaC…",['1740098193340387801'],1,0,0,0,0,3
1740098080471732454,2023-12-27T19:51:26.000Z,RT @bbynic0: @Expedia FQ: my dream is to wake up in 2024 in Tahiti #ExpediaChat #Sweepstakes https://t.co/WDDTfw2mD3,['1740098080471732454'],2,0,0,0,0,0
1740097725796962706,2023-12-27T19:50:01.000Z,FQ: Let’s get inspired for 2024! What is one destination you highly recommend to others? Why? What about a vacation you want to take? Dream big! #ExpediaChat https://t.co/lgH1DkVcpw,['1740097725796962706'],33,234,135,5,2,14414
1740097280647282863,2023-12-27T19:48:15.000Z,"RT @alexkord: @Expedia A6 If you travel abroad, learn a few phrases in the language of the country you traveling!  #ExpediaChat #Sweepstakes",['1740097280647282863'],1,0,0,0,0,0
1740096381065547985,2023-12-27T19:44:41.000Z,@BCpostergirl 💛💛💛 #ExpediaChat,['1740096381065547985'],0,0,0,0,0,254
1740096264719790266,2023-12-27T19:44:13.000Z,@inaromaheaven Good tip! ✍️ #ExpediaChat,['1740096264719790266'],0,0,2,0,0,226
1740096017041920268,2023-12-27T19:43:14.000Z,@runtravelrepeat Love this. 😂👏 #ExpediaChat,['1740096017041920268'],0,0,1,0,0,213
1740095918211576006,2023-12-27T19:42:50.000Z,RT @hospital4ghosts: @Expedia A6. Patience . Not everything will go the way you planned and that's okay .  #Expediachat #Sweepstakes,['1740095918211576006'],3,0,0,0,0,0
1740095841090847040,2023-12-27T19:42:32.000Z,@BcheckDaniel Comfortable shoes make all the difference. 🫡 #ExpediaChat,['1740095841090847040'],0,0,3,0,0,217
1740095206811197659,2023-12-27T19:40:01.000Z,Q6: Travel offers a lot of lessons. Tell us about something you learned from your travels this year! How will it help you on future trips? #ExpediaChat https://t.co/pn2dVKTHme,['1740095206811197659'],29,213,132,3,0,9111
1740094139226861612,2023-12-27T19:35:46.000Z,RT @youbelongwitht: @Expedia I think about this truffle gnocchi every. single. day. It was completely UNREAL! #ExpediaChat #Sweepstakes htt…,['1740094139226861612'],3,0,0,0,0,0
1740093943864328325,2023-12-27T19:35:00.000Z,"A4: Needless to say, we're ready for lunch now. 🤤🙌 #ExpediaChat",['1740093943864328325'],3,8,38,0,0,3098
1740093935677251587,2023-12-27T19:34:58.000Z,RT @dipyourtoesin: @Expedia A5: Our trip to Morocco delivered some of the best meals we had on our travels in 2023. A home cooked meal by a…,['1740093935677251587'],2,0,0,0,0,0
1740093868618698841,2023-12-27T19:34:42.000Z,RT @joell51868: @Expedia Fish &amp; Chips in London ! #expediachat #sweepstakes https://t.co/Zlbo6OH6JU,['1740093868618698841'],2,0,0,0,0,0
1740093717883826688,2023-12-27T19:34:06.000Z,RT @iceeegurli: @Expedia Thailand! #ExpediaChat #Sweepstakes https://t.co/IS4eMiHBoe,['1740093717883826688'],2,0,0,0,0,0
1740093678469943640,2023-12-27T19:33:56.000Z,"RT @wheezyduck: @Expedia In my trip to NYC, I visited a Jewish Deli and had a bowl of matzo ball soup. The broth was so savory 🥰 #expediach…",['1740093678469943640'],2,0,0,0,0,0
