edit_history_tweet_ids,conversation_id,lang,created_at,text,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
['2044265551803933089'],2044265551803933089,en,2026-04-15T04:04:22.000Z,Christopher John Rogers and Zac Posen 'Made Magic' for Old Navy https://t.co/e5P7JUdAsr,2044265551803933089,0,0,0,0,0,95,Fashionista_com
['2044087578471637342'],2044087578471637342,en,2026-04-14T16:17:10.000Z,"Must Read: Sara Moonves Launches 'WYouth,' LVMH Fashion Sales Drop https://t.co/ZXw4vBtxdL",2044087578471637342,2,0,4,0,0,2000,Fashionista_com
['2044054588991439300'],2044054588991439300,en,2026-04-14T14:06:05.000Z,Aora Mexico: A Plastic-Free Makeup Brand From Mexico City https://t.co/LbMAyswB0H,2044054588991439300,0,1,4,0,0,1632,Fashionista_com
['2044035857909207210'],2044035857909207210,en,2026-04-14T12:51:39.000Z,Is 'Freshly Made' Skin Care 'Clean' Beauty's Next Phase? https://t.co/YGNlFIQofE,2044035857909207210,0,0,2,0,0,1461,Fashionista_com
['2043796492343710068'],2043796492343710068,en,2026-04-13T21:00:30.000Z,"'Tropicoqueta,' Sheer Dresses and Bieber Fever Took Over Coachella 2026 Street Style https://t.co/Yi0R8OUhpJ",2043796492343710068,2,0,7,0,0,1764,Fashionista_com
['2043721294080839829'],2043721294080839829,en,2026-04-13T16:01:41.000Z,"Must Read: Hugo Boss to Sponsor the Australian Open, Stefano Cantino Joins Dolce &amp; Gabbana as Co-CEO https://t.co/W7kdpCpdJz",2043721294080839829,0,7,4,0,0,1771,Fashionista_com
['2043692197699072135'],2043692197699072135,en,2026-04-13T14:06:04.000Z,LIM College's 2026 Fashion Show Celebrated Global Talent https://t.co/3M7y6tkOca,2043692197699072135,2,0,7,0,0,2008,Fashionista_com
['2043691765157269665'],2043691765157269665,en,2026-04-13T14:04:21.000Z,"Where Fashion Starts: From design to business, ASU FIDM connects students to the fashion industry through hands-on learning in Los Angeles and Phoenix. Study fashion in Los Angeles at @ASUFIDMOfficial (sponsor) — or start early with summer programs in L.A. and Phoenix.",2043691765157269665,2,0,6,0,0,1406,Fashionista_com
['2042936551840116953'],2042936551840116953,en,2026-04-11T12:03:24.000Z,"ICYMI: The Fashion Trust U.S. 2026 Winners, Samyra Miller's Fashion Favorites &amp; Why Beauty Brands Are Cutting SKUs https://t.co/6s6AGftvRD",2042936551840116953,2,0,9,0,0,2760,Fashionista_com
['2042635193329000774'],2042635193329000774,en,2026-04-10T16:05:55.000Z,"Must Read: Stefano Gabbana Isn't Exiting Dolce &amp; Gabbana, Jo Malone Responds to Estée Lauder Companies Lawsuit https://t.co/F5jllkvrfM",2042635193329000774,2,1,3,0,0,2485,Fashionista_com
['2042620637416423736'],2042620637416423736,en,2026-04-10T15:08:04.000Z,"Weekly Drop Watch: Alo Newness, Staud Home, Levi's x Bode and More https://t.co/UVzyPfkLdO",2042620637416423736,0,0,4,0,0,1783,Fashionista_com
['2042612641579823473'],2042612641579823473,en,2026-04-10T14:36:18.000Z,Statement Paris: A French Luxury Jewelry Brand https://t.co/mnnTWiWONI,2042612641579823473,3,5,6,0,1,1853,Fashionista_com
['2042604737120321702'],2042604737120321702,en,2026-04-10T14:04:53.000Z,Damdam: A Skin-Care Brand Melding Japanese Rituals With Modern Science https://t.co/vunjDlDG7s,2042604737120321702,1,0,3,0,0,1708,Fashionista_com
['2042586183373402185'],2042586183373402185,en,2026-04-10T12:51:10.000Z,How Fashion and Beauty Brands Are Activating at Coachella 2026 https://t.co/7IAvkyLO42,2042586183373402185,1,1,1,0,0,1483,Fashionista_com
['2042574333483065539'],2042574333483065539,en,2026-04-10T12:04:04.000Z,The 39 Best Indie Beauty Products to Shop During the Sephora Sale https://t.co/pFIfbGhGet,2042574333483065539,1,0,4,0,1,1622,Fashionista_com
['2042284909947920443'],2042284909947920443,en,2026-04-09T16:54:01.000Z,"KADYLUXE Is Hiring A Production &amp; Technical Design Manager In Denver, CO (Remote) https://t.co/vEOBFMzh7c",2042284909947920443,1,0,3,0,0,2105,Fashionista_com
['2042272892516233475'],2042272892516233475,en,2026-04-09T16:06:15.000Z,"VMG Partners Invests in The Doux, Uniqlo Owner Fast Retailing Raises Full-Year Forecast https://t.co/UM5Xv2vuO6",2042272892516233475,1,0,5,0,0,1598,Fashionista_com
['2042259727455818014'],2042259727455818014,en,2026-04-09T15:13:57.000Z,Jade Ruzzo: A Fine Jewelry Brand That's 'Timeless Yet Full of Attitude' https://t.co/vZd7MNw6gx,2042259727455818014,2,0,4,0,0,1596,Fashionista_com
['2042224209057706358'],2042224209057706358,en,2026-04-09T12:52:48.000Z,How Can Gen Alpha Beauty Brands Successfully Age Up With Their Consumers? https://t.co/69BGw9uHpc,2042224209057706358,1,0,1,0,0,1688,Fashionista_com
['2041910941164442065'],2041910941164442065,en,2026-04-08T16:07:59.000Z,"Must Read: 'The Hollywood Reporter' Unveils 2026 Power Stylists Issue, Altuzarra Names New CEO https://t.co/m0qnB1y6Ij",2041910941164442065,9,2,11,0,1,1876,Fashionista_com
['2041886926077067650'],2041886926077067650,en,2026-04-08T14:32:34.000Z,See All the Winners From the Fashion Trust U.S. 2026 Awards https://t.co/7nDiWnZ0ML,2041886926077067650,3,0,8,0,0,1777,Fashionista_com
['2041876226319462886'],2041876226319462886,en,2026-04-08T13:50:03.000Z,Foundation Is Seeking Beauty PR Interns &amp; Influencer Marketing Interns In NYC + LA https://t.co/oYZWxVwkfi,2041876226319462886,3,0,1,0,0,1566,Fashionista_com
['2041860479744713093'],2041860479744713093,en,2026-04-08T12:47:28.000Z,Samyra Miller Is Shopping Crop Tops and Alpine Butterfly Swimwear This Spring https://t.co/BBGEQWN10z,2041860479744713093,1,0,9,0,0,1655,Fashionista_com
['2041596074880647518'],2041596074880647518,en,2026-04-07T19:16:49.000Z,The Perfect Capsule Wardrobe to Make Packing for Your Next Trip Easy https://t.co/a6r9uAV16i,2041596074880647518,5,0,8,0,1,2249,Fashionista_com
['2041555233344487524'],2041555233344487524,en,2026-04-07T16:34:32.000Z,"Sanori Is Hiring A Brand &amp; Creative Associate In New York, NY https://t.co/hlFoxgM60n",2041555233344487524,2,1,5,0,0,2053,Fashionista_com
['2041547109061603635'],2041547109061603635,en,2026-04-07T16:02:15.000Z,"Must Read: Anna Wintour and Meryl Streep Cover 'Vogue', Saks Global Files Its Exit Plan From Chapter 11 https://t.co/rTfNq1B7ly",2041547109061603635,5,2,10,0,0,1932,Fashionista_com
['2041498260158734427'],2041498260158734427,en,2026-04-07T12:48:09.000Z,Why Beauty Brands Are Cutting SKUs Instead of Launching More https://t.co/rbMcLtKtzp,2041498260158734427,2,1,10,0,1,2243,Fashionista_com
['2041184957196845458'],2041184957196845458,en,2026-04-06T16:03:11.000Z,"Must Read: Adriano Goldschmied Died, A Look at Emma Grede's New Book https://t.co/PNgUm7DK6W",2041184957196845458,0,1,5,1,0,2197,Fashionista_com
['2040400219548877219'],2040400219548877219,en,2026-04-04T12:04:55.000Z,"ICYMI: Courrèges Names New Artistic Director, Mark Thomas Exits Carven &amp; Ciara Miller Shares Her Beauty Must-Haves https://t.co/DKELQefFBz",2040400219548877219,2,1,4,0,0,3035,Fashionista_com
['2040132246862995566'],2040132246862995566,en,2026-04-03T18:20:06.000Z,Carolyn Bessette Kennedy’s Iconic Sunglasses Are Being Reissued This Weekend https://t.co/oc8MsARaYp,2040132246862995566,5,1,3,0,0,2936,Fashionista_com
"['2040121462904758332', '2040129300154769691']",2040129300154769691,en,2026-04-03T18:08:23.000Z,Understanding The Role Of AI Detectors In Content Creation. Sponsored by @ZeroGpt. https://t.co/TuNrGiDIfb,2040129300154769691,2,0,3,0,0,1892,Fashionista_com
['2040101564698776031'],2040101564698776031,en,2026-04-03T16:18:10.000Z,Celebrity Styling Internship — Spring/Summer 2026 - Los Angeles https://t.co/IwyJDoTeWf,2040101564698776031,6,0,6,0,1,1876,Fashionista_com
['2040097880849961242'],2040097880849961242,en,2026-04-03T16:03:32.000Z,"Must Read: Victoria's Secret Fashion Show Launches Model Search, Saks Global Secures $500 Million in Exit Financing  https://t.co/jTvFrRI6Bz",2040097880849961242,2,0,7,0,0,1762,Fashionista_com
['2040070177652400170'],2040070177652400170,en,2026-04-03T14:13:27.000Z,CONFIDENTIAL FASHION STARTUP (LAUNCHING FALL 2026) - Design Internship (May–September) - Los Angeles https://t.co/4p2cscC5bl,2040070177652400170,0,0,4,0,0,1675,Fashionista_com
['2040049102562430986'],2040049102562430986,en,2026-04-03T12:49:42.000Z,"Weekly Drop Watch: Emma Chamberlain x West Elm, Alix Earle's Acne Brand, Damson Madder's Party Dresses and More https://t.co/wCLhBwQEZJ",2040049102562430986,3,0,4,0,0,1516,Fashionista_com
['2040038198303224085'],2040038198303224085,en,2026-04-03T12:06:23.000Z,How Sali Christeson Launched the Go-to Luxury Workwear Brand for Women in Power https://t.co/QZA4oHUo7C,2040038198303224085,1,0,2,0,0,1498,Fashionista_com
['2039743926764995022'],2039743926764995022,en,2026-04-02T16:37:03.000Z,Celebrity Stylist Molly Dickson - NYC  Fashion Internship (May–September) https://t.co/R3Q8UPdjoQ,2039743926764995022,6,0,3,0,0,1953,Fashionista_com
['2039736028953497983'],2039736028953497983,en,2026-04-02T16:05:40.000Z,"Must Read: LVMH Shares Fall 28% in Q1, American Pacific Group Invests in Dossier https://t.co/raWDZfctst",2039736028953497983,1,1,1,0,1,1568,Fashionista_com
['2039717465354022984'],2039717465354022984,en,2026-04-02T14:51:54.000Z,Didi Rose Jewelry: A Handmade Jewelry Brand Creating Modern Day Heirlooms https://t.co/DykM41rZh5,2039717465354022984,3,0,3,0,0,1405,Fashionista_com
['2039708293858287684'],2039708293858287684,en,2026-04-02T14:15:27.000Z,Celebrity Stylist Molly Dickson - LA Market Internship (May–September) https://t.co/Z8VzHwUS6b,2039708293858287684,1,0,0,0,1,1375,Fashionista_com
['2039694919577518496'],2039694919577518496,en,2026-04-02T13:22:19.000Z,Mark Thomas is Leaving Carven https://t.co/fDORAd4JOu,2039694919577518496,0,0,0,0,0,1608,Fashionista_com
['2039686844955181417'],2039686844955181417,en,2026-04-02T12:50:14.000Z,The Mystery and Allure of a Proprietary Beauty Ingredient https://t.co/jGwqqanEGc,2039686844955181417,3,0,1,0,1,1362,Fashionista_com
['2039675401887178804'],2039675401887178804,en,2026-04-02T12:04:45.000Z,Why Industrie Africa is Closing Its E-Commerce Shop https://t.co/4ulf0KH6B9,2039675401887178804,0,0,2,0,0,1379,Fashionista_com
['2039461057844978088'],2039461057844978088,en,2026-04-01T21:53:02.000Z,Celebrity Stylist Molly Dickson - LA Fashion Internship (May–September) https://t.co/L7DACD4nR4,2039461057844978088,3,0,3,0,1,1771,Fashionista_com
['2039403128521379872'],2039403128521379872,en,2026-04-01T18:02:50.000Z,"Bras So Comfortable, You'll Look Forward to Wearing Them https://t.co/Bn5PjiRXGf",2039403128521379872,0,2,3,0,1,1490,Fashionista_com
['2039379847428939950'],2039379847428939950,en,2026-04-01T16:30:20.000Z,Swap Your Boring Black Handbag for One in These Trending Spring Colors https://t.co/SKSOX3IK0h https://t.co/hEraPUsNS6,2039379847428939950,6,0,8,0,0,1405,Fashionista_com
['2039374088112578794'],2039374088112578794,en,2026-04-01T16:07:27.000Z,"Must Read: Kering and L'Oréal Finalize Acquisition, Fenty Beauty Partners with WhatsApp https://t.co/jwojHi7jzt",2039374088112578794,3,0,6,0,2,1510,Fashionista_com
