edit_history_tweet_ids,text,conversation_id,created_at,lang,in_reply_to_user_id,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
['1693701057053065337'],(2/2) More from #Fendi's SS23 #HauteCouture. Photos by Getty Images https://t.co/pEH4ffeVRw,1693701053416607963,2023-08-21T19:06:14.000Z,en,72950235,1693701057053065337,398,146,998,14,24,208659,FashionWeek
['1693701053416607963'],"(1/2) A subtle and beautiful collection, exhibited through effortless elegance. #Fendi's SS23 #HauteCouture collection is exactly as #KimJones intended. In an interview with Vogue on the collection, Jones said  “I wanted a floatiness. Elegant but youthful.” https://t.co/kKPf08j75f",1693701053416607963,2023-08-21T19:06:13.000Z,en,,1693701053416607963,803,799,1706,40,60,296008,FashionWeek
['1693669613018702186'],(2/2) Photos by Getty Images,1693669609629712389,2023-08-21T17:01:17.000Z,en,72950235,1693669613018702186,175,16,428,1,2,103411,FashionWeek
['1693669609629712389'],(1/2) These aren't your grandfather's sweaters. 6 colorways from #JWAnderson's SS24 Menswear collection. https://t.co/xPGQtA1bU4,1693669609629712389,2023-08-21T17:01:16.000Z,en,,1693669609629712389,303,88,856,10,21,153875,FashionWeek
['1681680586606522368'],"Here's some #Ferragamo red for your midweek blues. 27-year-old, #MaximilianDavis was named #CreativeDirector in 2022 and the young talent has been renewing the label one collection at a time. Fall/Winter '23 pairs sportswear with luxury. https://t.co/XmcSHlQIeZ",1681680586606522368,2023-07-19T15:01:10.000Z,en,,1681680586606522368,415,97,1024,17,16,167113,FashionWeek
['1666838919260905473'],"Some people believe the most important part of any outfit is the shoes. Here's our roundup of the most notable shoes from #SS23 collections. From #Chanel, #OffWhite, #AcneStudios and more, enjoy our #shoeinspo.

In your opinion, what's the most important part of any outfit? https://t.co/GCA0sojCQw",1666838919260905473,2023-06-08T16:05:41.000Z,en,,1666838919260905473,283,273,798,355,12,133156,FashionWeek
['1663620692074455042'],"From, #Versace, #Ferragamo, #IsseyMiyake, #Margiela, and more, there was quite an obsession with hues of the purple variety. Variations include: lavender, indigo, and lilac. https://t.co/SCkYLEdi9t",1663620692074455042,2023-05-30T18:57:36.000Z,en,,1663620692074455042,345,70,958,13,23,112437,FashionWeek
['1662140478228250624'],Got 99 problems but a puffer ain't one. Here's a little taste of puffer style for #FW23 from #BudapestSelect. https://t.co/AiHtakB7Pj,1662140478228250624,2023-05-26T16:55:45.000Z,en,,1662140478228250624,271,51,722,9,13,81271,FashionWeek
['1661786937756200981'],Welcome to #LouisVuitton's aquatic fantasy land. #Mermaidcore and other ethereal themes run throughout the #Resort24 collection which was appropriately held on an island in Italy's lake district. https://t.co/33G96oExox,1661786937756200981,2023-05-25T17:30:55.000Z,en,,1661786937756200981,384,40,887,18,19,86190,FashionWeek
['1661463469881794564'],"We are saddened to share that Tina Turner, Queen of Rock, has passed away at age 83. From her iconic music catalogue, unforgettable performances &amp; bold femininity, Tina Turner's music &amp; style will live on forever. We send our deepest condolences to Ms. Turner's family &amp; friends. https://t.co/mhAXo2eJIv",1661463469881794564,2023-05-24T20:05:34.000Z,en,,1661463469881794564,224,34,696,8,4,64893,FashionWeek
['1661149541796552704'],"#CannesFilmFestival is in full swing. We're living for this past weekend's red carpet looks from #GigiHadid, #JenniferLawrence, #MichelleYeoh, #NaomiCampbell, and more. https://t.co/eqwig0hV65",1661149541796552704,2023-05-23T23:18:08.000Z,en,,1661149541796552704,301,40,711,5,7,56707,FashionWeek
['1661027657440542720'],"Keeping you updated with all the fashion at #CannesFilmFestival. #LilyRoseDepp, #TheWeeknd, #JuliaFox, and more showed up and showed out on the red carpet for ""The Idol"".  

Lily-Rose Depp - #Chanel
Julia Fox - #NicolasJebran
Jennie - #Chanel
Lena Mahfouf - #VivienneWestwood https://t.co/ExQNHOUzra",1661027657440542720,2023-05-23T15:13:48.000Z,en,,1661027657440542720,462,33,1177,4,6,83632,FashionWeek
['1659981215162662915'],"History was made. @ngali_australia is the first solo show by an Indigenous designer at #AustralianFashionWeek. #Ngali's collection titled, 'Murriyang' is a celebration of country, water and sky. https://t.co/MYyWfKIkEk",1659981215162662915,2023-05-20T17:55:37.000Z,en,,1659981215162662915,219,18,606,3,5,47059,FashionWeek
['1659333342725128192'],"History was made. @ngali_australia is the first solo show by an Indigenous designer at #AustralianFashionWeek. #Ngali's collection titled, 'Murriyang' is a celebration of country, water and sky. https://t.co/N8Zg0xEXlB",1659333342725128192,2023-05-18T23:01:12.000Z,en,,1659333342725128192,208,18,626,2,0,44800,FashionWeek
['1658492669172088833'],"Today, #Gucci revealed their #Resort24 collection at the historical, Gyeongbokgung Palace in Seoul. The show features quintessential Gucci motifs along with relaxed fits indicative of holiday style. https://t.co/ca7EKKhNPs",1658492669172088833,2023-05-16T15:20:40.000Z,en,,1658492669172088833,218,27,625,6,1,43051,FashionWeek
['1658136998299815937'],"You are now entering a 70s dreamscape. #Alémais kicks off #AAFW with their #Resort24 collection. Pulling inspiration from Return to Oz and David Bowie, the electricity of this show can be felt through the screen. https://t.co/laylHK2JXP",1658136998299815937,2023-05-15T15:47:21.000Z,en,,1658136998299815937,214,14,637,4,1,43693,FashionWeek
['1656738105825558548'],"Re-use, reduce, recycle finds its way to #hautecouture. #Parisian brand, @Lena_Erziak wants to limit pollution in the fashion industry. All materials are upcycled from unwanted fabrics that would otherwise turn into waste. https://t.co/WbmbFMhHNS",1656738105825558548,2023-05-11T19:08:39.000Z,en,,1656738105825558548,241,18,669,5,4,41349,FashionWeek
['1647992084521951235'],Subtly transitioning into warm colors. Knitwear designs by @gregojakpe https://t.co/zABqby36R3,1647992084521951235,2023-04-17T15:55:05.000Z,en,,1647992084521951235,284,34,820,3,17,77697,FashionWeek
['1647970947054329859'],"Dazzling details. #PacoRabanne #AW23.

Photos courtesy of @gettyimages https://t.co/71WyGvGiB8",1647970947054329859,2023-04-17T14:31:06.000Z,en,,1647970947054329859,242,22,685,5,9,53539,FashionWeek
['1642572906147246084'],"A pinch of #Coperni. Amidst the Parisian label's internet-breaking robot demonstration at their RTW23 show, you might have missed this incredible hand-gesture motif throughout the collection. Enjoy.

Photos courtesy of @gettyimages https://t.co/KtTSVo2wVj",1642572906147246084,2023-04-02T17:01:13.000Z,en,,1642572906147246084,230,24,684,10,8,63680,FashionWeek
['1641114097222660099'],"Picking my jaw up off the ground. #JodieTurnerSmith stuns in the latest #Schiaparelli bijoux at the premiere for highly anticipated feature film, #MurderMystery starring #JenniferAniston &amp; #AdamSandler. 

Photos courtesy of @schiaparelli, @danielroseburry, &amp; @gettyimages https://t.co/cqRwKhKB2M",1641114097222660099,2023-03-29T16:24:25.000Z,en,,1641114097222660099,116,10,365,5,7,49253,FashionWeek
['1637865504722284547'],https://t.co/wHC6f0AbgW,1637865504722284547,2023-03-20T17:15:41.000Z,zxx,,1637865504722284547,130,12,416,5,6,71216,FashionWeek
['1636808538885324801'],"Happy Birthday to the legendary, #AlexanderMcQueen. The late designer built a legacy of unbelievable craftsmanship, pragmatism and an unmatched imagination in design that will live on forever. 

Photos courtesy of @gettyimages https://t.co/8XuUYWhNum",1636808538885324801,2023-03-17T19:15:40.000Z,en,,1636808538885324801,74,15,159,3,2,46726,FashionWeek
['1635081396355223552'],"Paparazzi princess. #LadyGaga wears #FW23 #Versace at the #Oscars.

Photos by @gettyimages https://t.co/L3jOSiPQEr",1635081396355223552,2023-03-13T00:52:37.000Z,en,,1635081396355223552,88,15,216,9,3,44789,FashionWeek
['1635076916763070469'],"2 surprise guests. #Rihanna arrives at the #Oscars red carpet in #MaisonAlaia.

Photos by @gettyimages https://t.co/bY8LyCCQr0",1635076916763070469,2023-03-13T00:34:49.000Z,en,,1635076916763070469,254,14,1161,18,18,88050,FashionWeek
['1635070860397776897'],"The gowns have entered the chat. #AshleyGraham, #CaraDelevign, #Tems and more set a dramatic tone for this year's #Oscars.

What's your opinion on the looks this year?

Photos via @gettyimages https://t.co/hkZ1RarbaC",1635070860397776897,2023-03-13T00:10:45.000Z,en,,1635070860397776897,78,13,168,2,3,39572,FashionWeek
['1634962710004916225'],"Portraits of a Lady. #GiambattistaValli's #FW23 collection has a vintage regality that is expressed through every detail. Ruffles and ruching are carried throughout the collection against pops of pink, sequins, &amp; cherry reds.

What do you think? 

Photos courtesy of @gettyimages https://t.co/rzCVaRbTpP",1634962710004916225,2023-03-12T17:01:00.000Z,en,,1634962710004916225,59,4,125,3,5,35203,FashionWeek
['1633928362866638849'],"Print check. #Valentino's #FW23 collection is bursting with bright primary colors that are off-set with black, white and classic prints. From oversized red trench coats to checkered blazers with high shoulders, this season is full of timeless pieces. 

Photos by @gettyimages https://t.co/JY5iihviUG",1633928362866638849,2023-03-09T20:30:53.000Z,en,,1633928362866638849,64,10,187,1,11,38080,FashionWeek
['1632934521883566081'],"When you're at the top of every guest list. #Zendaya attended today's #LouisVuitton show in #paris along with soon to be #CreativeDirector, #Pharrell, #EmmaStone and more. 

Photos by @gettyimages https://t.co/WgxjaEJQBM",1632934521883566081,2023-03-07T02:41:43.000Z,en,,1632934521883566081,67,6,123,1,1,37224,FashionWeek
['1632426148905795591'],"Spotlight Series:

Bethann Hardison is an advocate in the fashion industry and former model. In the 80s, she took a political approach to her career to fight against racism in the fashion industry &amp; formed the Bethann Management Agency and co-founded the Black Girls Coalition. https://t.co/zqHVwl7Yyu",1632426148905795591,2023-03-05T17:01:37.000Z,en,,1632426148905795591,39,4,61,0,2,32895,FashionWeek
['1632089834280943620'],"An iconic duo frontrow at #VivienneWestwood: #JuliaFox and #Halsey leading the most fashionable pack alongside #LawRoach #JaredLeto #LenaMahfouf and more. 

Photos by @gettyimages https://t.co/E8dsO5kBN3",1632089834280943620,2023-03-04T18:45:13.000Z,en,,1632089834280943620,101,5,231,0,4,40587,FashionWeek
['1632063919316512769'],"#Anrealage brought color-changing photochromic properties to their FW23 show. The collection explores the intersection of fashion + technology and how our minds interpret the world and organisms in front of us.

Videos by @carolineissa @davinzgarcia
Edited by @alitheacastillo https://t.co/rvV6VFGQyo",1632063919316512769,2023-03-04T17:02:15.000Z,en,,1632063919316512769,102,4,137,7,3,31928,FashionWeek
['1632048646882574336'],"This FW23, #OlivierRousteing opted to forego his #BalmainArmy and instead looked to the past to deliver exquisite and timeless silhouettes akin to the house’s creation in the ‘40s whilst paying homage to Pierre #Balmain’s genius. https://t.co/1LjbAkwVRx",1632048646882574336,2023-03-04T16:01:34.000Z,en,,1632048646882574336,117,7,221,3,2,36570,FashionWeek
['1632033564937142275'],"#JulienDossena remembers #PacoRabanne for FW23. The collection was a deep dive into #Rabanne’s career &amp; his most iconic looks: the iconic metal mesh, chainmail dresses and handbags, ruched gowns with heart embellishments, and surrealist dresses with Salvador Dali paintings. https://t.co/BRnMgYRgFG",1632033564937142275,2023-03-04T15:01:38.000Z,en,,1632033564937142275,92,5,181,4,8,34908,FashionWeek
['1632018393040670720'],".@MariaGraziaChiuri introduced #Dior’s FW23 show which continues the house’s homage to the iconic women that shaped Dior—this time with #ChristianDior’s sister, Catherine. The collection nodded to ‘50s silhouettes which then turned into modern looks for the woman of today. https://t.co/F9k82XTs8j",1632018393040670720,2023-03-04T14:01:20.000Z,en,,1632018393040670720,73,11,144,2,0,29694,FashionWeek
['1631825756010561538'],"Ofcourse, #Naomi opens Ib Kamara’s debut for #OffWhite. ‘Lunar Delivery’ is inspired by space-age Afrofuturism. While the familiar #VirgilAbloh silhouettes were present, Kamara ushered in a newness to the brand: LBDs, fur coats, deep-dyed blazers, striped suits, and more. https://t.co/YoB5OjjM6M",1631825756010561538,2023-03-04T01:15:52.000Z,en,,1631825756010561538,67,5,153,4,6,29418,FashionWeek
['1631810422130065410'],"For his debut collection for #NinaRicci, #HarrisReed had model #PreciousLee open the runway in a tulle ballgown whilst other models went down in equally extravagant looks shows clearly where the brand is heading with @harris_reed at the helm. https://t.co/BOCo3RCC3H",1631810422130065410,2023-03-04T00:14:56.000Z,en,,1631810422130065410,75,7,177,6,5,34068,FashionWeek
['1631795373885849603'],"In #Coperni’s FW23, they had the Boston Dynamics “spot” robots as a special guest. Recreating the fable “The Wolf and The Lamb”, @riannevanrompaey (as a lamb)’s jacket is being snatched by one of the robots (as a wolf).

Video courtesy of @susiebubble https://t.co/v6ddrbAHor",1631795373885849603,2023-03-03T23:15:09.000Z,en,,1631795373885849603,112,12,131,14,9,37002,FashionWeek
['1631790706086797314'],"Looking 🔥 on the frontrow at #Loewe: #Taeyong from #NCT 

#TAEYONGtoPFW23 #TaeyongxLoewe https://t.co/7rSaVNDSEN",1631790706086797314,2023-03-03T22:56:36.000Z,en,,1631790706086797314,5756,445,11531,398,156,423841,FashionWeek
['1631789996066652161'],Seen frontrow at #Loewe: KPop girl group #NMIXX ❤️‍🔥 #NMIXXatPFW23 #NMIXX_LOEWE https://t.co/LHPlyBiyLM,1631789996066652161,2023-03-03T22:53:46.000Z,en,,1631789996066652161,303,12,1157,29,11,67935,FashionWeek
['1631708737369931778'],"Care for a little #Givenchy neon green? While most of #MatthewWilliams FW23 collection were focused on dark mature colors, we wanted to celebrate the pops of color he carefully injected into the collection as well. 

Photos by @gettyimages https://t.co/SdZefa6rVH",1631708737369931778,2023-03-03T17:30:53.000Z,en,,1631708737369931778,67,8,123,9,4,31065,FashionWeek
['1631686381557743616'],"While we didn't see the iconic anthurium flower make a comeback on the #Loewe runway, model #Emrata did wear the SS23 top for frontrow. #Naomi, #DanLevy, and #GretaLee were also in attendance.

Photos by @gettyimages https://t.co/TxBdELX9Xw",1631686381557743616,2023-03-03T16:02:03.000Z,en,,1631686381557743616,49,5,84,3,2,29475,FashionWeek
['1631674713264013314'],"If you see most of #Loewe's recent runways, #JonathanAnderson has somewhat made the brand a niche in the hyperrealism realm but for his FW23 collection, he decided to tone things down a bit and focus on textiles and silhouettes.

Photos by @gettyimages https://t.co/5h77WXpnBm",1631674713264013314,2023-03-03T15:15:41.000Z,en,,1631674713264013314,53,4,92,2,4,22283,FashionWeek
['1631319553387921409'],"While the #BalmainArmy wasn't on the runway, it was definitely on the front row at #Balmain's FW23. Stars like #SUNMI, #JessicaAlba, #AshleyGraham, #JordanDunn, #NoahBeck, and more were in attendance.

Photos by @gettyimages https://t.co/EihQaEQEcO",1631319553387921409,2023-03-02T15:44:24.000Z,en,,1631319553387921409,63,5,176,9,8,35901,FashionWeek
['1631011573237010460'],"NYC-based @RuiOfficial.me debuted at #PFW showcasing an extension of the buzzy creative’s signature style, featuring body-hugging knits with cut-out detailing. The celeb-approved brand's FW23 collection explored body figures and three-dimensional silhouettes.

Photos by @mljmedia https://t.co/s65E9XqESn",1631011573237010460,2023-03-01T19:20:36.000Z,en,,1631011573237010460,45,1,96,0,3,22002,FashionWeek
['1630931344304877570'],"Boxy padded shoulders are making a comeback, just ask #AnthonyVaccarello as he makes the case for the bold statement during #YSL's FW23 show. If you ask us, we're here for the comeback of this office chic silhouette.

Photos by @gettyimages https://t.co/yFSJnLdWVO",1630931344304877570,2023-03-01T14:01:48.000Z,en,,1630931344304877570,48,3,102,1,3,23712,FashionWeek
['1630673158322659328'],"The #CostumeDesignersGuildAwards were held in LA honoring their brilliant hard work in the TV and film industry. On the red carpet, designers #BeaAkerlund, #DawnRitz, #MandiLine, &amp; #JennyBeavan wore outfits that called for pay equity that read out the slogans 'Naked Without Us'. https://t.co/ANwPFBvttb",1630673158322659328,2023-02-28T20:55:52.000Z,en,,1630673158322659328,42,1,60,1,2,20231,FashionWeek
['1630644641321107492'],Trust falls and crowd surfing: something you’d never see at a runway show but leave it to #SUNNEI to always give us a fashion showcase worth talking about. The designer duo had their own design team &amp; staff walk the runway while proceeding to crowd surf at the end of the catwalk. https://t.co/9OEttqBeYX,1630644641321107492,2023-02-28T19:02:33.000Z,en,,1630644641321107492,57,4,122,7,8,27353,FashionWeek
['1630584075923619847'],"For #AtsushiNakashima's #MFW debut, the designer had but one thing in mind: 'CIRCULARITY'. Without using new materials, he recycled materials from his previous collections to create his FW23 runway show. https://t.co/pxggjURYgj",1630584075923619847,2023-02-28T15:01:53.000Z,en,,1630584075923619847,44,1,104,2,6,22081,FashionWeek
['1630357371846361090'],"Spotlight Series: Emerging Black Designers 

@michelleta_ is the designer of the brand, @kilentar. Born and raised in the United Kingdom, Michelle Adepoju grew up with Nigerian parents who valued their tradition and imbibed strong links to her rich Yoruba culture. https://t.co/hH0L3ON4KA",1630357371846361090,2023-02-28T00:01:02.000Z,en,,1630357371846361090,54,4,120,5,9,30357,FashionWeek
['1630322051071262727'],"More favorites from last night's #SAGAwards: 

#JennaOrtega in Atelier Versace
#AngelaBassett in Giambattista Valli
#JenniferCoolidge in @YSL
#QuintaBrunson in @JeanLouisSabaji https://t.co/fxxQjQcBE7",1630322051071262727,2023-02-27T21:40:41.000Z,en,,1630322051071262727,49,2,87,0,2,18675,FashionWeek
['1630315613871562752'],"Last night, the #SAGAwards red carpet was in full display and the #EverythingEverywhereAllAtOnce cast stars didn't disappoint.

#MichelleYeoh in Schiaparelli
#KeHuyQuan in De Beers
#StephanieHsu in Carolina Herrera
#JamieLeeCurtis in Romona Keveza https://t.co/qiqyKiqDEV",1630315613871562752,2023-02-27T21:15:06.000Z,en,,1630315613871562752,41,1,67,0,3,18062,FashionWeek
['1629904493851602950'],"It's Milan, darling! Spotted on the streets of #MFW: #HeartEvangelista, #KickiYang, #CamilleCo, and more. 

Photos by @leeoliviera https://t.co/TB8MJSmnKS",1629904493851602950,2023-02-26T18:01:28.000Z,en,,1629904493851602950,62,1,139,1,3,22373,FashionWeek
['1629585328456585222'],"Woke up this morning with #Ferragamo's foot on my neck. Let's take a moment for #FerragamoRed, the trademark hue that recently appointed Creative director, Maximilian Davis brings is back for his sophomore collection. https://t.co/dQe89p3Ne8",1629585328456585222,2023-02-25T20:53:13.000Z,en,,1629585328456585222,41,3,117,2,3,22568,FashionWeek
['1629239946614636547'],"#Prada really giving us the best front row we didn't know we needed. #DuaLipa, #LeticiaWright, #HunterSchafer, #SongKang, #Somi, #EmmaRoberts, #MayaHawke, and more. 

Photos by @gettyimages https://t.co/LhJIKBWULW",1629239946614636547,2023-02-24T22:00:47.000Z,en,,1629239946614636547,120,11,326,3,6,34500,FashionWeek
['1628132027991003141'],"Spotlight Series: Emerging Black Designers 

Justin P. Etienne is a 26 year old Brooklyn born Haitian Fashion Designer. He taps into his inner child through art and design to challenge the status quo in today’s society. 

Photos courtesy of the designer. https://t.co/ldAUE8FpyM",1628132027991003141,2023-02-21T20:38:19.000Z,en,,1628132027991003141,35,6,87,1,5,22897,FashionWeek
['1628076705012232199'],You're now seeing #DanielLee's first season as #Burberry's creative director. Lee focused on honoring the fashion house's rich history by bringing back the 122-year old 'Equestrian Knight' logo which is seen in one of the dresses that went down the runway. https://t.co/jzzaual309,1628076705012232199,2023-02-21T16:58:29.000Z,en,,1628076705012232199,42,3,97,3,3,23107,FashionWeek
['1627737610725515269'],"Wrapping out our #BAFTA red carpet favorites with #Hoyeon, #YvonneOrji, #BarryKeoghan, #GeriHalliwell, #MichelleYeoh, #AngelaBassett, and more.

Photos by @gettyimages https://t.co/x7vBJ7G3oH",1627737610725515269,2023-02-20T18:31:02.000Z,en,,1627737610725515269,33,5,66,0,2,18958,FashionWeek
['1627722568470855680'],"Yesterday, #PrinceWilliam and Catherine, the #PrincessOfWales stepped out onto the red carpet at the #BAFTAs in what seems to be their first time doing so since before the pandemic. #KateMiddleton wore an archive #AlexanderMcQueen along with opera gloves. 

Photos by @gettyimages https://t.co/KRfTYhH8pp",1627722568470855680,2023-02-20T17:31:16.000Z,en,,1627722568470855680,47,8,142,4,3,25426,FashionWeek
['1627705703035961347'],"Part 2 of our favorite #BAFTA red carpet looks! 

#JodieTurnerSmith in #Gucci, #AndreeaCristea in #RahulMistra, #SheilaAtim in #Prada, and #LilyJames in #TamaraRalph. https://t.co/fxgRWnjuC8",1627705703035961347,2023-02-20T16:24:15.000Z,en,,1627705703035961347,39,8,115,2,3,22705,FashionWeek
['1627704880243638272'],"Was it the #BAFTA red carpet or was this #HauteCouture arrivals? 

#AnyaTaylorJoy in #Schiaparelli, #FlorencePugh in #NinaRicci by #HarrisReed, #DollyDeLeon in #RajoLaurel, and #SandyPowell OBE in #HannahSoukup. https://t.co/aixjX4ghts",1627704880243638272,2023-02-20T16:20:59.000Z,en,,1627704880243638272,44,4,115,1,3,19249,FashionWeek
['1627430873996963840'],"Always one to make you do a double take, @VinAndOmi had their FW23 runway, ""Spaced"", where they had most of their models strut in Avatar-like makeup coupled with colorful sustainable pieces. 

Photos from @gettyimages https://t.co/bqz5svJPEq",1627430873996963840,2023-02-19T22:12:11.000Z,en,,1627430873996963840,45,5,75,1,2,20562,FashionWeek
['1626673756683788297'],"Spotted at the #Markarian #NYFW presentation: #LizGillies with designer @Ali_Oneill, #SashaVelour, #LachlanWatson, and more. 

Photos by @donstahl https://t.co/noeofpMAti",1626673756683788297,2023-02-17T20:03:40.000Z,en,,1626673756683788297,31,9,70,0,3,19832,FashionWeek
['1626643845860425728'],"Valentine's may be over but this fit from @foxxy_grandpa_ is giving! 

@Olivia.Ponton speaks with guests at @SpringStudios during #NYFW https://t.co/WGQQw10RV9",1626643845860425728,2023-02-17T18:04:49.000Z,en,,1626643845860425728,27,5,50,0,2,17913,FashionWeek
['1626601661895524353'],"The #StreetsAtNYFW is the gift that keeps on giving. Spotted #JuliaFox, @best.dressed, #JuneAmbrose, and more. 

Photos by @leeoliveira https://t.co/ju2ENyatNi",1626601661895524353,2023-02-17T15:17:11.000Z,en,,1626601661895524353,35,3,96,1,4,18050,FashionWeek
['1626009003632259078'],"It's giving luxury and expensive!

@ParkerKitHill spots fashionistas at @SpringStudios right after @SergioHudson. https://t.co/ORd4rB2l0o",1626009003632259078,2023-02-16T00:02:10.000Z,en,,1626009003632259078,31,5,56,3,1,17102,FashionWeek
['1626001150544687104'],"Take a look at #ThomBrowne's intergalactic runway. 🪐  The set transported showgoers to a grey desert, located somewhere between Earth and space at #FW23. https://t.co/vbwxSlGih7",1626001150544687104,2023-02-15T23:30:58.000Z,en,,1626001150544687104,36,4,79,0,4,17203,FashionWeek
['1625993991006158859'],"Spotlight Series: Emerging Designers 

Blu started his brand WNTD Apparel in 2014. WNTD is a double entendre, playing off the word “wanted” and as an acronym for (W)hat (N)ot (T)o (D)o.

Photos courtesy of designer https://t.co/7FdVqdSAwW",1625993991006158859,2023-02-15T23:02:31.000Z,en,,1625993991006158859,19,2,55,0,2,17196,FashionWeek
['1625914099782516758'],"Recently named as #CFDA's Emerging Designer of the Year, #ElenaVelez returns to #NYFW with YR003. Continuing her artistry with canvas, cotton, and metal by way of ripping, binding, and finding new ways to make a piece truly @ElenaVelez. 

Photos by @ashjacque https://t.co/S6RpBpGGNI",1625914099782516758,2023-02-15T17:45:04.000Z,en,,1625914099782516758,27,3,74,1,1,16462,FashionWeek
['1625888698922422277'],Rise and shine! It's the last day of #NYFW so let's get into the fashions @Olivia.Ponton spotted at @SpringStudios before the #SergioHudson show. https://t.co/vXHOfEQBuO,1625888698922422277,2023-02-15T16:04:08.000Z,en,,1625888698922422277,27,4,43,1,3,16299,FashionWeek
['1625631563185590274'],"Knock knock, #ConceptKorea's at the door. Concept Korea (@kocca_fashion) showcased designers @cahiers_official, @ulkin_official and @besfxxk_fashion_official bringing some of the best of Korea to the runway.   

📸: @johnnydeguzman https://t.co/hBA8cV2ir4",1625631563185590274,2023-02-14T23:02:22.000Z,en,,1625631563185590274,20,2,43,0,2,13680,FashionWeek
['1625616559904268315'],#BackofHouse with #BrandonMaxwell showcasing a bold look of contrast with black and white and pops of cream. https://t.co/Xgkue8onyD,1625616559904268315,2023-02-14T22:02:45.000Z,en,,1625616559904268315,30,1,80,0,3,15895,FashionWeek
['1625569109957087233'],It's official: #PharrellWilliams is returning to #LouisVuitton not as a collaborator but as its new Men's Creative Director. The singer/songwriter's first collection will debut in June 2023 for Men's #FashionWeek in Paris. https://t.co/DSAQLl3Lwe,1625569109957087233,2023-02-14T18:54:12.000Z,en,,1625569109957087233,42,3,145,6,1,26120,FashionWeek
['1625542099209797638'],Singer/Songwriter #PharrellWilliams is reportedly going to take over the role of the late #VirgilAbloh as overseer of the #LouisVuitton Menswear line as reported by WSJ. @Pharrell would be @LouisVuitton's first permanent head of menswear since @VirgilAbloh passed in late 2021. https://t.co/bOkbFHa8JG,1625542099209797638,2023-02-14T17:06:52.000Z,en,,1625542099209797638,43,7,108,9,1,27854,FashionWeek
['1625527720074530816'],"Ellae Lisque designer Maxie J. states, “I could not shake the passion for building my brand and I couldn’t imagine myself doing anything else. My plan B was always to make my plan A work.” https://t.co/yfkXanLciz",1625527553065615361,2023-02-14T16:09:43.000Z,en,72950235,1625527720074530816,23,2,36,0,1,14703,FashionWeek
['1625527553065615361'],"Checking in from the Black in Fashion Council Discovery Showroom, supported by @Shopify, at #NYFW. Here's an inside look at the collections of the 10 ambitious designers featured this season. https://t.co/9C8p6iEDXH",1625527553065615361,2023-02-14T16:09:04.000Z,en,,1625527553065615361,26,4,71,3,3,48540,FashionWeek
['1625511504588992513'],"Happy #Valentine's! The #StreetsAtNYFW looking so sweet with all the streetstyle couples going around town at #NYFW. 

Photos by @leeoliveira https://t.co/XCOUqsUzrG",1625511504588992513,2023-02-14T15:05:17.000Z,en,,1625511504588992513,32,2,85,0,3,13193,FashionWeek
['1625319585787281408'],"#Coach is in their happy-grunge era. 

Photos by @gettyimages https://t.co/5JUqz7HHhs",1625319585787281408,2023-02-14T02:22:40.000Z,en,,1625319585787281408,34,2,110,1,4,16474,FashionWeek
['1625271251122982917'],"Spotlight Series: Black Impact
Láolú Senbanjo otherwise known as “Láolú NYC,” is a Nigerian bred, Brooklyn based performance and visual artist, singer, songwriter, musician, human rights lawyer, and activist. Láolú has always sought to help others reveal their truth. https://t.co/c081aOz0sZ",1625271251122982917,2023-02-13T23:10:37.000Z,en,,1625271251122982917,28,2,47,0,3,14233,FashionWeek
['1625226739705061415'],"Last night, #Rihanna performed at the #Superbowl with baby no. 2. The singer and beauty mogul wore a custom #Loewe breastplate and jumpsuit with an #Alaia coat which was a tribute to legendary fashion editor #AndreLeonTalley. 

Photos by @gettyimages https://t.co/LfinWLxqmb",1625226739705061415,2023-02-13T20:13:44.000Z,en,,1625226739705061415,51,3,191,1,2,22902,FashionWeek
['1624810129517338624'],"Happy RiRi day to those who celebrate!! #Rihanna is set to perform for the #Superbowl Halftime Show tonight so here's a few of our favorite looks of @badgalriri over the years. 

Photos by @gettyimages https://t.co/oSXqwRjICg",1624810129517338624,2023-02-12T16:38:17.000Z,en,,1624810129517338624,38,4,161,3,2,25063,FashionWeek
