lang,id,conversation_id,edit_history_tweet_ids,text,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
en,710559642724769793,710559642724769793,['710559642724769793'],Did Barkley really just insinuate that Iowa St. shouldn't have made the tournament??,2016-03-17T20:13:15.000Z,0,0,1,0,0,0,,Fieldof68
en,686235290046992384,686235290046992384,['686235290046992384'],Fair to say that 11 teams from the PAC-12 have a realistic chance to make the #fieldof68 at this point - will probably get 6-8 bids,2016-01-10T17:16:57.000Z,0,0,0,0,0,0,,Fieldof68
en,669640962277138432,669640962277138432,['669640962277138432'],"Walton: Are you willing to try something every day that scares you, Bud?
Sciambi: I've been sitting next to you for three days.",2015-11-25T22:17:01.000Z,0,0,0,0,0,0,,Fieldof68
en,669604489347751936,669604489347751936,['669604489347751936'],If only Mark Price could suit up to shoot over the Syracuse zone. Total blowout,2015-11-25T19:52:05.000Z,0,0,0,0,0,0,,Fieldof68
en,669600083529232385,669600083529232385,['669600083529232385'],Eleanor Roosevelt quote in first minute. Only Bill Walton could make St. John's-Chaminade watchable.,2015-11-25T19:34:35.000Z,0,0,0,0,0,0,,Fieldof68
en,669578594708885504,669578594708885504,['669578594708885504'],How did Charlotte get in the Battle 4 Atlantis? One of the worst teams in a now perennially one-bid league.,2015-11-25T18:09:11.000Z,0,0,0,0,0,0,,Fieldof68
en,669578173751803904,669578173751803904,['669578173751803904'],Zags are such an interesting team this season. A++ frontcourt but question marks in backcourt. NCAA matchups will be key.,2015-11-25T18:07:31.000Z,0,0,0,0,0,0,,Fieldof68
en,666770041447325696,666770041447325696,['666770041447325696'],Jordan Woodard with a huge three for OU - looks like they may escape with the win in Memphis,2015-11-18T00:09:00.000Z,0,0,0,0,0,0,,Fieldof68
en,666768887657201664,666768887657201664,['666768887657201664'],Memphis looking for big early win against Oklahoma. Tigers lead 74-73 with two minutes to go.,2015-11-18T00:04:25.000Z,0,0,0,0,0,0,,Fieldof68
en,666747224475492352,666747224475492352,['666747224475492352'],Xavier-Mizzou tonight is an interesting matchup. Tigers much better than expected in wins over Wofford and UMES. Xavier favored.,2015-11-17T22:38:20.000Z,0,0,0,0,0,0,,Fieldof68
en,666746124955463680,666746124955463680,['666746124955463680'],Make or break season for Josh Pastner at Memphis? Or have expectations normalized from Calipari era?,2015-11-17T22:33:58.000Z,0,0,0,0,0,0,,Fieldof68
en,315671408057413632,315671408057413632,['315671408057413632'],"So if I've kept up on all this right the ""new Big East"" has Marquette &amp; Creighton left and the ""old Big East"" has Temple?",2013-03-24T03:48:23.000Z,0,0,0,0,0,0,,Fieldof68
en,315667372168065025,315667372168065025,['315667372168065025'],My Waltonesque tweet of the day: This West Regional could go down as one of the weakest regionals ever.,2013-03-24T03:32:20.000Z,0,0,0,0,0,0,,Fieldof68
en,315666704103510016,315666704103510016,['315666704103510016'],Suddenly Ohio State(??) is a final four favorite...right?,2013-03-24T03:29:41.000Z,0,0,0,0,0,0,,Fieldof68
en,315665130279034881,315665130279034881,['315665130279034881'],"Gregg Marshall deserves much respect for leading Wichita St to Sweet 16 in a ""transition"" year for the program.",2013-03-24T03:23:26.000Z,1,0,0,0,0,0,,Fieldof68
en,315664105501507584,315664105501507584,['315664105501507584'],Consider me not shocked. Zags were most vulnerable 1 seed. Not Few's fault but weak conference doesn't prep them well for tourney grind.,2013-03-24T03:19:22.000Z,0,0,0,0,0,0,,Fieldof68
en,315661769450352641,315661769450352641,['315661769450352641'],Really liking my prediction of yesterday: All Big Ten final four. That conference is on a different level. Louisville may spoil it though.,2013-03-24T03:10:05.000Z,1,0,0,0,0,0,,Fieldof68
en,315646927301640192,315646927301640192,['315646927301640192'],Roosevelt Jones free throws forthcoming. Good times!,2013-03-24T02:11:06.000Z,0,0,0,0,0,0,,Fieldof68
en,315645387270664194,315645387270664194,['315645387270664194'],Marquette playing with more urgency this half. I like them to pull this one out.,2013-03-24T02:04:59.000Z,0,0,0,0,0,0,,Fieldof68
en,315633919171125248,315633919171125248,['315633919171125248'],Regardless of loss today that was a SLU team Rick Majerus would have been proud of. Great season.,2013-03-24T01:19:25.000Z,0,0,0,0,0,0,,Fieldof68
en,315632517522792448,315632517522792448,['315632517522792448'],Gregg Marshall doesn't get mentioned enough as one of the best coaches in the country. Just wins. #WichitaState,2013-03-24T01:13:51.000Z,0,0,0,0,0,0,,Fieldof68
en,315631529088937984,315631529088937984,['315631529088937984'],The committee actually did Oregon a favor giving them a 12. Easier draw + extra motivation. Dominant performance today. #MarchMadness,2013-03-24T01:09:55.000Z,2,0,0,0,0,0,,Fieldof68
en,315630685400465408,315630685400465408,['315630685400465408'],No truth to the rumor that Mark Few was suffering from kennel cough. Sorry couldn't resist.,2013-03-24T01:06:34.000Z,0,0,0,0,0,0,,Fieldof68
en,315595324574019585,315595324574019585,['315595324574019585'],I don't see FGCU getting schooled the way Harvard is. Eagles are a better team.,2013-03-23T22:46:03.000Z,0,1,0,0,0,0,,Fieldof68
en,315590751297892352,315590751297892352,['315590751297892352'],Really impressed with Michigan &amp; Michigan State today. They looked dominant. Final Four contenders.,2013-03-23T22:27:53.000Z,0,0,0,0,0,0,,Fieldof68
en,315590096005001217,315590096005001217,['315590096005001217'],Pretty predictable start to Zona-Harvard. Doubt Crimson can make this one a game.,2013-03-23T22:25:16.000Z,0,0,0,0,0,0,,Fieldof68
en,315319152090943488,315319152090943488,['315319152090943488'],Wish Bill Walton was calling this UCLA game...that would be epic.,2013-03-23T04:28:38.000Z,0,0,0,0,0,0,,Fieldof68
en,315279696285822977,315279696285822977,['315279696285822977'],Conference pride on the line in Philly. Will Big 12 or Mountain West be biggest bust of the tournament?,2013-03-23T01:51:51.000Z,0,0,1,0,0,0,,Fieldof68
en,315270481731272704,315270481731272704,['315270481731272704'],This doesn't feel like a fluke. Florida Gulf Coast was the better team tonight. Absolutely why I love #MarchMadness,2013-03-23T01:15:14.000Z,0,0,0,0,0,0,,Fieldof68
en,315268962852163585,315268962852163585,['315268962852163585'],Suddenly Georgetown can't miss.,2013-03-23T01:09:12.000Z,0,0,0,0,0,0,,Fieldof68
en,315263857364979712,315263857364979712,['315263857364979712'],FGCU just not built to run clock. Have a feeling this gets really interesting. #MarchMadness,2013-03-23T00:48:55.000Z,0,0,0,0,0,0,,Fieldof68
en,315262184760422400,315262184760422400,['315262184760422400'],This is the only 2-15 game I can remember where the 15 could win a 7-game series. #Georgetown #FGCU #MarchMadness,2013-03-23T00:42:16.000Z,0,0,0,0,0,0,,Fieldof68
en,315259263230550016,315259263230550016,['315259263230550016'],FGCU style of play means Georgetown could still win this game. #MarchMadness,2013-03-23T00:30:40.000Z,0,0,0,0,0,0,,Fieldof68
en,315257069064294400,315257069064294400,['315257069064294400'],A-Sun is for real. Mercer beat Tennessee in Knoxville in NIT. FGCU taking it to Georgetown! #MarchMadness,2013-03-23T00:21:57.000Z,0,0,0,0,0,0,,Fieldof68
