lang,id,edit_history_tweet_ids,conversation_id,text,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
en,2043781317230248188,['2043781317230248188'],2043781317230248188,There's more to this zero-calorie sweetener than just being a sub for sugar. https://t.co/2KBElDxsB5,2026-04-13T20:00:12.000Z,0,0,3,0,2,2337,foodandwine
en,2043751128416837682,['2043751128416837682'],2043751128416837682,Stop wasting your money because we know you aren't always making banana bread 👀. https://t.co/ZiNXT0zVj3,2026-04-13T18:00:14.000Z,0,1,4,0,0,2876,foodandwine
en,2043720956334534810,['2043720956334534810'],2043720956334534810,Costco is sweetening up its food court lineup with a new limited-time treat. https://t.co/7rdKzBrBuj,2026-04-13T16:00:21.000Z,0,0,2,0,2,4034,foodandwine
en,2043690719144001691,['2043690719144001691'],2043690719144001691,"Cheaper than rib eye yet richer than loin, this cut is your new favorite pork steak 🥩. https://t.co/QS8N33ifTU",2026-04-13T14:00:12.000Z,2,0,11,1,6,6031,foodandwine
en,2043660785700704592,['2043660785700704592'],2043660785700704592,"It's tart, sweet, and, as the iconic chef warns, strong. https://t.co/GETQ7JSzW9",2026-04-13T12:01:15.000Z,1,3,6,0,0,4093,foodandwine
en,2043630465672740910,['2043630465672740910'],2043630465672740910,"A classic rum cocktail with lime, orange curacao, and falernum, the Royal Bermuda Yacht Club delivers bright citrus, gentle spice, and balanced structure with refined, Daiquiri-like appeal. https://t.co/rQsFAnAhNa https://t.co/tQQGsdu9ph",2026-04-13T10:00:46.000Z,10,0,35,1,4,4509,foodandwine
en,2043600095602524271,['2043600095602524271'],2043600095602524271,"Come for Chianti, stay for the unforgettable gamberi rossi. https://t.co/xA5MlABRTW",2026-04-13T08:00:05.000Z,1,0,6,0,2,3969,foodandwine
en,2043569930692428093,['2043569930692428093'],2043569930692428093,"From red wine–braised short ribs to cheesy chickpea fries, these dishes showcase Valenti's signature depth of flavor. https://t.co/3h7lBzkc8G",2026-04-13T06:00:13.000Z,9,2,20,0,8,4381,foodandwine
en,2043539740918509877,['2043539740918509877'],2043539740918509877,"This sandwich is raw, beefy, and has a little slice of Wisconsin history. https://t.co/mXjs7dJc9f",2026-04-13T04:00:16.000Z,3,0,9,0,1,5810,foodandwine
en,2043509553006874731,['2043509553006874731'],2043509553006874731,"From coast to coast, these are the restaurants worth traveling for. These standout tables channel Jamaica, Guadalajara, southern Thailand, Cantonese tradition, and more. #globaltastemakers https://t.co/VeJBKDICrq",2026-04-13T02:00:18.000Z,2,0,12,0,3,6050,foodandwine
en,2043479334208315557,['2043479334208315557'],2043479334208315557,"Both juicy and deliciously crisp, this buttermilk-brined fried chicken is sure to be a hit. Get the recipe: https://t.co/p2SlnpJgaU https://t.co/qlJQXFVs4y",2026-04-13T00:00:13.000Z,5,0,49,1,12,7894,foodandwine
en,2043449141498458406,['2043449141498458406'],2043449141498458406,"Matcha is already known for its antioxidants, but it may have another perk worth noting. https://t.co/WGDj3C8kRL",2026-04-12T22:00:15.000Z,3,2,19,0,6,7298,foodandwine
en,2043418940911571265,['2043418940911571265'],2043418940911571265,The way you buy cheese will never be the same again. https://t.co/TMGYzD5HIO,2026-04-12T20:00:15.000Z,1,2,7,1,4,8297,foodandwine
en,2043388757198487969,['2043388757198487969'],2043388757198487969,No more eggs sticking to the pan.  https://t.co/2oN59qb4X2,2026-04-12T18:00:18.000Z,0,0,7,0,0,4894,foodandwine
en,2043358560747233707,['2043358560747233707'],2043358560747233707,"Stems, stalks, and skins never tasted so good. https://t.co/XB1dE00WDQ",2026-04-12T16:00:19.000Z,9,1,26,0,9,6034,foodandwine
en,2043328363788374229,['2043328363788374229'],2043328363788374229,"From caviar service to tasting menus, these cruise lines offer some of the best culinary experiences at sea. #globaltastemakers https://t.co/3JGf6AN7nB",2026-04-12T14:00:19.000Z,1,0,15,1,8,6057,foodandwine
