lang,created_at,text,conversation_id,id,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
en,2026-04-13T19:30:49.000Z,"Tuna Salad Sandwich 🥪 🥗 
Or
Tuna Salad 🥗 

Which one will you pick ? https://t.co/7CiBGmrnML",2043773921833693520,2043773921833693520,['2043773921833693520'],2,6,18,0,1,722,,foodietechlab
en,2026-04-13T06:09:43.000Z,What drink would make this a perfect date night meal ? 🍷 https://t.co/cSt8L2njEs,2043572318392512622,2043572318392512622,['2043572318392512622'],3,3,10,0,0,751,,foodietechlab
en,2026-04-12T13:06:08.000Z,Which butter is the superior choice ? 🧈 https://t.co/37U4LUJ9pQ,2043314725388448061,2043314725388448061,['2043314725388448061'],10,62,73,6,9,3756,,foodietechlab
en,2026-04-12T03:28:35.000Z,"Yay or nah for 🥘 dinner ?

Stuffed pasta shells 🐚 https://t.co/Y39qtxs5Vk",2043169382894067896,2043169382894067896,['2043169382894067896'],14,30,146,3,8,2108,,foodietechlab
en,2026-04-11T14:28:09.000Z,"Ribeye or Striploin 🍖?

What will you pick ? https://t.co/55uisY0xDP",2042972980855382134,2042972980855382134,['2042972980855382134'],30,85,336,10,5,5269,,foodietechlab
en,2026-04-11T04:08:45.000Z,Greek yoghurt or kefir ? Which one tastes worse? https://t.co/REgGKJIM9Y,2042817102609027561,2042817102609027561,['2042817102609027561'],0,3,10,0,1,1243,,foodietechlab
en,2026-04-10T13:19:52.000Z,What’s the most superior steak cut and why is it NY Strip 🍖? https://t.co/uZCuxiioNg,2042593405495374037,2042593405495374037,['2042593405495374037'],9,50,66,7,6,11632,,foodietechlab
en,2026-04-10T02:11:41.000Z,Can you guess the fruit name ? https://t.co/4d3VzTWX5G,2042425251963994142,2042425251963994142,['2042425251963994142'],2,4,18,1,3,1787,,foodietechlab
en,2026-04-09T13:06:06.000Z,Which @Doritos flavour is superior? https://t.co/MFO29UXUb8,2042227552895565885,2042227552895565885,['2042227552895565885'],10,119,111,23,20,7151,,foodietechlab
en,2026-04-09T02:56:55.000Z,Only the big brains can answer this! https://t.co/NBUlbgopk9,2042074250916618258,2042074250916618258,['2042074250916618258'],2,21,26,3,7,6439,,foodietechlab
en,2026-04-08T13:28:01.000Z,"Pan fried pork dumplings with chilli oil dipping 🥟!

Can you handle the heat ? https://t.co/5GgbNjU8IO",2041870683991687267,2041870683991687267,['2041870683991687267'],2,0,32,0,1,1463,,foodietechlab
en,2026-04-07T13:04:41.000Z,It has to be sausage McGriddle right ? https://t.co/51MVLdLdVU,2041502424461140101,2041502424461140101,['2041502424461140101'],23,134,191,20,23,9156,,foodietechlab
en,2026-04-07T02:11:31.000Z,"Can you finish this meal box alone ?

Creamy mashed potatoes with cajun steak, buttered prawns and salmon bites 🥘 https://t.co/cP55JiOoIh",2041338046101262806,2041338046101262806,['2041338046101262806'],57,25,565,4,16,5344,,foodietechlab
en,2026-04-06T13:16:16.000Z,"Eat or pass ?

King fish salad spread 🐟 🥗 https://t.co/Cff1MELYz5",2041142951234167075,2041142951234167075,['2041142951234167075'],7,4,36,0,2,2213,,foodietechlab
en,2026-04-06T02:57:31.000Z,"Butter chicken with rice or butter chicken with naan bread ? 🍗 

Which one is superior? https://t.co/cqwCgJgThK",2040987237912019211,2040987237912019211,['2040987237912019211'],11,40,107,5,5,3835,,foodietechlab
en,2026-04-05T12:11:41.000Z,"You can’t order ketchup or mayo, what are you dipping these fries onto 🍟? https://t.co/c9GlzWik8S",2040764310247653431,2040764310247653431,['2040764310247653431'],43,464,564,38,18,17709,,foodietechlab
en,2026-04-05T05:29:31.000Z,Can you finish both of these alone ? https://t.co/1iEfdUnaBH,2040663100467343526,2040663100467343526,['2040663100467343526'],8,11,51,1,2,3851,,foodietechlab
en,2026-04-04T13:39:10.000Z,"Name one veggie you would add to this plate to make this a 10/10 meal 🥘.

Grilled shrimps with buttered scallops and brown butter linguine 🍜 🍤!! https://t.co/XVI8P4DhxQ",2040423935402184824,2040423935402184824,['2040423935402184824'],28,49,215,3,10,4460,,foodietechlab
en,2026-04-04T02:47:57.000Z,"Must try or too experimental ?

Butter chicken Pizza 🍕 https://t.co/NeKopcMolG",2040260051852722499,2040260051852722499,['2040260051852722499'],10,11,81,1,2,2187,,foodietechlab
en,2026-04-03T04:39:52.000Z,What’s the ultimate food crime ? https://t.co/Ya3iFigkyh,2039925831821336638,2039925831821336638,['2039925831821336638'],5,55,46,12,1,4861,,foodietechlab
en,2026-04-02T13:18:43.000Z,"Here’s some Brisket Breakfast Taco coming from 16-hour Brisket 🍖.

What other toppings does this need? https://t.co/8C31p8sAhu",2039694013616542133,2039694013616542133,['2039694013616542133'],12,3,77,1,1,1644,,foodietechlab
en,2026-04-02T02:44:49.000Z,"Eat alone or share ?

Fried calamari with lemon aioli and cocktail sauce 🦑 🍋 🥫 🍃 🍋‍🟩 🦑 https://t.co/WbowEQixQT",2039534488175407155,2039534488175407155,['2039534488175407155'],3,10,42,1,1,1196,,foodietechlab
en,2026-04-01T15:16:40.000Z,"Would you try these loaded Chinese pancakes 🍖??

How many are you grabbing ? https://t.co/hM1gOsbxrf",2039361311172432004,2039361311172432004,['2039361311172432004'],4,5,30,1,4,4645,,foodietechlab
en,2026-04-01T02:39:46.000Z,"Ribeye or wagyu picanha ?!

What will you pick ? https://t.co/A7lzL7TbtW",2039170831105048688,2039170831105048688,['2039170831105048688'],1,4,12,2,0,1293,,foodietechlab
en,2026-03-31T13:52:31.000Z,"Eat or pass !?!

Spicy Calabrian Seafood Scampi with Nordic Salmon, Wild Gulf Shrimp, Hokkaido Scallops, and North Atlantic Lobster claw &amp; tail 🦞 🍤 🍣 🍝 https://t.co/g4UqAuZ8CR",2038977744562995288,2038977744562995288,['2038977744562995288'],7,6,57,0,5,3005,,foodietechlab
en,2026-03-31T02:23:57.000Z,Can you finish all these Korean Corn Dogs 🌭 https://t.co/bSCpKi5EkC,2038804461217587206,2038804461217587206,['2038804461217587206'],1,1,24,0,1,1854,,foodietechlab
en,2026-03-30T14:18:04.000Z,How do you store your garlic bulbs 🧄 https://t.co/cyAeTWpo5k,2038621347237306665,2038621785533657354,['2038621785533657354'],0,2,4,0,0,439,1255755022647754753,foodietechlab
en,2026-03-30T14:16:19.000Z,Have you ever committed a vegetable crime ? https://t.co/NWF8wOJ6sU,2038621347237306665,2038621347237306665,['2038621347237306665'],5,6,18,0,0,2243,,foodietechlab
en,2026-03-30T02:53:19.000Z,What drink can make this surf n turf platter a 10/10 meal 🥘? https://t.co/lJyhDHcLUn,2038449466223825351,2038449466223825351,['2038449466223825351'],14,24,258,3,3,3834,,foodietechlab
en,2026-03-29T14:15:34.000Z,"Vinegar and chilli isn’t available, 

what are you using as dipping sauce for these  ~ 
Pork x cabbage dumplings 🥟 https://t.co/TULVRllpeM",2038258771861065817,2038258771861065817,['2038258771861065817'],5,13,47,0,3,3000,,foodietechlab
en,2026-03-28T13:51:24.000Z,"Yay or nah as the only meal of the day?

Braised beef noodle bowls 🍲 https://t.co/5OnLZu3HXT",2037890301843714199,2037890301843714199,['2037890301843714199'],5,10,57,0,3,1548,,foodietechlab
en,2026-03-28T04:28:53.000Z,Can you guess the fruit ? https://t.co/LNDZNXMXjA,2037748738345894099,2037748738345894099,['2037748738345894099'],4,7,11,0,0,1321,,foodietechlab
en,2026-03-27T18:38:06.000Z,"Eat or pass?

Deep Fried calamari on the go 🦑 https://t.co/9CwnCn8oOL",2037600061639860297,2037600061639860297,['2037600061639860297'],6,7,62,1,0,3419,,foodietechlab
en,2026-03-27T03:26:07.000Z,"Smash or pass?

Baltimore fried double soft shell crab sandwich with old bay seasoning &amp; mayo 🦀 🥪 https://t.co/gHKcsY1sGI",2037370556417548347,2037370556417548347,['2037370556417548347'],11,14,71,1,1,3292,,foodietechlab
en,2026-03-26T13:04:56.000Z,What’s sauce would be best for these juicy grilled chicken skewers 🍗 https://t.co/TObBfejA4n,2037153831369531470,2037153831369531470,['2037153831369531470'],17,28,127,4,4,3623,,foodietechlab
en,2026-03-26T05:11:20.000Z,Will you try this classic Steak Diane 🍖spread for dinner or nah ?! 🥘 https://t.co/07C5BCsSqm,2037034645842518051,2037034645842518051,['2037034645842518051'],18,13,151,0,2,2503,,foodietechlab
en,2026-03-25T14:13:14.000Z,How do you store your coffee ☕️ ? https://t.co/vAeK3HDJzL,2036808630016852015,2036808630016852015,['2036808630016852015'],2,1,13,1,1,3268,,foodietechlab
en,2026-03-25T02:29:58.000Z,What’s the done-ness of this cut 🥩 ?! https://t.co/5vNxGS5XCz,2036631648318656538,2036631648318656538,['2036631648318656538'],1,14,20,0,0,1552,,foodietechlab
en,2026-03-24T13:22:13.000Z,"Can you finish this lunch box alone ?

Jollof rice, deep fried calamari, buttered prawns &amp; sautéed veggies !!!! https://t.co/VlZelNuwPk",2036433402996597169,2036433402996597169,['2036433402996597169'],11,8,97,2,1,2167,,foodietechlab
en,2026-03-24T03:33:32.000Z,"Pick one 1️⃣!

Tandoori Pomfret 🐟!

Or

Pan-Seared Salmon 🍣!! https://t.co/boyk4GJlF1",2036285257650151434,2036285257650151434,['2036285257650151434'],12,12,68,1,2,4236,,foodietechlab
en,2026-03-23T13:22:05.000Z,"Yeah, no or maybe for lunch 🥗?!

Ragu Bolognese! https://t.co/cHpNHFRI99",2036070983761887324,2036070983761887324,['2036070983761887324'],7,2,101,0,4,2257,,foodietechlab
en,2026-03-23T02:26:31.000Z,Rate this fish &amp; chips combo on a scale of 10 ….. https://t.co/gZSAlBy7s6,2035906006644117916,2035906006644117916,['2035906006644117916'],5,27,89,0,2,4398,,foodietechlab
en,2026-03-22T17:08:20.000Z,Three things that’s missing here ?!? https://t.co/bkJPeaIUcs,2035765531702407200,2035765531702407200,['2035765531702407200'],6,6,24,2,0,1124,,foodietechlab
en,2026-03-22T04:18:46.000Z,"Small changes in your kitchen can have big impact on your health.

Which all from these are you unsung in your kitchen ? https://t.co/WSum6FaaNT",2035571865683636728,2035571865683636728,['2035571865683636728'],1,1,10,0,5,3725,,foodietechlab
en,2026-03-21T14:50:32.000Z,Is this steak cooked perfectly or is under cooked 🍖? https://t.co/OrbOZQ0tIx,2035368467407515943,2035368467407515943,['2035368467407515943'],2,19,71,2,2,3216,,foodietechlab
en,2026-03-21T04:02:36.000Z,"What’s missing here ?

Philly Cheese Steak Hoagie  with fries https://t.co/qgHNIkFTp1",2035205408839934207,2035205408839934207,['2035205408839934207'],9,31,128,6,5,6347,,foodietechlab
en,2026-03-20T14:11:15.000Z,Will you try this French onion beef short rib soup 🍜 🍖?!?! https://t.co/U72gpqo0VM,2034996191176663355,2034996191176663355,['2034996191176663355'],37,77,425,4,26,7747,,foodietechlab
en,2026-03-20T01:50:36.000Z,"Which is tastier?

Tagliatelle or Pappardelle for bolognese ? https://t.co/tKzyRNSUhh",2034809802292187291,2034809802292187291,['2034809802292187291'],1,16,47,2,1,1603,,foodietechlab
en,2026-03-19T12:54:38.000Z,How will you rate this? Medium or medium well or ….? https://t.co/GXy0eLWgQG,2034614525086015570,2034614525086015570,['2034614525086015570'],5,8,53,0,0,959,,foodietechlab
en,2026-03-19T02:21:26.000Z,"Yay or nah for dinner 🥘?

Stuffed pasta shells 🍝 https://t.co/qIonkajV9o",2034455173280808982,2034455173280808982,['2034455173280808982'],18,38,164,3,7,2569,,foodietechlab
en,2026-03-18T14:55:12.000Z,"Yes or no?

Will you try these Spicy Honey
Fried Salmon Bites 🍣?!?!? https://t.co/lwdtOdez6E",2034282478102622656,2034282478102622656,['2034282478102622656'],2,12,43,0,0,2362,,foodietechlab
en,2026-03-18T02:17:48.000Z,What exactly does your body need food wise ? https://t.co/GaIAE54jOl,2034091871732175147,2034091871732175147,['2034091871732175147'],2,1,10,0,9,2376,,foodietechlab
en,2026-03-17T13:31:13.000Z,"Yay or nah for breakfast 🍞?

Savoury Croffels 🧇 🥐 https://t.co/xPrcBqlTJL",2033898953335624012,2033898953335624012,['2033898953335624012'],8,8,51,1,2,1796,,foodietechlab
en,2026-03-17T03:04:07.000Z,What’s your favourite panda express take out ? https://t.co/Aa6q02hRib,2033741140361678955,2033741140361678955,['2033741140361678955'],8,10,58,2,0,2144,,foodietechlab
en,2026-03-16T19:03:36.000Z,"Steamed dumplings or fried dumplings 🥟?!?!?

What are you picking ? https://t.co/3jRC9oI1wg",2033620216002002957,2033620216002002957,['2033620216002002957'],5,34,56,4,2,2164,,foodietechlab
en,2026-03-16T13:37:18.000Z,Your pasta water has something serious to say to you……. https://t.co/Uf1de5BYZY,2033538098764894329,2033538098764894329,['2033538098764894329'],2,1,8,1,4,3338,,foodietechlab
en,2026-03-16T02:57:19.000Z,"Can you handle the heat?

~ Nashville fiery hot fried chicken 🍗 🌶️ https://t.co/40QJdFaUjf",2033377039252922746,2033377039252922746,['2033377039252922746'],4,6,38,2,2,1478,,foodietechlab
en,2026-03-15T13:40:33.000Z,The best kind of honey comes from a great range of risk and effort 🍯 🐝 https://t.co/AisjCkXmJT,2033176526322360739,2033176526322360739,['2033176526322360739'],7,3,37,2,0,5183,,foodietechlab
en,2026-03-15T03:42:12.000Z,"What will you pair this one up with ??

Croissant with scrambled eggs and sausage, topped with cheese sauce. https://t.co/hjjXLruus6",2033025950280200578,2033025950280200578,['2033025950280200578'],3,9,21,1,2,1167,,foodietechlab
en,2026-03-14T13:04:29.000Z,Do you know the health benefits of including Kiwis 🥝 in your meals ? https://t.co/KXOdLA7aWB,2032805063731851453,2032805063731851453,['2032805063731851453'],4,1,11,0,1,2689,,foodietechlab
en,2026-03-13T13:24:14.000Z,"Will you try this, spicy Thai Curry Noodle Soup 🍜 🌶️ https://t.co/OOnBmJeXjB",2032447644728238234,2032447644728238234,['2032447644728238234'],8,14,42,1,3,1340,,foodietechlab
en,2026-03-13T02:24:28.000Z,What’s missing here ? https://t.co/VUnLvJexDf,2032281610956259646,2032281610956259646,['2032281610956259646'],6,35,75,1,3,3894,,foodietechlab
en,2026-03-12T03:35:15.000Z,Do you know the benefits of ginger 🫚 in your meals ? https://t.co/QT2gTimLRV,2031937037629341917,2031937037629341917,['2031937037629341917'],4,5,15,0,1,2810,,foodietechlab
en,2026-03-11T03:22:13.000Z,Can you eat it all alone or would you prefer sharing ? https://t.co/XkRrk6X6H1,2031571367460798684,2031571367460798684,['2031571367460798684'],1,7,36,1,2,3300,,foodietechlab
