lang,created_at,text,conversation_id,edit_history_tweet_ids,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
en,2026-04-09T21:11:00.000Z,"I'm obviously a big fan of supplements. But if I had to narrow down my list to just 5 that I think most people should be taking, they'd be:

- Omega-3s
- Magnesium
- Vitamin D
- Creatine
- A high-quality multivitamin https://t.co/EIvZuiv7y7",2042349583963972001,['2042349583963972001'],2042349583963972001,272,131,3147,21,2204,410695,,foundmyfitness
en,2026-04-08T21:24:55.000Z,"I'm fascinated by Urolithin A.

It's a compound that stimulates mitophagy (mitochondrial autophagy), helping clear out and replace damaged or dysfunctional mitochondria.

Recent studies show that urolithin A improves endurance performance and even keeps immune cells ""younger"" https://t.co/LI9a2J8XI7",2041990697528561757,['2041990697528561757'],2041990697528561757,115,39,1368,6,1053,107921,,foundmyfitness
en,2026-04-07T15:28:53.000Z,"Why won't latex gloves protect you from BPA/BPS in thermal receipts (or EKG paper)?

Latex (natural rubber) is permeable to BPA/BPS. These chemicals dissolve into the latex polymer and slowly migrate through to your skin, especially with repeated handling throughout the day. https://t.co/coQwDjG9jr",2041538712874385474,['2041538712874385474'],2041538712874385474,17,14,265,0,66,49688,,foundmyfitness
en,2026-04-07T00:02:24.000Z,"Unless your job is to handle receipts, avoid touching them.

It's a completely avoidable exposure and a simple way to lower your contact with endocrine-disrupting chemicals.

If it is your job, wear nitrile (not latex) gloves. https://t.co/NRLIZOMwB9",2041305555709432001,"['2041302566802231417', '2041305555709432001']",2041305555709432001,76,50,705,5,274,252349,,foundmyfitness
en,2026-04-06T15:17:54.000Z,"Losing visceral fat slowed brain atrophy and preserved cognitive function in adults more than a decade after a diet and exercise intervention.

I wrote about this new study (plus how to lose visceral fat) in last week's newsletter.

Read in our archive!
https://t.co/yVztvnxh7P",2041173558475251758,"['2041173161136230669', '2041173558475251758']",2041173558475251758,40,17,316,3,115,24808,,foundmyfitness
en,2026-04-02T16:06:22.000Z,"""Peakspan"" should be the longevity marker everyone's talking about.

It refers to how long we can maintain 90% or more of our peak capacity in one of several health domains like muscle strength, cognitive function, or fertility.

And it recognizes that these systems peak at https://t.co/Zj1gwTBhis",2039736205433077805,['2039736205433077805'],2039736205433077805,51,35,530,5,176,44039,,foundmyfitness
en,2026-04-01T15:53:26.000Z,"Here's a link to the study.
https://t.co/KghVBjYXlX",2039369543617851703,['2039370564775584167'],2039370564775584167,8,3,68,0,36,16665,66590132,foundmyfitness
en,2026-04-01T15:49:23.000Z,"This study on visceral fat loss blew my mind...

It found that sustained visceral fat reduction over years was linked to preserved brain volume and cognitive function in middle age.

They tracked people for up to 16 years, and those who lost more visceral fat during an initial https://t.co/P7WHpSlB54",2039369543617851703,"['2039369158110875724', '2039369543617851703']",2039369543617851703,221,60,1914,22,939,337161,,foundmyfitness
en,2026-03-31T15:52:20.000Z,"Plastic blenders are a source of microplastics that most people overlook.

Those with plastic jars or pitchers release microplastics, and even nanoplastics, into blended food or drinks due to friction and mechanical abrasion during blending.

A single 30-second blending cycle can https://t.co/2FoiWBOadc",2039007899058311406,"['2039007241072730612', '2039007899058311406']",2039007899058311406,258,240,3082,60,1966,473260,,foundmyfitness
en,2026-03-30T15:24:30.000Z,"From the latest FoundMyFitness episode on the (real) science of happiness with Dr. Arthur Brooks.
https://t.co/mNcqAG1lGD",2038638502863151422,['2038638505711030558'],2038638505711030558,5,1,34,0,15,11492,66590132,foundmyfitness
en,2026-03-30T15:24:29.000Z,"Our devices are changing how we use our brains.

@arthurbrooks makes a compelling point that constant device use fills every open moment with stimulation, and that may come at the expense of reflection, meaning, and self-understanding.

Boredom feels uncomfortable, but it also https://t.co/MwXGxEzQ5T",2038638502863151422,['2038638502863151422'],2038638502863151422,95,30,809,8,343,57454,,foundmyfitness
en,2026-03-30T13:54:17.000Z,"It was a pleasure to join @StevenBartlett again to talk about emerging areas in health that everyone should be thinking about! 

Steven asks incredible questions. We dive deep into visceral fat, hidden chemicals lurking in everyday products, ""Peakspan"", and much more. https://t.co/piC2gjlOnl",2038615800441921964,['2038615800441921964'],2038615800441921964,34,20,413,0,123,62985,,foundmyfitness
en,2026-03-27T20:52:02.000Z,"Link to study.
https://t.co/9B1N86ro1f",2037633416645292148,['2037633766777123024'],2037633766777123024,3,7,18,0,8,14262,66590132,foundmyfitness
en,2026-03-27T20:50:38.000Z,"When you get fitter, you release more BDNF after exercise.

Improvements in VO₂ max after 12 weeks of training were associated with greater changes in post-exercise BDNF levels (even though resting BDNF didn't change). And the more VO₂ max improved, the higher BDNF rose after https://t.co/QD5BrBQzbX",2037633416645292148,['2037633416645292148'],2037633416645292148,105,30,862,8,295,52287,,foundmyfitness
en,2026-03-27T19:30:47.000Z,"Believe it or not, the brain benefits are what initially drew me to high-intensity interval training. It immediately improves my mood and focus.

And 10 minutes of vigorous exercise is all you need to increase neuronal connections, executive function, and impulse control. https://t.co/Qk53ffB8eJ",2037613319687750103,"['2037611613423808593', '2037613319687750103']",2037613319687750103,99,27,1158,8,324,76348,,foundmyfitness
en,2026-03-26T16:50:39.000Z,"@arthurbrooks From the latest episode of the FoundMyFitness podcast with Dr. Arthur Brooks.
https://t.co/IumWV4bwPU",2037210382834487633,['2037210633528131959'],2037210633528131959,2,8,46,1,36,24521,66590132,foundmyfitness
en,2026-03-26T16:49:39.000Z,"Success doesn’t truly make us happier. Why?

Our neurobiology is wired for progress, not arrival. The dopamine system rewards the pursuit. Once a goal is reached, the brain resets and the target moves.

It’s what @arthurbrooks calls the “striver’s curse.” You work relentlessly https://t.co/FK77YRSIhe",2037210382834487633,['2037210382834487633'],2037210382834487633,338,89,3151,39,1890,267709,,foundmyfitness
en,2026-03-25T21:47:20.000Z,"This clip is from the latest episode of FoundMyFitness with Dr. Brooks on The Science of Happiness. Find the full episode here.
https://t.co/mNcqAG1lGD",2036922686224412999,['2036922907813663178'],2036922907813663178,2,3,52,0,46,22686,66590132,foundmyfitness
en,2026-03-25T21:46:27.000Z,"People who age happier and healthier tend to do 7 things:

They don’t smoke, exercise regularly (but not excessively), maintain a healthy weight, and are mindful with alcohol or other substances.

But one of the most interesting ideas that @arthurbrooks underscores is that the https://t.co/xiNo8QAmzX",2036922686224412999,['2036922686224412999'],2036922686224412999,330,65,3711,16,1928,444916,,foundmyfitness
en,2026-03-25T14:35:47.000Z,"It was an absolute pleasure to sit down with @arthurbrooks to talk about what makes life successful and fulfilling. I've followed his work for years, so this was not only a fun interview, but truly a learning experience for me. He offers a practical framework for understanding https://t.co/gFsZ2SjSZD",2036814305224479180,['2036814305224479180'],2036814305224479180,16,21,635,0,68,30057,,foundmyfitness
en,2026-03-24T18:32:19.000Z,"Listen to this episode on:
YouTube: https://t.co/Kp80aW35jq
Spotify: https://t.co/8ZvHKm6Pb1
Apple: https://t.co/bi6ubcgqjG
Show notes: https://t.co/mNcqAG1lGD https://t.co/gZgqqmNQSc",2036510961570553937,['2036511444259250495'],2036511444259250495,3,7,35,1,19,12722,66590132,foundmyfitness
en,2026-03-24T18:30:24.000Z,"Dr. Arthur Brooks has spent years studying happiness, meaning, and the habits that make life truly fulfilling.

He makes a powerful case that happiness is not a feeling. It’s something deeper. Something built.

In this episode, @arthurbrooks breaks down the science of happiness https://t.co/bPRgSwexXt",2036510961570553937,['2036510961570553937'],2036510961570553937,120,26,1068,9,881,119276,,foundmyfitness
en,2026-03-23T15:08:15.000Z,"Tons of great stuff in this one covering a few topics I haven’t gone as deep on before (like the contribution of leaky gut to atherosclerosis). 

I think many of you may like this one.

Thank you, Andrew! @hubermanlab https://t.co/BW0UkSrckR",2036097700874404201,['2036097700874404201'],2036097700874404201,48,24,854,1,294,122367,,foundmyfitness
en,2026-03-20T14:44:28.000Z,"If you work at a desk, incorporating ""micro-exercise breaks"" into the day can greatly improve your metabolic health.

A 12-week study found that doing 3-minute exercise breaks every hour during the workday (e.g., marching in place, push-ups, squats, heel raises) improved fasting https://t.co/BhuYzTm9bQ",2035004550440993258,['2035004550440993258'],2035004550440993258,189,50,1875,16,1088,109931,,foundmyfitness
en,2026-03-19T15:20:15.000Z,From my recent member AMA episode: https://t.co/4fmWKuJeXf,2034649916052574473,['2034651171583889424'],2034651171583889424,1,3,19,0,9,13964,66590132,foundmyfitness
en,2026-03-19T15:15:16.000Z,"Most people don't need more protein to build muscle.

They need to train more.

Protein isn’t the main driver of adaptation, training is. Muscle growth, strength, and metabolic health are primarily stimulated by mechanical tension and progressive overload, not just a higher https://t.co/8uh5UpBmoD",2034649916052574473,['2034649916052574473'],2034649916052574473,151,88,1784,18,377,214958,,foundmyfitness
