created_at,id,lang,text,conversation_id,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
2023-07-18T14:35:34.000Z,1681311756591984640,en,"We had a glow up ✨ and our CEO is here to tell you all about it. See how real talk about work and life can not only make you feel seen but help you get ahead in your career, too. Christian Sutherland-Wong, take it away!  Get our new app 👇https://t.co/P2sm0m1ZiC https://t.co/f8MuzaBMyD",1681311756591984640,['1681311756591984640'],113,164,214,3,17,51249,Glassdoor
2023-01-11T20:19:38.000Z,1613269423242240000,en,"The 100 best places to work in 2023, according to Glassdoor https://t.co/tT2pBkMYUb",1613269423242240000,['1613269423242240000'],36,63,112,9,18,45553,Glassdoor
2023-01-11T20:19:11.000Z,1613269311132409873,en,"These are the best 23 places to work in 2023, according to employee ratings https://t.co/V2NEYoyX2a",1613269311132409873,['1613269311132409873'],22,14,66,1,6,30622,Glassdoor
2023-01-11T20:18:43.000Z,1613269194069639169,en,"Here are the top places to work, according to their employees https://t.co/sYSkrp8EbB via @cbsmoneywatch",1613269194069639169,['1613269194069639169'],5,6,45,0,4,24814,Glassdoor
2023-01-11T05:05:39.000Z,1613039413583351809,en,🥁🥁 please… Our Best Places to Work 2023 list is LIVE. Check out the full list here: https://t.co/8Q86L6G4oi. #GlassdoorBPTW,1613039413583351809,['1613039413583351809'],9,7,52,4,3,21737,Glassdoor
2022-10-29T03:22:00.000Z,1586196628494483456,en,"Glassdoor surveyed employees and employers to find out what really matters in this job climate.

Spoiler alert: There's a gap between what employees are saying and what employers are hearing.

Find out more here: https://t.co/a0eSOCvv8u

#employerbrand #transparency #leadership https://t.co/rVLl79gJpX",1586196628494483456,['1586196628494483456'],12,21,47,1,3,0,Glassdoor
2022-10-28T01:24:01.000Z,1585804545648730113,en,"How do you know you’re getting paid fairly? Get started with these tips: https://t.co/xxKBKIi1dp

#equalpay #knowyourworth #careeradvice https://t.co/PdgeBMxbKq",1585804545648730113,['1585804545648730113'],15,4,41,1,1,0,Glassdoor
2022-10-26T05:11:01.000Z,1585136895981387776,en,"Take a breath and give yourself some grace. You've got this 💪 

#corporateworld #workfromhome #remotework #glassdoor https://t.co/ptzLSDLkRA",1585136895981387776,['1585136895981387776'],6,2,27,0,2,0,Glassdoor
2022-10-25T17:28:01.000Z,1584959983397048342,en,"Read Jill's story and learn about the changes we can make to make the workplace more inclusive for everyone: https://t.co/lySoRgMKI1

#diversityandinclusion #disabilitypride #invisibledisability https://t.co/EZahKrFaNm",1584959983397048342,['1584959983397048342'],6,1,22,0,0,0,Glassdoor
2022-10-24T12:33:00.000Z,1584523351816425472,en,"It’s long been considered taboo to discuss how much you’re making with your co-workers. But the truth is, you are allowed to talk about your salary with co-workers, by law. https://t.co/B7KrVKAEe1",1584523351816425472,['1584523351816425472'],2,1,13,0,0,0,Glassdoor
2022-10-22T03:22:01.000Z,1583659914169569280,en,"How would you describe yourself? 💻

#corporatehumor #glassdoor #slackhq #workfromhome #wfhlife https://t.co/nPpVNEbJws",1583659914169569280,['1583659914169569280'],1,0,12,0,0,0,Glassdoor
2022-10-21T01:21:01.000Z,1583267076491599873,en,"Your back will thank you 🪑

#corporatehumor #glassdoor #workfromhomelife #wfhlife https://t.co/zt8wCzhfpX",1583267076491599873,['1583267076491599873'],2,0,11,0,1,0,Glassdoor
