lang,id,text,conversation_id,edit_history_tweet_ids,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
en,2041613945639784815,"Another team just won a championship with a switching-heavy defense

I wrote about what we can (and can't) learn from it

https://t.co/23O2MDvvOa https://t.co/7BsZqnsCMG",2041613945639784815,['2041613945639784815'],2026-04-07T20:27:50.000Z,19,0,250,3,271,33376,,hoopvision68
en,2041336963995750675,Michigan switches screens 1 thru 4. So UConn has their 5 (Reed) set **FIVE** in a row with Mara sagging back into the paint https://t.co/Fl8oxDGJ0l,2041336963995750675,['2041336963995750675'],2026-04-07T02:07:13.000Z,22,5,903,12,362,199080,,hoopvision68
en,2040933846359691363,Saint Mary's going under ball screens in the 2019 WCC finals against the Mark Few/Tommy Lloyd system https://t.co/nkRgNCXqyt,2040860511902806218,['2040933846359691363'],2026-04-05T23:25:22.000Z,2,2,30,0,18,12554,150817004,hoopvision68
en,2040860511902806218,"Michigan went under the majority of Arizona's ball screens last night. It led to a season-high 22 off-the-dribble jumpers for the Wildcats

I wrote about the Michigan gameplan 

https://t.co/ApSkRyT2MC https://t.co/MnL6uceY0e",2040860511902806218,['2040860511902806218'],2026-04-05T18:33:58.000Z,17,2,342,5,249,48172,,hoopvision68
en,2040588195683766583,Final tally was 59 3's and 59 2's... Narrowly beating Villanova-Kansas in 2022 for the highest 3PAR in F4 history,2040567472063922645,['2040588195683766583'],2026-04-05T00:31:52.000Z,0,0,9,0,1,3722,150817004,hoopvision68
en,2040567472063922645,"UConn and Illinois have combined to shoot more 3's than 2's in the first half

If they finish that way, it will be the first time ever in a Final Four game",2040567472063922645,['2040567472063922645'],2026-04-04T23:09:31.000Z,7,2,43,1,2,16772,,hoopvision68
en,2040164023790878745,"Want to level up your knowledge of basketball analytics and strategy?  

The Final Four sale for our course with @kenpomeroy
and @eric_shap ends soon. Use code ""F4"" at checkout for $50 off 

Learn more at https://t.co/s9wg3Zxdqg https://t.co/OZ8HxaiSir",2040164023790878745,['2040164023790878745'],2026-04-03T20:26:22.000Z,2,0,38,1,30,24234,,hoopvision68
en,2039439356981657694,"Illinois has smashed the pick-and-pop record books this season. I wrote about how their scheme generates so many pop 3's

https://t.co/k8jqPzGPkf https://t.co/lnx2L8zPrj",2039439356981657694,['2039439356981657694'],2026-04-01T20:26:48.000Z,6,0,108,2,103,22176,,hoopvision68
en,2038766800830099833,The new meta in introductory press conferences is to acknowledge that you're about to say a coaching cliche... but then go with it anyways https://t.co/i9cp1lCidS,2038766800830099833,['2038766800830099833'],2026-03-30T23:54:18.000Z,4,2,74,0,18,28486,,hoopvision68
en,2037265752017764441,"Went on @tonywmiller's pod to talk about the tournament

Also, for a limited time the promo code ""TONY"" gets you 15% off our analytics course https://t.co/s9wg3Zxdqg https://t.co/Y40oYK53rx",2037265752017764441,['2037265752017764441'],2026-03-26T20:29:40.000Z,1,1,10,0,3,7375,,hoopvision68
en,2036199703138775051,The offensive four factor ranks of the Sweet 16 teams https://t.co/S984e70c0F,2036199703138775051,['2036199703138775051'],2026-03-23T21:53:34.000Z,16,5,179,1,44,35330,,hoopvision68
en,2033721217245384964,"Newsletter out now on

- The best value picks in the bracket
- Power conference NCAA tourney performance vs mid-majors
- Miami Ohio

https://t.co/Jxci4xo7o7",2033721217245384964,['2033721217245384964'],2026-03-17T01:44:57.000Z,0,0,15,0,7,5190,,hoopvision68
en,2033332500408189009,Writing more about this tomorrow in a newsletter https://t.co/M1JUEOE9Em,2033330509049188495,['2033332500408189009'],2026-03-16T00:00:20.000Z,0,4,10,0,3,9773,150817004,hoopvision68
en,2033330509049188495,"A historical NCAA Tournament trend I’ve never seen anyone talk about:

Double-digit seeds from power conferences have significantly outperformed double-digit mid-majors https://t.co/V4aKjuGRy8",2033330509049188495,['2033330509049188495'],2026-03-15T23:52:25.000Z,44,32,1402,9,709,196050,,hoopvision68
zxx,2029320930648871134,https://t.co/uyH4NWxSV8,2028957142409961524,['2029320930648871134'],2026-03-04T22:19:47.000Z,0,0,7,1,3,2985,150817004,hoopvision68
en,2028957142409961524,"Michigan's defense forces the longest twos in the country… and has an eerily similar profile to a recent national champion

NEW video breaking down Dusty May’s switching + gap-heavy scheme https://t.co/T7GUOIXOeo",2028957142409961524,['2028957142409961524'],2026-03-03T22:14:13.000Z,12,3,163,4,125,45812,,hoopvision68
en,2028179486882075039,"With the selection committee placing a higher emphasis on Wins Above Bubble, you're going to be hearing about it a lot this month

Here's a video I made 7 years ago explaining why it's much better at selecting teams than the quad system https://t.co/qqSxNlVKv4",2028179486882075039,['2028179486882075039'],2026-03-01T18:44:06.000Z,1,0,33,0,15,10316,,hoopvision68
en,2023880114816348296,"Most defenses help. Hawaii doesn’t.

They stay home. They guard ball screens 2-on-2. They dare you to score unassisted.

It’s produced one of the best mid-major defenses in the country.

NEW film + data breakdown https://t.co/Pprx4t8Iqz",2023880114816348296,['2023880114816348296'],2026-02-17T21:59:55.000Z,71,28,1376,28,1167,674992,,hoopvision68
en,2018761991481872843,"Seven high-major teams are shooting more 3s than 2s this season.

That’s only happened four times in college basketball history — total.

NEW video breaking down the data behind 3-point volume… and Arizona bucking the trend https://t.co/CziuXyvA8R",2018761991481872843,['2018761991481872843'],2026-02-03T19:02:20.000Z,8,0,64,0,35,18223,,hoopvision68
en,2016996780462780494,I spy a Kenpom printout right in the middle of that desk 👀 https://t.co/EHpJUM11jq,2016996780462780494,['2016996780462780494'],2026-01-29T22:08:01.000Z,5,2,595,3,29,98133,,hoopvision68
en,2016286106333962523,I like to think the Nebraska coaching staff has an ongoing bet to see how much they can make Pryce Sandfort move in a given possession https://t.co/VHxeVSNLyx,2016286106333962523,['2016286106333962523'],2026-01-27T23:04:03.000Z,32,4,1126,8,337,164549,,hoopvision68
en,2014875386539033007,"There have been 4 high-major teams in CBB that shot more threes than twos in a full season

This season, there are 6 high-majors currently doing that (Louisville, Alabama, Florida State, Nebraska, Indiana, Wisconsin)",2014875386539033007,['2014875386539033007'],2026-01-24T01:38:21.000Z,5,5,98,2,10,19734,,hoopvision68
en,2013732800331907426,"Braden Smith is already one of the best passers in CBB history. This year, he’s torching teams with pull-up jumpers too

NEW video on why Purdue’s offense is so hard to guard https://t.co/fGw6Qbi8Gz",2013732800331907426,['2013732800331907426'],2026-01-20T21:58:07.000Z,4,1,43,2,12,18048,,hoopvision68
en,2013294894370967986,"I don't know who needs to hear this, but *full season* adjusted efficiency is more predictive of future performance than whatever smaller/recent sample you filter by",2013294894370967986,['2013294894370967986'],2026-01-19T16:58:02.000Z,5,5,107,5,18,44638,,hoopvision68
en,2012997835147424053,"Great review below of our analytics course! 

Join the hundreds of students who have taken the course by enrolling here https://t.co/s9wg3Zxdqg https://t.co/PYLxpcziZh",2012997835147424053,['2012997835147424053'],2026-01-18T21:17:38.000Z,1,0,20,0,6,11570,,hoopvision68
en,2009409387555897395,"ICYMI yesterday, video on Robbie Avila and SLU's offense is out now on the YT channel

Find out why I compared Avila to Cam Boozer (I'm really bad at player comps) https://t.co/BIc2ecwQNS",2009409387555897395,['2009409387555897395'],2026-01-08T23:38:25.000Z,2,1,32,0,10,21513,,hoopvision68
en,2009025996628828241,"Despite physical limitations, Robbie Avila is used offensively like no other 5-man in the country

NEW video breaking down his versatility and Saint Louis' 5-out scheme around him https://t.co/Bin21HJ207",2009025996628828241,['2009025996628828241'],2026-01-07T22:14:58.000Z,17,1,121,4,44,54013,,hoopvision68
en,2006890201713410437,Saint Louis hunting Robbie Avila’s man the moment he crosses halfcourt to setup a flare screen 3 for the big fella is one of my favorite things in CBB this season https://t.co/hdJ2RMtet0,2006890201713410437,['2006890201713410437'],2026-01-02T00:48:04.000Z,52,11,1206,15,182,181483,,hoopvision68
en,2006830084200816895,"Purdue... 
- takes the 3rd longest twos of any high-major (per the new KP stat)
- runs an intricate set play on most possessions
- has the most efficient O in country

Completely flies in the face of ""pace and space, rim &amp; 3s,  play out of concepts, don't run sets"" movement",2006830084200816895,['2006830084200816895'],2026-01-01T20:49:11.000Z,21,6,411,2,54,43452,,hoopvision68
en,2003626946706694275,"There might not be anything a program does better than Iowa State does defending the post-up

NEW video breaking down the Cyclones' post doubles, overall scheme, and personnel https://t.co/rWy6gAKJv1 https://t.co/MksBXCLIJZ",2003626946706694275,['2003626946706694275'],2025-12-24T00:41:04.000Z,12,4,253,2,218,32891,,hoopvision68
en,2003200609424671146,"If you're looking for a holiday gift for a basketball junkie, our analytics course has been taken by coaches, aspiring coaches, and managers from all different levels and countries 

There's an option to gift at checkout https://t.co/s9wg3ZxLfO",2003200609424671146,['2003200609424671146'],2025-12-22T20:26:57.000Z,3,0,37,2,16,22839,,hoopvision68
en,1999610634757935134,Iowa State helps as aggressively off the *bottom* of the tandem side during ball screens as any team I've seen https://t.co/H9HWohkr5N,1999610634757935134,['1999610634757935134'],2025-12-12T22:41:40.000Z,19,3,473,3,291,50059,,hoopvision68
en,1998817300686967029,"Average player height is at all-time highs in CBB and some elite teams are experimenting with 3 big lineups

NEW video with data and film on why teams are playing so much size — and how it changes the geometry of ball screens https://t.co/pJbXD7z9uf",1998817300686967029,['1998817300686967029'],2025-12-10T18:09:15.000Z,12,1,69,7,40,83450,,hoopvision68
en,1995921134265475199,"- Foul or defend up 3?
- Would you let your players shoot mid-range?
- What play would you draw up late in the game?

NEW video asking ChatGPT a variety of coaching and strategy questions and evaluating the answers https://t.co/Jpo23FhqEF",1995921134265475199,['1995921134265475199'],2025-12-02T18:20:55.000Z,0,1,28,0,15,10287,,hoopvision68
en,1995588573895295400,"Last chance today for $50 off our basketball analytics course. A great gift for a coach or aspiring coach in your life this holiday season

Use code “BF” at checkout https://t.co/s9wg3ZxLfO",1995588573895295400,['1995588573895295400'],2025-12-01T20:19:26.000Z,0,1,3,0,1,4703,,hoopvision68
en,1994446535019364841,"Black Friday deal for our analytics course is live now!

Use promo code ""BF"" at checkout for $50 off and level up on your knowledge of basketball analytics and strategy

https://t.co/s9wg3Zxdqg",1994446535019364841,['1994446535019364841'],2025-11-28T16:41:23.000Z,0,0,5,0,2,4732,,hoopvision68
en,1990966583045369869,It's not a Champions Classic until Kansas tries their blind pig backdoor play,1990966583045369869,['1990966583045369869'],2025-11-19T02:13:18.000Z,0,1,73,0,2,12841,,hoopvision68
en,1990583245516517506,"10 Zone America
 9 Fist Crack
8 Duck Sneak
7 Villanova Lob
6 Ball Screen Overload
5 “X"" BLOB
4 Flare Slip
3 Ball Screen Elevator
2 Double Rip
1 Utah

10 Plays to Embarrass a Zone Defense
https://t.co/pdy6coZmu1",1990583245516517506,['1990583245516517506'],2025-11-18T00:50:03.000Z,23,1,274,0,386,58563,,hoopvision68
en,1990481702716629403,Went through my film archives for a video on 10 of the best and/or most widely used set plays to get easy baskets against zone defense https://t.co/esa9FmweVJ,1990481702716629403,['1990481702716629403'],2025-11-17T18:06:33.000Z,10,0,114,2,122,33031,,hoopvision68
en,1989792588245737621,Gonzaga ran a version of Stagger Flex last night. One of UConn's favorite sets for Cam Spencer during their title run https://t.co/FJYtWJ3yvv,1989792588245737621,['1989792588245737621'],2025-11-15T20:28:16.000Z,32,4,680,5,468,76566,,hoopvision68
en,1988705861540409386,"Merrimack has crossed the 100K view mark, making that 3 of 4 videos since returning to YouTube

(Let's not talk about the charge video) https://t.co/iMztclgeXG",1988705861540409386,['1988705861540409386'],2025-11-12T20:30:00.000Z,1,8,111,1,13,11935,,hoopvision68
en,1988423471962222855,"Petition to call running through a dribble handoff and curling into the paint a ""Khalifa"" https://t.co/HVtMkvh7wc https://t.co/njXJYgkK4s",1988423471962222855,['1988423471962222855'],2025-11-12T01:47:53.000Z,1,2,27,0,10,8067,,hoopvision68
en,1985908442750386431,Texas out here running good ol' Continuity Ball Screen like it's 2019,1985908442750386431,['1985908442750386431'],2025-11-05T03:14:03.000Z,2,5,147,2,11,28668,,hoopvision68
en,1985868606228378005,"Purdue breaking out their empty step-up ball screen set they used to run for Edey

All 3 weakside defenders occupied by the off-ball movement https://t.co/TR4cCHC6R0",1985868606228378005,['1985868606228378005'],2025-11-05T00:35:46.000Z,17,2,377,0,471,36945,,hoopvision68
en,1985827444872388661,Wrote a quick newsletter that includes a set opponents have used against Merrimack's zone https://t.co/T21xOPwLOn,1985827444872388661,['1985827444872388661'],2025-11-04T21:52:12.000Z,3,0,25,4,26,21047,,hoopvision68
en,1985805120555065394,"At times, Merrimack's defense looks like a 4-1 zone. Yet even with the forwards so extended, they don't give up hi-lo passes nearly as much as you'd think

Yesterday's video breaking down the zone  https://t.co/3QDMDTxQUR https://t.co/qRdovB76Jb",1985805120555065394,['1985805120555065394'],2025-11-04T20:23:29.000Z,22,7,249,2,271,37709,,hoopvision68
