created_at,in_reply_to_user_id,conversation_id,text,edit_history_tweet_ids,lang,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
2026-04-10T17:45:38.000Z,4416456732,2042659916293509377,@AlexAndBooks_ @readswithravi @tbpn @davidsenra take note: Mark’s book is a game changer! No pun.,['2042660289225842789'],en,2042660289225842789,0,5,21,0,0,19732,hubermanlab
2026-04-10T17:44:09.000Z,,2042659916293509377,Truly excited for this book from @markpinc ! https://t.co/DclbpuuLp6,['2042659916293509377'],en,2042659916293509377,4,9,96,0,68,45673,hubermanlab
2026-04-09T18:31:18.000Z,,2042309395414204588,"Great thread on tendon pain and solutions. I suggest everyone follow @hjluks he’s on a roll lately; also see his post on why hard, high rep leg work is not the same as cardio and why you must do cardio too (for heart health). https://t.co/h4WuLV1RiK",['2042309395414204588'],en,2042309395414204588,98,36,2036,2,1425,549813,hubermanlab
2026-04-09T18:28:17.000Z,,2042308635955773918,"The same hypothalamic subregion houses neurons that elicit opposing behavioral trajectories: fight vs mate
More importantly this conversation explains how brain states arise &amp; why state &gt; “emotional labels”
D. Anderson = the Le Bron of neuroscience. Highly recommend. 30min total https://t.co/0uGU6zHE54",['2042308635955773918'],en,2042308635955773918,1,4,61,0,12,39628,hubermanlab
2026-04-09T18:01:16.000Z,,2042301838008205473,"New Huberman Lab Essentials episode out now: 30 minutes, key takeaways only. https://t.co/WKcF5uMYND",['2042301838008205473'],en,2042301838008205473,6,5,64,2,20,61570,hubermanlab
2026-04-09T15:35:03.000Z,,2042265041463120367,https://t.co/GwcWLkGbie https://t.co/AiJEfoOABx,['2042265041463120367'],zxx,2042265041463120367,567,95,6090,29,1388,414517,hubermanlab
2026-04-09T04:10:04.000Z,4416456732,2042004461540037086,PS: I don’t want either of these 2 (or is it 20?) out’d. That’s the whole point of the above post.,['2042092656541757907'],en,2042092656541757907,0,6,50,0,3,29756,hubermanlab
2026-04-08T22:19:36.000Z,,2042004461540037086,If they really out’d Banksy and Satoshi I sure hope each was a Dread Pirate Roberts situation. If not some young person someplace is planning their move to be the next iteration. Exciting either way.,['2042004461540037086'],en,2042004461540037086,9,53,353,2,61,146024,hubermanlab
2026-04-08T18:46:28.000Z,,2041950825082474884,"Study the history of rocknroll, punk, hip-hop &amp; once subculture sports like skateboarding or surfing &amp; you’ll learn a lot about the culture of science (yes science), tech, health, &amp; who survives, who thrives &amp; who dies… 

Pretty clear that fire and focus are the keys.",['2041950825082474884'],en,2041950825082474884,48,58,758,2,191,66566,hubermanlab
2026-04-08T18:38:33.000Z,4416456732,2041948403828191483,"I can’t say if the main sourcing is pharma or compounded pharmacies, but I ask. Typically the response is “compounded”.
(Not gray or black market).",['2041948829860417638'],en,2041948829860417638,0,2,30,0,2,29489,hubermanlab
2026-04-08T18:36:51.000Z,,2041948403828191483,A less discussed fact (that I’ll cover on the HLP soon): a huge component of the peptide market is not gym going guys but women. Especially sharing of GLPs &amp; Reta. I hear from female audience (about 45% of HLP listenership is female) all the time w/health/beauty peptide Qs.,['2041948403828191483'],en,2041948403828191483,6,29,228,1,46,77649,hubermanlab
2026-04-08T18:31:19.000Z,4416456732,2041946473408110607,"I say this knowing many people will jump in, both feet, regardless. “What should I take?” is America’s anthem.",['2041947009943531718'],en,2041947009943531718,0,14,64,1,3,27531,hubermanlab
2026-04-08T18:29:11.000Z,,2041946473408110607,"Rule 1 regarding Rx stimulants, HRT, peptides, supplements, psychedelics, whatever:

“Better living through chemistry still requires better living”

= You still have to do the right things. 

In fact, that’s the place to start. 

And in many cases, stay.",['2041946473408110607'],en,2041946473408110607,22,52,574,7,84,72053,hubermanlab
2026-04-07T20:10:04.000Z,4416456732,2041608544664088930,"Oh and NIH unlikely to fund this, they are stretched a little ahem, thin, right now.",['2041609472226029648'],en,2041609472226029648,1,3,55,0,1,31117,hubermanlab
2026-04-07T20:08:59.000Z,4416456732,2041608544664088930,"And once again, I don’t have any stake in any company that sells BPC. It would just be nice to get some actual human data. Yes I know there are a few published human studies, but let’s be honest, those are weak sauce.",['2041609199847927867'],en,2041609199847927867,2,8,78,0,3,13561,hubermanlab
2026-04-07T20:06:22.000Z,,2041608544664088930,"I can’t see any reason why a proper multi site RCT of BPC157 done by a few independent groups wouldn’t help clarify any real vs placebo effects. The challenge: no one wants to pony up the $ (more like $$$$ to do it right) but if it were done, what endpoints would you want to see?",['2041608544664088930'],en,2041608544664088930,16,107,523,6,69,143888,hubermanlab
2026-04-07T18:54:05.000Z,,2041590351522361485,"Horizon views, especially when you first arrive at them, cause a shift in brain-body state that is calming, shapes time perception in interesting ways. Discussed w/Dacher Keltner on Huberman Lab podcast out now. (Pinned @hubermanlab @X &amp; linked from https://t.co/R2uwMGVzOf) https://t.co/490znOjKyg","['2041586868526182445', '2041590351522361485']",en,2041590351522361485,18,23,340,1,37,35064,hubermanlab
