edit_history_tweet_ids,lang,created_at,conversation_id,id,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
['1726665062603968630'],en,2023-11-20T18:13:25.000Z,1726665062603968630,1726665062603968630,She's figured out which New York City restaurants are actually kid-friendly and ready to accommodate a family. https://t.co/YRdLE8gtXP,4,2,14,1,3,13021,,infatuation
['1725207428981985790'],en,2023-11-16T17:41:18.000Z,1725207428981985790,1725207428981985790,"Dining out takes forethought, money, and shoes, and the spots on this list are worth it all. These are the best new restaurants of 2023. https://t.co/yPzG2G0XlX",7,2,8,4,2,11349,,infatuation
['1714381969365029023'],en,2023-10-17T20:44:47.000Z,1714381969365029023,1714381969365029023,10 LA Spots That Made @mollybaz A Sandwich Person  https://t.co/KoTFyPDO91,5,1,7,0,1,7891,,infatuation
['1697272235361173746'],en,2023-08-31T15:36:49.000Z,1697272235361173746,1697272235361173746,Did your favorite burger make the list? https://t.co/L4MyOGGz5g,4,2,14,2,1,6438,,infatuation
['1696882686764147119'],en,2023-08-30T13:48:53.000Z,1696882686764147119,1696882686764147119,We'll see you in line at Cafe Mutton this weekend https://t.co/JYo75kS1bj,1,1,6,0,0,4873,,infatuation
['1694809763345805748'],ca,2023-08-24T20:31:50.000Z,1694809763345805748,1694809763345805748,"It all tastes even better with a caña, vino, or vermú.  https://t.co/ZO1WtKOgvU",2,0,3,0,0,4153,,infatuation
['1694742021787857210'],en,2023-08-24T16:02:39.000Z,1694742021787857210,1694742021787857210,"Olsen knows which LA spots you’re most likely to see an honest-to-god celebrity balancing their cappuccino on top a battered copy of The Stranger, or influencers practicing their best “follow along with me...” voice.
https://t.co/tYRRVU8Aoa",2,1,3,0,0,3658,,infatuation
['1694061629917290523'],en,2023-08-22T18:59:01.000Z,1694061629917290523,1694061629917290523,"We have a lot in common with @joejonas . We both wait in line at sceney spots in the West Village, are intrigued by weird martinis, and love to sit in peace at a restaurant and scroll on our phone.
https://t.co/F9L1qAp2VB",3,1,3,0,0,3398,,infatuation
['1694059947913298051'],en,2023-08-22T18:52:20.000Z,1694059947913298051,1694059947913298051,Just don’t drink and bike https://t.co/6jCqAKzAu0,1,1,4,0,3,3221,,infatuation
['1689678419485696000'],en,2023-08-10T16:41:42.000Z,1689678419485696000,1689678419485696000,"One of the most exciting young players in @mlb plays for @Marlins. Born and raised in the Bahamas, the dynamic Center Fielder @_jazz3 now resides in the 305, and has clearly done his homework when it comes to finding spots to eat.  #EEEEEATS
https://t.co/eCzNkGjZKk",8,4,70,3,2,125315,,infatuation
['1686378094964408323'],en,2023-08-01T14:07:23.000Z,1686378094964408323,1686378094964408323,You still have 20 days to enjoy these deals https://t.co/OnCm2dSsr6,5,0,5,0,1,7768,,infatuation
['1686081833463619584'],en,2023-07-31T18:30:09.000Z,1686081833463619584,1686081833463619584,"Hey Siri? Play ""Classic Man."" 🎩 https://t.co/1aFJobHPGt",2,3,4,0,0,7075,,infatuation
['1683866778949099520'],en,2023-07-25T15:48:19.000Z,1683866778949099520,1683866778949099520,"Every Erewhon LA Location, Ranked https://t.co/qG5XJak6AV https://t.co/cN17VnmR7Q",3,3,7,0,1,6057,,infatuation
['1683809849031680001'],en,2023-07-25T12:02:06.000Z,1683809849031680001,1683809849031680001,We’re here to point you in the right direction. Prost! https://t.co/E7ZokwAKaO,2,1,3,0,2,4955,,infatuation
['1683541455921397763'],en,2023-07-24T18:15:36.000Z,1683541455921397763,1683541455921397763,"After touring around the world with @linkinpark for years, co-founder @mikeshinoda  has spent enough time in cities like Tokyo to have his own list of go-to restaurants https://t.co/sf0RhRFbWa",33,2,137,5,34,106966,,infatuation
['1676979533344284675'],en,2023-07-06T15:40:52.000Z,1676979533344284675,1676979533344284675,Here’s where to eat in 16 cities and towns across California https://t.co/a1PIuHHLX1,6,2,11,0,4,5998,,infatuation
['1674788481338580994'],en,2023-06-30T14:34:24.000Z,1674788481338580994,1674788481338580994,"As much as everyone loves Jeremy Allen White’s t-shirt, the restaurant cameos steal the show.  Here are all the restaurants in @TheBearFX , ranked

https://t.co/dAMqpNfTVg",4,1,9,0,3,5331,,infatuation
['1674494967215976467'],en,2023-06-29T19:08:05.000Z,1674494967215976467,1674494967215976467,"If you're looking for an excuse to escape the smells of summer in NYC and beg to borrow your friend's car, this is it! 

The Best Restaurants To Visit While Road Tripping From New York To Portland, Maine: https://t.co/pPmI9UPMuv https://t.co/QgyUyVoXnF",9,2,7,1,2,9619,,infatuation
['1674107809015660550'],en,2023-06-28T17:29:39.000Z,1674107809015660550,1674107809015660550,"Because if you're dropping $$$$ on an Airbnb rental for the weekend, might as well go off on an excellent $30+ roll stuffed with crustaceans🦞 https://t.co/Zw13H6QOoQ",7,2,9,0,1,4607,,infatuation
['1672301530014203931'],en,2023-06-23T17:52:09.000Z,1672301530014203931,1672301530014203931,"If you're taking @flybladenow with your besties out to the Hamptons tonight, this one might just be for you😇 
https://t.co/mr5Aj0sc41",4,2,3,0,0,5874,,infatuation
