created_at,text,edit_history_tweet_ids,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
2024-04-09T19:58:29.000Z,"Urgent Hiring!!

Executive Sales Manager Job at Neutratech

Job Location: Lekki, Lagos
Employment Type: Full-time

Salary: N200,000 - N1,000,000 monthly

Specification
- Must possess a Degree from a Tertiary institution
- 1 - 3 years of work experience.

Send CV to:… https://t.co/wzzDSDorzm",['1777788190658589118'],1777788190658589118,6,1,17,1,3,1590
2024-04-09T19:49:25.000Z,"RT @Rite_info: Newcastle University Scholarship for international students - UK 🇬🇧

It covers:
📌Full tuition coverage
📌£31,000💰for:
📍Living…",['1777785910764904741'],1777785910764904741,11,0,0,0,0,0
2024-04-09T19:44:24.000Z,"Urgent Hiring!!

HR Manager Job at Aureole Consulting Limited

Job Locations: Abuja and Lagos 
Employment Type: Full Time

Salary: N500,000 - N800,000 Monthly

Requirements 
- Bachelors in Human Resources or other related field
- Minimum of five (5) years of previous working… https://t.co/STd9TMcwOJ",['1777784649768468959'],1777784649768468959,2,1,8,0,1,1344
2024-04-09T19:16:38.000Z,"African Development Bank Group (AfDB) Job Recruitment Drive (April 9, 2024)

We are recruiting to fill the following positions below:
 - Technical Experts
 - Financial Professionals
 - Administrative and Support Staff
 - Strategic Planning Professionals

📍Location: Abuja,… https://t.co/Uguw1pOu80",['1777777662330601611'],1777777662330601611,2,0,4,0,4,1254
2024-04-09T19:09:20.000Z,"Application Dossier
Interested candidates who meet the criteria listed above should forward their application dossier to the Bank in paper form.  The dossier will comprise:

- A detailled curriculum vitae;
- Copy of qualifications obtained;
- Copy of national identity card or… https://t.co/88kqc8ofHd",['1777775824915005634'],1777775824915005634,0,0,0,0,0,454
2024-04-09T19:08:33.000Z,"ECOWAS Bank for Investment and Development (EBID) 2025 Young Professionals Recruitment Programme

Job Location: Nigeria (Nationwide)
Employment Type: Full-time

Requirements
- Not more than 30 years of age at the time of recruitment;
- A Master's Degree or equivalent… https://t.co/zTT0suS1Pm",['1777775624741965976'],1777775624741965976,3,3,14,0,1,1443
2024-04-09T19:04:44.000Z,"Aureole Consulting Limited Recruitment for HR Intern (NYSC)

Job Location: Lagos
Employment Type: NYSC

Requirements
- Bachelor's degree or HND in Human Resources or a relevant discipline
- 0 - 1 year of relevant experience in human resources.
- NYSC candidates are encouraged to… https://t.co/lMhrlh9vhZ",['1777774666301472882'],1777774666301472882,0,0,1,0,1,769
2024-04-09T18:38:21.000Z,"Urgent Hiring!!

Customer Care Representative Job at Bright ICT Network

Job Location: Lagos
Employment Type: Full-time

Salary: N120,000 / month

Requirements
- Minimum of OND in any discipline
Working experience as a customer service will be added advantage

Send CV and… https://t.co/mCQlTl0PU4",['1777768028253384991'],1777768028253384991,8,1,20,0,5,2990
2024-04-09T18:28:14.000Z,"Urgent Hiring!!

Outpatient Department (OPD) Nurse at Premiere Urgence Internationale (PUI)

Location: Mashi / Kufi – Katsina

Salary: N312,000 monthly.

Responsibilities and Tasks
Patient Care:
° Ensure and conduct the medical consultations with full history taking, clinical… https://t.co/rOondabWhb",['1777765478745669817'],1777765478745669817,3,0,11,0,0,1372
2024-04-09T18:23:15.000Z,"Urgent Hiring!!

Health &amp; Nutrition Supervisor at Premiere Urgence Internationale

Location: Mashi, Katsina

Salary: N468,000 Month.

Qualifications
- Interested candidates should possess a Bachelor’s Degree with 3-5 years experience

Apply  ⤵️
https://t.co/GW2TrpWYo6",['1777764225190068525'],1777764225190068525,5,0,7,0,0,1768
