created_at,text,id,edit_history_tweet_ids,lang,conversation_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
2026-04-07T21:14:04.000Z,"COOKIE DOUGH STUFFED DATES
…in the best way!! 👯‍♀️🎉

Soft, caramel-y dates stuffed with a creamy peanut butter cookie dough center and topped with mini chocolate chips. 

No baking, easy to make, and they taste crazy indulgent!! 🙌😋 

https://t.co/xXLHCWYibR",2041625579514994760,['2041625579514994760'],en,2041625579514994760,1,0,3,0,2,316,joybauer
2025-12-20T17:11:08.000Z,All I want for Christmas is… caprese! 🍅🎄https://t.co/Saj0AzoWGT,2002426553637257513,['2002426553637257513'],en,2002426553637257513,1,0,4,0,0,571,joybauer
2025-10-10T13:55:14.000Z,"Consider this your sign to eat cookies!! 😍🍪 One skillet, chocolate chips, and a peanut butter swirl that’s sooo good. Crispy edges. Gooey center. Sweet bliss. 🔥🔥 https://t.co/ZP4ruc6LbH",1976647714504142900,['1976647714504142900'],en,1976647714504142900,1,0,2,0,1,684,joybauer
2025-10-01T19:42:42.000Z,I 🧡 pumpkin season!! Here are some of my fave recipes—hope you enjoy them 😋 ✨,1973473669168214122,['1973473669168214122'],en,1973473669168214122,1,0,4,0,0,652,joybauer
2025-10-01T02:52:50.000Z,Creamy pasta made with HUMMUS?! 🙌🍝 aka… Penne alla Hummus. Who’s in? 🙋🏻‍♀️ https://t.co/cED0Q05Ce3,1973219526977405302,['1973219526977405302'],en,1973219526977405302,1,0,2,0,0,572,joybauer
2025-09-26T19:48:11.000Z,"5-Minute Mac &amp; Cheese?! YES, PLEASE. 🧀✨ One mug. One microwave. One creamy, cheesy single-serve dream come true. 😍 https://t.co/KauEREd3xM",1971663108323102728,['1971663108323102728'],en,1971663108323102728,0,0,1,0,1,562,joybauer
2025-09-25T01:10:42.000Z,"From breakfast pudding to hearty sandwiches and stews, this 3-day meal plan is packed with probiotics, prebiotics, and fiber to keep your belly (and bugs!) happy and flourishing. 🤗 Grab the full meal plan here: https://t.co/E8SxvTWk2u",1971019498372383187,['1971019498372383187'],en,1971019498372383187,1,0,4,0,0,625,joybauer
2025-09-18T18:23:27.000Z,5 yummy sandwiches to rock your lunch! 💥🥪,1968742681015894248,['1968742681015894248'],en,1968742681015894248,1,0,2,0,0,457,joybauer
2025-09-15T15:50:19.000Z,✨ MOIST. CHEESY. PROTEIN-PACKED. ✨ The easiest Cheddar Protein Biscuits with more than 10g protein each! 💪😋 https://t.co/4FfvGMlFkz,1967616980221145258,['1967616980221145258'],en,1967616980221145258,0,0,2,0,1,407,joybauer
2025-09-12T18:28:58.000Z,Check out my 3-Day Cholesterol-Lowering Meal Plan here ➡️ https://t.co/W9wxsUULMS,1966569742971593215,['1966569742971593215'],en,1966569742971593215,0,0,2,0,1,459,joybauer
2025-09-09T17:45:09.000Z,"🍒 CHERRY BAKED OATMEAL 🍒 Just imagine jammy cherry swirls baked right into golden oats!! 😱😋
https://t.co/iQOhwrGspF",1965471552516022315,['1965471552516022315'],en,1965471552516022315,0,0,0,0,0,403,joybauer
2025-08-07T03:26:53.000Z,Berry much in love with these 5 recipes… and you will be too! 🍓🍓,1953296764666331620,['1953296764666331620'],en,1953296764666331620,0,0,5,0,0,538,joybauer
2025-08-05T17:02:00.000Z,Meet my ✨Chocolate Peanut Butter Crispy Bites✨—my entire house is obsessed with them!! 🤤🍫 https://t.co/UIha8IvW7Z https://t.co/pPjTIAFkOm,1952777119777333303,['1952777119777333303'],en,1952777119777333303,2,0,7,0,1,635,joybauer
