created_at,conversation_id,text,edit_history_tweet_ids,lang,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id,username
2024-08-29T21:16:20.000Z,1829266861470724438,"John just calls it a blog, but the kids need to know that 20 years ago he spawned a whole generation of smarter Big Ten fans (which years later, continues to fuel my subscription numbers). Amazing times. https://t.co/ZlfYU4A0IN https://t.co/huT1s2Wjk6",['1829266861470724438'],en,1829266861470724438,2,10,73,1,4,150811,,kenpomeroy
2024-06-26T15:59:28.000Z,1805994294387552599,Congrats to Jordan who is one of most responsible and entertaining users of analytics in the field. Well deserved and a great add for Jans. https://t.co/PTLARiVCtu,['1805994294387552599'],en,1805994294387552599,1,4,73,0,1,85959,,kenpomeroy
2024-06-20T22:30:31.000Z,1803918381210570824,"In '92, 5-9 Iowa State got in. There is some nostalgic idea that only the best P6 teams used to get in. But it's not true. Mediocre P6 teams got in, there were just fewer of them available so plenty of room for the best MM at-larges. That is no longer the case. Need to expand. https://t.co/JvxHZ25I8Q",['1803918381210570824'],en,1803918381210570824,3,14,33,1,0,67751,,kenpomeroy
2024-06-20T22:01:36.000Z,1803910643487236387,"What's changed is there's less access for MM at-larges. Expanding the tourney helps with that. Anti-expansion = anti-Robbie Avila.

(On a percentage basis, I'd bet that fewer sub-.500 P5 teams get in now than in the 80s but one of you nerds should graph it up and report back.)",['1803911104088969216'],en,1803911104088969216,1,6,14,0,0,27043,108186684,kenpomeroy
2024-06-20T21:59:47.000Z,1803910643487236387,"Access has improved for P5 teams as a whole because there are more of them. Creighton, Butler, Houston, BYU  are now P5. It hasn't changed for individual teams. 

16-12 Kentucky made the '85 tourney. 18-13 (6-8) Maryland was a 5-seed(!) in 86. 17-12 (6-8) Maryland was a 7 in '88 https://t.co/oJtORbHGhK",['1803910643487236387'],en,1803910643487236387,3,2,36,3,3,66308,,kenpomeroy
2024-06-20T20:28:58.000Z,1803887790750601691,"In 1985, 64 (22.8%) of 280 teams made the tourney. In 2024, 68 (19.4%) of 351 teams made it. The tournament is more exclusive than it's been since 1984. 

Nothing's going to lose meaning by adding a few teams. https://t.co/gTEUAMv2Ft",['1803887790750601691'],en,1803887790750601691,16,41,195,17,7,214294,,kenpomeroy
2024-06-20T20:10:34.000Z,1803883161484693511,"RIP my mentions, but 76 teams is totally responsible expansion and I don't understand why people are so hostile to it. It would have been cool to have had Indiana State in last season's tourney. So what if it comes with St. John's and Oklahoma joining them.",['1803883161484693511'],en,1803883161484693511,41,210,536,103,17,312523,,kenpomeroy
2024-06-16T12:50:32.000Z,1802322869545742834,Hole average is cool but hole variance tells you where a golf tournament has the best chance of being won or lost. 8/9/10 has been serving up a variety of outcomes all week at No. 2. https://t.co/jSZ4D4O0y4,['1802322869545742834'],en,1802322869545742834,12,4,130,3,14,107401,,kenpomeroy
2024-05-24T14:13:16.000Z,1794008768814236116,Ooh. Good stuff. https://t.co/hdhGvpeP9F,['1794008768814236116'],en,1794008768814236116,1,3,26,1,3,52976,,kenpomeroy
2024-05-24T04:47:05.000Z,1793866284603723785,Feels like this would be a flat line in college. Somebody prove me wrong. https://t.co/tcqKLKzbPp,['1793866284603723785'],en,1793866284603723785,2,4,33,0,4,59927,,kenpomeroy
