text,id,edit_history_tweet_ids,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
RT @Nigella_Lawson: #RecipeOfTheDay is a short cut to bolstering cosiness for carnivores in the form of my Rapid Ragù! https://t.co/JLoLxNx…,1777257750357286936,['1777257750357286936'],2024-04-08T08:50:42.000Z,47,0,0,0,0,2
@journo_dale How divine!,1777226852664496170,['1777226852664496170'],2024-04-08T06:47:55.000Z,0,0,5,0,0,6166
@AuKaleidoscope That looks absolutely gorgeous! And thank *you* Kathy,1777226694656737448,['1777226694656737448'],2024-04-08T06:47:17.000Z,0,0,1,0,0,127
@SusieKonkle Just click on link in the post you responded to!!,1777158494812361172,['1777158494812361172'],2024-04-08T02:16:17.000Z,0,0,0,0,0,65
#RecipeOfTheDay is a short cut to bolstering cosiness for carnivores in the form of my Rapid Ragù! https://t.co/JLoLxNx8B9 https://t.co/gezj4o68Oh,1777156396221600100,"['1777155469930594631', '1777156396221600100']",2024-04-08T02:07:57.000Z,47,8,579,5,79,68588
"RT @Nigella_Lawson: Crisp-edged, marshmallow-bellied meringue topped with sharp citrus curd, a cloud of whipped cream and toasted flaked al…",1776898547650019449,['1776898547650019449'],2024-04-07T09:03:21.000Z,111,0,0,0,0,0
"@AyaReina Well, I think you’re wonderful. I know better than to try and convince you, but I just ask you to trust me on this",1776860978908438985,['1776860978908438985'],2024-04-07T06:34:04.000Z,0,1,65,0,1,16540
"Crisp-edged, marshmallow-bellied meringue topped with sharp citrus curd, a cloud of whipped cream and toasted flaked almonds: #RecipeOfTheDay is Lemon Pavlova. I couldn’t love it more! https://t.co/hOoN96F7jU https://t.co/ugSFOG0fAg",1776768489786896401,['1776768489786896401'],2024-04-07T00:26:33.000Z,111,52,1564,23,189,109605
@axelk Madonna,1776613515429556592,['1776613515429556592'],2024-04-06T14:10:44.000Z,3,27,543,0,2,41056
"@JaneNapier To be honest, I don’t dare. I fear rereading him now may open us up to a world of disappointment. Though I hope I’m wrong",1776610014515614072,['1776610014515614072'],2024-04-06T13:56:49.000Z,0,0,1,0,0,565
"Just begun #CaledonianRoad by Andrew O’Hagan, and loving it. It’s as if Aldous Huxley – the Aldous Huxley of Antic Hay, not Brave New World – had been injected with a bit of Jilly Cooper! https://t.co/3O14KVgES7",1776598112791900489,['1776598112791900489'],2024-04-06T13:09:32.000Z,15,21,286,3,30,67267
"RT @Nigella_Lawson: #RecipeOfTheDay 
Chicken and Pea Traybake for the win! https://t.co/liZdcK9ioK https://t.co/t1Oigw20Rl",1776536901278982469,['1776536901278982469'],2024-04-06T09:06:18.000Z,42,0,0,0,0,1
