lang,edit_history_tweet_ids,text,id,in_reply_to_user_id,conversation_id,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
en,['1660753387321982984'],"Discover all the skills you didn’t know you needed, then build on them → https://t.co/So3OUzHrEy",1660753387321982984,13058772,1660752719274213377,2023-05-22T21:03:57.000Z,258,991,862,15,18,281228,LinkedIn
en,['1660753225480568840'],"Find like-minded professionals, meaningful connections, and career champions, all in one place → https://t.co/iwGr6FQ38J",1660753225480568840,13058772,1660752719274213377,2023-05-22T21:03:18.000Z,231,1285,865,30,27,317454,LinkedIn
en,['1660753069368565760'],"With over 5.6 million active job postings on LinkedIn, there’s no limit to your career opportunities. Explore curated recommendations to find the job that works for you → https://t.co/sXGck47kDc",1660753069368565760,13058772,1660752719274213377,2023-05-22T21:02:41.000Z,183,238,579,2,4,62467,LinkedIn
en,['1660752719274213377'],"Where we’ve been and what we’ve accomplished don’t define where we can go. Because everyone deserves the opportunity to get an opportunity. Here, you find your in and we all move forward. #FindYourIn https://t.co/EzZXgBALGp",1660752719274213377,,1660752719274213377,2023-05-22T21:01:18.000Z,2326,15529,6720,248,220,1472090,LinkedIn
en,['1589771398364495873'],📰 Share your POV on a regular basis by launching a newsletter → https://t.co/3NPJzsoV6s https://t.co/AtgfB1CtzQ,1589771398364495873,13058772,1589771300024844288,2022-11-08T00:06:52.000Z,251,481,807,16,39,0,LinkedIn
en,['1589771351430090752'],🔊 Have conversations with your community in real time by hosting an audio event → https://t.co/njbvTPJqYd https://t.co/YEC5pqOv9M,1589771351430090752,13058772,1589771300024844288,2022-11-08T00:06:41.000Z,270,578,854,26,32,0,LinkedIn
en,['1589771304672141312'],📡 Turn on creator mode to help grow your reach and influence on LinkedIn → https://t.co/Aj4vEaNBKu https://t.co/tyiLttOWZ1,1589771304672141312,13058772,1589771300024844288,2022-11-08T00:06:30.000Z,178,68,520,5,3,0,LinkedIn
en,['1589771300024844288'],"Wherever you’re at on your professional journey, LinkedIn has the tools &amp; community to help you succeed ⬇️",1589771300024844288,,1589771300024844288,2022-11-08T00:06:29.000Z,347,1270,1259,55,45,0,LinkedIn
en,['1588185837560291333'],Sorry I didn’t bring you iced coffee today that wasn’t very favorite coworker of me,1588185837560291333,,1588185837560291333,2022-11-03T15:06:25.000Z,227,390,980,20,15,0,LinkedIn
en,['1587836940799418371'],Work besties from different generations &gt;&gt;&gt;,1587836940799418371,,1587836940799418371,2022-11-02T16:00:01.000Z,215,300,890,16,10,0,LinkedIn
