conversation_id,id,edit_history_tweet_ids,lang,text,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
2039148145968345536,2039148145968345536,['2039148145968345536'],en,I'm quoted https://t.co/Gz78olfBG1,2026-04-01T01:09:38.000Z,0,0,5,0,2,1029,marionnestle
2029997083168567589,2029997083168567589,['2029997083168567589'],en,My interview with Helena Bottemiller Evich on American Dish: https://t.co/aec75BKyFT,2026-03-06T19:06:34.000Z,1,0,5,0,1,976,marionnestle
2024325602619379773,2024325602619379773,['2024325602619379773'],en,Happy to be a co-author! https://t.co/qsVA95BAXn,2026-02-19T03:30:08.000Z,2,0,9,0,4,1556,marionnestle
2021573743114400124,2021573743114400124,['2021573743114400124'],en,This should be fun! https://t.co/7V3z6mhObn,2026-02-11T13:15:14.000Z,1,0,4,0,1,1068,marionnestle
2016529310945796346,2016529310945796346,['2016529310945796346'],en,This was such fun to do! https://t.co/Q7aJpU1f0l,2026-01-28T15:10:27.000Z,4,1,11,0,2,1339,marionnestle
2010907466008314363,2010907466008314363,['2010907466008314363'],en,Wow.  Thanks! https://t.co/KMEOiJVb0H,2026-01-13T02:51:15.000Z,0,0,1,0,0,1509,marionnestle
2009784440541614435,2009784440541614435,['2009784440541614435'],en,Congratulations!!! https://t.co/EMZTP7rri9,2026-01-10T00:28:45.000Z,0,0,2,1,0,1494,marionnestle
2006494509589573719,2006494509589573719,['2006494509589573719'],en,Thanks Jerry.  Happy new year to you! https://t.co/cHHFjjvLe9,2025-12-31T22:35:44.000Z,0,0,2,0,0,1451,marionnestle
1996370428735189155,1996370428735189155,['1996370428735189155'],en,Thanks for including What to Eat Now! https://t.co/18WtkaGaAi,2025-12-04T00:06:15.000Z,0,0,6,0,0,861,marionnestle
1996368890709070035,1996368890709070035,['1996368890709070035'],en,Thanks for including What to Eat Now! https://t.co/Z7vZlzBI33,2025-12-04T00:00:08.000Z,2,0,11,0,0,2965,marionnestle
1994439307491250467,1994439307491250467,['1994439307491250467'],en,Thanks for this! https://t.co/rNx82UAKuh,2025-11-28T16:12:40.000Z,4,0,26,0,2,3094,marionnestle
1991972707295191521,1991972707295191521,['1991972707295191521'],en,So sad to hear this.  We were colleagues at UCSF years ago. https://t.co/H7G7YRLmHW,2025-11-21T20:51:17.000Z,0,0,3,0,0,1126,marionnestle
1991972004992516563,1991972004992516563,['1991972004992516563'],en,Congrats! https://t.co/caKXkVZ821,2025-11-21T20:48:29.000Z,1,0,9,0,3,1143,marionnestle
1991971728986357769,1991971728986357769,['1991971728986357769'],en,Congrats! https://t.co/30jaJwCvco,2025-11-21T20:47:23.000Z,0,1,23,0,0,2409,marionnestle
1991687730087289323,1991687730087289323,['1991687730087289323'],en,I'm a co-author on the policy and politics papers. https://t.co/P2efgKnt6x,2025-11-21T01:58:53.000Z,1,1,16,0,0,1676,marionnestle
1991139642746323104,1991139642746323104,['1991139642746323104'],en,Happy to be a co-author on two of these papers! https://t.co/KFgygoUOP7,2025-11-19T13:40:59.000Z,11,2,51,1,7,7695,marionnestle
1990985438392115566,1990985438392115566,['1990985438392115566'],en,Thanks much!!! https://t.co/EILzYBUTly,2025-11-19T03:28:13.000Z,4,0,36,0,2,3958,marionnestle
1989468616933478501,1989468616933478501,['1989468616933478501'],en,Tragic. https://t.co/TsriUzUYvt,2025-11-14T23:00:55.000Z,1,0,9,0,1,3824,marionnestle
