created_at,text,id,lang,conversation_id,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,username
2026-04-10T23:04:00.000Z,My keynote talk at Bioneers has been posted https://t.co/G6PLiv6eOs,2042740410775126508,en,2042740410775126508,['2042740410775126508'],4,0,28,0,7,2658,michaelpollan
2026-04-10T12:42:35.000Z,"Michael Pollan on consciousness, psychedelics, and his new book A World Appears | The Standard https://t.co/sTGvuUhLBw",2042584025764684135,en,2042584025764684135,['2042584025764684135'],3,0,43,1,7,3107,michaelpollan
2026-04-09T16:52:02.000Z,"Michael Pollan on Consciousness, Psychedelics and the Fight for Free Thought - YouTube https://t.co/jseMm4jpPw",2042284413166170603,en,2042284413166170603,['2042284413166170603'],0,0,13,0,8,3920,michaelpollan
2026-04-09T16:51:34.000Z,"Michael Pollan on Consciousness, Psychedelics and the Fight for Free Thought - Brave New World | Podcast on Spotify https://t.co/p2KwPodcCM",2042284295390163001,en,2042284295390163001,['2042284295390163001'],3,0,40,1,7,3562,michaelpollan
2026-04-09T16:50:21.000Z,"Michael Pollan on consciousness, psychedelics, and his new book A World Appears | The Standard https://t.co/sTGvuUhLBw",2042283988379664799,en,2042283988379664799,['2042283988379664799'],6,6,81,1,17,5746,michaelpollan
2026-04-08T12:43:00.000Z,An episode of Altered States was nominated for a Webby Awards: https://t.co/d6PMM8kuVK,2041859354232594472,en,2041859354232594472,['2041859354232594472'],1,1,14,0,2,2932,michaelpollan
2026-04-08T12:26:56.000Z,How Psychedelics Affect the Brain - The New York Times https://t.co/y5vPOEHrng,2041855310675993075,en,2041855310675993075,['2041855310675993075'],37,6,210,2,106,21105,michaelpollan
2026-04-06T15:48:01.000Z,Excerpt from the novel Carne de Dios - by Chloe Garcia Roberts - in The Microdose https://t.co/ct8XazA3mn,2041181138916462820,en,2041181138916462820,['2041181138916462820'],0,0,2,0,2,2665,michaelpollan
2026-04-02T18:49:55.000Z,Mind-blowing science: Complete biosynthesis of psychedelic tryptamines from three kingdoms in plants | Science Advances https://t.co/39mQdp1cFE,2039777364339773790,en,2039777364339773790,['2039777364339773790'],21,7,153,1,91,14901,michaelpollan
2026-04-02T18:31:44.000Z,Tonight! BCNARTS: Best Bets: Michael Pollan Speaks About 'A World Appears' In San Rafael https://t.co/0S1ToW6BtL,2039772789528465692,en,2039772789528465692,['2039772789528465692'],0,0,8,0,0,2872,michaelpollan
2026-04-01T16:23:34.000Z,Michael Pollan Returns (on con… - Armchair Expert with Dax Shepard - Apple Podcasts https://t.co/dP2Funh2eB,2039378145720336892,en,2039378145720336892,['2039378145720336892'],1,1,16,0,0,2345,michaelpollan
2026-03-31T18:59:54.000Z,Opinion | Michael Pollan’s Journey to the Borderlands of Consciousness - The New York Times https://t.co/seUEos1s6e,2039055101860651391,en,2039055101860651391,['2039055101860651391'],6,4,47,4,9,7810,michaelpollan
2026-03-30T17:35:46.000Z,This is an important argument coming from someone with the authority to make it. https://t.co/NG7u8JpPoO,2038671538136961148,en,2038671538136961148,['2038671538136961148'],4,2,40,0,15,22350,michaelpollan
2026-03-29T20:40:16.000Z,"Congratulations to the 2026 Ferriss-UC Berkeley Psychedelic Journalism fellows! In a very competitive pool, these journalists and their stories stood out for their originality and importance.
https://t.co/H9rC00cSHz",2038355584433676675,en,2038355584433676675,['2038355584433676675'],3,1,21,1,1,3942,michaelpollan
2026-03-27T22:56:48.000Z,Robin Carhart-Harris Is Mapping the Mind Using Psychedelics | DoubleBlind Mag https://t.co/QNav8g09Fb,2037665165387162073,en,2037665165387162073,['2037665165387162073'],17,5,104,2,25,7273,michaelpollan
2026-03-24T13:24:21.000Z,Project Mind Control: 5 Questions with historian John Lisle https://t.co/hivRT1AwxV,2036433941360414882,en,2036433941360414882,['2036433941360414882'],3,2,10,0,2,3464,michaelpollan
