created_at,text,id,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
2024-04-09T20:25:06.000Z,@destinyzee @nokie555 @FloydWisani It’s a lot 😂,1777794891646390772,['1777794891646390772'],0,0,0,0,0,2
2024-04-09T20:24:05.000Z,"@mrlechesa What irony - if I stole something, open a case buddy",1777794634049101981,['1777794634049101981'],0,0,0,0,0,3
2024-04-09T20:23:22.000Z,@sam_khaya At least think for yourself and stop copying low thinkers Sam,1777794456642593248,['1777794456642593248'],0,0,0,0,0,2
2024-04-09T20:22:16.000Z,@Claudatiousss @mbalimcdust Idjits 😂,1777794176131690759,['1777794176131690759'],0,0,1,0,0,3
2024-04-09T20:21:49.000Z,"@Thuso1Africa Thuso, does my taxes pay either of those idiots? 

Come on man, you’re smarter than this",1777794064781336768,['1777794064781336768'],0,0,0,0,0,7
2024-04-09T20:21:09.000Z,@KayBePhoku Everyone tries to tell me what to do dear.,1777793895033651522,['1777793895033651522'],0,0,0,0,0,5
2024-04-09T19:25:42.000Z,@naleedi27 @M4Masande Oh god,1777779943675503015,['1777779943675503015'],0,0,0,0,0,51
2024-04-09T19:23:14.000Z,@dragonfly_rob @FloydWisani https://t.co/hdzaRHkMlM,1777779323379855539,['1777779323379855539'],0,0,0,0,0,16
2024-04-09T19:21:54.000Z,@_Cbalcool The one thing he excels at,1777778985264431413,['1777778985264431413'],0,0,0,0,0,27
2024-04-09T19:21:17.000Z,@mogale03013433 I’m not that old - jeez,1777778829332787241,['1777778829332787241'],0,0,0,0,0,87
2024-04-09T19:15:42.000Z,@Stimela_Mgazi Not all black people are dumb 🥰,1777777426220634405,['1777777426220634405'],0,1,1,0,0,181
2024-04-09T19:14:01.000Z,@HeinzWakanda @Claudatiousss @mbalimcdust Someone told me I’d be kicked of the DA for my post - so weird 😂,1777777003183100325,['1777777003183100325'],0,1,1,0,0,24
2024-04-09T19:13:26.000Z,@commandasaurus I’m gonna give you up,1777776857410109704,['1777776857410109704'],0,0,1,0,0,9
2024-04-09T19:13:03.000Z,@722963 @M4Masande Calm down jeez - I never said you couldn’t vote for him 😂😂,1777776760072925547,['1777776760072925547'],0,0,0,0,0,75
2024-04-09T19:12:30.000Z,"@Brown_built I agree, he’s a puss",1777776620205375867,['1777776620205375867'],0,2,0,0,0,144
2024-04-09T19:11:43.000Z,@commandasaurus Rick is a Trump supporter. I may need to divorce you 😂,1777776423874310550,['1777776423874310550'],0,1,1,0,0,109
2024-04-09T19:11:09.000Z,@Narchist232 @DubeScelo But his heart 😂😂😂,1777776280512921900,['1777776280512921900'],0,1,0,0,0,6
2024-04-09T19:10:50.000Z,@ConstanceDilem1 @zilevandamme 😂😂😂,1777776201832030316,['1777776201832030316'],0,0,1,0,0,9
2024-04-09T19:10:24.000Z,@TebogoT17 My mother’s womb is a boat? Vokken lerete,1777776090670313953,['1777776090670313953'],0,1,0,0,0,8
2024-04-09T19:09:54.000Z,@GuguStatu @FloydWisani We al look the same 😂,1777775966447603758,['1777775966447603758'],0,0,1,0,0,14
2024-04-09T19:09:42.000Z,@Tumza_ @FloydWisani We just have to laugh,1777775915268792346,['1777775915268792346'],0,1,0,0,0,10
2024-04-09T19:09:18.000Z,@uMsongi_Lo You lot are the ones having a meltdown in my mentions - it’s so easy to rile you all up,1777775817205993767,['1777775817205993767'],0,0,0,0,0,108
2024-04-09T19:08:44.000Z,@HeinzWakanda @Claudatiousss @mbalimcdust I just laugh 😂😂,1777775673735577645,['1777775673735577645'],0,1,2,0,0,65
2024-04-09T19:08:15.000Z,@ConstanceDilem1 @zilevandamme I’ve had a rough day babe - I need to release the stress 😂,1777775551622652300,['1777775551622652300'],0,1,1,0,0,12
2024-04-09T19:06:25.000Z,"@Patrick_Makgata You unlocked me just for this - don’t worry I still have the evidence of your past posts to me 😂😂😂

How is your wife? Or is she happier with a real man?",1777775089825493120,['1777775089825493120'],0,0,0,0,0,23
2024-04-09T19:05:34.000Z,@MxolisiThango He’s probably the father of most of the nation - perverted man,1777774876117418473,['1777774876117418473'],0,0,0,1,0,55
2024-04-09T19:04:28.000Z,@Patrick_Makgata Cry you miserable poes 😂,1777774600228647261,['1777774600228647261'],0,0,0,0,0,22
2024-04-09T19:03:38.000Z,@GuguStatu @FloydWisani Babe 😂😂😂😂😂😂😂😂😂😂 https://t.co/cngDEjDK4p,1777774387602628727,['1777774387602628727'],0,1,0,0,0,19
2024-04-09T19:02:44.000Z,@Nolotsie @FloydWisani I can’t laugh alone 😂😂,1777774161839964258,['1777774161839964258'],0,0,1,0,0,12
2024-04-09T19:02:28.000Z,@john_lubaale It’s my white gene’s apparently 😂😂,1777774095146328170,['1777774095146328170'],0,0,0,0,0,78
2024-04-09T19:00:57.000Z,@Claudatiousss @mbalimcdust 😂😂😂😂😂😂 https://t.co/oPOWc4wq8p,1777773714056130652,['1777773714056130652'],0,3,5,0,0,926
2024-04-09T18:59:32.000Z,"@FloydWisani 😂😂😂😂😂😂😂😂😂

Jesus - you posted an article of a person with a surname that isn’t mine",1777773358861500875,['1777773358861500875'],0,1,3,0,0,164
2024-04-09T18:58:19.000Z,"@mzqunta Jesus. He annoys me, but that’s taking it a bit far",1777773051540631972,['1777773051540631972'],0,1,0,0,0,5
2024-04-09T18:57:48.000Z,@DubeScelo I’ll give you R10000 if you show me the evidence of the kak you’re spewing,1777772921886232593,['1777772921886232593'],0,0,0,0,0,11
2024-04-09T18:57:07.000Z,@Patrick_Makgata No wonder your wife left you https://t.co/LUj0p2tZ3Q,1777772748862886128,['1777772748862886128'],0,0,0,0,0,20
2024-04-09T18:55:14.000Z,@DjRicoSA No,1777772276370350464,['1777772276370350464'],0,0,0,0,0,33
2024-04-09T18:53:55.000Z,@GuguStatu @FloydWisani He’s very quiet now,1777771944600887534,['1777771944600887534'],0,0,1,0,0,14
2024-04-09T18:52:21.000Z,@poobie_pillay Nope 😂😂,1777771549296132358,['1777771549296132358'],0,0,0,0,0,262
2024-04-09T18:28:40.000Z,@sethu_shabangu It’s like a cult,1777765589622145044,['1777765589622145044'],0,1,0,0,0,156
2024-04-09T18:27:30.000Z,@Bongs_Mahlangu I like them all too,1777765295421349928,['1777765295421349928'],0,0,1,0,0,67
