edit_history_tweet_ids,created_at,id,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
['1777417377459675440'],2024-04-08T19:25:00.000Z,1777417377459675440,Big is moving to Paris.,25,88,348,7,6,113931
['1777398393452613746'],2024-04-08T18:09:34.000Z,1777398393452613746,it's not his day https://t.co/cAtRzypdkK,178,98,2367,25,28,162239
['1777389686257856672'],2024-04-08T17:34:58.000Z,1777389686257856672,3 Body Problem is now playing...in real life. https://t.co/9VfEV4s75Q,72,81,689,15,19,131108
['1777375987795153142'],2024-04-08T16:40:32.000Z,1777375987795153142,RT @MrOswaldM: Plot twist: Those stairs are Tom’s villain origin story.😂,8,0,0,0,0,13
['1777371557049823340'],2024-04-08T16:22:55.000Z,1777371557049823340,you just know she's looking directly at it https://t.co/JsvlS4disR,85,141,1379,21,41,205175
['1777369384501072251'],2024-04-08T16:14:17.000Z,1777369384501072251,RT @CyberrCed: The solar eclipse today makes me think about the 3 body problem; are we entering the chaotic era or a peaceful era? 😅😂,29,0,0,0,0,11
['1777364884717466021'],2024-04-08T15:56:25.000Z,1777364884717466021,The whole world is gonna know her name. X is now playing. https://t.co/ZlK6IsPrYd,62,146,693,11,37,154161
['1777358255754244112'],2024-04-08T15:30:04.000Z,1777358255754244112,"John Mulaney Presents: Everybody’s In LA is a six-night LIVE comedy series where John Mulaney explores the city of Los Angeles during a week when every funny person is in it.

The series debuts live May 3 from #NetflixIsAJokeFest, with additional episodes streaming live May 6 -… https://t.co/V1r4i47qgN https://t.co/ECJ5tB3yk9",42,112,351,12,42,131830
['1777356261488521503'],2024-04-08T15:22:09.000Z,1777356261488521503,"RT @ZackSnyder: There is no surrender.
Part Two premieres in 11 days on @Netflix. https://t.co/9YPbcqfigq",1267,0,0,0,0,19
['1777354369643499521'],2024-04-08T15:14:38.000Z,1777354369643499521,So you're saying we've got a... https://t.co/qwfMtgnrJL https://t.co/brpRCw7P8T,137,180,1105,18,48,249172
['1777335589253083609'],2024-04-08T14:00:00.000Z,1777335589253083609,"Ripley, but it's just Tom going up stairs https://t.co/JlUG4fxSC1",90,156,727,24,39,257953
['1777169569129365760'],2024-04-08T03:00:18.000Z,1777169569129365760,"Join Ryo, Kaori and Hideyuki on the bustling streets of modern-day Shinjuku as the curtain finally rises on the origin story of City Hunter. Coming April 25! https://t.co/YBleKVSKno",390,159,1862,75,152,330456
['1777124197812097481'],2024-04-08T00:00:00.000Z,1777124197812097481,The VFX in Parasyte: The Grey 🤯 https://t.co/KKT65aawNZ,176,193,1294,33,120,258599
['1777093998907142203'],2024-04-07T22:00:00.000Z,1777093998907142203,Just one example of a 3 Body Problem https://t.co/KQTN72xlgP,51,182,772,8,29,225932
['1777063798207054333'],2024-04-07T20:00:00.000Z,1777063798207054333,Drew Barrymore in Firestarter (1984) #MilestoneMovies https://t.co/YRayk5RrlU,84,141,1131,15,57,247547
['1777033599432229003'],2024-04-07T18:00:00.000Z,1777033599432229003,Ripley — https://t.co/r8SHidOPNH,112,193,1468,43,64,264946
['1777018503192580376'],2024-04-07T17:00:01.000Z,1777018503192580376,The perfect romcom opening scene doesn’t exis- https://t.co/tfyss46PlS,154,156,1246,43,140,275484
['1776988302232477741'],2024-04-07T15:00:00.000Z,1776988302232477741,https://t.co/aYTp9mvbuT,199,177,2530,38,80,376186
