id,edit_history_tweet_ids,text,created_at,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
1777711544542830778,['1777711544542830778'],"@sagrawalca Hi Siddhartha, thank you for getting back to us. This is most certainly not the start of your trip we intended. Our apologies for the inconvenience. We will get back to your colleague as soon as possible. Feel free to reach out again if you need any further support.",2024-04-09T14:53:55.000Z,0,0,0,0,0,55
1777705208778314207,['1777705208778314207'],"@ruthwebber1 Hello there, we are not sure if you saw our previous message.

Could you send us the previously requested booking details, so we can look into this for you. https://t.co/Z89AAoEgD7",2024-04-09T14:28:44.000Z,0,0,0,0,0,58
1777703464761430428,['1777703464761430428'],"@lis4573 Hello there, thank you for reaching out to us.

We would be happy to look into this for you.

Could you send us a DM with your booking details:
- PIN code
- Name on the reservation https://t.co/Z89AAoEgD7",2024-04-09T14:21:48.000Z,0,0,0,0,0,61
1777703248398332108,['1777703248398332108'],"@KaishaLangton 2/2
Please bear in mind that our Social Media Team doesn't work in real time. For immediate support, please call our 24/7 Customer Service Team - our contact details can be found here: https://t.co/Qy2GsKgQuC.",2024-04-09T14:20:57.000Z,0,0,0,0,0,44
1777703181167833472,['1777703181167833472'],"@KaishaLangton 1/2
Hi Kaisha, how can we help? If your request is related to an accommodation booking, please DM us the following details, and we'll get back to you as soon as possible: 

- Confirmation number
- Pin code
- Name on the reservation",2024-04-09T14:20:41.000Z,0,1,0,0,0,39
1777702412314132942,['1777702412314132942'],"@MdAbuKawserMam1 We only have access to the bookings made for accommodations, on our platform and that is why we kindly ask you to reach out to our dedicated flight support team again to follow up on your request here:  https://t.co/Z8ou85LCWJ 3/3",2024-04-09T14:17:37.000Z,0,0,0,0,0,39
1777702339014504564,['1777702339014504564'],"@MdAbuKawserMam1 Unfortunately our social media department does not work on the same database as our affiliate, so we can't access your flight information. 
2/3",2024-04-09T14:17:20.000Z,0,1,0,0,0,41
1777702284262101181,['1777702284262101181'],"@MdAbuKawserMam1 Hi there, we regret to hear that you have not received the response. We'd like to help, however we can only assist with accommodation bookings via Social Media as we advised you in our previous reply. 1/3",2024-04-09T14:17:07.000Z,0,1,0,0,0,28
1777689965465399622,['1777689965465399622'],"@cindy07110 HI Cindy, we will be happy to look into this for you. Please DM us with the following information: 

- Confirmation Number
- Pin Code
- Full Guest Name

Once we have these details, we can take a look and get back to you. https://t.co/Z89AAoEgD7",2024-04-09T13:28:10.000Z,0,0,0,0,0,68
1777688538244341809,['1777688538244341809'],"@JasonGiller Hi Jason, you need to provide us with your booking details if you want us to take a look here. Please DM us the asked for information. 

Kind regards. https://t.co/Z89AAoEgD7",2024-04-09T13:22:30.000Z,0,1,0,0,0,38
1777688110119133327,['1777688110119133327'],"@coret Hi Bob, we regret seeing this. When using a web browser, please ensure there is a strong internet connection and delete cache/cookies. You may also use the App, and ensure you have the latest update or re-install it on your device. We hope this helps, and you are able to book.",2024-04-09T13:20:47.000Z,0,0,0,0,0,35
1777687979269501207,['1777687979269501207'],"@MexicoScoot -Confirmation number
-PIN
-Full name on booking
As soon as we receive these, we will get back to you.
For any other questions, please let us know.
We look forward to your reply.
2/2",2024-04-09T13:20:16.000Z,0,0,0,0,0,38
1777687760498745413,['1777687760498745413'],"@MexicoScoot Hi Tash, thank you for reaching out to us.
It's a shame you are still waiting for your refund, and we would like to look into this for you.
Is it possible for you to share with us in a DM the following details:
1/2",2024-04-09T13:19:24.000Z,0,0,0,0,0,42
1777685491405525488,['1777685491405525488'],"@longtallshazza Hi there, thank you for your message.
The name of the rooms and their descriptions are set by the properties when they create a profile on our platform. Most properties provide the option to choose between a double and a twin bed.
For any other questions, please let us know.",2024-04-09T13:10:23.000Z,0,1,0,0,0,28
1777682747160514901,['1777682747160514901'],"@GoldbergMuir Hi Louise, we regret to hear about your experience.
Our refunds are indeed received withing maximum 12 working days, this is a indeed a worst case scenario estimation, usually they are processed faster, clearly there is also the time needed for the banks to take into account.",2024-04-09T12:59:29.000Z,0,1,0,0,0,31
1777677786859126907,['1777677786859126907'],"@sherin895939728 Hi Sherin, we regret to hear about it.The accommodation can only request the supplement mentioned in the confirmation email. If you want us to check, send us a private DM with:
-Confirmation number
-PIN code
-Name of the guest on the booking
And we'll look further into it. https://t.co/Z89AAoEgD7",2024-04-09T12:39:46.000Z,0,0,1,0,0,43
1777675349272260878,['1777675349272260878'],"@katfishhhhhhh Hi there, thank you for reaching out to us. We truly regret to hear about your negative experience.

If you would like us to take a look at your reservation, please send in a DM your reservation number, pin code, and the name of the guest.

Best regards.",2024-04-09T12:30:05.000Z,0,0,0,0,0,46
1777672537700274570,['1777672537700274570'],"@Steven_BX -Confirmation number
-PIN
-Full name on booking
As soon as we receive these, we will get back to you as soon as possible.
For any other questions, please let us know.
We look forward to your reply.
2/2",2024-04-09T12:18:55.000Z,0,0,0,0,0,49
1777672483383934976,['1777672483383934976'],"@Steven_BX Hi Steven, thank you for reaching out to us.
We regret that you feel this way about our service, and we would like to look into this for you.
Is it possible for you to share with us in a DM the following details:
1/2",2024-04-09T12:18:42.000Z,0,0,0,0,0,41
1777663260268851690,['1777663260268851690'],"@ktmfld Hi Katie, we regret to hear this. Your account could be blocked due to an irregular booking pattern/history. For us to take a look, please DM us the following details: 
- Email address associated with the account
- Your full name for verification
Kind regards. https://t.co/Z89AAoEgD7",2024-04-09T11:42:03.000Z,0,0,0,0,0,63
1777658114222772408,['1777658114222772408'],"@g_livingston Hi Grant, we have replied to your DM. Please, take a look when you can. Thank you!",2024-04-09T11:21:36.000Z,0,0,0,0,0,58
1777655514295373918,['1777655514295373918'],"@Kaitsu52567386 Hi there, at this time we can only offer support for hotel reservations via social media. If someone has listed your property on our platform without your knowledge, please DM us more information regarding this, and send us a live URL link or screenshot. Thank you. https://t.co/Z89AAoEgD7",2024-04-09T11:11:16.000Z,0,0,0,0,0,40
1777654317182271645,['1777654317182271645'],"@ReeceAbuchanan 2/2
To reach our flight support team directly, you can use this link: https://t.co/Z8ou85LCWJ, or call {US}+1 917 421 7240 / {UK}+44 2039019061 / {IE} +353 19075677",2024-04-09T11:06:31.000Z,0,0,0,0,0,37
1777654295061487927,['1777654295061487927'],"@ReeceAbuchanan 1/2
Hi Reece. It's a shame to hear about your experience. As much as we'd like to assist you, we're unable to provide support with flight reservations on social media.",2024-04-09T11:06:25.000Z,0,0,0,0,0,30
1777651631854649586,['1777651631854649586'],"@iscander156664 - our system will recognize that the payment isn't linked to a booking and automatically refund it back within 7-12 days.

Please don't hesitate to reach out to us again if you have any other questions.

Kind regards.",2024-04-09T10:55:50.000Z,0,0,1,0,0,43
1777651493463576870,['1777651493463576870'],"@iscander156664 Hi there, thank you for getting back to us. We are glad to hear that you were not charged. If you encounter a similar situation in the future -  with a booking not confirmed successfully, but the payment  collected by us -",2024-04-09T10:55:17.000Z,0,0,0,0,0,38
1777651217893654978,['1777651217893654978'],"@SiliconeCowboy @SiliconeCowboy Hi there,
We regret to hear that you were double charged for your reservation and are happy to look into what happened. In order to do so, we need you to send us a dm to verify the following details:
- confirmation number
- pin code
- name on the reservation https://t.co/Z89AAoEgD7",2024-04-09T10:54:12.000Z,0,1,0,0,0,42
1777643307721433504,['1777643307721433504'],"@christhekopite Hi Chris. Thank you for your response. The automatic response is always sent when a private message is received. If your girlfriend responded to the auto-reply, an agent will get back to her shortly.

Kind regards.",2024-04-09T10:22:46.000Z,0,1,2,0,0,42
1777638403061801247,['1777638403061801247'],"@amy0fray Hello there, thanks for reaching out to us.

Could you send us a private message with a screenshot of the gift card you are referring to, so we can look into this for you.

Looking forward to hearing back from you. https://t.co/Z89AAoEgD7",2024-04-09T10:03:16.000Z,0,0,0,0,0,43
1777637604663394788,['1777637604663394788'],"@sagrawalca ...booking to see what happened. If a property cannot relocate you, we do our best to find you a suitable solution within the area. For us to take a look, kindly DM us the following details:
- Confirmation number
- PIN code
- Full guest name
Or call: https://t.co/Qy2GsKgQuC 2/2 https://t.co/Z89AAoEgD7",2024-04-09T10:00:06.000Z,0,0,0,0,0,37
1777637194045272364,['1777637194045272364'],"@sagrawalca Hi Siddhartha, we regret to hear this. The properties have to pass a verification process to appear listed on our platform. If a property provides false or incorrect information, we immediately investigate and take the necessary actions. We'd like to have a look at your...1/2",2024-04-09T09:58:28.000Z,0,2,0,0,0,41
1777636879476596773,['1777636879476596773'],"@deandgray Hi there, we truly regret to hear that you cannot see the messages. We will be happy to check the reservation system for you. To do so, please provide in private messages the reservation number, pin code, and the name of the guest.

Looking forward to your reply.",2024-04-09T09:57:13.000Z,0,0,0,0,0,36
1777621984735527153,['1777621984735527153'],"@sandyrajsingh Hi there Sandeep, that doesn't sound right at all, and we'd like to take a look at your booking to have a better understanding of what exactly happened. To do so, please DM us:

- Reservation Number:
- PIN Code:
- Name on the Reservation. https://t.co/Z89AAoEgD7",2024-04-09T08:58:02.000Z,0,0,0,0,0,39
1777621726790099055,['1777621726790099055'],"@AWnigelck Hi there, we understand you. The prices shown on our page are managed directly by the properties, but remember that we match the price if you find a cheaper one. If you want to know more about how this option works, you can click on the following link: https://t.co/uwLmCJ5RM8.",2024-04-09T08:57:00.000Z,0,1,0,0,0,32
1777621370718900252,['1777621370718900252'],"@Anoopkpavithran -Confirmation number
-PIN
-Full name on booking
As soon as we receive these, we will get back to you as soon as possible.
For any other questions, please let us know.
We look forward to your reply.
2/2",2024-04-09T08:55:36.000Z,0,0,0,0,0,25
1777621346278584632,['1777621346278584632'],"@Anoopkpavithran Hi Anoop, thank you for reaching out to us.
We regret that you feel this way about our service, and we are here to help.
Is it possible for you to share with us the following details in a DM:
1/2",2024-04-09T08:55:30.000Z,0,0,0,0,0,21
1777619849109262750,['1777619849109262750'],"@Hwy41 ...under “help”. Alternatively you can contact our specialized team, available 24/7 on +44 (0) 161 850 3290.
2/2",2024-04-09T08:49:33.000Z,0,0,0,0,0,46
1777619806121861328,['1777619806121861328'],"@Hwy41 Hi Jonesy, thank you for contacting us.
Although we'd like to assist you with your Taxi reservation, we're unable to do so via social media, as we do not have access to their system. We kindly recommend that you complete the web form available via https://t.co/tUSKwjNqJ9...
1/2",2024-04-09T08:49:23.000Z,0,0,0,0,0,50
1777614956185166327,['1777614956185166327'],"@KeithDArcy5 Hi Keith, we regret to hear of this, and we'd be happy to assist your wife with her reservation here. To do so, kindly let us know the request and DM us the following:
- Confirmation number
- PIN code
- Guest name on the reservation 
Or call here: https://t.co/Qy2GsKgQuC https://t.co/Z89AAoEgD7",2024-04-09T08:30:06.000Z,0,0,0,0,0,42
1777612619395809378,['1777612619395809378'],"@Kaitsu52567386 Hi, unfortunately due to security reasons, we cannot provide assistance to our partners through social media, but you can find more information how to contact our Partner Support team here: https://t.co/O5Q5wuHzMt",2024-04-09T08:20:49.000Z,0,1,0,0,0,47
1777609019684683852,['1777609019684683852'],"@damonwarnes Hi Damon, thank you for reaching out to us.
As much as we would like to help, unfortunately, due to security reasons, we cannot provide assistance to our partners through social media. However, you can contact our Partner Support team here: https://t.co/O5Q5wuHzMt",2024-04-09T08:06:31.000Z,0,0,0,0,0,40
1777607354759938213,['1777607354759938213'],"@dogbadger123 Hi Brian, we are sorry to hear you had no response to your complaint, but we will be happy to take a look for you. Please DM us with the following information: 

- Confirmation Number
- Pin Code
- Full Guest Name

Once we have these, we can take a look and get back to you. https://t.co/Z89AAoEgD7",2024-04-09T07:59:54.000Z,0,1,0,0,0,43
1777606172935110856,['1777606172935110856'],"@philosoflirt You can get in touch with them by giving them a phone call. To discover the contact information specific to your location, kindly visit this URL: https://t.co/O5Q5wuHzMt.
We regret any inconvenience caused. Kind regards.2/2",2024-04-09T07:55:12.000Z,0,0,0,0,0,29
1777606105478119636,['1777606105478119636'],"@philosoflirt Hi Jeff, we acknowledge that you might be encountering difficulties as a Partner. Unfortunately, due to security concerns, we are unable to offer assistance to Partners via social media. We urge you to make another attempt to seek help from our dedicated partner support team.1/2",2024-04-09T07:54:56.000Z,0,1,0,1,0,31
1777603409295573227,['1777603409295573227'],"@CanABlKManVent In case you encounter any difficulties during check-in hours, feel free to call us immediately at this link (https://t.co/Qy2GsKgQuC).
- If you are unsure about a new property, you are encouraged to opt for a property with multiple positive reviews for added assurance.
Regards3/3",2024-04-09T07:44:13.000Z,0,0,0,0,0,37
1777603048786825291,['1777603048786825291'],"@CanABlKManVent - Kindly go through all the accommodation details ((prepayment) policies, fine print, house rules, etc.) on our website to familiarize yourself with any potential deposits, cleaning fees, etc.
- Properties tend to provide check-in instructions post booking confirmation. 
2/3",2024-04-09T07:42:47.000Z,0,1,0,0,0,33
1777602901394792564,['1777602901394792564'],"@CanABlKManVent 1/3
Hi there, thank you for reaching out. While we don't find any reason to raise a concern about the accommodation based on your discussion, we do have some recommendations for you before proceeding with an online booking through our website.",2024-04-09T07:42:12.000Z,0,1,0,0,0,34
1777602384677503163,['1777602384677503163'],"@SunilNetar2 While we would like to be able to help you, we simply cannot do this here. We understand the situation you are experiencing, however you will need to try to reach out to the dedicated team again. 2/2",2024-04-09T07:40:09.000Z,0,0,0,1,0,34
1777602363374612790,['1777602363374612790'],"@SunilNetar2 Hi there, as we have mentioned previously, only our Flights team can assist you. They operate separate to our Social Media team. We are unable to provide the answers to your questions, or access your flight details to see what has happened. 1/2",2024-04-09T07:40:04.000Z,0,0,0,0,0,35
1777602041545674880,['1777602041545674880'],"@amysowerby1 via https://t.co/tUSKwjNqJ9 under “help”.  Alternatively you can contact our specialized team, available 24/7 on +44 (0) 161 850 3290. 2/2",2024-04-09T07:38:47.000Z,0,0,0,1,0,38
1777602010281328803,['1777602010281328803'],"@amysowerby1 Hi Amy, thanks for contacting us. Although we'd like to assist you with your Taxi reservation, we're unable to do so via social media. We kindly recommend that you complete the web form available 1/2",2024-04-09T07:38:40.000Z,0,0,0,0,0,27
1777599416351732177,['1777599416351732177'],"@SumitHooda005 Hello there and we understand your situation. However, only the relevant team can assist you regarding this. Please contact our flight support team and we hope they were able to resolve your situation.",2024-04-09T07:28:21.000Z,0,0,0,1,0,36
1777599337582743760,['1777599337582743760'],"@makejdm ...in order to retrieve them.
For any other questions related to your accommodation booking, please don't hesitate to contact us.
We hope the matter will be solved quickly for you.
2/2",2024-04-09T07:28:02.000Z,0,0,0,0,0,32
1777599301893370309,['1777599301893370309'],"@makejdm Hi Jonathan, thank you for reaching out to us.
We regret that your points were charged, and as much as we would like to help, unfortunately we cannot support with the Rapid Rewards, as we do not have access to their system. We advise that you reach out to them directly...
1/2",2024-04-09T07:27:54.000Z,0,0,0,1,0,42
1777598045409976419,['1777598045409976419'],"@Dekkie55 Hallo, momenteel bieden wij alleen support voor accommodatie reserveringen via Social Media. Voor dringende zaken over je Autohuur reservering, kun je het autoverhuur team bereiken via https://t.co/a2Udx3zyb4.",2024-04-09T07:22:54.000Z,1,0,0,1,0,65
1777596345693388905,['1777596345693388905'],"@gmedemma 3/3
In order to do so, please DM us the
- Confirmation number,
- Pin code,
- Guest name on the booking.
We'd get back to you as soon as possible. Thank you. https://t.co/Z89AAoEgD7",2024-04-09T07:16:09.000Z,0,0,0,0,0,43
1777596237711085720,['1777596237711085720'],"@gmedemma 2/3
Please be aware that as the accommodation is the actual service provider, any refund you request should also come from them.
While we cannot alter a result that may have been communicated, we are willing to look into what happened if you would like us to.",2024-04-09T07:15:43.000Z,0,1,0,1,0,68
1777596140097053087,['1777596140097053087'],"@gmedemma 1/3
It's a shame to hear about your experience, Emma. If you have any issues, it's important to communicate this directly to the accommodation during your stay as they're responsible to ensure your stay is as comfortable as possible.",2024-04-09T07:15:20.000Z,0,1,0,0,0,23
1777588872064487783,['1777588872064487783'],"@rgbarcena Hola Ramón, sentimos que tu reserva se haya cancelado. Si quieres que lo revisemos, envíanos un DM con los siguientes datos y nos pondremos en contacto contigo lo antes posible: 
- Número de confirmación
- Código PIN
- Nombre que aparece en la reserva

Un saludo. https://t.co/Z89AAoEgD7",2024-04-09T06:46:27.000Z,0,0,0,1,0,46
1777583994911047897,['1777583994911047897'],"@abinash_dass Hi there, we regret to hear that your account was disabled. We just sent you an email, please reply in order for us to verify. We also invite you to provide your account details, not in public for security reasons.",2024-04-09T06:27:04.000Z,0,0,0,0,0,38
1777576689008017744,['1777576689008017744'],"@capriboycraig Hi Craig, we regret to hear that the accommodation may not be able to honor the stay. We have responded to your DM with more information, so please review and let us know if you need further support.",2024-04-09T05:58:03.000Z,0,0,0,0,0,37
1777575174306414661,['1777575174306414661'],"@laurahado Hola Laura, respondimos tu mensaje privado.

Un saludo.",2024-04-09T05:52:01.000Z,0,0,0,0,0,29
1777568738348241325,['1777568738348241325'],"@HectorTrejo Hola Héctor, respondimos tu mensaje privado.

Un saludo.",2024-04-09T05:26:27.000Z,0,0,0,0,0,43
1777366640516051138,['1777366640516051138'],"@Swandermann We would like to look into this for you. Please, send us a DM with your: 
- Confirmation number, 
- Pin code,
- Name on the reservation, 
- exact name and address of the new accommodation,
and we will get back to you as soon as possible. 2/2",2024-04-08T16:03:23.000Z,0,1,0,0,0,64
1777366557452030234,['1777366557452030234'],"@Swandermann Hi Martin, thank you for reaching out to us. For urgent support you can always contact our customer service team by phone (https://t.co/Qy2GsKgQuC) or send a message (https://t.co/es0bJwcmXb). 

1/2",2024-04-08T16:03:03.000Z,0,1,0,0,0,58
1777353159117091058,['1777353159117091058'],"@Molderfoker Hi there, while we value our partnership for security reasons we're unable to provide any support to our partners via social media. If you need any support, we're always here to help, and you can give our partner support a call here: https://t.co/8uh2bBZUnF.",2024-04-08T15:09:49.000Z,0,0,0,0,0,77
1777349011403383119,['1777349011403383119'],"@Moshi1369 Hello Cathy, as we do not operate as a chat function, for immediate assistance we kindly advise you to call our 24/7 support line at https://t.co/Qy2GsKgQuC. We have responded to your DM. Thanks.",2024-04-08T14:53:20.000Z,0,0,0,0,0,73
1777348468920451367,['1777348468920451367'],"@ayed20a Hi, we regret to hear that this happened. We would like to assist you with the booking and we have replied to your DM. Please, take a look when you can. 

Kind regards.",2024-04-08T14:51:11.000Z,0,1,0,0,0,54
