id,text,created_at,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
1777766418806607962,"RT @coookwithchris: Wild blueberry ice cream
-Raw cream &amp; milk
-Egg yolks
-Vanilla bean
-Maple syrup
-Wild blueberries https://t.co/6r3RQrq…",2024-04-09T18:31:58.000Z,['1777766418806607962'],181,0,0,0,0,1
1777753337263202474,"Few things are more enjoyable than a crispy chicken cutlet

&amp; by making a few ingredient tweaks, you can make them far healthier:

1. Breadcrumbs

Most breadcrumbs in stores are loaded with seed oils, horrible quality gluten and who knows what else

Taking a few extra minutes to… https://t.co/JTg2GhA4uu https://t.co/Kps8vdInZU",2024-04-09T17:39:59.000Z,['1777753337263202474'],26,12,311,0,593,47065
1777750453389791625,https://t.co/1Tpu4s9y8J,2024-04-09T17:28:31.000Z,['1777750453389791625'],4,4,48,0,5,8084
1777743848183132354,@NoahRyanCo So true king,2024-04-09T17:02:16.000Z,['1777743848183132354'],0,0,0,0,0,486
1777737049547969014,"RT @coookwithchris: Things you should ALWAYS have in your pantry:

-Quality sea salt
-Extra virgin olive oil
-Plethora of herbs &amp; spices
-B…",2024-04-09T16:35:16.000Z,['1777737049547969014'],15,0,0,0,0,0
1777737019407655002,@MonkhousePhil At least a couple hours or up to overnight,2024-04-09T16:35:08.000Z,['1777737019407655002'],0,0,0,0,0,18
1777736901207670951,@PatrickGrayDPT Honey harissa!,2024-04-09T16:34:40.000Z,['1777736901207670951'],0,0,0,0,0,19
1777736773323341918,@mushtaqx 🙏🏼🙏🏼,2024-04-09T16:34:10.000Z,['1777736773323341918'],0,0,0,0,0,16
1777736701751783734,"RT @coookwithchris: Did you know you can find the recipe for every single meal I post on X in my recipe database?

All in one, easy to use…",2024-04-09T16:33:53.000Z,['1777736701751783734'],7,0,0,0,0,1
1777700399073386557,@_Skedd_ There are definitely better options out there!,2024-04-09T14:09:37.000Z,['1777700399073386557'],0,1,3,0,0,500
1777699763460129149,@barry_cudas Good,2024-04-09T14:07:06.000Z,['1777699763460129149'],0,0,0,0,0,60
1777699703334879579,"RT @coookwithchris: My 5 Favorite Chicken Marinades:

All 5 recipes are good for 2 lb of chicken

Tandoori style yogurt marinade:

1/2 cup…",2024-04-09T14:06:51.000Z,['1777699703334879579'],126,0,0,0,0,1
1777699593691570382,"Paige had a goal of losing 25 lb but wanted to do it in the healthy, sustainable way

Not only that, but actually be able to enjoy her meals!

""Down 26 lb""
""There wasn't a single recipe I didn't like!""
""Feeling clearer, stronger, better"" https://t.co/gryp113HDv",2024-04-09T14:06:25.000Z,['1777699593691570382'],1,0,2,0,0,3315
1777697671114858718,"Things you should ALWAYS have in your pantry:

-Quality sea salt
-Extra virgin olive oil
-Plethora of herbs &amp; spices
-Beef tallow
-Ghee
-Garlic &amp; onions
-Apple cider or red wine vinegar
-Raw honey

What else? https://t.co/CsbhwLInTN",2024-04-09T13:58:47.000Z,['1777697671114858718'],15,29,176,3,109,25913
1777689522811101357,"Reasons you need more salt:

1. Sodium is required for the proper balance of water and minerals, and is necessary for cellular hydration 

2. Sodium is required for muscle contraction, and will help you retain water which result in better pumps at the gym

3. Sodium is necessary… https://t.co/Jrbaqy6ZGZ",2024-04-09T13:26:24.000Z,['1777689522811101357'],4,4,37,0,21,11468
1777689417097863622,"10 reasons why you NEED to learn to cook:

1. Control the ingredients

When you cook, you know exactly what is going into your body

You can also make it exactly how you prefer

Double protein? Done
Extra spicy? Easy

Combine single ingredient, whole foods to make delicious,… https://t.co/dyfmxA3t5l",2024-04-09T13:25:59.000Z,['1777689417097863622'],7,7,75,0,38,14791
1777681162284011636,"RT @coookwithchris: 5k on IG😁

Twitter will always be #1 for me but it’s been fun building a new platform from scratch https://t.co/0PZ0fg3…",2024-04-09T12:53:11.000Z,['1777681162284011636'],4,0,0,0,0,0
1777681111662940381,RT @coookwithchris: My 10 favorite brands at Sprouts! https://t.co/jm7sQeyZsd,2024-04-09T12:52:59.000Z,['1777681111662940381'],47,0,0,0,0,0
1777444250445082995,@megconnolly_ 😂😂come be neighbors in Tampa!,2024-04-08T21:11:47.000Z,['1777444250445082995'],0,1,1,0,0,1424
1777410082357047467,@_gregthomas Durham ranch is the brand,2024-04-08T18:56:00.000Z,['1777410082357047467'],0,1,4,0,1,1075
1777405923322970232,"My go-to bro meal is ground elk, sushi rice, green onions and Japanese BBQ sauce

Takes minutes to make and is always enjoyable https://t.co/2r9kUAXc2R",2024-04-08T18:39:29.000Z,['1777405923322970232'],11,13,401,0,270,59144
