text,id,created_at,edit_history_tweet_ids,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
"This two-in-one gadget holds your paper towels and surface cleaning spray in one easy-to-grab location!

Get it on Amazon: https://t.co/10hoyonApA (We may make 💰 from these links!) https://t.co/xsDfhir5jv",1777429960132550952,2024-04-08T20:15:00.000Z,['1777429960132550952'],1,1,3,0,1,2615
"Coming Soon 😎 A new season of #SummerBakingChampionship, hosted by @JessePalmerTV, starts Monday, May 13 @ 8|7c! ⛱️☀️ https://t.co/kFjHqLnfm7",1777410265639784623,2024-04-08T18:56:44.000Z,"['1777409699387769241', '1777410265639784623']",3,1,33,1,0,9622
"Introducing: The Lobster Tartine from Fair Haven Oyster Company! 😍🦞 We’re making a trip to New Haven just to get a bite 🤤

Will the Lobster Tartine be @noahcappe’s nomination for #BestBiteInTown? Find out during the series premiere of #BestBiteInTown, Friday @ 9|8c. https://t.co/5E7ODkrw8Q",1777399761924149629,2024-04-08T18:15:00.000Z,['1777399761924149629'],2,1,23,0,5,10278
"One moment, please 😂

Catch @chefdphillips on an all-new episode of #WildcardKitchen &gt; tomorrow @ 9|8c https://t.co/xNWwWwB3u1",1777392211664973855,2024-04-08T17:45:00.000Z,['1777392211664973855'],0,2,26,0,0,9667
"Get ready to dip into a whole new cheesy comfort favorite — *French Onion Fondue Dip* is NEXT-LEVEL 😍🧀 

Watch #TheKitchen, Saturdays at 11a|10c and @StreamOnMax: https://t.co/8i77dxpHnc! #StreamOnMax 
 
Get the recipe: https://t.co/0MctfApuXu https://t.co/wJdxma6T3O",1777384661699948961,2024-04-08T17:15:00.000Z,['1777384661699948961'],6,3,57,1,21,12178
"Imagine what you could do with an extra $10,000! 🤩 Enter for your chance to win today: https://t.co/ZC7LW1wDVI https://t.co/0Ly67UVzNi",1777373337116868628,2024-04-08T16:30:00.000Z,['1777373337116868628'],1,2,9,0,0,9182
Recipe of the Day: Beans Parmesan 🫘🧀https://t.co/f4hAMDOj8M,1777369562826043635,2024-04-08T16:15:00.000Z,['1777369562826043635'],1,0,11,0,2,9211
"6 days to go until the premiere of #24In24: Last Chef Standing 🕓

Go behind the scenes of the SPEED shift as the 24 chefs battle it out in this make-or-break first challenge 🔥 Tune it on Sunday @ 8|7c to watch all the action! https://t.co/bMCiObdRlj",1777346913131544656,2024-04-08T14:45:00.000Z,['1777346913131544656'],2,0,33,0,0,10983
"These petit fours are très chic, but only one will win the prized advantage on an all-new #SpringBakingChampionship, TONIGHT @ 8|7c! 🌸 https://t.co/5VQyxesv4l",1777339363606905091,2024-04-08T14:15:00.000Z,['1777339363606905091'],4,1,43,1,1,12133
"Do yourself and the planet a favor and stop throwing out this food waste! 🙌💚 Fariyal Abdullahi shares her favorite ways to transform these leftovers into delicious dishes! 😋

All-new #Chopped &gt; Tomorrow @ 8|7c https://t.co/nF45Sw3yEN",1777331813565780305,2024-04-08T13:45:00.000Z,['1777331813565780305'],5,4,30,1,1,13626
